N,K,beta,t1,tv,t2,h1,hv,h2,tail_gamma,aw_mass_in_window,paper_bimodal
160,2,0.01,53,731.0,2698.0,0.00013220486354197637,5.7435143816440204e-05,0.00011097396222833685,0.0001657111998309418,0.3755738262024979,True
162,2,0.01,53,752.0,2760.0,0.0001322048635442345,5.662189598958916e-05,0.00010837707220090748,0.0001620814574138816,0.367327843783145,True
164,2,0.01,53,773.0,2822.0,0.0001322048635462529,5.582696816096042e-05,0.00010587224027970352,0.00015857746570434176,0.3593177293996347,True
166,2,0.01,53,795.0,2886.0,0.00013220486354804554,5.5049789536480866e-05,0.00010345512711779835,0.00015519335569628924,0.3515400677626572,True
168,2,0.01,53,817.0,2950.0,0.000132204863549605,5.4289840436875544e-05,0.0001011216393283234,0.00015192359997678458,0.3439913146052802,True
170,2,0.01,53,840.0,3014.0,0.0001322048635509538,5.3546588947910696e-05,9.886792933464114e-05,0.00014876298904857192,0.3366678111544515,True
172,2,0.01,53,863.0,3079.0,0.00013220486355209284,5.281954822869969e-05,9.669036051870396e-05,0.00014570660953874392,0.32956579728209806,True
174,2,0.01,53,886.0,3144.0,0.00013220486355304008,5.210821842301223e-05,9.458550717731218e-05,0.00014274982409479475,0.32268142379583226,True
176,2,0.01,53,909.0,3210.0,0.0001322048635537952,5.1412166311597884e-05,9.255013576586846e-05,0.0001398882529479425,0.3160107638692543,True
178,2,0.01,53,933.0,3277.0,0.00013220486355434882,5.073091246302198e-05,9.058119116339247e-05,0.0001371177567758463,0.30954982357496996,True
180,2,0.01,53,958.0,3344.0,0.0001322048635547391,5.006404209739041e-05,8.867578080107836e-05,0.0001344344210318395,0.3032945518393464,True
182,2,0.01,53,982.0,3412.0,0.00013220486355494966,4.9411134086719814e-05,8.683117429639086e-05,0.00013183454132797217,0.29724084976021525,True
184,2,0.01,53,1007.0,3480.0,0.00013220486355500381,4.877178994705779e-05,8.504478314195482e-05,0.00012931460998681887,0.2913845792683045,True
186,2,0.01,53,1033.0,3549.0,0.00013220486355489735,4.814562044878754e-05,8.331415895217783e-05,0.00012687130359464744,0.2857215713847636,True
188,2,0.01,53,1058.0,3618.0,0.0001322049301093086,4.753230959879107e-05,8.163702083574152e-05,0.00012450147139677104,0.7299518890142295,True
190,2,0.01,53,1084.0,3688.0,0.00013220493134348014,4.6931380263066696e-05,8.00110849110646e-05,0.00012220212462818756,0.722640278464435,True
192,2,0.01,53,1111.0,3759.0,0.00013220493253776136,4.634252777584353e-05,7.843430280690546e-05,0.00011997042657137446,0.7153623759812304,True
194,2,0.01,53,1138.0,3830.0,0.00013220493369213557,4.576543775204964e-05,7.690469190589473e-05,0.00011780368328911983,0.7081216656064894,True
196,2,0.01,53,1165.0,3901.0,0.00013220493480655513,4.519977151756054e-05,7.542036978511985e-05,0.00011569933505977629,0.700921408540385,True
198,2,0.01,53,1193.0,3973.0,0.0001322049358811517,4.464522453849754e-05,7.397954565142006e-05,0.00011365494837233292,0.6937646529313488,True
200,2,0.01,53,1221.0,4046.0,0.00013220493691607526,4.4101482078622955e-05,7.258051755292597e-05,0.00011166820851069859,0.6866542430520713,True
202,2,0.01,53,1249.0,4118.0,0.0001322049379115983,4.356824898627579e-05,7.122166827313182e-05,0.00010973691262279543,0.6795928287883373,True
204,2,0.01,53,1278.0,4192.0,0.00013220493886804814,4.3045258159364795e-05,6.990145682115051e-05,0.00010785896322613771,0.6725828746763556,True
206,2,0.01,53,1307.0,4266.0,0.00013220493978577098,4.253222022311697e-05,6.861841482143259e-05,0.00010603236221682768,0.665626668869242,True
208,2,0.01,53,1336.0,4340.0,0.00013220494066520613,4.20288760228539e-05,6.737114469080033e-05,0.00010425520524370964,0.6587263317928395,True
210,2,0.01,53,1366.0,4415.0,0.00013220494150682215,4.153497223342189e-05,6.615831511083158e-05,0.00010252567639892103,0.6518838243887966,True
212,2,0.01,53,1396.0,4491.0,0.0001322049423111024,4.105026087709924e-05,6.497865538903192e-05,0.00010084204336905708,0.6451009566194589,True
214,2,0.01,53,1427.0,4567.0,0.00013220494307860338,4.057449977506944e-05,6.383095270397623e-05,9.920265279777423e-05,0.6383793949153693,True
216,2,0.01,53,1458.0,4643.0,0.00013220494380989628,4.010745971241129e-05,6.271405043902687e-05,9.76059259708533e-05,0.6317206698695274,True
218,2,0.01,53,1489.0,4720.0,0.00013220494450558238,3.964891756610616e-05,6.162684420995266e-05,9.605035479961599e-05,0.6251261834599506,True
220,2,0.01,53,1521.0,4798.0,0.00013220494516626478,3.9198653163093246e-05,6.056827824615593e-05,9.45344980778122e-05,0.618597215912787,True
222,2,0.01,53,1553.0,4876.0,0.00013220494579258384,3.8756461612054834e-05,5.953734418086916e-05,9.305697783498224e-05,0.6121349323613731,True
224,2,0.01,53,1586.0,4954.0,0.00013220494638519945,3.8322135327019064e-05,5.853307827209272e-05,9.161647611305484e-05,0.6057403889476041,True
226,2,0.01,53,1619.0,5033.0,0.00013220494694473017,3.789548130564708e-05,5.755455713294361e-05,9.021173178233249e-05,0.5994145390079565,True
228,2,0.01,53,1652.0,5112.0,0.00013220494747187854,3.747630911988115e-05,5.660089901413226e-05,8.884153763335668e-05,0.5931582386137304,True
230,2,0.01,53,1686.0,5192.0,0.0001322049479673218,3.70644316494542e-05,5.567125847117182e-05,8.75047375994158e-05,0.5869722519451729,True
232,2,0.01,53,1720.0,5272.0,0.00013220494843170134,3.665967422609783e-05,5.476482705660153e-05,8.620022416509505e-05,0.58085725640416,True
234,2,0.01,53,1755.0,5352.0,0.00013220494886570283,3.62618600576675e-05,5.388082907312742e-05,8.492693593044013e-05,0.5748138475025488,True
236,2,0.01,53,1790.0,5434.0,0.0001322049492699955,3.5870824469984804e-05,5.301852256216871e-05,8.36838553147409e-05,0.5688425433620797,True
238,2,0.01,53,1825.0,5515.0,0.00013220494964528659,3.5486405481866696e-05,5.217719514879852e-05,8.247000638438646e-05,0.5629437889010643,True
