scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,hit_mass,flux_c2o,flux_o2c,occupancy_mass,L0R0,L0R1,L1R0,L1R1,rollback_share
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,early,10,60,2.8455089971222806e-22,1.5514233736232158e-28,6.176190327924093e-29,1.6966821676201582e-20,0.9926028522495183,0.007396602166470336,5.444936180175875e-07,1.090393261880525e-09,0.007396603256863598
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,middle,120,200,5.291927122768724e-06,1.7126796445560645e-09,6.453070918789085e-10,0.0009923954041846212,0.5474894986586908,0.45212446738615264,0.0002155218595761307,0.00017051209558051502,0.45229497948173314
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,late,260,360,0.0018050265222183414,1.7976524337618834e-06,1.0469653765128887e-06,0.5882559249830788,0.3233149382240713,0.6752965026874161,0.0004187813793556097,0.0009697777091567868,0.6762662803965729
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,early,10,60,4.517683364099926e-22,2.3965499510159205e-28,9.977169810858318e-29,2.693620159607222e-20,0.9925292385459169,0.007470230599537676,5.297709941355888e-07,1.0835514973770894e-09,0.007470231683089174
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,middle,120,200,6.889089600057572e-06,2.1383955432262674e-09,8.210771048264986e-10,0.001291395881334317,0.5439181431696085,0.4557121642061796,0.00020385350724469312,0.00016583911696718684,0.45587800332314676
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,late,260,360,0.0022617967537300783,2.2636182050577157e-06,1.2617266810513465e-06,0.7368889369075181,0.31521781886262096,0.6834119107870155,0.0003883412736017492,0.0009819290767618752,0.6843938398637773
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak1,528,580,0.01770578314665283,6.031739240041678e-05,8.35897695257799e-05,9.809077466249494,0.2182747756196191,0.7743200340173642,0.0016033703628688504,0.005801820000147969,0.7801218540175121
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,valley,1464,1516,0.0033825353833496254,0.000349856574238061,0.00030235746382723915,5.039978042782561,0.010898273408181825,0.8066265820344115,0.012658701763072329,0.16981644279433436,0.9764430248287459
delta,delta_core_p0p80_open_p0p00,2,-0.08,0.8,0.0,0.002,0.002,peak2,2301,2353,0.004489990712372687,0.0004807149285424488,0.00025172141722862843,10.448208763113062,0.00022109046458254817,0.8504435125396945,0.0011314207336801554,0.1482039762620427,0.9986474888017373
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak1,525,577,0.02535688420321401,9.579760027576972e-05,0.00011225732647267975,13.971656886513102,0.20301000408777659,0.789505412144597,0.001405670185041543,0.006078913582584831,0.7955843257271819
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,valley,1442,1494,0.005150098474236495,0.0006938830970354843,0.0003909395532557671,7.560342113440256,0.00831515331700345,0.7918135673201887,0.00965650743013364,0.19021477193267428,0.982028339252863
delta,delta_core_p0p80_open_p0p20,2,-0.08,0.8,0.2,0.002,0.002,peak2,2178,2230,0.006976935410829536,0.0008666622804597957,0.0003450355211250515,15.377164755140406,0.0002778320419458347,0.8409716497100683,0.0011006028037773056,0.15764991544420853,0.9986215651542769
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak1,521,573,0.03273148549940717,0.00013793434416469217,0.00013445238794980926,17.904251894780852,0.19071291132089546,0.8016798658327048,0.0012383471157039465,0.0063688757306958,0.8080487415634006
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,valley,1423,1475,0.006278783823115881,0.0010730542646270721,0.0004476613853360532,9.097955654856392,0.00762605883284903,0.7624916324050809,0.008511004399216643,0.22137130436285338,0.9838629367679342
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak2,2096,2148,0.008851378709643943,0.0012149668325069523,0.0003992207270415554,18.782627239598142,0.0003418957711766131,0.8337310155255375,0.0011020920986469238,0.16482499660463915,0.9985560121301766
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,peak1,519,571,0.03777560033349463,0.00017284152865089289,0.00014766530955960167,20.58769522627216,0.18311932939394476,0.8091101395511848,0.0011408442440023988,0.006629686810867947,0.8157398263620528
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,valley,1406,1458,0.006718510908924343,0.0013305683187893411,0.00047190698722806695,9.620905092859184,0.0078697067519393,0.7376171978183604,0.008217714293472839,0.24629538113622743,0.9839125789545878
