t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
3697,1.4176116419750804e-10,3.3604309902201447e-22,1.41761164197172e-10,3.0587235769400466e-44,3.360430990220674e-22,3.9015550882254364e-11,7.957392579447001e-11,2.3171687520470023e-11,1.1858947667672438e-10
3698,1.4102962311214124e-10,3.343089732689634e-22,1.4102962311180693e-10,2.9813007516368675e-44,3.343089732690161e-22,3.881421587160441e-11,7.91632945254657e-11,2.3052112714759143e-11,1.179775103970701e-10
3699,1.403018570695132e-10,3.3258379642598796e-22,1.4030185706918063e-10,2.905837663370117e-44,3.325837964260404e-22,3.8613919830022905e-11,7.875478227536392e-11,2.2933154963816016e-11,1.1736870210538683e-10
3700,1.3957784658878562e-10,3.30867522311827e-22,1.3957784658845474e-10,2.832284707010598e-44,3.308675223118792e-22,3.8414657395981046e-11,7.834837810913211e-11,2.2814811083363687e-11,1.1676303550511316e-10
3701,1.3885757228965047e-10,3.2916010498354517e-22,1.388575722893213e-10,2.760593533040861e-44,3.2916010498359704e-22,3.821642323561811e-11,7.794407114816753e-11,2.2697077905557645e-11,1.1616049438378565e-10
3702,1.3814101489181142e-10,3.2746149873530266e-22,1.3814101489148396e-10,2.6907170157729855e-44,3.274614987353544e-22,3.801921204259863e-11,7.754185057000617e-11,2.2579952278901055e-11,1.1556106261260481e-10
3703,1.3742815521446773e-10,3.2577165809713204e-22,1.3742815521414195e-10,2.6226092223708474e-44,3.257716580971835e-22,3.78230185379704e-11,7.714170560803293e-11,2.2463431068160376e-11,1.1496472414600332e-10
3704,1.3671897417580052e-10,3.2409053783372036e-22,1.3671897417547642e-10,2.5562253826564863e-44,3.2409053783377156e-22,3.762783747002315e-11,7.674362555119348e-11,2.2347511154281443e-11,1.1437146302121663e-10
3705,1.360134527924623e-10,3.2241809294319876e-22,1.3601345279213988e-10,2.491521859680751e-44,3.224180929432497e-22,3.743366361414793e-11,7.634759974370753e-11,2.2232189434305976e-11,1.1378126335785546e-10
3706,1.3531157217906865e-10,3.207542786559372e-22,1.353115721787479e-10,2.4284561210388524e-44,3.2075427865598783e-22,3.7240491772697287e-11,7.595361758478356e-11,2.2117462821288494e-11,1.1319410935748085e-10
3707,1.3461331354769265e-10,3.1909905043334615e-22,1.3461331354737354e-10,2.3669867109119917e-44,3.1909905043339656e-22,3.704831677484612e-11,7.556166852833506e-11,2.2003328244213706e-11,1.1260998530318118e-10
3708,1.3391865820736198e-10,3.1745236396668436e-22,1.3391865820704452e-10,2.307073222816667e-44,3.1745236396673444e-22,3.685713347645326e-11,7.517174208269822e-11,2.188978264791427e-11,1.1202887555915148e-10
3709,1.3322758756355861e-10,3.1581417517587225e-22,1.332275875632428e-10,2.2486762730437597e-44,3.1581417517592214e-22,3.666693675992376e-11,7.47838278103511e-11,2.177682299298906e-11,1.1145076457027486e-10
3710,1.3254008311772105e-10,3.1418444020831225e-22,1.3254008311740688e-10,2.1917574747699254e-44,3.141844402083618e-22,3.647772153407192e-11,7.439791532763421e-11,2.166444625572175e-11,1.1087563686170612e-10
3711,1.318561264667491e-10,3.1256311543771466e-22,1.3185612646643652e-10,2.136279412824292e-44,3.1256311543776393e-22,3.628948273398496e-11,7.401399430447257e-11,2.155264942799989e-11,1.1030347703845753e-10
3712,1.3117569930251123e-10,3.1095015746292952e-22,1.311756993022003e-10,2.0822056190938579e-44,3.1095015746297866e-22,3.6102215320887505e-11,7.363205446409915e-11,2.1441429517234392e-11,1.0973426978498665e-10
3713,1.3049878341135445e-10,3.093455231067851e-22,1.3049878341104511e-10,2.0295005485514337e-44,3.09345523106834e-22,3.591591428200663e-11,7.325208558277979e-11,2.1330783546279416e-11,1.0916799986478643e-10
3714,1.2982536067361705e-10,3.0774916941493155e-22,1.2982536067330932e-10,1.978129555890372e-44,3.0774916941498027e-22,3.573057463043772e-11,7.287407748953953e-11,2.1220708553352662e-11,1.0860465211997725e-10
3715,1.291554130631431e-10,3.061610536546914e-22,1.2915541306283693e-10,1.9280588727507176e-44,3.0616105365473985e-22,3.5546191405010964e-11,7.249802006589038e-11,2.1111201591956086e-11,1.0804421147090134e-10
3716,1.2848892264680013e-10,3.045811333139152e-22,1.2848892264649554e-10,1.8792555855218144e-44,3.0458113331396342e-22,3.5362759670158537e-11,7.212390324556036e-11,2.1002259730797047e-11,1.0748666291571889e-10
3717,1.2782587158399914e-10,3.0300936609984355e-22,1.2782587158369614e-10,1.8316876137067756e-44,3.030093660998915e-22,3.518027451578247e-11,7.175171701422412e-11,2.089388005370982e-11,1.069319915300066e-10
3718,1.2716624212621696e-10,3.0144570993797483e-22,1.271662421259155e-10,1.785323688834595e-44,3.014457099380225e-22,3.499873105712328e-11,7.138145140923488e-11,2.0786059659577522e-11,1.0638018246635816e-10
3719,1.2651001661652105e-10,2.998901229709389e-22,1.2651001661622117e-10,1.7401333339060373e-44,2.998901229709863e-22,3.481812443462911e-11,7.101309651935768e-11,2.067879566225448e-11,1.0583122095398678e-10
3720,1.258571774890971e-10,2.9834256355737635e-22,1.2585717748879874e-10,1.6960868433597991e-44,2.983425635574236e-22,3.463844981382572e-11,7.064664248450407e-11,2.057208519048895e-11,1.0528509229832979e-10
3721,1.252077072687784e-10,2.9680299027082413e-22,1.252077072684816e-10,1.653155263545766e-44,2.9680299027087115e-22,3.445970238518704e-11,7.028207949546824e-11,2.0465925387846256e-11,1.0474178188065529e-10
3722,1.2456158857057858e-10,2.95271361898606e-22,1.245615885702833e-10,1.611310373692536e-44,2.9527136189865283e-22,3.428187736400643e-11,6.991939779366435e-11,2.036031341263233e-11,1.0420127515767079e-10
3723,1.2391880409922567e-10,2.937476374407294e-22,1.2391880409893192e-10,1.5705246673566923e-44,2.9374763744077606e-22,3.410496999026859e-11,6.95585876708654e-11,2.0255246437817656e-11,1.0366355766113399e-10
3724,1.2327933664869958e-10,2.9223177610878807e-22,1.2327933664840736e-10,1.53077133434164e-44,2.9223177610883448e-22,3.392897552852216e-11,6.919963946894325e-11,2.015072165096157e-11,1.0312861499746541e-10
3725,1.2264316910177125e-10,2.9072373732486964e-22,1.2264316910148052e-10,1.4920242430741084e-44,2.9072373732491586e-22,3.375388926775294e-11,6.884254357961014e-11,2.0046736254136972e-11,1.0259643284736308e-10
