t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
527,1.6628395194874348e-09,1.3736500437671552e-10,2.8015607697668806e-10,3.4727046756890698e-10,3.4790884379802645e-10,2.8905756085939079e-10,1.8934830583799902e-10,7.1733260069708115e-11
528,1.6092672109192617e-09,1.3288858883172616e-10,2.7105979308192296e-10,3.3603720199536969e-10,3.3670013741649335e-10,2.7979001376277576e-10,1.8331839542748857e-10,6.9473080403485391e-11
529,1.5574208609969407e-09,1.2855810960367588e-10,2.6225894450842201e-10,3.2516736644749418e-10,3.2585254602524305e-10,2.7081951881535265e-10,1.7748037582628003e-10,6.7283999770472768e-11
530,1.5072448638799390e-09,1.2436880699587924e-10,2.5374393284191416e-10,3.1464920071192447e-10,3.1535443545064589e-10,2.6213655723484354e-10,1.7182814508457816e-10,6.5163785560153494e-11
531,1.4586854052014129e-09,1.2031607661550725e-10,2.4550547161416914e-10,3.0447132519592894e-10,3.0519454634149628e-10,2.5373191517152594e-10,1.6635579513091448e-10,6.3110275131870981e-11
532,1.4116904043516444e-09,1.1639546430395663e-10,2.3753457616139293e-10,2.9462272860613400e-10,2.9536198209322167e-10,2.4559667394278189e-10,1.6105760561742311e-10,6.1121373626734202e-11
533,1.3662094586209541e-09,1.1260266123278245e-10,2.2982255381245021e-10,2.8509275602619754e-10,2.8584619716114191e-10,2.3772220058028267e-10,1.5592803796031510e-10,5.9195051847784072e-11
534,1.3221937891421824e-09,1.0893349915978546e-10,2.2236099439618181e-10,2.7587109738050319e-10,2.7663698575024413e-10,2.3010013867980438e-10,1.5096172956936653e-10,5.7329344206296803e-11
535,1.2795961885747620e-09,1.0538394584002104e-10,2.1514176105743727e-10,2.6694777627137309e-10,2.6772447086934350e-10,2.2272239954398786e-10,1.4615348826043244e-10,5.5522346732166715e-11
536,1.2383709704742707e-09,1.0195010058666856e-10,2.0815698137177857e-10,2.5831313917770393e-10,2.5909909373789042e-10,2.1558115360866915e-10,1.4149828684518599e-10,5.3772215146374125e-11
537,1.1984739202931654e-09,9.8628189976864626e-11,2.0139903874913811e-10,2.4995784500332113e-10,2.5075160353406189e-10,2.0866882214370383e-10,1.3699125789246926e-10,5.2077162993606366e-11
538,1.1598622479601400e-09,9.5414563697764458e-11,1.9486056411703171e-10,2.4187285496372602e-10,2.4267304747314282e-10,2.0197806921949998e-10,1.3262768865581567e-10,5.0435459833159550e-11
539,1.1224945419872577e-09,9.2305690528249658e-11,1.8853442787423088e-10,2.3404942280027793e-10,2.3485476120555549e-10,1.9550179393075683e-10,1.2840301616187994e-10,4.8845429486307084e-11
540,1.0863307250556229e-09,8.9298154451851337e-11,1.8241373210609688e-10,2.2647908531120699e-10,2.2728835952423935e-10,1.8923312286917544e-10,1.2431282245467579e-10,4.7305448338377008e-11
541,1.0513320110319711e-09,8.6388650896601494e-11,1.7649180305306422e-10,2.1915365318919807e-10,2.1996572737141455e-10,1.8316540283717434e-10,1.2035282999068351e-10,4.5813943693834913e-11
542,1.0174608633700705e-09,8.3573983097666295e-11,1.7076218382403848e-10,2.1206520215561817e-10,2.1287901113508379e-10,1.7729219379489524e-10,1.1651889718004657e-10,4.4369392182722048e-11
543,9.8468095485231824e-10,8.0851058578749828e-11,1.6521862734674105e-10,2.0520606438178047e-10,2.0602061022593793e-10,1.7160726203303237e-10,1.1280701406922712e-10,4.2970318216849466e-11
544,9.5295712862835879e-10,7.8216885748388875e-11,1.5985508954729372e-10,1.9856882018795082e-10,1.9938316892563171e-10,1.6610457356425812e-10,1.0921329816063674e-10,4.1615292494198763e-11
545,9.2225536050893413e-10,7.5668570607385073e-11,1.5466572275158511e-10,1.9214629001110226e-10,1.9295956849768623e-10,1.6077828772624660e-10,1.0573399036490111e-10,4.0302930550027762e-11
546,8.9254272247452778e-10,7.3203313563744160e-11,1.4964486930120549e-10,1.8593152663271475e-10,1.8674291955255769e-10,1.5562275098952409e-10,1.0236545108155482e-10,3.9031891353226755e-11
547,8.6378734735966301e-10,7.0818406351610443e-11,1.4478705537696997e-10,1.7991780765819973e-10,1.8072655465868332e-10,1.5063249096358916e-10,9.9104156404095017e-11,3.7800875946515390e-11
548,8.3595839467498074e-10,6.8511229050799368e-11,1.4008698502327729e-10,1.7409862823980132e-10,1.7490402119157986e-10,1.4580221059495607e-10,9.5946694445452224e-11,3.6608626129114607e-11
549,8.0902601753043998e-10,6.6279247203642161e-11,1.3553953436677243e-10,1.6846769403508987e-10,1.6926907441332560e-10,1.4112678255097875e-10,9.2889761780060941e-11,3.5453923180570103e-11
550,7.8296133062416483e-10,6.4120009025963861e-11,1.3113974602299166e-10,1.6301891439341935e-10,1.6381567077500279e-10,1.3660124378350816e-10,8.9930159998833787e-11,3.4335586624445158e-11
551,7.5773637926260779e-10,6.2031142709119868e-11,1.2688282368487643e-10,1.5774639576296637e-10,1.5853796143491813e-10,1.3222079026662667e-10,8.7064792373460009e-11,3.3252473030640380e-11
552,7.3332410937880123e-10,6.0010353810116870e-11,1.2276412688724012e-10,1.5264443531120916e-10,1.5343028598564894e-10,1.2798077190288723e-10,8.4290660626562308e-11,3.2203474855136556e-11
553,7.0969833851654048e-10,5.8055422726940848e-11,1.1877916594146469e-10,1.4770751475193403e-10,1.4848716638318731e-10,1.2387668759266351e-10,8.1604861804355936e-11,3.1187519315994161e-11
554,6.8683372774938276e-10,5.6164202256309201e-11,1.1492359703489039e-10,1.4293029437208282e-10,1.4370330107167139e-10,1.1990418046138920e-10,7.9004585248560228e-11,3.0203567304479471e-11
555,6.6470575450433940e-10,5.4334615231154753e-11,1.1119321748954161e-10,1.3830760725197000e-10,1.3907355929740220e-10,1.1605903323963310e-10,7.6487109664415576e-11,2.9250612330222159e-11
556,6.4329068626111926e-10,5.2564652235237514e-11,1.0758396117500685e-10,1.3383445367260829e-10,1.3459297560604806e-10,1.1233716379111646e-10,7.4049800281758661e-11,2.8327679499343479e-11
557,6.2256555509871129e-10,5.0852369392365047e-11,1.0409189407045862e-10,1.2950599570408424e-10,1.3025674451713430e-10,1.0873462078393716e-10,7.1690106106204998e-11,2.7433824524526955e-11
558,6.0250813306201063e-10,4.9195886227784789e-11,1.0071320997096292e-10,1.2531755196912152e-10,1.2606021537010718e-10,1.0524757950041638e-10,6.9405557257582114e-11,2.6568132766035654e-11
559,5.8309690832206606e-10,4.7593383599391068e-11,9.7444226333385257e-11,1.2126459257615954e-10,1.2199888733644375e-10,1.0187233778112977e-10,6.7193762392845796e-11,2.5729718302710858e-11
560,5.6431106210438279e-10,4.6043101696466731e-11,9.4281380257353135e-11,1.1734273421645837e-10,1.1806840459245873e-10,9.8605312098827653e-11,6.5052406210800856e-11,2.4917723032017241e-11
561,5.4613044636053248e-10,4.4543338103753804e-11,9.1221224596882394e-11,1.1354773541991951e-10,1.1426455164763043e-10,9.5443033758085888e-11,6.2979247036032101e-11,2.4131315798228407e-11
562,5.2853556215912812e-10,4.3092445928719494e-11,8.8260424198418321e-11,1.0987549196448316e-10,1.1058324882343626e-10,9.2382145216662370e-11,6.0972114479533277e-11,2.3369691547875171e-11
563,5.1150753877298099e-10,4.1688831989953896e-11,8.5395752261179655e-11,1.0632203243412956e-10,1.0702054787784753e-10,8.9419396524662723e-11,5.9028907173601556e-11,2.2632070511606026e-11
564,4.9502811344001809e-10,4.0330955064702785e-11,8.2624086815828400e-11,1.0288351392067281e-10,1.0357262777079217e-10,8.6551641877743809e-11,5.7147590578642406e-11,2.1917697411635745e-11
565,4.7907961177624731e-10,3.9017324193604483e-11,7.9942407317617164e-11,9.9556217864691764e-11,1.0023579056604269e-10,8.3775836280703683e-11,5.5326194859603654e-11,2.1225840693983858e-11
566,4.6364492881976521e-10,3.7746497040762523e-11,7.7347791350291054e-11,9.6336546031092643e-11,9.7006457465134644e-11,8.1089032317924346e-11,5.3562812829830629e-11,2.0555791784729324e-11
567,4.4870751068547792e-10,3.6517078307347222e-11,7.4837411437142395e-11,9.3221016614944841e-11,9.3881164969061736e-11,7.8488377027246055e-11,5.1855597960203599e-11,1.9906864369532051e-11
568,4.3425133681085829e-10,3.5327718196978138e-11,7.2408531955733615e-11,9.0206260473371635e-11,9.0856561163631094e-11,7.5971108873961932e-11,5.0202762451486807e-11,1.9278393695695062e-11
569,4.2026090277369757e-10,3.4177110931196343e-11,7.0058506152917008e-11,8.7289017479414869e-11,8.7929402124494538e-11,7.3534554821727019e-11,4.8602575367884001e-11,1.8669735896063807e-11
570,4.0672120366342410e-10,3.3063993313390970e-11,6.7784773256889760e-11,8.4466132993924207e-11,8.5096548438000231e-11,7.1176127497279193e-11,4.7053360829858800e-11,1.8080267334080978e-11
571,3.9361771798815459e-10,3.1987143339597879e-11,6.5584855683128737e-11,8.1734554451649963e-11,8.2354961834133447e-11,6.8893322445968326e-11,4.5553496264339836e-11,1.7509383969336375e-11
572,3.8093639210021703e-10,3.0945378854639682e-11,6.3456356331152229e-11,7.9091328057842077e-11,7.9701701927934985e-11,6.6683715475185873e-11,4.4101410710490128e-11,1.6956500742972083e-11
573,3.6866362512344349e-10,2.9937556252126783e-11,6.1396955969155097e-11,7.6533595591777141e-11,7.7133923065902635e-11,6.4544960082881001e-11,4.2695583179278003e-11,1.6421050982322859e-11
574,3.5678625436606448e-10,2.8962569216887202e-11,5.9404410703659770e-11,7.4058591313752070e-11,7.4648871273993080e-11,6.2474784968438505e-11,4.1334541065142475e-11,1.5902485824191293e-11
575,3.4529154120356189e-10,2.8019347508439719e-11,5.7476549531418750e-11,7.1663638972194299e-11,7.2243881303951405e-11,6.0470991623281621e-11,4.0016858608100422e-11,1.5400273656175706e-11
576,3.3416715741634040e-10,2.7106855784170307e-11,5.5611271970893847e-11,6.9346148907647396e-11,6.9916373774799862e-11,5.8531451998646980e-11,3.8741155404695001e-11,1.4913899575486996e-11
577,3.2340117196756074e-10,2.6224092460915482e-11,5.3806545770724814e-11,6.7103615250495537e-11,6.7663852406420372e-11,5.6654106248060549e-11,3.7506094966235627e-11,1.4442864864708336e-11
578,3.1298203820695856e-10,2.5370088613698507e-11,5.2060404692683642e-11,6.4933613209392397e-11,6.5483901342263904e-11,5.4836960542122927e-11,3.6310383322828918e-11,1.3986686483968283e-11
579,3.0289858148692140e-10,2.4543906910405418e-11,5.0370946366692888e-11,6.2833796447457535e-11,6.3374182558314790e-11,5.3078084953288334e-11,3.5152767671747641e-11,1.3544896579014821e-11
580,2.9313998717754316e-10,2.3744640581227576e-11,4.8736330215564507e-11,6.0801894543399263e-11,6.1332433355531635e-11,5.1375611408396272e-11,3.4032035068730569e-11,1.3117042004693385e-11
581,2.8369578906780232e-10,2.2971412421735408e-11,4.7154775447192454e-11,5.8835710534814212e-11,5.9356463933075120e-11,4.9727731706786291e-11,3.2947011160851099e-11,1.2702683863347744e-11
582,2.7455585814042312e-10,2.2223373828485558e-11,4.5624559112005704e-11,5.6933118541003541e-11,5.7444155039719900e-11,4.8132695601895767e-11,3.1896558959635226e-11,1.2301397057677377e-11
583,2.6571039170838148e-10,2.1499703866099199e-11,4.4144014223559796e-11,5.5092061462731195e-11,5.5593455700931968e-11,4.6588808944307941e-11,3.0879577653151721e-11,1.1912769857599661e-11
584,2.5714990290140425e-10,2.0799608364783999e-11,4.2711527940213909e-11,5.3310548756433769e-11,5.3802381019173474e-11,4.5094431884282372e-11,2.9895001455837539e-11,1.1536403480679170e-11
585,2.4886521049118523e-10,2.0122319047305954e-11,4.1325539805907645e-11,5.1586654280471271e-11,5.2069010045076088e-11,4.3647977131863195e-11,2.8941798494860966e-11,1.1171911685700116e-11
586,2.4084742904440630e-10,1.9467092684449525e-11,3.9984540048115627e-11,4.9918514211086969e-11,5.0391483717199321e-11,4.2247908272721141e-11,2.8018969731862629e-11,1.0818920378971093e-11
587,2.3308795939300223e-10,1.8833210278036206e-11,3.8687067931121134e-11,4.8304325025819434e-11,4.8768002868164646e-11,4.0892738137944882e-11,2.7125547918951758e-11,1.0477067232964169e-11
588,2.2557847941144826e-10,1.8219976270601667e-11,3.7431710162810165e-11,4.6742341552183299e-11,4.7196826295026553e-11,3.9581027226053687e-11,2.6260596587870172e-11,1.0146001316902719e-11
589,2.1831093509117944e-10,1.7626717780861383e-11,3.6217099353245837e-11,4.5230875079505734e-11,4.5676268891811221e-11,3.8311382175559473e-11,2.5423209071271334e-11,9.8253827389244671e-12
590,2.1127753190256861e-10,1.7052783864122782e-11,3.5041912523339597e-11,4.3768291531874300e-11,4.4204699842219937e-11,3.7082454286459106e-11,2.4612507555095030e-11,9.5148822994578417e-12
591,2.0447072643519832e-10,1.6497544796829581e-11,3.3904869661990699e-11,4.2353009700217636e-11,4.2780540870558708e-11,3.5892938089090197e-11,2.3827642161050513e-11,9.2141811554609734e-12
592,1.9788321830746180e-10,1.5960391384450554e-11,3.2804732330117996e-11,4.0983499531605102e-11,4.1402264549018451e-11,3.4741569958833537e-11,2.3067790058252438e-11,8.9229704951837237e-12
593,1.9150794233681477e-10,1.5440734291950723e-11,3.1740302310059675e-11,3.9658280473912767e-11,4.0068392659490080e-11,3.3627126775193881e-11,2.2332154603084019e-11,8.6409512231236193e-12
594,1.8533806096228125e-10,1.4938003396107744e-11,3.0710420298865990e-11,3.8375919874063753e-11,3.8777494608157618e-11,3.2548424623837906e-11,2.1619964506391370e-11,8.3678336548568758e-12
595,1.7936695691108648e-10,1.4451647158960544e-11,2.9713964644057986e-11,3.7135031428108484e-11,3.7528185891168963e-11,3.1504317540213627e-11,2.0930473027141212e-11,8.1033372214356655e-12
596,1.7358822610155120e-10,1.3981132021700249e-11,2.8749850120471739e-11,3.5934273681466793e-11,3.6319126609738614e-11,3.0493696293419469e-11,2.0262957191701954e-11,7.8471901830523528e-12
597,1.6799567077463625e-10,1.3525941818336306e-11,2.7817026746852395e-11,3.4772348577708257e-11,3.5149020033090003e-11,2.9515487209034038e-11,1.9616717037934387e-11,7.5991293516808582e-12
598,1.6258329284677090e-10,1.3085577208492227e-11,2.6914478640905869e-11,3.3648000054299306e-11,3.4016611207695938e-11,2.8568651029658795e-11,1.8991074883304497e-11,7.3588998224142528e-12
599,1.5734528747683494e-10,1.2659555128706565e-11,2.6041222911557891e-11,3.2560012683797011e-11,3.2920685611325701e-11,2.7652181811965745e-11,1.8385374616255514e-11,7.1262547132265269e-12
600,1.5227603684039638e-10,1.2247408261635172e-11,2.5196308587211012e-11,3.1507210359018366e-11,3.1860067850455194e-11,2.6765105859081033e-11,1.7798981010100663e-11,6.9009549128949392e-12
601,1.4737010410452610e-10,1.1848684522570414e-11,2.4378815578829209e-11,3.0488455020761525e-11,3.0833620399643079e-11,2.5906480687172673e-11,1.7231279058721616e-11,6.6827688368275813e-12
602,1.4262222759672871e-10,1.1462946562712132e-11,2.3587853676718108e-11,2.9502645426701762e-11,2.9840242381520935e-11,2.5075394025146933e-11,1.6681673333380079e-11,6.4714721905487706e-12
603,1.3802731516173479e-10,1.1089771288643627e-11,2.2822561579905299e-11,2.8548715960129206e-11,2.8878868386088910e-11,2.4270962846392971e-11,1.6149587359972166e-11,6.2668477406026054e-12
604,1.3358043870010230e-10,1.0728749397483794e-11,2.2082105957061210e-11,2.7625635477238797e-11,2.7948467328050485e-11,2.3492332431549218e-11,1.5634463016076297e-11,6.0686850926424967e-12
605,1.2927682888277027e-10,1.0379484927203707e-11,2.1365680537935156e-11,2.6732406191724589e-11,2.7048041340961031e-11,2.2738675461297927e-11,1.5135759947166091e-11,5.8767804764817569e-12
606,1.2511187003589519e-10,1.0041594821612811e-11,2.0672505234314693e-11,2.5868062595470840e-11,2.6176624707003881e-11,2.2009191138226092e-11,1.4652955001379552e-11,5.6909365378873184e-12
607,1.2108109519048486e-10,9.7147085095359193e-12,2.0001825289548627e-11,2.5031670414171547e-11,2.5333282821246231e-11,2.1303104336821776e-11,1.4185541682255254e-11,5.5109621369055001e-12
608,1.1718018129151975e-10,9.3984674977179171e-12,1.9352910455705160e-11,2.4222325596747881e-11,2.4517111189264003e-11,2.0619664780704600e-11,1.3733029618864886e-11,5.3366721525153021e-12
609,1.1340494456142400e-10,9.0925249770081285e-12,1.8725054197466990e-11,2.3439153337469451e-11,2.3727234457060574e-11,1.9958146246218146e-11,1.3294944052789601e-11,5.1678872934111067e-12
610,1.0975133601291302e-10,8.7965454413909973e-12,1.8117572921894213e-11,2.2681307129720988e-11,2.2962805472238957e-11,1.9317845791539792e-11,1.2870825341405204e-11,5.0044339147228643e-12
611,1.0621543710640556e-10,8.5102043194438382e-12,1.7529805233214314e-11,2.1947967850390068e-11,2.2223004375420597e-11,1.8698083010490753e-11,1.2460228476958147e-11,4.8461438404878301e-12
612,1.0279345554734222e-10,8.2331876178161410e-12,1.6961111211825669e-11,2.1238342873884776e-11,2.1507037720936178e-11,1.8098199310254964e-11,1.2062722620930771e-11,4.6928541916937109e-12
613,9.9481721218903533e-11,7.9651915763380551e-12,1.6410871716727677e-11,2.0551665214822302e-11,2.0814137625845531e-11,1.7517557212241129e-11,1.1677890653210092e-11,4.5444072197187451e-12
614,9.6276682245765054e-11,7.7059223343786781e-12,1.5878487710615962e-11,1.9887192698460462e-11,2.0143560946373818e-11,1.6955539675346527e-11,1.1305328735589949e-11,4.4006501449996628e-12
615,9.3174901184667857e-11,7.4550956080869073e-12,1.5363379606906087e-11,1.9244207157974199e-11,1.9494588480880830e-11,1.6411549440904967e-11,1.0944645889151111e-11,4.2614350007637620e-12
616,9.0173051337718891e-11,7.2124363781598593e-12,1.4864986637973003e-11,1.8622013657708199e-11,1.8866524198508456e-11,1.5885008398624354e-11,1.0595463585078548e-11,4.1266184816664707e-12
617,8.7267913184466993e-11,6.9776785877952237e-12,1.4382766243916664e-11,1.8019939741564857e-11,1.8258694492679144e-11,1.5375356972841474e-11,1.0257415348488936e-11,3.9960617971806967e-12
618,8.4456370928928167e-11,6.7505648504953292e-12,1.3916193481186766e-11,1.7437334705714105e-11,1.7670447458644658e-11,1.4882053528443123e-11,9.9301463748550846e-12,3.8696305295890989e-12
619,8.1735409157856408e-11,6.5308461674013917e-12,1.3464760450421093e-11,1.6873568894837845e-11,1.7101152194310307e-11,1.4404573795823664e-11,9.6133131586270682e-12,3.7471944964350447e-12
620,7.9102109606676440e-11,6.3182816538470124e-12,1.3027975742873062e-11,1.6328033021147317e-11,1.6550198123584782e-11,1.3942410314269148e-11,9.3065831336625850e-12,3.6286276172925491e-12
621,7.6553648029609430e-11,6.1126382748300935e-12,1.2605363904824287e-11,1.5800137505436362e-11,1.6016994341529863e-11,1.3495071893177710e-11,9.0096343250912818e-12,3.5138077847198321e-12
622,7.4087291170635023e-11,5.9136905891121738e-12,1.2196464919397697e-11,1.5289311839457329e-11,1.5500968980607712e-11,1.3062083090544904e-11,8.7221550122498049e-12,3.4026167392653961e-12
623,7.1700393832041109e-11,5.7212205016636896e-12,1.1800833705205639e-11,1.4795003968929598e-11,1.5001568597345972e-11,1.2642983708160820e-11,8.4438434023357844e-12,3.2949399483995978e-12
624,6.9390396037417090e-11,5.5350170241828468e-12,1.1418039631285911e-11,1.4316679696512883e-11,1.4518257578762914e-11,1.2237328302983687e-11,8.1744073144401668e-12,3.1906664892486733e-12
625,6.7154820286048051e-11,5.3548760434246856e-12,1.1047666047796341e-11,1.3853822104099176e-11,1.4050517567916014e-11,1.1844685714171686e-11,7.9135638736281127e-12,3.0896889350120295e-12
626,6.4991268895765138e-11,5.1806000970855059e-12,1.0689309831955827e-11,1.3405930993798177e-11,1.3597846907957825e-11,1.1464638605271356e-11,7.6610392147491342e-12,2.9919032449473244e-12
627,6.2897421431402337e-11,5.0119981569961682e-12,1.0342580948736296e-11,1.2972522347011093e-11,1.3159760104102911e-11,1.1096783021077043e-11,7.4165681956673345e-12,2.8972086578114934e-12
