t,f_total,survival_before,survival_after
35,1.3168776645766040e-02,4.1105674301689443e-01,3.9788796637112833e-01
36,1.2756084227054505e-02,3.9788796637112833e-01,3.8513188214407390e-01
37,1.2354850563812969e-02,3.8513188214407390e-01,3.7277703158026099e-01
38,1.1965003422290840e-02,3.7277703158026099e-01,3.6081202815797020e-01
39,1.1586424148696919e-02,3.6081202815797020e-01,3.4922560400927327e-01
40,1.1218957273960519e-02,3.4922560400927327e-01,3.3800664673531278e-01
41,1.0862418446263917e-02,3.3800664673531278e-01,3.2714422828904882e-01
42,1.0516600975431266e-02,3.2714422828904882e-01,3.1662762731361760e-01
43,1.0181281225367548e-02,3.1662762731361760e-01,3.0644634608825005e-01
44,9.8562230507771055e-03,3.0644634608825005e-01,2.9659012303747295e-01
45,9.5411814411034135e-03,2.9659012303747295e-01,2.8704894159636957e-01
46,9.2359055069444265e-03,2.8704894159636957e-01,2.7781303608942515e-01
47,8.9401409211942191e-03,2.7781303608942515e-01,2.6887289516823099e-01
48,8.6536319080642438e-03,2.6887289516823099e-01,2.6021926326016670e-01
49,8.3761228572923844e-03,2.6021926326016670e-01,2.5184314040287437e-01
50,8.1073596277050214e-03,2.5184314040287437e-01,2.4373578077516936e-01
51,7.8470905933982985e-03,2.4373578077516936e-01,2.3588869018177105e-01
52,7.5950674767660785e-03,2.3588869018177105e-01,2.2829362270500503e-01
53,7.3510460051060614e-03,2.2829362270500503e-01,2.2094257669989897e-01
54,7.1147864213173054e-03,2.2094257669989897e-01,2.1382779027858168e-01
55,6.8860538740430710e-03,2.1382779027858168e-01,2.0694173640453861e-01
56,6.6646187083305207e-03,2.0694173640453861e-01,2.0027711769620810e-01
57,6.4502566743233590e-03,2.0027711769620810e-01,1.9382686102188476e-01
58,6.2427490685500568e-03,1.9382686102188476e-01,1.8758411195333471e-01
59,6.0418828199162097e-03,1.8758411195333471e-01,1.8154222913341853e-01
60,5.8474505304693834e-03,1.8154222913341853e-01,1.7569477860294913e-01
61,5.6592504793080978e-03,1.7569477860294913e-01,1.7003552812364109e-01
62,5.4770865965947978e-03,1.7003552812364109e-01,1.6455844152704627e-01
63,5.3007684134576153e-03,1.6455844152704627e-01,1.5925767311358865e-01
64,5.1301109925873554e-03,1.5925767311358865e-01,1.5412756212100134e-01
65,4.9649348435209240e-03,1.5412756212100134e-01,1.4916262727748042e-01
66,4.8050658259234649e-03,1.4916262727748042e-01,1.4435756145155698e-01
67,4.6503350436152479e-03,1.4435756145155698e-01,1.3970722640794173e-01
68,4.5005787316174644e-03,1.3970722640794173e-01,1.3520664767632426e-01
69,4.3556381380975067e-03,1.3520664767632426e-01,1.3085100953822676e-01
70,4.2153594027660177e-03,1.3085100953822676e-01,1.2663565013546074e-01
71,4.0795934330042040e-03,1.2663565013546074e-01,1.2255605670245656e-01
72,3.9481957787715020e-03,1.2255605670245656e-01,1.1860786092368505e-01
73,3.8210265071531380e-03,1.1860786092368505e-01,1.1478683441653192e-01
74,3.6979500772482566e-03,1.1478683441653192e-01,1.1108888433928368e-01
75,3.5788352159667647e-03,1.1108888433928368e-01,1.0751004912331691e-01
76,3.4635547951926151e-03,1.0751004912331691e-01,1.0404649432812431e-01
77,3.3519857106792403e-03,1.0404649432812431e-01,1.0069450861744508e-01
78,3.2440087629662371e-03,1.0069450861744508e-01,9.7450499854478845e-02
79,3.1395085405426688e-03,9.7450499854478845e-02,9.4310991313936166e-02
80,3.0383733054294162e-03,9.4310991313936166e-02,9.1272618008506778e-02
81,2.9404948813090042e-03,9.1272618008506778e-02,8.8332123127197765e-02
82,2.8457685442949878e-03,8.8332123127197765e-02,8.5486354582902796e-02
83,2.7540929164027953e-03,8.5486354582902796e-02,8.2732261666500009e-02
