d,dy,phase,p_near,p_far,window1_name,windowL_name,window1_N_direct,windowL_F_no_return,windowL_F_rollback,late_family,sep_mode,sep_gate_coarse,peak_ratio,valley_over_max,t_peak1,t_valley,t_peak2
3,6,2,0.10479975182061418,0.8952002481793858,peak1,peak2,0.921464817346176,0.8750185466611788,0.12493555736319038,F_no_return,2.1307506053268765,2.1758793969849246,0.7317838549186815,0.024067086313872086,30,197,470
4,0,2,0.3706935145048364,0.6293064854951638,peak1,peak2,0.9910136720333573,0.8872702865678567,0.11264327410164632,F_no_return,2.383419689119171,2.3915343915343916,0.15156805762051112,0.006124687075262917,12,208,472
4,1,2,0.3497983236171884,0.6502016763828116,peak1,peak2,0.9892297044062106,0.8866931776228891,0.11322000613817859,F_no_return,2.379220779220779,2.379947229551451,0.17026370656517617,0.006797639156786158,13,207,471
4,2,2,0.3025390672681812,0.6974609327318189,peak1,peak2,0.9849738538717153,0.8850841406581822,0.11483140007735022,F_no_return,2.3444730077120823,2.356955380577428,0.2303970758429851,0.008873401681960661,15,205,470
4,3,2,0.24722513806456478,0.7527748619354352,peak1,peak2,0.9781380117341393,0.8829600322797002,0.11695867423308427,F_no_return,2.2893401015228427,2.300518134715026,0.34567394970465287,0.012663095710022196,18,204,469
4,4,2,0.19558811157447634,0.8044118884255237,peak1,peak2,0.968241749374175,0.8803694250096507,0.11955409588691196,F_no_return,2.235,2.2512820512820513,0.5391009507571752,0.01867986937048663,22,203,469
4,5,2,0.15263998281038876,0.8473600171896113,peak1,peak2,0.9546644420800308,0.877838757577975,0.12208926787579351,F_no_return,2.15609756097561,2.196969696969697,0.8426061814759995,0.027506172545797864,27,202,469
4,6,2,0.11906976075461889,0.8809302392453812,peak1,peak2,0.9350220331159089,0.8754679143266105,0.12446454398444308,F_no_return,2.0813397129186604,2.123762376237624,0.7869165181488491,0.03051445578672298,34,201,469
5,0,2,0.3378474017829152,0.6621525982170847,peak1,peak2,0.988858935244131,0.8862671538709664,0.11360929331321157,F_no_return,2.3037974683544302,2.310077519379845,0.2259574089442139,0.011214825834705936,18,212,472
5,1,2,0.3237334620247559,0.6762665379752442,peak1,peak2,0.9873863997547176,0.8857931906709994,0.11408205003806327,F_no_return,2.287878787878788,2.2930591259640103,0.24506386982185982,0.012045538520505123,19,211,471
5,2,2,0.2894123191275164,0.7105876808724836,peak1,peak2,0.9845848297981534,0.8844319852947946,0.11544571903622915,F_no_return,2.2613065326633164,2.2717948717948717,0.3046205892638053,0.014549079120962548,20,210,470
5,3,2,0.24587386801919076,0.7541261319808092,peak1,peak2,0.9788483369306187,0.8825706395814193,0.11731134610653927,F_no_return,2.218905472636816,2.239795918367347,0.4151975871593917,0.018995631870385363,23,208,469
5,4,2,0.20215688583426283,0.7978431141657373,peak1,peak2,0.9705208245921129,0.8802035652963446,0.11968567517966255,F_no_return,2.161369193154034,2.180904522613065,0.5947624158272756,0.02583137481801445,27,207,469
5,5,2,0.16343432533084076,0.8365656746691591,peak1,peak2,0.957794552171208,0.8778357950286734,0.12206051188863715,F_no_return,2.1009615384615383,2.133995037220844,0.8644364727266464,0.03539084694529072,33,206,469
5,6,2,0.13141044021709136,0.8685895597829085,peak1,peak2,0.9427674497955739,0.8755571026606971,0.12434620473511214,F_no_return,2.0283018867924527,2.0733496332518335,0.8183392464287028,0.03821512335432688,39,205,469
6,0,2,0.31401832972914523,0.685981670270855,peak1,peak2,0.9869170421990017,0.8857382029432039,0.11408362620973173,F_no_return,2.212871287128713,2.216624685138539,0.3071566638075227,0.018492832616499727,24,215,471
6,1,2,0.3035705889299027,0.6964294110700974,peak1,peak2,0.9856407157745269,0.8850373034716824,0.1147861579100597,F_no_return,2.207920792079208,2.2222222222222223,0.32611292783622525,0.01946938043924224,25,215,471
6,2,2,0.277562612508033,0.7224373874919672,peak1,peak2,0.9824811422679395,0.8838823550862761,0.11594363047818328,F_no_return,2.1818181818181817,2.1904761904761907,0.38484578311285067,0.022435076806928564,27,214,470
6,3,2,0.24283118310258398,0.757168816897416,peak1,peak2,0.9782135534853741,0.8819362384038523,0.11789880224098437,F_no_return,2.145985401459854,2.1596009975062342,0.49161656057678144,0.02761776518398111,29,213,470
6,4,2,0.20603748406543498,0.7939625159345649,peak1,peak2,0.9708891495090496,0.8800812473173761,0.11976050469027127,F_no_return,2.0961538461538463,2.1133004926108376,0.6597139053391013,0.03534602438663543,33,211,469
6,5,2,0.1717430976072512,0.8282569023927487,peak1,peak2,0.9609694865400552,0.8778467567106591,0.12200544599294326,F_no_return,2.0330188679245285,2.0682926829268293,0.9000952197051253,0.045564447365926845,38,210,469
