scan_type,kappa_top,kappa_bottom,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,rollback_total,no_leak_total,leak_total,peak2_dominant_rollback_class,peak2_dominant_rollback_frac,peak2_dominant_gate_family,peak2_dominant_gate_frac,L0R0,L0R1,L1R0,L1R1,N,P,Q
tb,0.001,0.0005,2,395,1082,1706,0.06610390173088392,1.7656565656565657,0.8724615699238875,0.9625632650078968,0.03743673499210318,L0R1,0.9548229598386816,N,0.955827134713142,0.0010041748744601836,0.9548229598386816,0.0005094825312795264,0.04366338275557858,0.955827134713142,0.010854287787536752,0.03331857749932138
tb,0.00125,0.0005,2,395,1081,1705,0.06741157829047464,1.7466666666666666,0.8726489790416475,0.956642765227279,0.04335723477272109,L0R1,0.9476564654444388,N,0.9486548956665274,0.000998430222088711,0.9476564654444388,0.000591836729011285,0.05075326760446124,0.9486548956665274,0.012723404450738458,0.03862169988273406
tb,0.0015,0.0005,2,394,1081,1704,0.06871326084837034,1.7282321899736148,0.8728347417961178,0.9507817076842321,0.049218292315767846,L0R1,0.9405315607840379,N,0.9415242720880315,0.0009927113039934468,0.9405315607840379,0.0006743401737794195,0.057801387738189186,0.9415242720880315,0.014601838991769384,0.04387388892019915
tb,0.00175,0.0005,2,394,1081,1703,0.07000932548179821,1.7088772845953002,0.8730188800760199,0.9449792671185401,0.05502073288145992,L0R1,0.9334484271497704,N,0.9344354454944268,0.0009870183446565146,0.9334484271497704,0.0007569970188219035,0.0648075574867512,0.9344354454944268,0.01648929938357207,0.04907525512200099
tb,0.002,0.0005,2,394,1081,1702,0.07130000631939204,1.6888315041962556,0.8732014153576904,0.939234632491154,0.060765367508846015,L0R1,0.9264072319796024,N,0.9273885835370324,0.000981351557430132,0.9264072319796024,0.000839811210933978,0.07177160525203363,0.9273885835370324,0.01838549815653913,0.05422591830642852
tb,0.0025,0.0005,2,394,1081,1700,0.07386536612277123,1.6448362720403022,0.873561760831449,0.9279156062337142,0.07208439376628581,L0R1,0.9124512592663002,N,0.9134213565645832,0.0009700972982829805,0.9124512592663002,0.0010059264349426892,0.08557271700047407,0.9134213565645832,0.022202983606931213,0.06437565982848553
tb,0.003,0.0005,2,394,1080,1698,0.07640920011842026,1.5970606246172687,0.873915942165282,0.9168184139690271,0.08318158603097289,L0R1,0.8986647161690764,N,0.8996236661875606,0.0009589500184843302,0.8986647161690764,0.001172713563644574,0.09920362024879481,0.8996236661875606,0.02605208576357857,0.07432424804886077
tb,0.0035,0.0005,2,394,1080,1697,0.07893230376634991,1.5447540011855365,0.8742641173383215,0.9059370501244796,0.09406294987552045,L0R1,0.8850727396738528,N,0.8860180034118323,0.0009452637379795009,0.8850727396738528,0.0013342409545888572,0.11264775563357886,0.8860180034118323,0.02991648247324943,0.08406551411491825
tb,0.004,0.0005,2,394,1080,1695,0.08143499960469722,1.484312606959498,0.8746064386488047,0.8952657100544409,0.10473428994555899,L0R1,0.8716296401922224,N,0.8725640083315332,0.000934368139310792,0.8716296401922224,0.0015017455099708297,0.1259342461584959,0.8725640083315332,0.03382056926591171,0.09361542240255497
tb,0.0045,0.0005,2,393,1080,1693,0.08391662913682164,1.4192139737991267,0.8749430529848593,0.8847987820090392,0.11520121799096097,L0R1,0.8583579297163085,N,0.859281512412981,0.0009235826966723531,0.8583579297163085,0.0016699951415738532,0.13904849244544523,0.859281512412981,0.03775005202665183,0.10296843556036715
tb,0.005,0.0005,2,393,1080,1691,0.08637837337620798,1.3584510727367871,0.875274102079365,0.874530839490423,0.12546916050957704,L0R1,0.8452579332584107,N,0.8461708415436446,0.0009129082852339587,0.8452579332584107,0.0018390070378287023,0.15199015141852662,0.8461708415436446,0.041702999028837354,0.1121261594275181
tb,0.0,0.00075,2,395,1083,1709,0.06224962235987313,1.8161713890808568,0.8718760152921463,0.9803922393019749,0.019607760698025122,L0R1,0.9764279298968208,N,0.9774493191628792,0.001021389266058451,0.9764279298968208,0.00027259678456771413,0.022278084052552986,0.9774493191628792,0.005235626877099059,0.017315053960021674
tb,0.00025,0.00075,2,395,1082,1708,0.06357656125689565,1.7986301369863014,0.8720698796556359,0.974282459014075,0.025717540985925148,L0R1,0.9691129437890196,N,0.9701284730536928,0.0010155292646732129,0.9691129437890196,0.0003553811307448596,0.029516145815562413,0.9701284730536928,0.007078982559798653,0.022792544386508625
tb,0.0005,0.00075,2,395,1082,1707,0.06489777823163174,1.7813985064494229,0.8722620099981725,0.9682348813770509,0.031765118622949055,L0R1,0.9618393059846468,N,0.9628490007337326,0.0010096947490858715,0.9618393059846468,0.0004382845265060265,0.03671271473976137,0.9628490007337326,0.008932587736413708,0.0282184115298537
tb,0.00075,0.00075,2,395,1082,1706,0.06621343839374709,1.7632817753866845,0.8724524298733392,0.9622486317220966,0.03775136827790341,L0R1,0.9546072388575612,N,0.9556111248339468,0.0010038859763857144,0.9546072388575612,0.0005213120910404786,0.043867563075012675,0.9556111248339468,0.010796134140272461,0.033592741025780706
tb,0.001,0.00075,2,395,1082,1705,0.06752357904602972,1.744340878828229,0.8726411623806344,0.9563228506609187,0.04367714933908128,L0R1,0.9474169500232695,N,0.9484150532151562,0.0009981031918865867,0.9474169500232695,0.0006044687063035929,0.05098047807854035,0.9484150532151562,0.012669318169410377,0.03891562861543361
tb,0.00125,0.00075,2,394,1081,1704,0.06882772130534362,1.7270929466051417,0.8728282301770859,0.9504566937623192,0.04954330623768079,L0R1,0.9402686326286016,N,0.9412609792579247,0.0009923466293233368,0.9402686326286016,0.0006877590251703438,0.05805126171690487,0.9412609792579247,0.014551840868938962,0.04418717987313625
tb,0.0015,0.00075,2,394,1081,1703,0.07012614215212445,1.7066492829204694,0.8730136554885042,0.9446493312371833,0.05535066876281664,L0R1,0.9331624656425325,N,0.934149082153583,0.0009866165110505602,0.9331624656425325,0.0007711874793634248,0.06507973036705356,0.934149082153583,0.016443407911105937,0.04940750993531101
tb,0.00175,0.00075,2,394,1081,1702,0.07141916686321328,1.6855670103092784,0.8731974601203814,0.9388999476316018,0.06110005236839826,L0R1,0.9260986141477756,N,0.9270795271960188,0.0009809130482432609,0.9260986141477756,0.0008547582871602271,0.07206571451682085,0.9270795271960188,0.018343729573160862,0.05457674323082025
tb,0.002,0.00075,2,394,1081,1701,0.0727068326051866,1.6649681528662421,0.8733796654684559,0.9332077415278703,0.0667922584721297,L0R1,0.9190772296327813,N,0.9200524660738804,0.0009752364410991472,0.9190772296327813,0.0009384754608828906,0.07900905846523672,0.9200524660738804,0.02025252071313793,0.05969501321298171
tb,0.0025,0.00075,2,394,1080,1699,0.07526602817022664,1.6201117318435754,0.8737393619085054,0.9219917245953513,0.07800827540464882,L0R1,0.9051624012767068,N,0.9061263658176342,0.0009639645409275648,0.9051624012767068,0.0011063639690739005,0.09276727021329186,0.9061263658176342,0.024094393603900185,0.06977924057846567
tb,0.003,0.00075,2,394,1080,1697,0.0778039773985748,1.5689343768813968,0.8740929081607717,0.910995138933016,0.08900486106698416,L0R1,0.8914189316862928,N,0.8923717338866254,0.0009528022003326158,0.8914189316862928,0.0012748812547713794,0.10635338485860314,0.8923717338866254,0.027966836022194623,0.07966143009117999
tb,0.0035,0.00075,2,394,1080,1696,0.08032131944102312,1.5121951219512195,0.8744404616448193,0.900212049714603,0.09978795028539694,L0R1,0.8778736247993898,N,0.8788127480563385,0.0009391232569486626,0.8778736247993898,0.0014376629861706529,0.11974958895749106,0.8788127480563385,0.031852703960634936,0.08933454798302669
tb,0.004,0.00075,2,393,1080,1694,0.08281785501043239,1.4487750556792873,0.8747821741328821,0.8896367204743012,0.11036327952569885,L0R1,0.8644771385370197,N,0.8654053560608375,0.0009282175238177296,0.8644771385370197,0.0016068127476057204,0.13298783119155683,0.8654053560608375,0.03577807109680396,0.09881657284235862
tb,0.0045,0.00075,2,393,1079,1692,0.08529380866668324,1.3833865814696487,0.8751181920182233,0.8792636051917324,0.12073639480826755,L0R1,0.8512536244659903,N,0.8521710486917977,0.0009174242258074561,0.8512536244659903,0.001776666194661658,0.1460522851135406,0.8521710486917977,0.039727847271433976,0.10810110403676829
tb,0.005,0.00075,2,393,1079,1690,0.0877498776198651,1.3302564102564103,0.8754486565677607,0.8690873407577749,0.130912659242225,L0R1,0.8382033014901813,N,0.8391100456365987,0.0009067441464175351,0.8382033014901813,0.0019472410669380998,0.15894271329646312,0.8391100456365987,0.04370012048939782,0.11718983387400349
tb,0.0,0.001,2,395,1082,1708,0.06367549409820751,1.7973990417522245,0.8720553280942467,0.9739977852896595,0.02600221471034046,L0R1,0.9689937920228036,N,0.9700091877199484,0.0010153956971448207,0.9689937920228036,0.0003639962862605346,0.029626815993791068,0.9700091877199484,0.007007194030741724,0.02298361824930987
tb,0.00025,0.001,2,395,1082,1707,0.06499915263657803,1.7801899592944368,0.8722488392473704,0.9679443088012109,0.03205569119878923,L0R1,0.9616952321764314,N,0.9627047537785778,0.0010095216021464187,0.9616952321764314,0.00044774871718944654,0.036847497504232704,0.9627047537785778,0.008864794080739582,0.028430452140682627
