case,display_name,style,base_start_x,base_start_y,target_x,target_y,x_gate,start_x,start_y,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,38,1,1,1021,1876,2285,0.3556076586436983,0.7501483679525223
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,39,1,1,1034,1891,2296,0.35805590283521166,0.750074294205052
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,40,1,1,1047,1905,2308,0.3604579793674888,0.7508186960404882
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,41,1,1,1060,1920,2319,0.36280964948744976,0.7507453786523554
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,42,1,1,1073,1935,2330,0.36510638713421306,0.7506718423409973
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,43,1,1,1086,1949,2342,0.367342692651946,0.7511961722488039
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,44,1,1,1099,1964,2353,0.36951265125354105,0.7511230907457322
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,45,1,1,1112,1978,2364,0.37161090281823556,0.7510497900419916
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,46,1,1,1125,1993,2376,0.37363231162415117,0.7513513513513513
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,47,1,1,134,464,1137,0.04727120472797226,0.5061821852132223
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,48,1,2,115,477,1150,0.04813388452243966,1.9113573407202216
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,49,1,2,99,489,1162,0.04899116767376614,2.060077519379845
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,50,1,2,86,501,1174,0.04984250226515917,2.165174129353234
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,51,1,2,74,513,1186,0.05068711139858256,2.251012145748988
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,52,1,2,64,524,1198,0.05152324509808973,2.328542094455852
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,53,1,2,56,535,1210,0.04606844330307475,2.3917098445595855
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,54,1,2,48,546,1221,0.029779448473310634,2.4539748953974896
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,55,1,2,43,556,1232,0.019879617813323952,2.5005257623554153
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,56,1,2,39,566,1243,0.014096637536166598,2.542766631467793
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,57,1,2,36,574,1253,0.010703334919164306,2.5756613756613755
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,58,1,2,34,582,1260,0.008740001345373486,2.605738575982997
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,59,1,2,33,586,1265,0.007777632805318026,2.6157112526539277
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,0,2,1,587,1410,1906,0.25560329846630964,0.760888376117681
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,1,2,1,586,1409,1905,0.25583133351177445,0.7604496973191122
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,2,2,1,584,1407,1903,0.256398416136273,0.7593552101324123
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,3,2,1,583,1406,1901,0.25748666736843623,0.7576889910893935
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,4,2,1,585,1408,1902,0.25933799476852887,0.7558106169296988
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,5,2,1,592,1415,1908,0.2618878800921782,0.7550200803212851
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,6,2,1,603,1426,1918,0.26477829515987467,0.7546628407460545
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,7,2,1,615,1439,1929,0.2677564874009257,0.7545219638242894
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,8,2,1,628,1452,1940,0.27073667398325657,0.7538063774777363
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,9,2,1,641,1465,1951,0.27370743252396973,0.753306497987349
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,10,2,1,654,1478,1963,0.27667510380927435,0.7531645569620253
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,11,2,1,667,1492,1975,0.27964515273192997,0.7532392744025338
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,12,2,1,680,1505,1986,0.28262070431380293,0.7527377521613833
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,13,2,1,693,1519,1998,0.2856011424353134,0.7528122295933083
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,14,2,1,706,1533,2009,0.28858555232873556,0.7520923520923521
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,15,2,1,719,1546,2021,0.29157154347207265,0.7523837041317538
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,16,2,1,732,1560,2032,0.294556231179125,0.7516623301532235
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,17,2,1,745,1574,2044,0.2975373723650334,0.7517361111111112
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,18,2,1,759,1588,2055,0.300512346449261,0.7508690614136733
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,19,2,1,772,1602,2067,0.30347816111922,0.7509423021165555
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,20,2,1,785,1616,2078,0.30643302830521696,0.7508710801393729
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,21,2,1,798,1630,2090,0.3093747919092947,0.7509444928799768
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,22,2,1,811,1644,2101,0.3123014582324247,0.7506546406750073
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,23,2,1,824,1658,2113,0.31521118942052234,0.7507280139778684
sym_shared,shared symmetric baseline,dir,7,7,58,7,32,24,2,1,837,1673,2124,0.31810214344195276,0.7506561679790026
