scan_type,kappa_c2o,kappa_o2c,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,rollback_total,no_leak_total,leak_total,peak2_dominant_rollback_class,peak2_dominant_rollback_frac,peak2_dominant_gate_family,peak2_dominant_gate_frac,L0R0,L0R1,L1R0,L1R1,N,P,Q
dir,0.0045,0.002,2,391,1072,1682,0.0968261499858439,1.1625393966681674,0.8794020286602636,0.8316493798036647,0.16835062019633532,L0R1,0.7865087585658443,N,0.7873755304963105,0.0008667719304661991,0.7865087585658443,0.001420877706581128,0.2112035917971083,0.7873755304963105,0.06705280488433686,0.14557166461935256
dir,0.005,0.002,1,391,1071,1679,0.10012872648983727,0.8151898734177215,0.8803769871545923,0.8183475712370191,0.1816524287629809,L0R1,0.7684237391918126,N,0.7692760252644802,0.0008522860726674779,0.7684237391918126,0.0014190033605398966,0.22930497137498002,0.7692760252644802,0.07456514869752115,0.15615882603799866
dir,0.0,0.0025,2,396,1087,1707,0.06681765996751413,1.7692307692307692,0.8693691998982661,0.9626284358790574,0.03737156412094253,L0R1,0.9601894726912817,N,0.9611915693137076,0.0010020966224257907,0.9601894726912817,0.001827051075019206,0.03698137961127323,0.9611915693137076,0.0007442902895206748,0.03806414039677178
dir,0.00025,0.0025,2,395,1086,1705,0.06867903140632839,1.7420212765957446,0.8699500349226178,0.9540559572698871,0.04594404273011297,L0R1,0.9492346823708836,N,0.9502299471228293,0.0009952647519457047,0.9492346823708836,0.0018300070761154159,0.04794004580105528,0.9502299471228293,0.0043650082313149725,0.045405044645855756
dir,0.0005,0.0025,2,395,1086,1704,0.07052816092159953,1.7144728225278323,0.8705253782609548,0.945607757317821,0.05439224268217906,L0R1,0.938390309530224,N,0.9393759792567403,0.0009856697265163347,0.938390309530224,0.001824878783648613,0.05879914195961105,0.9393759792567403,0.008001919485688963,0.05262210125757075
dir,0.00075,0.0025,2,395,1085,1702,0.07236534397447561,1.684278350515464,0.8710952929035368,0.9372816229822296,0.06271837701777024,L0R1,0.92764148666999,N,0.9286203890546829,0.000978902384692977,0.92764148666999,0.0018276866851040347,0.06955192426021302,0.9286203890546829,0.011658398962045508,0.05972121198327152
dir,0.001,0.0025,2,395,1084,1701,0.07419102541743045,1.6552598225602029,0.8716598409519545,0.9290753870510616,0.07092461294893844,L0R1,0.9170100814372764,N,0.9179795108937745,0.0009694294564981823,0.9170100814372764,0.001822427678919532,0.08019806142730594,0.9179795108937745,0.015325325025774866,0.06669516408045065
dir,0.00125,0.0025,2,394,1083,1699,0.07600505874254823,1.622125543816035,0.8722190836363097,0.9209869270578748,0.0790130729421253,L0R1,0.9064685766917971,N,0.9074313078375257,0.0009627311457288337,0.9064685766917971,0.0018250978479812168,0.09074359431449301,0.9074313078375257,0.019012988607262034,0.07355570355521225
dir,0.0015,0.0025,2,394,1083,1698,0.07780655367514784,1.586374695863747,0.8727730813318807,0.913014164228194,0.08698583577180596,L0R1,0.896051031551268,N,0.8970044154507186,0.0009533838994507111,0.896051031551268,0.001819719424932769,0.10117586512434852,0.8970044154507186,0.022705412038634718,0.08029017251064662
dir,0.00175,0.0025,2,394,1082,1697,0.0795966501891169,1.545670225385528,0.8733218935753103,0.9051550624542594,0.0948449375457406,L0R1,0.8857418530338208,N,0.8866859684723073,0.0009441154384865264,0.8857418530338208,0.001814299171846923,0.11149973235584583,0.8866859684723073,0.026408141824634107,0.08690588970305872
dir,0.002,0.0025,2,394,1081,1695,0.08137555969154557,1.5005767012687428,0.8738655790803183,0.8974076272972782,0.10259237270272176,L0R1,0.8755143490941265,N,0.8764518892777995,0.000937540183672792,0.8755143490941265,0.0018167748728825125,0.12173133584931813,0.8764518892777995,0.03013352920807971,0.09341458151412085
dir,0.0025,0.0025,2,393,1080,1692,0.08489873413130819,1.3960236432025792,0.8749378007065196,0.8822399816230537,0.11776001837694626,L0R1,0.8554002514273819,N,0.8563221559592374,0.000921904531855661,0.8554002514273819,0.001813614053956728,0.14186422998680584,0.8563221559592374,0.037601463973013845,0.10607638006774874
dir,0.003,0.0025,2,393,1078,1690,0.08837625431011989,1.308119011598588,0.8759902000313745,0.8674960688117799,0.13250393118822018,L0R1,0.8357456409317484,N,0.8366496139979961,0.0009039730662476804,0.8357456409317484,0.0018023522978378968,0.16154803370416593,0.8366496139979961,0.04508102322874695,0.11826936277325686
dir,0.0035,0.0025,2,392,1077,1687,0.09180962536899163,1.246390760346487,0.8770232186428943,0.8531613376388706,0.14683866236112933,L0R1,0.8164790630712074,N,0.8173678831549639,0.0008888200837563542,0.8164790630712074,0.0017988324809542209,0.18083328436408186,0.8173678831549639,0.05260213851217444,0.1300299783328617
dir,0.004,0.0025,2,392,1075,1684,0.09519796451806259,1.1951896392229417,0.8780372863272415,0.8392218164827573,0.16077818351724263,L0R1,0.7976304810453415,N,0.7985043691888514,0.0008738881435097874,0.7976304810453415,0.001795152231146635,0.19970047858000195,0.7985043691888514,0.06014098793754748,0.1413546428736011
dir,0.0045,0.0025,1,392,1074,1681,0.09854396314004261,0.8254883125200128,0.8790328214771603,0.8256640871752248,0.17433591282477529,L0R1,0.7791969850973394,N,0.7800561654506181,0.0008591803532787104,0.7791969850973394,0.001791328248217554,0.2181525063011643,0.7800561654506181,0.06769103911624007,0.15225279543314188
dir,0.005,0.0025,1,391,1072,1678,0.1018454134181092,0.8148148148148148,0.880010231479505,0.8124752601847112,0.18752473981528886,L0R1,0.7611750570596161,N,0.7620197562310699,0.000844699171453688,0.7611750570596161,0.0017873764453267998,0.2361928673236033,0.7620197562310699,0.07524615069205554,0.16273409307687453
dir,0.0,0.003,2,396,1088,1706,0.0685449309141715,1.7478318879252834,0.8689805333294537,0.9555570772630582,0.04444292273694189,L0R1,0.9525373096528071,N,0.9535320187588572,0.0009947091060500187,0.9525373096528071,0.0022295489532322597,0.044238432287910544,0.9535320187588572,0.0008966854374409351,0.04557129580370187
dir,0.00025,0.003,2,395,1087,1704,0.07040418762568759,1.7212360289283366,0.86956238749837,0.947061383033761,0.052938616966239097,L0R1,0.9415930470226545,N,0.9425808917759075,0.0009878447532529141,0.9415930470226545,0.0022322809913888648,0.05518682723270371,0.9425808917759075,0.004549289455672232,0.052869818768420354
dir,0.0005,0.003,2,395,1086,1703,0.07225113310372547,1.6921086675291073,0.8701387649355693,0.9386885834106601,0.06131141658933984,L0R1,0.9307611655956004,N,0.9317394051702651,0.0009782395746647367,0.9307611655956004,0.0022253210400120784,0.06603527378972274,0.9317394051702651,0.00821746881432708,0.06004312601540775
dir,0.00075,0.003,2,395,1086,1701,0.07408616400426493,1.6626352641629536,0.870709727997011,0.9304364949237182,0.06956350507628194,L0R1,0.920026056618103,N,0.9209974997332887,0.0009714431151857039,0.920026056618103,0.002227887316884051,0.07677461294982725,0.9209974997332887,0.011904607554295631,0.06709789271241566
dir,0.001,0.003,2,395,1085,1700,0.07590975911209061,1.63125,0.8712753381698815,0.9223029791935726,0.07769702080642753,L0R1,0.9094101738411542,N,0.9103721372444921,0.0009619634033377188,0.9094101738411542,0.0022207882420511894,0.08740707451345683,0.9103721372444921,0.015601527807575961,0.07402633494793208
dir,0.00125,0.003,2,395,1084,1698,0.07772206574240463,1.5968137254901962,0.8718356560891026,0.9142859418701594,0.08571405812984048,L0R1,0.898885351237218,N,0.8998405904245629,0.000955239187345044,0.898885351237218,0.0022232013518053272,0.09793620822363162,0.8998405904245629,0.019318638484065353,0.08084077109137165
dir,0.0015,0.003,2,394,1084,1697,0.07952186934456995,1.5604790419161676,0.8723907415533758,0.9063833315999074,0.09361666840009271,L0R1,0.8884861458343005,N,0.8894320341904883,0.0009458883561879208,0.8884861458343005,0.0022159767050673822,0.10835198910444421,0.8894320341904883,0.0230398008335493,0.08752816497596239
dir,0.00175,0.003,2,394,1083,1696,0.08131020122346731,1.520140105078809,0.8729406535407489,0.8985931390206059,0.10140686097939418,L0R1,0.8781966131209002,N,0.8791332309504748,0.0009366178295744423,0.8781966131209002,0.0022087119973714384,0.11865805705215382,0.8791332309504748,0.026770637368334373,0.0940961316811909
dir,0.002,0.003,2,394,1082,1694,0.08308746451154107,1.4722536806342015,0.8734854502237469,0.8909133957830957,0.10908660421690432,L0R1,0.8679898544931666,N,0.8689198757372371,0.0009300212440704112,0.8679898544931666,0.002210911517400477,0.12886921274536262,0.8689198757372371,0.030523674933973375,0.1005564493287896
dir,0.0025,0.003,2,393,1081,1691,0.08660799629560936,1.3735449735449736,0.8745599264269024,0.8758775833132877,0.12412241668671233,L0R1,0.8479211167684318,N,0.8488354847471109,0.0009143679786788429,0.8479211167684318,0.0022056167081840328,0.14895889854470523,0.8488354847471109,0.03804498032787231,0.11311953492501686
dir,0.003,0.003,2,393,1079,1689,0.09008293798198262,1.2934131736526946,0.875614619981131,0.8612609320932628,0.13873906790673723,L0R1,0.8283165241555653,N,0.8292129693023226,0.0008964451467572042,0.8283165241555653,0.002190661917246275,0.1685963687804312,0.8292129693023226,0.04557531247224055,0.12521171822543684
dir,0.0035,0.003,2,392,1078,1686,0.09351439943448411,1.234144015259895,0.8766499687160735,0.847049077838164,0.15295092216183603,L0R1,0.8091040658810444,N,0.8099853510837134,0.0008812852026691783,0.8091040658810444,0.002185000781776558,0.1878296481345099,0.8099853510837134,0.053145128656811584,0.136869520259475
dir,0.004,0.003,1,392,1077,1683,0.09690091419521327,0.8377676833225178,0.8776663988884152,0.8332282270254866,0.16677177297451334,L0R1,0.7903134691766196,N,0.7911798203578772,0.0008663511812577146,0.7903134691766196,0.0021791764835334803,0.20664100315858938,0.7911798203578772,0.060730444396780534,0.14808973524534247
dir,0.0045,0.003,1,392,1075,1680,0.10024512842062402,0.8251121076233184,0.8786643255760695,0.8197851312283297,0.18021486877167034,L0R1,0.7719414895738661,N,0.7727931354863975,0.0008516459125315903,0.7719414895738661,0.0021732088167567797,0.2250336556968455,0.7727931354863975,0.06832478206708952,0.158882082446513
dir,0.005,0.003,1,391,1074,1677,0.10354603396563562,0.8144395186827106,0.8796441530524397,0.8067070627508827,0.19329293724911722,L0R1,0.7539842905761919,N,0.754821462162503,0.0008371715863110531,0.7539842905761919,0.0021671165860142998,0.2430114212514828,0.754821462162503,0.07592205684601613,0.16925648099148083
dir,0.0,0.0035,2,396,1089,1704,0.0702559667965493,1.7267326732673267,0.8685929304824981,0.9486130520322578,0.05138694796774217,L0R1,0.9449172396460038,N,0.9459073914376427,0.0009901517916389858,0.9449172396460038,0.0026549774449255302,0.05143763111743172,0.9459073914376427,0.001049891750744225,0.05304271681161309
dir,0.00025,0.0035,2,396,1088,1703,0.07211307329730768,1.6985055230669266,0.8691757839158499,0.9401926384680571,0.05980736153194296,L0R1,0.9339887275075781,N,0.9349691870146742,0.0009804595070961315,0.9339887275075781,0.0026462154946624594,0.062384597490663274,0.9349691870146742,0.004734406953031845,0.06029640603229389
dir,0.0005,0.0035,2,395,1087,1702,0.07395779957119145,1.6713554987212276,0.8697531756838467,0.9318937628027291,0.0681062371972709,L0R1,0.9231708099159857,N,0.9241416556694272,0.000970845753441584,0.9231708099159857,0.0026373947741671353,0.0732209495564056,0.9241416556694272,0.008433538256199554,0.06742480607437315
