t,f_total,f_from_corridor,f_from_outer,survival
4624,5.908086089380939e-05,5.908086089380939e-05,0.0,0.5598435312885595
4625,5.90746192847304e-05,5.90746192847304e-05,0.0,0.5597844566692747
4626,5.906837830262092e-05,5.906837830262092e-05,0.0,0.5597253882909721
4627,5.906213794772084e-05,5.906213794772084e-05,0.0,0.5596663261530244
4628,5.9055898220268905e-05,5.9055898220268905e-05,0.0,0.5596072702548041
4629,5.904965912050268e-05,5.904965912050268e-05,0.0,0.5595482205956835
4630,5.904342064865865e-05,5.904342064865865e-05,0.0,0.5594891771750349
4631,5.90371828049721e-05,5.90371828049721e-05,0.0,0.5594301399922299
4632,5.903094558967719e-05,5.903094558967719e-05,0.0,0.5593711090466402
4633,5.902470900300695e-05,5.902470900300695e-05,0.0,0.5593120843376372
4634,5.901847304519328e-05,5.901847304519328e-05,0.0,0.559253065864592
4635,5.901223771646689e-05,5.901223771646689e-05,0.0,0.5591940536268756
4636,5.900600301705743e-05,5.900600301705743e-05,0.0,0.5591350476238585
4637,5.899976894719334e-05,5.899976894719334e-05,0.0,0.5590760478549113
4638,5.8993535507102e-05,5.8993535507102e-05,0.0,0.5590170543194042
4639,5.898730269700956e-05,5.898730269700956e-05,0.0,0.5589580670167071
4640,5.8981070517141134e-05,5.8981070517141134e-05,0.0,0.55889908594619
4641,5.897483896772063e-05,5.897483896772063e-05,0.0,0.5588401111072222
4642,5.896860804897087e-05,5.896860804897087e-05,0.0,0.5587811424991732
4643,5.896237776111356e-05,5.896237776111356e-05,0.0,0.5587221801214121
4644,5.895614810436919e-05,5.895614810436919e-05,0.0,0.5586632239733076
4645,5.8949919078957255e-05,5.8949919078957255e-05,0.0,0.5586042740542286
4646,5.8943690685096e-05,5.8943690685096e-05,0.0,0.5585453303635435
4647,5.8937462923002626e-05,5.8937462923002626e-05,0.0,0.5584863929006205
4648,5.893123579289318e-05,5.893123579289318e-05,0.0,0.5584274616648275
4649,5.892500929498257e-05,5.892500929498257e-05,0.0,0.5583685366555325
4650,5.8918783429484616e-05,5.8918783429484616e-05,0.0,0.558309617872103
4651,5.8912558196612e-05,5.8912558196612e-05,0.0,0.5582507053139063
4652,5.890633359657631e-05,5.890633359657631e-05,0.0,0.5581917989803097
4653,5.8900109629587955e-05,5.8900109629587955e-05,0.0,0.5581328988706801
4654,5.8893886295856307e-05,5.8893886295856307e-05,0.0,0.5580740049843842
