t,f_total,f_from_corridor,f_from_outer,survival
14494,3.062270816434682e-08,3.062270816434682e-08,0.0,5.5213516456870496e-05
14495,3.0605730607624646e-08,3.0605730607624646e-08,0.0,5.518291072626287e-05
14496,3.058876246536429e-08,3.058876246536429e-08,0.0,5.5152321963797504e-05
14497,3.057180373234394e-08,3.057180373234394e-08,0.0,5.512175016006515e-05
14498,3.055485440334468e-08,3.055485440334468e-08,0.0,5.5091195305661805e-05
14499,3.053791447315047e-08,3.053791447315047e-08,0.0,5.506065739118866e-05
14500,3.052098393654818e-08,3.052098393654818e-08,0.0,5.5030136407252105e-05
14501,3.0504062788327575e-08,3.0504062788327575e-08,0.0,5.499963234446378e-05
14502,3.04871510232813e-08,3.04871510232813e-08,0.0,5.496914519344049e-05
14503,3.0470248636204905e-08,3.0470248636204905e-08,0.0,5.4938674944804285e-05
14504,3.045335562189681e-08,3.045335562189681e-08,0.0,5.490822158918239e-05
14505,3.0436471975158324e-08,3.0436471975158324e-08,0.0,5.4877785117207226e-05
14506,3.0419597690793655e-08,3.0419597690793655e-08,0.0,5.4847365519516434e-05
14507,3.040273276360988e-08,3.040273276360988e-08,0.0,5.481696278675282e-05
14508,3.0385877188416956e-08,3.0385877188416956e-08,0.0,5.478657690956439e-05
14509,3.0369030960027727e-08,3.0369030960027727e-08,0.0,5.475620787860436e-05
14510,3.035219407325791e-08,3.035219407325791e-08,0.0,5.47258556845311e-05
14511,3.0335366522926104e-08,3.0335366522926104e-08,0.0,5.469552031800817e-05
14512,3.0318548303853777e-08,3.0318548303853777e-08,0.0,5.466520176970432e-05
14513,3.030173941086528e-08,3.030173941086528e-08,0.0,5.463490003029345e-05
14514,3.0284939838787816e-08,3.0284939838787816e-08,0.0,5.460461509045466e-05
14515,3.026814958245148e-08,3.026814958245148e-08,0.0,5.457434694087221e-05
14516,3.025136863668921e-08,3.025136863668921e-08,0.0,5.454409557223551e-05
14517,3.023459699633685e-08,3.023459699633685e-08,0.0,5.4513860975239174e-05
14518,3.0217834656233065e-08,3.0217834656233065e-08,0.0,5.448364314058294e-05
14519,3.02010816112194e-08,3.02010816112194e-08,0.0,5.445344205897171e-05
14520,3.0184337856140284e-08,3.0184337856140284e-08,0.0,5.442325772111557e-05
14521,3.0167603385842974e-08,3.0167603385842974e-08,0.0,5.4393090117729725e-05
14522,3.015087819517762e-08,3.015087819517762e-08,0.0,5.436293923953455e-05
14523,3.013416227899719e-08,3.013416227899719e-08,0.0,5.4332805077255554e-05
14524,3.011745563215753e-08,3.011745563215753e-08,0.0,5.4302687621623394e-05
14525,3.0100758249517346e-08,3.0100758249517346e-08,0.0,5.4272586863373874e-05
14526,3.008407012593817e-08,3.008407012593817e-08,0.0,5.4242502793247934e-05
14527,3.006739125628442e-08,3.006739125628442e-08,0.0,5.421243540199165e-05
14528,3.005072163542333e-08,3.005072163542333e-08,0.0,5.418238468035622e-05
14529,3.003406125822501e-08,3.003406125822501e-08,0.0,5.415235061909799e-05
14530,3.00174101195624e-08,3.00174101195624e-08,0.0,5.412233320897842e-05
14531,3.000076821431129e-08,3.000076821431129e-08,0.0,5.409233244076411e-05
14532,2.998413553735031e-08,2.998413553735031e-08,0.0,5.406234830522676e-05
14533,2.9967512083560936e-08,2.9967512083560936e-08,0.0,5.403238079314319e-05
14534,2.995089784782747e-08,2.995089784782747e-08,0.0,5.400242989529536e-05
14535,2.9934292825037066e-08,2.9934292825037066e-08,0.0,5.397249560247032e-05
14536,2.9917697010079715e-08,2.9917697010079715e-08,0.0,5.394257790546024e-05
14537,2.990111039784824e-08,2.990111039784824e-08,0.0,5.391267679506239e-05
14538,2.988453298323829e-08,2.988453298323829e-08,0.0,5.3882792262079146e-05
14539,2.9867964761148374e-08,2.9867964761148374e-08,0.0,5.3852924297318e-05
14540,2.985140572647978e-08,2.985140572647978e-08,0.0,5.3823072891591515e-05
14541,2.9834855874136684e-08,2.9834855874136684e-08,0.0,5.3793238035717376e-05
14542,2.9818315199026035e-08,2.9818315199026035e-08,0.0,5.3763419720518344e-05
14543,2.9801783696057657e-08,2.9801783696057657e-08,0.0,5.3733617936822285e-05
14544,2.978526136014416e-08,2.978526136014416e-08,0.0,5.370383267546214e-05
14545,2.9768748186200982e-08,2.9768748186200982e-08,0.0,5.367406392727594e-05
14546,2.9752244169146417e-08,2.9752244169146417e-08,0.0,5.364431168310679e-05
14547,2.9735749303901533e-08,2.9735749303901533e-08,0.0,5.3614575933802885e-05
14548,2.9719263585390244e-08,2.9719263585390244e-08,0.0,5.35848566702175e-05
14549,2.9702787008539256e-08,2.9702787008539256e-08,0.0,5.355515388320895e-05
14550,2.9686319568278124e-08,2.9686319568278124e-08,0.0,5.3525467563640664e-05
14551,2.96698612595392e-08,2.96698612595392e-08,0.0,5.349579770238112e-05
14552,2.9653412077257617e-08,2.9653412077257617e-08,0.0,5.3466144290303866e-05
14553,2.9636972016371377e-08,2.9636972016371377e-08,0.0,5.343650731828749e-05
14554,2.9620541071821237e-08,2.9620541071821237e-08,0.0,5.340688677721566e-05
14555,2.9604119238550802e-08,2.9604119238550802e-08,0.0,5.337728265797711e-05
14556,2.958770651150646e-08,2.958770651150646e-08,0.0,5.33476949514656e-05
14557,2.9571302885637395e-08,2.9571302885637395e-08,0.0,5.331812364857996e-05
14558,2.955490835589561e-08,2.955490835589561e-08,0.0,5.328856874022407e-05
14559,2.9538522917235905e-08,2.9538522917235905e-08,0.0,5.3259030217306826e-05
14560,2.9522146564615885e-08,2.9522146564615885e-08,0.0,5.3229508070742204e-05
14561,2.9505779292995935e-08,2.9505779292995935e-08,0.0,5.320000229144921e-05
14562,2.948942109733925e-08,2.948942109733925e-08,0.0,5.317051287035187e-05
14563,2.947307197261182e-08,2.947307197261182e-08,0.0,5.314103979837926e-05
14564,2.9456731913782416e-08,2.9456731913782416e-08,0.0,5.311158306646547e-05
14565,2.9440400915822616e-08,2.9440400915822616e-08,0.0,5.3082142665549646e-05
14566,2.9424078973706775e-08,2.9424078973706775e-08,0.0,5.305271858657594e-05
14567,2.940776608241204e-08,2.940776608241204e-08,0.0,5.3023310820493526e-05
