dst,valid,reason_invalid,mass,remaining,steps,fig3_bimodal,fig3_t1,fig3_h1,fig3_t2,fig3_h2,robust_bimodal,robust_t1,robust_h1,robust_t2,robust_h2,robust_sep,robust_ratio,robust_valley,robust_valley_ratio
52,True,,0.9998915028403416,0.00010849715965827623,8000,True,9,0.0013020833333333333,11,0.0030381944444444445,True,31,0.009601563936128616,81,0.0057725505216193575,50,0.6012094029701238,0.0,0.0
53,True,,0.99992357768775,7.64223122499309e-05,8000,True,8,0.0026041666666666665,10,0.005425347222222222,True,24,0.011989151687149181,74,0.006345288585996899,50,0.5292525068974001,0.0,0.0
54,True,,0.9999475973547624,5.240264523757318e-05,8000,True,7,0.005208333333333333,9,0.00954861111111111,True,19,0.015395643725262202,69,0.006762743243840494,50,0.43926342831275916,0.0,0.0
55,True,,0.9999652930683524,3.470693164739957e-05,8000,True,6,0.010416666666666666,8,0.016493055555555552,True,14,0.02058969505529835,64,0.007123396452909806,50,0.3459690118662899,0.0,0.0
56,True,,0.9999779373910215,2.2062608978095903e-05,8000,True,5,0.020833333333333332,7,0.027777777777777773,True,9,0.02922453703703703,59,0.007380583144696135,50,0.2525474786937609,0.0,0.0
57,True,,0.9999867518490724,1.324815092733913e-05,8000,True,4,0.041666666666666664,6,0.04513888888888888,True,6,0.04513888888888888,56,0.007136391416040657,50,0.15809851752459306,0.0,0.0
58,True,,0.9999926532767857,7.346723214141462e-06,8000,True,3,0.08333333333333333,5,0.06944444444444443,True,3,0.08333333333333333,53,0.006572918603357575,50,0.07887502324029091,0.0,0.0
59,True,,0.9999964457914452,3.554208554577437e-06,8000,True,2,0.16666666666666666,4,0.09722222222222221,True,2,0.16666666666666666,52,0.0053256454173658445,50,0.03195387250419507,0.0,0.0
60,True,,0.9999987331541339,1.2668458658304005e-06,8000,True,3,0.1111111111111111,5,0.0648148148148148,True,3,0.1111111111111111,53,0.0035504300865940417,50,0.031953870779346374,0.0,0.0
61,True,,0.9999985353880552,1.4646119446441286e-06,8000,True,2,0.16666666666666666,4,0.09722222222222221,True,2,0.16666666666666666,52,0.005325645439288159,50,0.03195387263572896,0.0,0.0
62,True,,0.9999982885025919,1.711497408026275e-06,8000,True,3,0.08333333333333333,5,0.06944444444444443,True,3,0.08333333333333333,53,0.006572918603357576,50,0.07887502324029091,0.0,0.0
63,True,,0.999997980945897,2.0190541029283303e-06,8000,True,4,0.041666666666666664,6,0.04513888888888888,True,6,0.04513888888888888,56,0.0071363915868034,50,0.15809852130764457,0.0,0.0
64,True,,0.9999975884198423,2.4115801572988424e-06,8000,True,5,0.020833333333333332,7,0.027777777777777773,True,9,0.02922453703703703,59,0.007380583144696134,50,0.2525474786937608,0.0,0.0
65,True,,0.9999970857316185,2.914268381259956e-06,8000,True,6,0.010416666666666666,8,0.016493055555555552,True,14,0.02058969505529835,64,0.007123399308214401,50,0.34596915054268057,0.0,0.0
66,True,,0.9999964279028487,3.5720971512805725e-06,8000,True,7,0.005208333333333333,9,0.00954861111111111,True,19,0.015395643725262202,69,0.0067627432438398935,50,0.4392634283127202,0.0,0.0
67,True,,0.9999955629738171,4.437026182314837e-06,8000,True,8,0.0026041666666666665,10,0.005425347222222222,True,24,0.011989151687149181,74,0.006345319138660166,50,0.5292550552564554,0.0,0.0
68,True,,0.9999944053502858,5.594649713939465e-06,8000,True,9,0.0013020833333333333,11,0.0030381944444444445,True,31,0.009601563936128616,81,0.0057725505213328,50,0.601209402940279,0.0,0.0
69,True,,0.9999928529494395,7.147050560287385e-06,8000,True,10,0.0006510416666666666,12,0.001681857638888889,True,38,0.00787591422670052,88,0.0052523412054956585,50,0.6668865422238145,0.0,0.0
70,True,,0.9999907456770756,9.254322924033244e-06,8000,True,11,0.0003255208333333333,13,0.0009223090277777779,True,45,0.00658357096608855,95,0.004778671139338214,50,0.7258478968257148,8.954943782386922e-12,1.87394016480219e-09
71,True,,0.9999878943578127,1.2105642187242118e-05,8000,True,12,0.00016276041666666666,14,0.0005018446180555556,True,52,0.005584726630575226,102,0.004353854653461495,50,0.7796003173414146,0.0,0.0
72,True,,0.9999840122324474,1.598776755247317e-05,8000,True,13,8.138020833333333e-05,15,0.0002712673611111111,True,61,0.00479999512778398,111,0.0039177121009648765,50,0.8161908495047935,1.061840551845911e-08,2.7103588126968155e-06
