t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
332,32,nan,nan,nan,nan,nan,nan
333,34,nan,nan,nan,nan,nan,nan
334,28,nan,nan,nan,nan,nan,nan
335,37,nan,nan,nan,nan,nan,nan
336,24,nan,nan,nan,nan,nan,nan
337,27,nan,nan,nan,nan,nan,nan
338,35,nan,nan,nan,nan,nan,nan
339,30,nan,nan,nan,nan,nan,nan
340,38,nan,nan,nan,nan,nan,nan
341,36,nan,nan,nan,nan,nan,nan
342,42,nan,nan,nan,nan,nan,nan
343,47,nan,nan,nan,nan,nan,nan
344,42,nan,nan,nan,nan,nan,nan
345,35,nan,nan,nan,nan,nan,nan
346,30,nan,nan,nan,nan,nan,nan
347,36,nan,nan,nan,nan,nan,nan
348,38,nan,nan,nan,nan,nan,nan
349,35,nan,nan,nan,nan,nan,nan
350,37,nan,nan,nan,nan,nan,nan
351,34,nan,nan,nan,nan,nan,nan
352,30,nan,nan,nan,nan,nan,nan
353,32,nan,nan,nan,nan,nan,nan
354,28,nan,nan,nan,nan,nan,nan
355,36,nan,nan,nan,nan,nan,nan
356,34,nan,nan,nan,nan,nan,nan
357,48,nan,nan,nan,nan,nan,nan
358,25,nan,nan,nan,nan,nan,nan
359,38,nan,nan,nan,nan,nan,nan
360,36,nan,nan,nan,nan,nan,nan
361,27,nan,nan,nan,nan,nan,nan
362,37,nan,nan,nan,nan,nan,nan
363,43,nan,nan,nan,nan,nan,nan
364,34,nan,nan,nan,nan,nan,nan
365,39,nan,nan,nan,nan,nan,nan
366,35,nan,nan,nan,nan,nan,nan
367,43,nan,nan,nan,nan,nan,nan
368,32,nan,nan,nan,nan,nan,nan
369,40,nan,nan,nan,nan,nan,nan
370,32,nan,nan,nan,nan,nan,nan
371,39,nan,nan,nan,nan,nan,nan
372,36,nan,nan,nan,nan,nan,nan
373,29,nan,nan,nan,nan,nan,nan
374,35,nan,nan,nan,nan,nan,nan
375,46,nan,nan,nan,nan,nan,nan
376,43,nan,nan,nan,nan,nan,nan
377,30,nan,nan,nan,nan,nan,nan
378,32,nan,nan,nan,nan,nan,nan
379,32,nan,nan,nan,nan,nan,nan
380,40,nan,nan,nan,nan,nan,nan
381,38,nan,nan,nan,nan,nan,nan
382,45,nan,nan,nan,nan,nan,nan
383,31,nan,nan,nan,nan,nan,nan
384,39,nan,nan,nan,nan,nan,nan
385,33,nan,nan,nan,nan,nan,nan
386,30,nan,nan,nan,nan,nan,nan
387,30,nan,nan,nan,nan,nan,nan
388,37,nan,nan,nan,nan,nan,nan
389,39,nan,nan,nan,nan,nan,nan
390,40,nan,nan,nan,nan,nan,nan
391,46,nan,nan,nan,nan,nan,nan
392,33,nan,nan,nan,nan,nan,nan
393,42,nan,nan,nan,nan,nan,nan
394,38,nan,nan,nan,nan,nan,nan
395,36,nan,nan,nan,nan,nan,nan
396,38,nan,nan,nan,nan,nan,nan
397,30,nan,nan,nan,nan,nan,nan
398,45,nan,nan,nan,nan,nan,nan
399,30,nan,nan,nan,nan,nan,nan
400,54,0.6976439790575916,0.0,0.3023560209424084,0.6976439790575916,0.0,0.0
401,27,nan,nan,nan,nan,nan,nan
402,36,nan,nan,nan,nan,nan,nan
403,34,nan,nan,nan,nan,nan,nan
404,29,nan,nan,nan,nan,nan,nan
405,29,nan,nan,nan,nan,nan,nan
406,41,nan,nan,nan,nan,nan,nan
407,36,nan,nan,nan,nan,nan,nan
408,30,nan,nan,nan,nan,nan,nan
409,34,nan,nan,nan,nan,nan,nan
410,36,nan,nan,nan,nan,nan,nan
411,43,nan,nan,nan,nan,nan,nan
412,37,nan,nan,nan,nan,nan,nan
413,25,nan,nan,nan,nan,nan,nan
414,32,nan,nan,nan,nan,nan,nan
415,31,nan,nan,nan,nan,nan,nan
416,35,nan,nan,nan,nan,nan,nan
417,32,nan,nan,nan,nan,nan,nan
418,43,nan,nan,nan,nan,nan,nan
419,32,nan,nan,nan,nan,nan,nan
420,26,nan,nan,nan,nan,nan,nan
421,33,nan,nan,nan,nan,nan,nan
422,36,nan,nan,nan,nan,nan,nan
423,37,nan,nan,nan,nan,nan,nan
424,27,nan,nan,nan,nan,nan,nan
425,37,nan,nan,nan,nan,nan,nan
426,26,nan,nan,nan,nan,nan,nan
427,41,nan,nan,nan,nan,nan,nan
428,40,nan,nan,nan,nan,nan,nan
429,36,nan,nan,nan,nan,nan,nan
430,46,nan,nan,nan,nan,nan,nan
431,44,nan,nan,nan,nan,nan,nan
432,35,nan,nan,nan,nan,nan,nan
433,31,nan,nan,nan,nan,nan,nan
434,51,0.6645408163265306,0.0,0.3354591836734694,0.6645408163265306,0.0,0.0
435,32,nan,nan,nan,nan,nan,nan
436,34,nan,nan,nan,nan,nan,nan
437,36,nan,nan,nan,nan,nan,nan
438,42,nan,nan,nan,nan,nan,nan
439,41,nan,nan,nan,nan,nan,nan
