t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
592,115,0.11355599214145383,0.2777996070726916,0.6526522593320235,0.06954813359528488,0.2337917485265226,0.04400785854616896
593,117,0.11693390692217442,0.27688697692608527,0.650762612436449,0.07235041063746578,0.23230348064137663,0.044583496284708646
594,122,0.11516091508336565,0.27995347033734,0.6494765412950756,0.07056998836758434,0.23536254362155876,0.04459092671578131
595,121,0.11481768813033359,0.27928626842513576,0.6485647788983708,0.0721489526764934,0.2366175329712956,0.04266873545384019
596,117,0.11197210383572259,0.27663696241766755,0.654010073614878,0.06935296396745448,0.23401782254939946,0.04261913986826811
597,131,0.10894181960171807,0.278016399843811,0.655993752440453,0.06598984771573604,0.23506442795782898,0.042951971885982036
598,128,0.10812913263321665,0.2765460910151692,0.6565538700894593,0.06690003889537145,0.235316997277324,0.041229093737845196
599,108,0.10926640926640926,0.2768339768339768,0.6544401544401545,0.06872586872586872,0.2362934362934363,0.04054054054054054
600,120,0.10729448089540718,0.2732535700501737,0.6611346970281744,0.06561173292165187,0.23157082207641838,0.041682747973755305
601,130,0.10717039321511179,0.2733230531996916,0.6622976098689283,0.06437933693138011,0.2305319969159599,0.04279105628373169
602,117,0.10738766184310738,0.27075399847677073,0.6637471439451638,0.0654988575780655,0.22886519421172888,0.041888804265041886
603,129,0.10819047619047618,0.2754285714285714,0.659047619047619,0.06552380952380953,0.23276190476190475,0.042666666666666665
604,149,0.10858872493378736,0.2690124858115778,0.6643965191070753,0.06659099508134696,0.22701475595913734,0.04199772985244041
605,122,0.1106077765194413,0.2702906757266893,0.6621366553416383,0.06757266893167233,0.22725556813892034,0.04303510758776897
606,122,0.11140583554376658,0.27169382341796133,0.6600985221674877,0.06820765441455097,0.22849564228874575,0.04319818112921561
607,105,0.11388573590616724,0.27393113885735904,0.6575860764283011,0.06848278471433976,0.2285281876655316,0.04540295119182747
608,135,0.11461100569259962,0.27400379506641365,0.6573055028462998,0.06869070208728653,0.22808349146110057,0.045920303605313094
609,133,0.11689291101055807,0.27564102564102566,0.6549773755656109,0.0693815987933635,0.22812971342383107,0.04751131221719457
610,127,0.11720510894064613,0.27573253193087904,0.6540195341848234,0.07024793388429752,0.22877535687453043,0.04695717505634861
611,137,0.1203599550056243,0.27746531683539555,0.6520434945631796,0.07049118860142482,0.2275965504311961,0.049868766404199474
612,141,0.11958146487294469,0.2765321375186846,0.6547085201793722,0.0687593423019432,0.2257100149476831,0.05082212257100149
613,114,0.11980531636091352,0.2763010108573568,0.65443654062149,0.06926244852115312,0.22575814301759642,0.05054286783976039
614,135,0.11726998491704374,0.276395173453997,0.6564856711915535,0.06711915535444947,0.22624434389140272,0.05015082956259427
615,128,0.1189209726443769,0.2762158054711246,0.6550151975683891,0.06876899696048633,0.22606382978723405,0.05015197568389058
616,111,0.11711026615969582,0.2752851711026616,0.6585551330798479,0.0661596958174905,0.22433460076045628,0.05095057034220532
617,121,0.11849601215343715,0.279149259399924,0.6524876566654007,0.06836308393467527,0.22901633118116219,0.05013292821876187
618,123,0.11884166980067695,0.2809326814591952,0.6494922903347123,0.06957502820609252,0.23166603986461076,0.04926664159458443
619,145,0.11769172361427487,0.28056188306757784,0.6518602885345482,0.06757782839787396,0.23044798785117693,0.05011389521640091
620,118,0.11627014581734459,0.2812739831158864,0.6523407521105142,0.06638526477359939,0.23138910207214122,0.0498848810437452
621,125,0.117964533538936,0.284502698535081,0.6468774094063223,0.06861989205859677,0.23515805705474171,0.04934464148033924
622,139,0.11967779056386652,0.2823168392788646,0.6482546988876102,0.06942846183352512,0.2320675105485232,0.05024932873034139
623,112,0.12061657032755299,0.2813102119460501,0.648169556840077,0.07052023121387284,0.23121387283236994,0.05009633911368015
624,110,0.11907514450867052,0.2840077071290944,0.6454720616570327,0.07052023121387284,0.23545279383429674,0.048554913294797684
625,129,0.11896485129393589,0.283507145616068,0.6465816917728853,0.06991116261104674,0.23445345693317884,0.049053688682889146
626,120,0.1186046511627907,0.2806201550387597,0.6492248062015504,0.07015503875968992,0.23217054263565892,0.04844961240310078
627,125,0.1170130869899923,0.2817551963048499,0.6508852963818321,0.06735950731331794,0.23210161662817552,0.049653579676674366
628,131,0.11556240369799692,0.2808166409861325,0.651386748844376,0.06779661016949153,0.2330508474576271,0.04776579352850539
629,110,0.11562258313998454,0.27880897138437744,0.6527455529775715,0.06844547563805105,0.23163186388244392,0.04717710750193349
630,105,0.11276429130775255,0.2776037588097103,0.6558339859044636,0.06656225528582616,0.23140172278778387,0.04620203602192639
631,115,0.11461988304093568,0.27563352826510723,0.6580896686159844,0.06627680311890838,0.22729044834307993,0.04834307992202729
632,150,0.11314865392118612,0.27545844713226686,0.6589933671478736,0.06554818571985954,0.2278579789309403,0.04760046820132657
633,129,0.11369000786782062,0.2769472856018883,0.6553894571203777,0.06766325727773406,0.23092053501180174,0.04602675059008655
634,114,0.11306042884990253,0.2764132553606238,0.6557504873294348,0.06783625730994151,0.23118908382066278,0.045224171539961014
635,129,0.11361867704280156,0.2793774319066148,0.6521400778210117,0.06848249027237355,0.23424124513618677,0.045136186770428015
636,119,0.11438542070569989,0.2815044590926716,0.6502520356727414,0.06824350523458705,0.23536254362155876,0.046141915471112835
637,129,0.11535493827160494,0.2808641975308642,0.6493055555555556,0.06983024691358025,0.2353395061728395,0.04552469135802469
638,119,0.11411992263056092,0.2769825918762089,0.6545454545454545,0.06847195357833656,0.23133462282398454,0.045647969052224374
639,113,0.11593640946103141,0.27258627374951533,0.6568437378829004,0.07056998836758434,0.22721985265606826,0.045366421093447074
640,113,0.1175123998473865,0.2747043113315528,0.6535673407096528,0.07172834795879435,0.2289202594429607,0.045784051888592144
641,129,0.12148823082763857,0.2752467729688686,0.6507213363705391,0.07403189066059225,0.22779043280182232,0.04745634016704632
642,123,0.11974232663887836,0.27131489200454717,0.6547934823796893,0.07389162561576355,0.22546419098143236,0.045850701023114816
643,118,0.11814345991561181,0.2731108553893364,0.6540084388185654,0.0728807057920982,0.22784810126582278,0.04526275412351362
644,135,0.11568024596464259,0.28132205995388165,0.6491160645657187,0.06956187548039969,0.23520368946963874,0.04611837048424289
645,115,0.11877394636015326,0.27739463601532566,0.6524904214559387,0.07011494252873564,0.22873563218390805,0.04865900383141762
646,138,0.11913077221575476,0.27939464493597205,0.6495925494761351,0.0710128055878929,0.23127667830811022,0.04811796662786186
647,133,0.1169478527607362,0.2833588957055215,0.6464723926380368,0.07016871165644172,0.236579754601227,0.04677914110429448
648,118,0.11571207430340558,0.28328173374613,0.6451238390092879,0.07159442724458204,0.23916408668730652,0.04411764705882353
649,125,0.1152073732718894,0.2837941628264209,0.6451612903225806,0.07104454685099847,0.23963133640552994,0.044162826420890935
650,152,0.11548757170172085,0.28489483747609945,0.6439770554493308,0.07112810707456979,0.24053537284894838,0.044359464627151055
651,118,0.11610918877354863,0.2837370242214533,0.6443675509419454,0.0718954248366013,0.23952326028450596,0.04421376393694733
652,120,0.11764705882352941,0.2837370242214533,0.6412918108419838,0.07497116493656286,0.24106113033448673,0.04267589388696655
653,118,0.116198537899192,0.28126202385532895,0.6437091188918815,0.07502885725278953,0.2400923432089265,0.04116968064640246
654,124,0.11920275967803756,0.2798006899195094,0.6435415868148716,0.07665772326561901,0.23725565350709085,0.04254503641241855
655,122,0.11978361669242658,0.2782071097372488,0.6445131375579598,0.07727975270479134,0.2357032457496136,0.04250386398763524
656,96,0.12187620146097655,0.275278738946559,0.6462898885044214,0.0784313725490196,0.23183391003460208,0.04344482891195694
657,150,0.12141194724592708,0.2742435996896819,0.647788983708301,0.07796741660201707,0.2307990690457719,0.04344453064391001
658,105,0.1224009415457042,0.27736367202824636,0.6437818752451941,0.07885445272655943,0.2338171832091016,0.04354648881914476
659,139,0.12315462315462315,0.2812742812742813,0.6386946386946387,0.08003108003108003,0.23815073815073814,0.04312354312354312
660,124,0.12411902897415818,0.28308535630383713,0.6370399373531715,0.07987470634299139,0.23884103367267032,0.044244322631166795
661,99,0.12306470821754664,0.2838427947598253,0.6367606192933704,0.0793965859468043,0.24017467248908297,0.043668122270742356
662,129,0.12055335968379446,0.2802371541501976,0.641897233201581,0.07786561264822134,0.2375494071146245,0.042687747035573126
663,121,0.11846275752773376,0.28011093502377177,0.6442155309033281,0.07567353407290016,0.2373217115689382,0.042789223454833596
664,128,0.11809145129224652,0.27793240556660037,0.646520874751491,0.07554671968190854,0.23538767395626242,0.04254473161033797
665,114,0.11969575660528423,0.27301841473178545,0.6501200960768615,0.07686148919135308,0.23018414731785428,0.04283426741393114
666,128,0.11691442346323824,0.27320208919244676,0.650863800723182,0.07593411008437123,0.23222177581357975,0.04098031337886701
667,115,0.11722488038277512,0.27352472089314195,0.6507177033492823,0.07575757575757576,0.23205741626794257,0.04146730462519936
668,104,0.11817078106029948,0.2707405908539053,0.6527721570214488,0.0764872521246459,0.22905706191825173,0.04168352893565358
669,143,0.12243254128070882,0.27184857027788967,0.6512283527990335,0.07692307692307693,0.22633910592025774,0.045509464357631896
670,105,0.1254071661237785,0.2732084690553746,0.6473941368078175,0.07939739413680781,0.2271986970684039,0.046009771986970684
671,117,0.12428219852337982,0.27399507793273176,0.6480721903199343,0.07793273174733388,0.2276456111566858,0.04634946677604594
672,129,0.12241588974462911,0.27239562221321445,0.6501824077827321,0.0774219700040535,0.22740170247263883,0.0449939197405756
673,114,0.11781492050550346,0.2747655931512434,0.6518548715858133,0.07337953526294333,0.23033020790868325,0.04443538524256013
674,109,0.11995104039167687,0.2802937576499388,0.6466748266013872,0.07303141574867401,0.23337413300693594,0.04691962464300286
675,107,0.1156045751633987,0.28308823529411764,0.6474673202614379,0.06944444444444445,0.2369281045751634,0.04616013071895425
676,113,0.11349817592217268,0.2882042967166599,0.6441021483583299,0.06769355492501013,0.24239967571949736,0.045804620997162544
677,115,0.1120584652862363,0.2911084043848965,0.6439301664636622,0.06496142915144133,0.2440113682501015,0.04709703613479497
678,113,0.11254019292604502,0.29059485530546625,0.6434887459807074,0.06591639871382636,0.2439710610932476,0.04662379421221865
679,117,0.11383399209486166,0.28893280632411067,0.6446640316205534,0.06640316205533597,0.24150197628458497,0.04743083003952569
680,112,0.11035856573705179,0.2896414342629482,0.647410358565737,0.06294820717131475,0.24223107569721117,0.047410358565737054
681,106,0.10939968404423381,0.29067930489731436,0.6473143759873617,0.06200631911532385,0.24328593996840442,0.04739336492890995
682,128,0.10805500982318271,0.28958742632612966,0.649901768172888,0.06051080550098232,0.24204322200392928,0.04754420432220039
683,115,0.10703001579778831,0.2914691943127962,0.6496840442338072,0.058846761453396526,0.24328593996840442,0.04818325434439179
684,119,0.10873863187030447,0.2922103598260182,0.6468960063266113,0.0608936338473705,0.2443653618030842,0.04784499802293397
685,125,0.11302307391474384,0.2937035588580368,0.6421587798201017,0.06413766132186155,0.24481814626515447,0.04888541259288228
686,133,0.11349453978159127,0.2952418096723869,0.641185647425897,0.06357254290171607,0.2453198127925117,0.0499219968798752
687,124,0.11541471048513302,0.2918622848200313,0.6424100156494522,0.06572769953051644,0.2421752738654147,0.04968701095461659
688,140,0.11493354182955434,0.2935887412040657,0.6419077404222049,0.06450351837372947,0.24315871774824083,0.05043002345582486
689,146,0.1169085916045508,0.29580227540211845,0.6382895253040408,0.06590819929384072,0.2448018830914084,0.05100039231071008
690,123,0.11207235548564687,0.29178136059771925,0.6449075894612663,0.06331104994101455,0.2430200550530869,0.04876130554463232
691,127,0.11159135559921414,0.2907662082514735,0.6463654223968566,0.06286836935166994,0.24204322200392928,0.0487229862475442
692,130,0.11150372987828819,0.28700431880643895,0.6486062033765214,0.06438947781703966,0.23989006674519042,0.04711425206124853
693,116,0.1127315727236894,0.2905005912495073,0.6440677966101694,0.06543161214032321,0.24320063066614112,0.047299960583366184
694,111,0.11523283346487766,0.2868981846882399,0.6471981057616417,0.06590370955011839,0.23756906077348067,0.04932912391475927
695,137,0.11355599214145383,0.2864440078585462,0.6467583497053045,0.06679764243614932,0.23968565815324164,0.04675834970530452
696,114,0.11502347417840375,0.284037558685446,0.6482785602503912,0.06768388106416276,0.236697965571205,0.047339593114241005
697,105,0.11811335711454618,0.27824019024970276,0.651208878319461,0.07055093143083631,0.23067776456599287,0.04756242568370987
698,117,0.1156597774244833,0.2786168521462639,0.651033386327504,0.07034976152623211,0.2333068362480127,0.04531001589825119
699,104,0.11325301204819277,0.2791164658634538,0.6522088353413654,0.06867469879518072,0.23453815261044178,0.04457831325301205
700,111,0.1126530612244898,0.27877551020408164,0.6530612244897959,0.06816326530612245,0.2342857142857143,0.044489795918367346
701,114,0.11634575993445309,0.2773453502662843,0.6521917247029906,0.07046292503072511,0.23146251536255633,0.04588283490372798
702,108,0.11419114604882086,0.27927182457592054,0.6508067852709971,0.06992139015308234,0.23500206868018203,0.04426975589573852
703,118,0.11688851913477537,0.28369384359401,0.6455906821963394,0.07071547420965059,0.2375207986688852,0.04617304492512479
704,112,0.11606391925988226,0.28259041211101765,0.6467619848612279,0.07064760302775441,0.23717409587888982,0.045416316232127836
705,130,0.1181135225375626,0.28505843071786313,0.6435726210350584,0.07136894824707847,0.23831385642737896,0.04674457429048414
706,136,0.11634695579649708,0.2848206839032527,0.6451209341117597,0.07005838198498748,0.23853211009174313,0.04628857381150959
707,100,0.1159966499162479,0.2851758793969849,0.6432160804020101,0.07160804020100503,0.24078726968174205,0.04438860971524288
708,117,0.11401326699834162,0.28897180762852404,0.6422056384742952,0.06882255389718077,0.24378109452736318,0.045190713101160865
709,114,0.11490424646128226,0.2880932556203164,0.641548709408826,0.07035803497085762,0.24354704412989175,0.04454621149042465
710,106,0.11239669421487604,0.2871900826446281,0.6442148760330578,0.06859504132231405,0.24338842975206612,0.043801652892561986
711,114,0.11156854672704816,0.28900782214903253,0.6422396047756278,0.06875257307533965,0.246191848497324,0.04281597365170852
712,103,0.1106574111882401,0.28664761126990607,0.6443446304614128,0.0690077582686811,0.24499795835034707,0.041649652919559
713,117,0.10736071573810492,0.2879219194794632,0.6457909719398129,0.06628710858072387,0.24684831232208215,0.04107360715738105
714,90,0.11102074013826758,0.28710858072387146,0.6437576250508337,0.06913379422529484,0.24522163481089873,0.041886945912972755
