kappa,t,smoothed_f,phase,t_peak1,t_valley,t_peak2
0.014,1290,7.285521874625499e-05,1,535,1586,2028
0.014,1291,7.282493311291035e-05,1,535,1586,2028
0.014,1292,7.27948404392268e-05,1,535,1586,2028
0.014,1293,7.276493981681737e-05,1,535,1586,2028
0.014,1294,7.273523034176484e-05,1,535,1586,2028
0.014,1295,7.27057111145964e-05,1,535,1586,2028
0.014,1296,7.267638124025819e-05,1,535,1586,2028
0.014,1297,7.264723982809012e-05,1,535,1586,2028
0.014,1298,7.261828599180064e-05,1,535,1586,2028
0.014,1299,7.258951884944153e-05,1,535,1586,2028
0.014,1300,7.25609375233829e-05,1,535,1586,2028
0.014,1301,7.253254114028815e-05,1,535,1586,2028
0.014,1302,7.250432883108909e-05,1,535,1586,2028
0.014,1303,7.247629973096105e-05,1,535,1586,2028
0.014,1304,7.244845297929808e-05,1,535,1586,2028
0.014,1305,7.24207877196883e-05,1,535,1586,2028
0.014,1306,7.239330309988923e-05,1,535,1586,2028
0.014,1307,7.23659982718033e-05,1,535,1586,2028
0.014,1308,7.233887239145332e-05,1,535,1586,2028
0.014,1309,7.231192461895808e-05,1,535,1586,2028
0.014,1310,7.228515411850813e-05,1,535,1586,2028
0.014,1311,7.225856005834143e-05,1,535,1586,2028
0.014,1312,7.223214161071931e-05,1,535,1586,2028
0.014,1313,7.220589795190236e-05,1,535,1586,2028
0.014,1314,7.217982826212643e-05,1,535,1586,2028
0.014,1315,7.215393172557875e-05,1,535,1586,2028
0.014,1316,7.212820753037412e-05,1,535,1586,2028
0.014,1317,7.210265486853121e-05,1,535,1586,2028
0.014,1318,7.207727293594886e-05,1,535,1586,2028
0.014,1319,7.20520609323826e-05,1,535,1586,2028
0.014,1320,7.20270180614211e-05,1,535,1586,2028
0.014,1321,7.200214353046287e-05,1,535,1586,2028
0.014,1322,7.197743655069294e-05,1,535,1586,2028
0.014,1323,7.195289633705971e-05,1,535,1586,2028
0.014,1324,7.192852210825175e-05,1,535,1586,2028
0.014,1325,7.190431308667488e-05,1,535,1586,2028
0.014,1326,7.188026849842919e-05,1,535,1586,2028
0.014,1327,7.18563875732862e-05,1,535,1586,2028
0.014,1328,7.183266954466625e-05,1,535,1586,2028
0.014,1329,7.180911364961565e-05,1,535,1586,2028
0.014,1330,7.17857191287843e-05,1,535,1586,2028
0.014,1331,7.17624852264032e-05,1,535,1586,2028
0.014,1332,7.173941119026203e-05,1,535,1586,2028
0.014,1333,7.171649627168691e-05,1,535,1586,2028
0.014,1334,7.169373972551834e-05,1,535,1586,2028
0.014,1335,7.167114081008894e-05,1,535,1586,2028
0.014,1336,7.164869878720169e-05,1,535,1586,2028
0.014,1337,7.162641292210784e-05,1,535,1586,2028
0.014,1338,7.160428248348533e-05,1,535,1586,2028
0.014,1339,7.158230674341698e-05,1,535,1586,2028
0.014,1340,7.156048497736897e-05,1,535,1586,2028
0.014,1341,7.153881646416938e-05,1,535,1586,2028
0.014,1342,7.151730048598675e-05,1,535,1586,2028
0.014,1343,7.149593632830885e-05,1,535,1586,2028
0.014,1344,7.147472327992151e-05,1,535,1586,2028
0.014,1345,7.14536606328875e-05,1,535,1586,2028
0.014,1346,7.143274768252562e-05,1,535,1586,2028
0.014,1347,7.141198372738975e-05,1,535,1586,2028
0.014,1348,7.139136806924813e-05,1,535,1586,2028
0.014,1349,7.137090001306271e-05,1,535,1586,2028
0.014,1350,7.135057886696856e-05,1,535,1586,2028
0.014,1351,7.133040394225337e-05,1,535,1586,2028
0.014,1352,7.131037455333718e-05,1,535,1586,2028
0.014,1353,7.129049001775206e-05,1,535,1586,2028
0.014,1354,7.127074965612202e-05,1,535,1586,2028
0.014,1355,7.125115279214284e-05,1,535,1586,2028
0.014,1356,7.123169875256226e-05,1,535,1586,2028
0.014,1357,7.121238686716016e-05,1,535,1586,2028
0.014,1358,7.119321646872865e-05,1,535,1586,2028
0.014,1359,7.117418689305265e-05,1,535,1586,2028
0.014,1360,7.115529747889024e-05,1,535,1586,2028
0.014,1361,7.113654756795329e-05,1,535,1586,2028
0.014,1362,7.111793650488818e-05,1,535,1586,2028
0.014,1363,7.109946363725652e-05,1,535,1586,2028
0.014,1364,7.108112831551611e-05,1,535,1586,2028
