kappa,window,observable,exit_prob,mean_event_time,mean_hit_time,ratio,early_mass,late_mass,no_exit_mass,phase,sep_peaks,t_peak1,t_valley,t_peak2
0.00075,peak1,tau_out,0.6311412974281709,440.4372455669149,557.0017741599255,0.7907286224198942,0.07204520388196863,0.5590960935462023,0.36885870257182907,1,0.43653213022802095,557,1492,2347
0.00075,valley,tau_out,0.9865139501532645,211.572473803235,1491.9997158182591,0.14180463411630215,0.9206250300039797,0.06588892014928482,0.013486049846735515,1,0.43653213022802095,557,1492,2347
0.00075,peak2,tau_out,0.9999674771817518,361.0693536290836,2347.0001478232975,0.1538429189976634,0.9968516527164877,0.00311582446526415,3.2522818248170715e-05,1,0.43653213022802095,557,1492,2347
0.00075,peak1,tau_mem,0.0011278698360967572,283.7702720767024,557.0017741599255,0.5094602660910497,0.0004967737746149751,0.0006310960614817822,0.9988721301639032,1,0.43653213022802095,557,1492,2347
0.00075,valley,tau_mem,0.0416438419977147,303.144789629894,1491.9997158182591,0.20318019260723513,0.03967353123352082,0.0019703107641938847,0.9583561580022852,1,0.43653213022802095,557,1492,2347
0.00075,peak2,tau_mem,0.04012360163108297,597.8882238637528,2347.0001478232975,0.2547457120606739,0.03437713697696855,0.005746464654114422,0.959876398368917,1,0.43653213022802095,557,1492,2347
0.001,peak1,tau_out,0.6310309936063058,439.64798905826495,556.0043559855443,0.7907275983098512,0.0720283871242608,0.559002606482045,0.36896900639369423,1,0.4332121212121212,556,1491,2343
0.001,valley,tau_out,0.9869300670524839,213.26099531361393,1490.9992255065308,0.14303226431332564,0.9211611625056895,0.0657689045467944,0.013069932947516127,1,0.4332121212121212,556,1491,2343
0.001,peak2,tau_out,0.9999679325516776,358.1525116502031,2343.0001473337334,0.1528606441010131,0.9968302393886765,0.003137693163001054,3.206744832240371e-05,1,0.4332121212121212,556,1491,2343
0.001,peak1,tau_mem,0.001541003649723021,282.3562924853369,556.0043559855443,0.5078310798210328,0.0006851881186163922,0.0008558155311066288,0.998458996350277,1,0.4332121212121212,556,1491,2343
0.001,valley,tau_mem,0.054543657563566404,304.74589430881883,1490.9992255065308,0.2043903773359029,0.05185471033495655,0.0026889472286098573,0.9454563424364336,1,0.4332121212121212,556,1491,2343
0.001,peak2,tau_mem,0.05317418240204592,597.1588247749049,2343.0001473337334,0.2548693073939643,0.0455248751342891,0.007649307267756818,0.946825817597954,1,0.4332121212121212,556,1491,2343
0.00125,peak1,tau_out,0.6315861451855099,439.36747693896325,556.0015535284904,0.790227067083994,0.07236893644227207,0.5592172087432379,0.36841385481449007,1,0.42974210653169437,556,1491,2339
0.00125,valley,tau_out,0.9874099175497709,214.79639953416591,1490.999852990542,0.1440619857227635,0.922076574703685,0.06533334284608594,0.012590082450229079,1,0.42974210653169437,556,1491,2339
0.00125,peak2,tau_out,0.9999683789525665,355.27618053686297,2339.000140625727,0.15189232970367408,0.996809658210831,0.00315872074173551,3.162104743348326e-05,1,0.42974210653169437,556,1491,2339
0.00125,peak1,tau_mem,0.0019817157147067007,280.9586670636939,556.0015535284904,0.505319931717236,0.0008912248228986699,0.0010904908918080308,0.9980182842852933,1,0.42974210653169437,556,1491,2339
0.00125,valley,tau_mem,0.06706074469630134,306.5962998484276,1490.999852990542,0.20563134143405742,0.06361594354284059,0.0034448011534607553,0.9329392553036987,1,0.42974210653169437,556,1491,2339
0.00125,peak2,tau_mem,0.06606018703843486,596.4041492983825,2339.000140625727,0.25498251964141955,0.05651650625017708,0.009543680788257777,0.9339398129615651,1,0.42974210653169437,556,1491,2339
0.0015,peak1,tau_out,0.6314845061092969,438.5681558483906,555.0042007168122,0.7902069124557267,0.07226910054893733,0.5592154055603595,0.36851549389070315,1,0.42655164150491254,555,1490,2335
0.0015,valley,tau_out,0.9877869596349665,216.2802601609803,1489.9992670897173,0.14515460842032576,0.9224873813374691,0.06529957829749744,0.012213040365033456,1,0.42655164150491254,555,1490,2335
0.0015,peak2,tau_out,0.9999688164878757,352.4400778762354,2335.000127734891,0.15093792659365987,0.9967898726999872,0.003178943787888522,3.118351212427761e-05,1,0.42655164150491254,555,1490,2335
0.0015,peak1,tau_mem,0.0024326564743734186,279.66520415322424,555.0042007168122,0.5038974548157013,0.0011017345063684284,0.0013309219680049903,0.9975673435256266,1,0.42655164150491254,555,1490,2335
