info: FormalPRR/AxiomsReportBeta.lean:93:0: 'FormalPRR.B0ChainKernel.kappa_hat_pow_four' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:94:0: 'FormalPRR.B0ChainKernel.kappa_hat_display_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:95:0: 'FormalPRR.B0ChainKernel.gaussN_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:96:0: 'FormalPRR.B0ChainKernel.complete_square_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:97:0: 'FormalPRR.B0ChainKernel.integral_gaussN_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:98:0: 'FormalPRR.B0ChainKernel.initial_law_integral' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:99:0: 'FormalPRR.B0ChainKernel.initial_law_integral_parallel' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:100:0: 'FormalPRR.B0ChainKernel.log_inv_one_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:101:0: 'FormalPRR.B0ChainKernel.div_one_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:102:0: 'FormalPRR.B0ChainKernel.inv_sqrt_one_sub_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:103:0: 'FormalPRR.B0ChainKernel.prod_inv_sqrt_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:104:0: 'FormalPRR.B0ChainKernel.margins_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:105:0: 'FormalPRR.B0ChainKernel.radius_penalty_closed_form' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:106:0: 'FormalPRR.B0ChainKernel.penalty_O1_of_R1' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:107:0: 'FormalPRR.B0ChainKernel.radius_penalty_uniform_O1' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:108:0: 'FormalPRR.B0ChainKernel.far_from_one_center' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:109:0: 'FormalPRR.B0ChainKernel.gaussN_le_of_far' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:110:0: 'FormalPRR.B0ChainKernel.gaussN_le_max' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:111:0: 'FormalPRR.B0ChainKernel.two_slab_sup_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:115:0: 'FormalPRR.CrossoverBounds.q_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:116:0: 'FormalPRR.CrossoverBounds.q_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:117:0: 'FormalPRR.CrossoverBounds.adjacent_odds' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:118:0: 'FormalPRR.CrossoverBounds.crossover_ratio_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:119:0: 'FormalPRR.CrossoverBounds.crossover_ratio_eq_one' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:120:0: 'FormalPRR.CrossoverBounds.crossover_ratio_minus' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:121:0: 'FormalPRR.CrossoverBounds.crossover_ratio_plus' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:122:0: 'FormalPRR.CrossoverBounds.spacing_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:123:0: 'FormalPRR.CrossoverBounds.far_exponent_left' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:124:0: 'FormalPRR.CrossoverBounds.far_exponent_right' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:125:0: 'FormalPRR.CrossoverBounds.q_far_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:126:0: 'FormalPRR.CrossoverBounds.ratio_bound_of_far' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:127:0: 'FormalPRR.CrossoverBounds.window_inside_gap' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:128:0: 'FormalPRR.CrossoverBounds.nonadjacent_small' depends on axioms: [propext, Classical.choice, Quot.sound]
