t,f_total,f_from_corridor,f_from_outer,survival
4979,6.050522697548741e-05,6.050522697548741e-05,0.0,0.20003702197241718
4980,6.0487065251276644e-05,6.0487065251276644e-05,0.0,0.1999765349071659
4981,6.0468907025602816e-05,6.0468907025602816e-05,0.0,0.1999160660001403
4982,6.045075230262668e-05,6.045075230262668e-05,0.0,0.19985561524783768
4983,6.043260108652697e-05,6.043260108652697e-05,0.0,0.19979518264675114
4984,6.0414453381500225e-05,6.0414453381500225e-05,0.0,0.19973476819336963
4985,6.039630919176064e-05,6.039630919176064e-05,0.0,0.19967437188417786
4986,6.037816852153979e-05,6.037816852153979e-05,0.0,0.1996139937156563
4987,6.036003137508664e-05,6.036003137508664e-05,0.0,0.19955363368428122
4988,6.034189775666718e-05,6.034189775666718e-05,0.0,0.19949329178652453
4989,6.0323767670564336e-05,6.0323767670564336e-05,0.0,0.19943296801885396
4990,6.03056411210778e-05,6.03056411210778e-05,0.0,0.19937266237773288
4991,6.028751811252381e-05,6.028751811252381e-05,0.0,0.19931237485962036
4992,6.026939864923506e-05,6.026939864923506e-05,0.0,0.1992521054609711
4993,6.025128273556042e-05,6.025128273556042e-05,0.0,0.19919185417823554
4994,6.023317037586481e-05,6.023317037586481e-05,0.0,0.19913162100785967
4995,6.0215061574529064e-05,6.0215061574529064e-05,0.0,0.19907140594628514
4996,6.0196956335949685e-05,6.0196956335949685e-05,0.0,0.19901120898994917
4997,6.0178854664538725e-05,6.0178854664538725e-05,0.0,0.19895103013528465
4998,6.0160756564723576e-05,6.0160756564723576e-05,0.0,0.19889086937871991
4999,6.0142662040946825e-05,6.0142662040946825e-05,0.0,0.19883072671667895
5000,6.0124571097666074e-05,6.0124571097666074e-05,0.0,0.1987706021455813
5001,6.010648373935375e-05,6.010648373935375e-05,0.0,0.19871049566184193
5002,6.008839997049695e-05,6.008839997049695e-05,0.0,0.19865040726187141
5003,6.0070319795597304e-05,6.0070319795597304e-05,0.0,0.1985903369420758
5004,6.005224321917068e-05,6.005224321917068e-05,0.0,0.19853028469885664
5005,6.003417024574723e-05,6.003417024574723e-05,0.0,0.1984702505286109
5006,6.001610087987097e-05,6.001610087987097e-05,0.0,0.198410234427731
5007,5.99980351260998e-05,5.99980351260998e-05,0.0,0.1983502363926049
5008,5.997997298900523e-05,5.997997298900523e-05,0.0,0.1982902564196159
5009,5.996191447317229e-05,5.996191447317229e-05,0.0,0.19823029450514273
5010,5.994385958319927e-05,5.994385958319927e-05,0.0,0.19817035064555952
5011,5.992580832369763e-05,5.992580832369763e-05,0.0,0.19811042483723582
5012,5.9907760699291766e-05,5.9907760699291766e-05,0.0,0.19805051707653648
5013,5.988971671461894e-05,5.988971671461894e-05,0.0,0.19799062735982187
5014,5.987167637432898e-05,5.987167637432898e-05,0.0,0.1979307556834475
5015,5.985363968308425e-05,5.985363968308425e-05,0.0,0.19787090204376442
5016,5.983560664555936e-05,5.983560664555936e-05,0.0,0.19781106643711888
5017,5.9817577266441124e-05,5.9817577266441124e-05,0.0,0.19775124885985243
5018,5.9799551550428215e-05,5.9799551550428215e-05,0.0,0.197691449308302
5019,5.9781529502231255e-05,5.9781529502231255e-05,0.0,0.19763166777879976
5020,5.976351112657239e-05,5.976351112657239e-05,0.0,0.19757190426767318
5021,5.9745496428185314e-05,5.9745496428185314e-05,0.0,0.197512158771245
5022,5.9727485411814984e-05,5.9727485411814984e-05,0.0,0.19745243128583317
5023,5.970947808221755e-05,5.970947808221755e-05,0.0,0.19739272180775097
5024,5.969147444416013e-05,5.969147444416013e-05,0.0,0.1973330303333068
5025,5.9673474502420635e-05,5.9673474502420635e-05,0.0,0.19727335685880437
5026,5.965547826178768e-05,5.965547826178768e-05,0.0,0.1972137013805426
5027,5.963748572706036e-05,5.963748572706036e-05,0.0,0.19715406389481552
5028,5.96194969030481e-05,5.96194969030481e-05,0.0,0.19709444439791246
5029,5.960151179457051e-05,5.960151179457051e-05,0.0,0.1970348428861179
5030,5.9583530406457215e-05,5.9583530406457215e-05,0.0,0.19697525935571142
5031,5.9565552743547666e-05,5.9565552743547666e-05,0.0,0.19691569380296786
5032,5.9547578810691065e-05,5.9547578810691065e-05,0.0,0.19685614622415717
5033,5.952960861274607e-05,5.952960861274607e-05,0.0,0.19679661661554443
5034,5.951164215458077e-05,5.951164215458077e-05,0.0,0.1967371049733898
5035,5.949367944107247e-05,5.949367944107247e-05,0.0,0.19667761129394873
5036,5.9475720477107454e-05,5.9475720477107454e-05,0.0,0.19661813557347158
5037,5.9457765267581045e-05,5.9457765267581045e-05,0.0,0.196558677808204
5038,5.943981381739718e-05,5.943981381739718e-05,0.0,0.19649923799438657
5039,5.9421866131468426e-05,5.9421866131468426e-05,0.0,0.1964398161282551
5040,5.940392221471578e-05,5.940392221471578e-05,0.0,0.19638041220604038
5041,5.9385982072068505e-05,5.9385982072068505e-05,0.0,0.1963210262239683
5042,5.9368045708464e-05,5.9368045708464e-05,0.0,0.19626165817825983
5043,5.9350113128847543e-05,5.9350113128847543e-05,0.0,0.19620230806513098
5044,5.933218433817233e-05,5.933218433817233e-05,0.0,0.19614297588079277
5045,5.9314259341399127e-05,5.9314259341399127e-05,0.0,0.19608366162145138
5046,5.92963381434962e-05,5.92963381434962e-05,0.0,0.19602436528330788
5047,5.9278420749439186e-05,5.9278420749439186e-05,0.0,0.19596508686255842
5048,5.926050716421091e-05,5.926050716421091e-05,0.0,0.19590582635539422
5049,5.924259739280119e-05,5.924259739280119e-05,0.0,0.19584658375800143
5050,5.922469144020676e-05,5.922469144020676e-05,0.0,0.1957873590665612
5051,5.9206789311431084e-05,5.9206789311431084e-05,0.0,0.19572815227724977
5052,5.9188891011484175e-05,5.9188891011484175e-05,0.0,0.1956689633862383
5053,5.9170996545382514e-05,5.9170996545382514e-05,0.0,0.1956097923896929
5054,5.915310591814882e-05,5.915310591814882e-05,0.0,0.19555063928377475
5055,5.913521913481196e-05,5.913521913481196e-05,0.0,0.19549150406463994
5056,5.911733620040678e-05,5.911733620040678e-05,0.0,0.19543238672843952
5057,5.909945711997394e-05,5.909945711997394e-05,0.0,0.19537328727131953
5058,5.908158189855973e-05,5.908158189855973e-05,0.0,0.19531420568942096
5059,5.906371054121608e-05,5.906371054121608e-05,0.0,0.19525514197887972
5060,5.9045843053000235e-05,5.9045843053000235e-05,0.0,0.19519609613582672
