t,f_any,f_m1_first,f_m2_first,survival
1572,0.0001684663004329053,6.02321925903944e-06,0.00016244308117386585,0.08395481800187136
1573,0.0001681495891564448,6.008694100952083e-06,0.0001621408950554927,0.08378666841271493
1574,0.00016783337832380367,5.994208065540892e-06,0.00016183917025826278,0.08361883503439112
1575,0.0001675176676011402,5.979761030128809e-06,0.00016153790657101138,0.08345131736678997
1576,0.00016720245665228454,5.965352872493378e-06,0.00016123710377979116,0.08328411491013768
1577,0.00016688774513875474,5.950983470864771e-06,0.00016093676166788998,0.08311722716499892
1578,0.00016657353271977435,5.936652703923856e-06,0.0001606368800158505,0.08295065363227914
1579,0.00016625981905228892,5.922360450800241e-06,0.0001603374586014887,0.08278439381322686
1580,0.00016594660379098275,5.908106591070353e-06,0.0001600384971999124,0.08261844720943587
1581,0.00016563388658829558,5.893891004755507e-06,0.00015973999558354008,0.08245281332284757
1582,0.00016532166709443938,5.879713572320001e-06,0.00015944195352211938,0.08228749165575312
1583,0.00016500994495741443,5.865574174669201e-06,0.00015914437078274523,0.0821224817107957
1584,0.00016469871982302629,5.851472693147663e-06,0.00015884724712987862,0.08195778299097267
1585,0.0001643879913349017,5.837409009537236e-06,0.00015855058232536445,0.08179339499963777
1586,0.000164077759134505,5.823383006055186e-06,0.00015825437612844982,0.08162931724050326
1587,0.0001637680228611547,5.80939456535234e-06,0.00015795862829580238,0.08146554921764211
1588,0.00016345878215203902,5.795443570511215e-06,0.0001576633385815278,0.08130209043549007
1589,0.00016315003664223225,5.781529905044179e-06,0.0001573685067371881,0.08113894039884784
1590,0.00016284178596471087,5.767653452891606e-06,0.00015707413251181927,0.08097609861288313
1591,0.00016253402975036912,5.753814098420052e-06,0.00015678021565194907,0.08081356458313275
1592,0.00016222676762803526,5.740011726420424e-06,0.00015648675590161483,0.08065133781550472
1593,0.00016191999922448674,5.726246222106174e-06,0.00015619375300238056,0.08048941781628023
1594,0.00016161372416446647,5.712517471111495e-06,0.000155901206693355,0.08032780409211576
1595,0.0001613079420706983,5.698825359489525e-06,0.00015560911671120878,0.08016649615004506
1596,0.0001610026525639022,5.685169773710555e-06,0.00015531748279019164,0.08000549349748115
1597,0.00016069785526281007,5.6715506006602575e-06,0.0001550263046621498,0.07984479564221834
1598,0.0001603935497841811,5.657967727637917e-06,0.00015473558205654318,0.07968440209243413
1599,0.00016008973574281702,5.644421042354665e-06,0.00015444531470046235,0.07952431235669132
1600,0.00015978641275157722,5.630910432931731e-06,0.0001541555023186455,0.07936452594393974
1601,0.00015948358042139436,5.617435787898701e-06,0.00015386614463349564,0.07920504236351834
1602,0.0001591812383612889,5.603996996191776e-06,0.0001535772413650971,0.07904586112515705
1603,0.00015887938617838447,5.590593947152045e-06,0.00015328879223123243,0.07888698173897866
1604,0.00015857802347792288,5.577226530523778e-06,0.0001530007969473991,0.07872840371550073
1605,0.0001582771498632789,5.563894636452704e-06,0.00015271325522682618,0.07857012656563744
1606,0.00015797676493597493,5.550598155484309e-06,0.00015242616678049062,0.07841214980070146
1607,0.00015767686829569602,5.53733697856215e-06,0.00015213953131713387,0.07825447293240577
1608,0.0001573774595403045,5.5241109970261625e-06,0.00015185334854327836,0.07809709547286545
1609,0.00015707853826585434,5.510920102610986e-06,0.00015156761816324335,0.07794001693459959
1610,0.00015678010406660597,5.497764187444292e-06,0.00015128233987916169,0.07778323683053297
1611,0.00015648215653504068,5.48464314404513e-06,0.00015099751339099556,0.07762675467399793
1612,0.0001561846952618749,5.47155686532226e-06,0.00015071313839655265,0.07747056997873605
1613,0.00015588771983607468,5.458505244572523e-06,0.00015042921459150217,0.07731468225889998
1614,0.00015559122984486984,5.445488175479188e-06,0.00015014574166939066,0.0771590910290551
1615,0.00015529522487376814,5.432505552110334e-06,0.0001498627193216578,0.07700379580418132
1616,0.00015499970450656977,5.4195572689172284e-06,0.00014958014723765253,0.07684879609967475
1617,0.00015470466832538072,5.406643220732698e-06,0.000149298025104648,0.07669409143134936
1618,0.0001544101159106274,5.393763302769538e-06,0.00014901635260785787,0.07653968131543874
1619,0.00015411604684107026,5.380917410618912e-06,0.00014873512943045135,0.07638556526859767
1620,0.00015382246069381775,5.3681054402487445e-06,0.000148454355253569,0.07623174280790386
1621,0.00015352935704433996,5.355327288002164e-06,0.0001481740297563378,0.07607821345085952
1622,0.00015323673546648248,5.3425828505959e-06,0.0001478941526158866,0.07592497671539303
1623,0.0001529445955324801,5.329872025118737e-06,0.00014761472350736135,0.07577203211986054
1624,0.00015265293681297016,5.317194709029936e-06,0.00014733574210394021,0.07561937918304758
1625,0.0001523617588770063,5.304550800157692e-06,0.0001470572080768486,0.07546701742417057
1626,0.00015207106129207186,5.291940196697583e-06,0.00014677912109537427,0.0753149463628785
1627,0.00015178084362409329,5.279362797211036e-06,0.00014650148082688224,0.0751631655192544
1628,0.0001514911054374532,5.266818500623789e-06,0.00014622428693682941,0.07501167441381694
1629,0.00015120184629500408,5.254307206224368e-06,0.00014594753908877972,0.07486047256752193
1630,0.00015091306575808124,5.241828813662579e-06,0.00014567123694441867,0.07470955950176383
1631,0.00015062476338651584,5.229383222947984e-06,0.00014539538016356785,0.07455893473837731
