Wy,x_start,w_fast,w_slow,fast_skip,slow_skip,delta_fast,delta_slow,phase,sep_mode_width,peak_ratio,valley_over_max,t_peak1,t_peak2,p_m1,p_m2,t_mode_m1,t_mode_m2,absorbed_mass,survival_tail
10,8,0,0,1,1,0.85,0.85,0,1.2762886597938143,,,,,0.6441168645862385,0.3558831354137615,44,1282,0.989718025435834,0.010281974564125253
10,10,0,0,1,1,0.85,0.85,0,1.164118246687054,,,,,0.6172635027478917,0.3827364972521083,87,1229,0.9904473607293336,0.009552639270623987
10,12,0,0,1,1,0.85,0.85,0,1.060544904137235,,,,,0.5955872417539623,0.4044127582460378,123,1174,0.9913697841909902,0.008630215808966968
10,14,0,0,1,1,0.85,0.85,0,0.9481555333998006,,,,,0.5777430744468882,0.42225692555311184,163,1114,0.9923686142644574,0.007631385735497852
10,16,0,0,1,1,0.85,0.85,0,0.8297244094488189,,,,,0.5628179193929834,0.43718208060701635,207,1050,0.9933601608403004,0.006639839159655713
10,18,0,0,1,1,0.85,0.85,0,0.7091439688715954,,,,,0.5501427252748765,0.44985727472512366,254,983,0.9942851055944784,0.005714894405477622
10,20,0,0,1,1,0.85,0.85,0,0.5864227250842562,,,,,0.5392033436896777,0.46079665631032224,304,913,0.9951026863482996,0.004897313651658559
10,22,0,0,1,1,0.85,0.85,0,0.4610978520286396,,,,,0.5295889559472647,0.4704110440527351,358,841,0.9957861646499075,0.004213835350045937
11,6,0,0,1,1,0.85,0.85,0,1.3912606730286288,,,,,0.6848494939128311,0.3151505060871687,9,1394,0.9852127059421723,0.014787294057790024
11,8,0,0,1,1,0.85,0.85,0,1.2644787644787645,,,,,0.6513632645817552,0.34863673541824475,32,1342,0.9856009284128504,0.014399071587107787
11,10,0,0,1,1,0.85,0.85,0,1.1350071056371387,,,,,0.6247538784984839,0.3752461215015161,90,1288,0.986457268856133,0.01354273114382241
11,12,0,0,1,1,0.85,0.85,0,1.0314111579934364,,,,,0.6028772987191477,0.39712270128085214,130,1230,0.9875779404473507,0.012422059552602803
11,14,0,0,1,1,0.85,0.85,0,0.9244320815948076,,,,,0.5845353227786746,0.4154646772213254,171,1168,0.9888208675726478,0.011179132427307871
11,16,0,0,1,1,0.85,0.85,0,0.8091533180778032,,,,,0.5689226686268231,0.43107733137317694,217,1101,0.9900802105141051,0.009919789485846112
11,18,0,0,1,1,0.85,0.85,0,0.6907775768535263,,,,,0.5554434455696373,0.4445565544303625,266,1030,0.9912768739858413,0.008723126014111404
11,20,0,0,1,1,0.85,0.85,0,0.5718120805369128,,,,,0.5436314077791795,0.45636859222082043,318,957,0.9923526732946616,0.007647326705289242
11,22,0,0,1,1,0.85,0.85,0,0.45075421472937,,,,,0.5331062850396423,0.4668937149603578,374,882,0.9932658187237089,0.006734181276243312
12,6,0,0,1,1,0.85,0.85,0,1.3667296786389413,,,,,0.6898588107606787,0.3101411892393212,9,1455,0.9803758327979836,0.019624167201976562
12,8,0,0,1,1,0.85,0.85,0,1.2490875912408759,,,,,0.6570904330485924,0.3429095669514075,31,1400,0.9807566607570786,0.019243339242879756
12,10,0,0,1,1,0.85,0.85,0,1.1181172291296626,,,,,0.6307922219685889,0.3692077780314111,85,1344,0.981715996803361,0.01828400319659255
12,12,0,0,1,1,0.85,0.85,0,1.0096406660823838,,,,,0.6088791584655483,0.3911208415344516,131,1283,0.9830114523450701,0.01698854765488407
12,14,0,0,1,1,0.85,0.85,0,0.9030303030303031,,,,,0.5902346328964917,0.40976536710350825,175,1218,0.9844769147720811,0.015523085227872768
12,16,0,0,1,1,0.85,0.85,0,0.7905982905982906,,,,,0.5741283975599125,0.42587160244008737,223,1148,0.9859864761616368,0.0140135238383148
12,18,0,0,1,1,0.85,0.85,0,0.6759493670886076,,,,,0.5600239777371826,0.43997602226281757,274,1075,0.9874425161259496,0.012557483874000776
12,20,0,0,1,1,0.85,0.85,0,0.5575959933222037,,,,,0.5474989724853873,0.45250102751461274,330,998,0.9887695185338624,0.011230481466086264
12,22,0,0,1,1,0.85,0.85,0,0.4392059553349876,,,,,0.5362042068133207,0.46379579318667946,388,919,0.9899097523176453,0.010090247682303717
13,6,0,0,1,1,0.85,0.85,0,1.346774193548387,,,,,0.6946027237712186,0.30539727622878143,9,1512,0.9752713904501296,0.024728609549828567
13,8,0,0,1,1,0.85,0.85,0,1.238384715588363,,,,,0.6624900814848518,0.3375099185151484,30,1456,0.9756081122706917,0.024391887729260615
13,10,0,0,1,1,0.85,0.85,0,1.1084135621598996,,,,,0.6364766634206054,0.36352333657939456,73,1397,0.9766246655288012,0.02337533447115185
13,12,0,0,1,1,0.85,0.85,0,0.989282769991756,,,,,0.6145289412740843,0.3854710587259158,134,1334,0.9780446381298848,0.02195536187006421
13,14,0,0,1,1,0.85,0.85,0,0.8828315703824248,,,,,0.5956033712715886,0.40439662872841153,182,1267,0.9796824457246127,0.020317554275336543
13,16,0,0,1,1,0.85,0.85,0,0.7726907630522089,,,,,0.5790376247326006,0.4209623752673994,232,1194,0.9813954805588943,0.018604519441051945
13,18,0,0,1,1,0.85,0.85,0,0.6597938144329897,,,,,0.5643493175761717,0.43565068242382815,285,1117,0.9830696857628844,0.01693031423706015
13,20,0,0,1,1,0.85,0.85,0,0.5448843590748726,,,,,0.5511561260142978,0.4488438739857022,342,1037,0.9846132752983051,0.015386724701639263
13,22,0,0,1,1,0.85,0.85,0,0.4296814296814297,,,,,0.5391374735535068,0.46086252644649345,403,956,0.9859529281858396,0.014047071814105408
14,6,0,0,1,1,0.85,0.85,0,1.3223070398642918,,,,,0.6985527369293109,0.3014472630706892,9,1568,0.969530650025477,0.03046934997447591
14,8,0,0,1,1,0.85,0.85,0,1.2263681592039801,,,,,0.6669301164898156,0.33306988351018446,30,1509,0.969785323890243,0.030214676109708606
14,10,0,0,1,1,0.85,0.85,0,1.1064168991630132,,,,,0.6411725779810117,0.3588274220189883,60,1448,0.9708278544612159,0.029172145538733218
14,12,0,0,1,1,0.85,0.85,0,0.9758378799688231,,,,,0.6192487462474978,0.3807512537525022,131,1383,0.9723407862697304,0.027659213730216466
14,14,0,0,1,1,0.85,0.85,0,0.8661296509397776,,,,,0.6001463445226192,0.39985365547738083,183,1312,0.974117839729091,0.025882160270852994
14,16,0,0,1,1,0.85,0.85,0,0.7577592732778198,,,,,0.5832433566589704,0.4167566433410296,236,1237,0.9760009367680575,0.023999063231883756
14,18,0,0,1,1,0.85,0.85,0,0.6462457975345536,,,,,0.5680957592692623,0.43190424073073785,292,1157,0.9778614345494852,0.02213856545045743
14,20,0,0,1,1,0.85,0.85,0,0.5341706686368674,,,,,0.5543534660719593,0.44564653392804054,351,1074,0.9795929190119883,0.02040708098795167
14,22,0,0,1,1,0.85,0.85,0,0.4207830223197951,,,,,0.5417214141915984,0.45827858580840164,414,989,0.9811076718196503,0.018892328180291487
15,6,0,0,1,1,0.85,0.85,0,1.303152789005659,,,,,0.7023052213154733,0.29769477868452665,9,1621,0.9636398987433323,0.0363601012566205
15,8,0,0,1,1,0.85,0.85,0,1.2194344882516925,,,,,0.6711363487684879,0.328863651231512,29,1560,0.9637803287492784,0.03621967125067006
15,10,0,0,1,1,0.85,0.85,0,1.1015267175572518,,,,,0.6456184240858736,0.35438157591412633,54,1497,0.9648073896647693,0.03519261033517443
15,12,0,0,1,1,0.85,0.85,0,0.9637841832963784,,,,,0.6237194447428347,0.3762805552571652,126,1430,0.9663649647984465,0.03363503520149425
15,14,0,0,1,1,0.85,0.85,0,0.8501818181818181,,,,,0.6044541961952012,0.3955458038047988,188,1357,0.9682293516553561,0.031770648344583194
15,16,0,0,1,1,0.85,0.85,0,0.7426523297491039,,,,,0.5872368682421485,0.4127631317578514,243,1279,0.9702301163049679,0.029769883694971955
15,18,0,0,1,1,0.85,0.85,0,0.6341118188251946,,,,,0.5716584041350733,0.4283415958649268,301,1197,0.9722266769400754,0.027773323059861563
15,20,0,0,1,1,0.85,0.85,0,0.5230769230769231,,,,,0.5573983878707736,0.4426016121292265,362,1110,0.9741001726819825,0.0258998273179539
15,22,0,0,1,1,0.85,0.85,0,0.4113573407202216,,,,,0.5441854787021149,0.4558145212978851,428,1022,0.9757503031322979,0.02424969686764197
16,6,0,0,1,1,0.85,0.85,0,1.2809853733641263,,,,,0.7056312932299059,0.29436870677009397,9,1673,0.9571661643743257,0.042833835625622686
16,8,0,0,1,1,0.85,0.85,0,1.2087155963302751,,,,,0.6747685101885942,0.3252314898114057,29,1610,0.9571443653838285,0.042855634616116446
16,10,0,0,1,1,0.85,0.85,0,1.0946441672780631,,,,,0.6494271422792627,0.3505728577207376,53,1545,0.9581189576730789,0.04188104232686038
16,12,0,0,1,1,0.85,0.85,0,0.9640084685956246,,,,,0.6275559228445513,0.37244407715544875,109,1475,0.9596865917166228,0.04031340828331773
16,14,0,0,1,1,0.85,0.85,0,0.8402489626556017,,,,,0.6081738006670803,0.3918261993329197,185,1400,0.9616027410703394,0.03839725892960032
16,16,0,0,1,1,0.85,0.85,0,0.7311095983662356,,,,,0.5907120884177984,0.4092879115822017,245,1319,0.9636841956941499,0.03631580430578697
16,18,0,0,1,1,0.85,0.85,0,0.622356495468278,,,,,0.5747833917869254,0.4252166082130747,306,1233,0.9657795650488353,0.03422043495110339
16,20,0,0,1,1,0.85,0.85,0,0.5140961857379768,,,,,0.5600887653257247,0.43991123467427534,369,1144,0.9677593398653197,0.03224066013461401
16,22,0,0,1,1,0.85,0.85,0,0.4045977011494253,,,,,0.5463761696266431,0.4536238303733569,437,1053,0.9695126198863104,0.03048738011362438
17,6,0,0,1,1,0.85,0.85,0,1.2621502209131075,,,,,0.7088016186246848,0.2911983813753152,9,1723,0.9506273892510988,0.0493726107488489
17,8,0,0,1,1,0.85,0.85,0,1.1991166728008833,,,,,0.678224911274265,0.32177508872573507,29,1658,0.9504160061738862,0.04958399382605666
17,10,0,0,1,1,0.85,0.85,0,1.089171974522293,,,,,0.6530516079245281,0.34694839207547185,52,1591,0.9513034266400117,0.04869657335992514
17,12,0,0,1,1,0.85,0.85,0,0.96614759647935,,,,,0.6312100928169118,0.36878990718308824,92,1519,0.9528399852249422,0.047160014774994964
17,14,0,0,1,1,0.85,0.85,0,0.8296540362438221,,,,,0.6117213930780178,0.38827860692198196,183,1442,0.9547623119041625,0.045237688095774754
17,16,0,0,1,1,0.85,0.85,0,0.7187297472456254,,,,,0.5940316077369958,0.4059683922630042,250,1359,0.956876763101075,0.04312323689886025
17,18,0,0,1,1,0.85,0.85,0,0.6115015974440895,,,,,0.5777729085290053,0.4222270914709947,313,1270,0.959023547157944,0.04097645284199213
17,20,0,0,1,1,0.85,0.85,0,0.5045784654246921,,,,,0.5626661672612965,0.4373338327387035,379,1178,0.9610648672974309,0.03893513270250345
17,22,0,0,1,1,0.85,0.85,0,0.39637386683338544,,,,,0.5484774715160677,0.4515225284839324,449,1083,0.962881483613117,0.03711851638681752
18,6,0,0,1,1,0.85,0.85,0,1.2417195207892882,,,,,0.7117692981892664,0.2882307018107335,9,1771,0.9435698225434691,0.05643017745647797
18,8,0,0,1,1,0.85,0.85,0,1.184870979144574,,,,,0.6813606945661542,0.3186393054338456,29,1705,0.94311253971642,0.05688746028352067
18,10,0,0,1,1,0.85,0.85,0,1.0834473324213407,,,,,0.6562865474194148,0.34371345258058517,52,1636,0.943870409477654,0.056129590522282356
18,12,0,0,1,1,0.85,0.85,0,0.964390721986279,,,,,0.6344512447511601,0.36554875524884,86,1562,0.9453390786256682,0.05466092137426811
18,14,0,0,1,1,0.85,0.85,0,0.8273903439570842,,,,,0.6148672048487325,0.38513279515126736,171,1482,0.9472319982432162,0.05276800175671982
18,16,0,0,1,1,0.85,0.85,0,0.7099969049829774,,,,,0.596983765025448,0.40301623497455186,249,1396,0.9493434778930765,0.050656522106856304
18,18,0,0,1,1,0.85,0.85,0,0.6026227508386703,,,,,0.5804430573632529,0.4195569426367472,316,1304,0.9515055161480223,0.048494483851908396
18,20,0,0,1,1,0.85,0.85,0,0.49563384522734116,,,,,0.5649788713313615,0.43502112866863857,385,1208,0.9535733222749915,0.04642667772493754
18,22,0,0,1,1,0.85,0.85,0,0.38986587183308496,,,,,0.5503710296288777,0.4496289703711224,457,1111,0.9554211872719911,0.04457881272794046
19,6,0,0,1,1,0.85,0.85,0,1.2250423011844331,,,,,0.714605340895249,0.2853946591047508,9,1819,0.9365157452629302,0.0634842547370161
