t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
203,20,nan,nan,nan,nan,nan,nan
204,17,nan,nan,nan,nan,nan,nan
205,18,nan,nan,nan,nan,nan,nan
206,24,nan,nan,nan,nan,nan,nan
207,28,nan,nan,nan,nan,nan,nan
208,16,nan,nan,nan,nan,nan,nan
209,15,nan,nan,nan,nan,nan,nan
210,17,nan,nan,nan,nan,nan,nan
211,13,nan,nan,nan,nan,nan,nan
212,20,nan,nan,nan,nan,nan,nan
213,13,nan,nan,nan,nan,nan,nan
214,29,nan,nan,nan,nan,nan,nan
215,25,nan,nan,nan,nan,nan,nan
216,20,nan,nan,nan,nan,nan,nan
217,21,nan,nan,nan,nan,nan,nan
218,26,nan,nan,nan,nan,nan,nan
219,20,nan,nan,nan,nan,nan,nan
220,17,nan,nan,nan,nan,nan,nan
221,15,nan,nan,nan,nan,nan,nan
222,26,nan,nan,nan,nan,nan,nan
223,19,nan,nan,nan,nan,nan,nan
224,19,nan,nan,nan,nan,nan,nan
225,17,nan,nan,nan,nan,nan,nan
226,13,nan,nan,nan,nan,nan,nan
227,17,nan,nan,nan,nan,nan,nan
228,23,nan,nan,nan,nan,nan,nan
229,18,nan,nan,nan,nan,nan,nan
230,20,nan,nan,nan,nan,nan,nan
231,14,nan,nan,nan,nan,nan,nan
232,18,nan,nan,nan,nan,nan,nan
233,14,nan,nan,nan,nan,nan,nan
234,19,nan,nan,nan,nan,nan,nan
235,14,nan,nan,nan,nan,nan,nan
236,21,nan,nan,nan,nan,nan,nan
237,12,nan,nan,nan,nan,nan,nan
238,14,nan,nan,nan,nan,nan,nan
239,24,nan,nan,nan,nan,nan,nan
240,16,nan,nan,nan,nan,nan,nan
241,19,nan,nan,nan,nan,nan,nan
242,18,nan,nan,nan,nan,nan,nan
243,13,nan,nan,nan,nan,nan,nan
244,22,nan,nan,nan,nan,nan,nan
245,22,nan,nan,nan,nan,nan,nan
246,17,nan,nan,nan,nan,nan,nan
247,15,nan,nan,nan,nan,nan,nan
248,26,nan,nan,nan,nan,nan,nan
249,17,nan,nan,nan,nan,nan,nan
250,20,nan,nan,nan,nan,nan,nan
251,18,nan,nan,nan,nan,nan,nan
252,23,nan,nan,nan,nan,nan,nan
253,11,nan,nan,nan,nan,nan,nan
254,17,nan,nan,nan,nan,nan,nan
255,13,nan,nan,nan,nan,nan,nan
256,25,nan,nan,nan,nan,nan,nan
257,24,nan,nan,nan,nan,nan,nan
258,21,nan,nan,nan,nan,nan,nan
259,21,nan,nan,nan,nan,nan,nan
260,11,nan,nan,nan,nan,nan,nan
261,23,nan,nan,nan,nan,nan,nan
262,21,nan,nan,nan,nan,nan,nan
263,28,nan,nan,nan,nan,nan,nan
264,10,nan,nan,nan,nan,nan,nan
265,20,nan,nan,nan,nan,nan,nan
266,21,nan,nan,nan,nan,nan,nan
267,12,nan,nan,nan,nan,nan,nan
268,15,nan,nan,nan,nan,nan,nan
269,16,nan,nan,nan,nan,nan,nan
270,16,nan,nan,nan,nan,nan,nan
271,19,nan,nan,nan,nan,nan,nan
272,16,nan,nan,nan,nan,nan,nan
273,17,nan,nan,nan,nan,nan,nan
274,18,nan,nan,nan,nan,nan,nan
275,15,nan,nan,nan,nan,nan,nan
276,25,nan,nan,nan,nan,nan,nan
277,18,nan,nan,nan,nan,nan,nan
278,19,nan,nan,nan,nan,nan,nan
279,18,nan,nan,nan,nan,nan,nan
280,17,nan,nan,nan,nan,nan,nan
281,9,nan,nan,nan,nan,nan,nan
282,16,nan,nan,nan,nan,nan,nan
283,15,nan,nan,nan,nan,nan,nan
284,15,nan,nan,nan,nan,nan,nan
285,23,nan,nan,nan,nan,nan,nan
286,10,nan,nan,nan,nan,nan,nan
287,17,nan,nan,nan,nan,nan,nan
288,10,nan,nan,nan,nan,nan,nan
289,17,nan,nan,nan,nan,nan,nan
290,17,nan,nan,nan,nan,nan,nan
291,16,nan,nan,nan,nan,nan,nan
292,20,nan,nan,nan,nan,nan,nan
293,12,nan,nan,nan,nan,nan,nan
294,13,nan,nan,nan,nan,nan,nan
295,15,nan,nan,nan,nan,nan,nan
296,15,nan,nan,nan,nan,nan,nan
297,15,nan,nan,nan,nan,nan,nan
298,17,nan,nan,nan,nan,nan,nan
299,13,nan,nan,nan,nan,nan,nan
300,17,nan,nan,nan,nan,nan,nan
301,14,nan,nan,nan,nan,nan,nan
302,23,nan,nan,nan,nan,nan,nan
303,19,nan,nan,nan,nan,nan,nan
304,15,nan,nan,nan,nan,nan,nan
305,13,nan,nan,nan,nan,nan,nan
306,13,nan,nan,nan,nan,nan,nan
307,20,nan,nan,nan,nan,nan,nan
308,21,nan,nan,nan,nan,nan,nan
