N,K,beta,t1,tv,t2,h1,hv,h2,h2_over_h1,hv_over_max,tail_gamma,aw_mass_in_window
100,2,0.16,40,,,0.0016764869199554003,,,,,0.0008054270998886919,0.9641076478886255
100,2,0.17,40,,,0.0017581811211116265,,,,,0.0008170679548964839,0.9663740395694643
100,2,0.18,39,,,0.0018377986465190263,,,,,0.0008277755509830504,0.9683595072376705
100,2,0.19,39,,,0.00191562923992008,,,,,0.0008376466981837501,0.9701092680366943
100,2,0.2,39,,,0.00199143328470986,,,,,0.0008467665324782588,0.971659850096647
100,4,0.0,517,,,0.0005954889589412345,,,,,0.0007939091187194526,0.946854865474285
100,4,0.01,32,84.0,495.0,0.00011037965372911179,9.524113190909772e-05,0.0006226550398850272,5.641030922357448,0.15295970611060006,0.0008519520975033222,0.9581465975649193
100,4,0.02,31,95.0,475.0,0.0002184030863737083,0.00018091953558840694,0.0006474699667403263,2.9645641803451626,0.27942537087742075,0.000907127664855887,0.9666670000318998
100,4,0.03,31,103.0,457.0,0.0003241531584671664,0.00025974703450530286,0.0006702535002771746,2.0677062146999403,0.38753551364951894,0.0009595894832271792,0.9731688115403285
100,4,0.04,30,110.0,440.0,0.0004277086622576214,0.0003325512922343875,0.0006912753514928097,1.6162294863142947,0.4810692172319507,0.00100948419224094,0.9781835353924382
100,4,0.05,30,117.0,424.0,0.0005292038346876978,0.0003998359106629408,0.0007107643742588576,1.3430824337815037,0.5625435448700783,0.0010569514632434059,0.982090793897764
100,4,0.06,30,123.0,409.0,0.0006286367837512033,0.00046200049457813675,0.0007289171477316655,1.1595203567027512,0.6338175690006018,0.0011021241002103683,0.9851647250126705
100,4,0.07,29,129.0,395.0,0.0007261294396181798,0.000519361187056547,0.0007459052965425383,1.0272346166473532,0.696283012687963,0.0011451281795840525,0.9876053860722758
100,4,0.08,29,135.0,382.0,0.0008217874374797849,0.0005722000761650978,0.0007618797502875162,0.9271007508024331,0.6962872028317826,0.001186083222351698,0.9895602499831763
100,4,0.09,29,141.0,369.0,0.0009155751883404659,0.000620772459616542,0.000776976365086798,0.8486210362418335,0.6780136328745744,0.0012251023918411622,0.9911390795746391
100,4,0.1,28,148.0,356.0,0.001007570674065636,0.0006653058286314863,0.0007913168189799211,0.7853710308845021,0.6603068606065309,0.001262292711631117,0.9924243274867985
100,4,0.11,28,154.0,344.0,0.0010979989457660132,0.0007060132549631163,0.0008050181454050639,0.7331684137851764,0.6429999388301505,0.001297755298160337,0.9934784806011485
100,4,0.12,28,161.0,332.0,0.001186726601915262,0.0007430885319696251,0.0008181890842273265,0.6894503611083197,0.6261665751575402,0.0013315856037202452,0.9943492967495646
100,4,0.13,28,168.0,320.0,0.0012737939833974553,0.0007766941308475041,0.0008309408274277372,0.6523353369996748,0.6097486257360947,0.0013638736655568959,0.9950735732087641
100,4,0.14,27,176.0,308.0,0.0013593371749116058,0.0008069751482753506,0.0008433913295237335,0.6204430696737011,0.5936534093006219,0.0013947043579676452,0.995679882798596
100,4,0.15,27,185.0,295.0,0.0014435146838555775,0.0008340331247583618,0.0008556789759117697,0.5927746946267848,0.5777794532236336,0.0014241576442784443,0.9961905774372523
100,4,0.16,27,195.0,280.0,0.0015261775791344722,0.0008579048858241739,0.0008679921892895227,0.5687360377694577,0.5621265163066477,0.001452308826404568,0.9966232673665506
100,4,0.17,27,210.0,261.0,0.001607360405804226,0.0008784723486484817,0.0008806631072069543,0.5478939906861298,0.5465310365219226,0.0014792287900824979,0.9969919219175718
100,4,0.18,27,,,0.0016870967826483,,,,,0.0015049842440662646,0.9973076948864418
100,4,0.19,26,,,0.0017657362418448581,,,,,0.0015296379522360905,0.9975795479539171
100,4,0.2,26,,,0.0018430689980142,,,,,0.001553248957590067,0.9978147248854441
