workload_id,family,geometry_id,geometry_kind,t_max,defect_pairs,local_bias_sites,defect_bin,sparse_seconds,luca_seconds,linear_mfpt_seconds,luca_mode,speedup_sparse_over_luca,winner_fullfpt,sparse_wall_samples,luca_reported_samples,luca_wall_samples,linear_wall_samples,l1_error,linf_error,estimation_components_json
TT_CORR_W22_S3_T300,two_target,TT_CORR_W22_S3,corridor,300,490,246,"[301,700]",0.0028899579774588346,21.152828263351694,0.018124083057045937,estimate,0.00013662276937528148,sparse,"[0.003587790997698903, 0.0028899579774588346, 0.0028520419728010893]","[21.587079304270446, 21.043905396480113, 21.152828263351694]","[0.6951696670148522, 0.6786729579325765, 0.6810795419150963]","[0.0182136669754982, 0.018124083057045937, 0.01790683309081942]",,,"{""setup_seconds"": 0.01904837496113032, ""eval_seconds_sampled"": 0.6604300420731306, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.8542050383985043e-05, ""estimated_total_seconds"": 21.152828263351694, ""defect_pairs"": 490, ""defect_nodes"": 253}"
TT_CORR_W22_S3_T600,two_target,TT_CORR_W22_S3,corridor,600,490,246,"[301,700]",0.009770667064003646,41.97150643717032,0.017739875009283423,estimate,0.00023279286100035383,sparse,"[0.01001162501052022, 0.009770667064003646, 0.007981790928170085]","[41.886234475299716, 41.97150643717032, 53.459398376755416]","[0.6752649159170687, 0.6752343340776861, 0.8560257919598371]","[0.01710445899516344, 0.0179160829866305, 0.017739875009283423]",,,"{""setup_seconds"": 0.019321125000715256, ""eval_seconds_sampled"": 0.8350007500266656, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.9250048100948334e-05, ""estimated_total_seconds"": 53.459398376755416, ""defect_pairs"": 490, ""defect_nodes"": 253}"
TT_CORR_W22_S3_T1200,two_target,TT_CORR_W22_S3,corridor,1200,490,246,"[301,700]",0.014793875045143068,84.97574791207444,0.016925415955483913,estimate,0.0001740952613968222,sparse,"[0.01589058304671198, 0.013894332922063768, 0.014793875045143068]","[85.11887095868587, 84.97574791207444, 84.51626137748826]","[0.6854019589954987, 0.6853342079557478, 0.6813944589812309]","[0.016925415955483913, 0.016544625046662986, 0.017759624985046685]",,,"{""setup_seconds"": 0.01923849992454052, ""eval_seconds_sampled"": 0.6601327080279589, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.62499849870801e-05, ""estimated_total_seconds"": 84.51626137748826, ""defect_pairs"": 490, ""defect_nodes"": 253}"
TT_CORR_W23_S0_T300,two_target,TT_CORR_W23_S0,corridor,300,650,326,"[301,700]",0.005764625035226345,42.80216261174064,0.016751333023421466,estimate,0.0001346806956348768,sparse,"[0.002909707953222096, 0.007013041991740465, 0.005764625035226345]","[42.46376744948793, 42.80216261174064, 43.00115746911615]","[1.3591772919753566, 1.3700247920351103, 1.3756411250215024]","[0.01474054204300046, 0.016751333023421466, 0.017739292001351714]",,,"{""setup_seconds"": 0.029600791982375085, ""eval_seconds_sampled"": 1.342860542004928, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.9332976080477238e-05, ""estimated_total_seconds"": 43.00115746911615, ""defect_pairs"": 650, ""defect_nodes"": 335}"
TT_CORR_W23_S0_T600,two_target,TT_CORR_W23_S0,corridor,600,650,326,"[301,700]",0.006110416958108544,84.9149412981933,0.01920508302282542,estimate,7.195926729373542e-05,sparse,"[0.006110416958108544, 0.006373166106641293, 0.006023499998264015]","[84.9149412981933, 87.46063766814768, 82.50293529441115]","[1.359564874903299, 1.399277999997139, 1.3220516659785062]","[0.01944612490478903, 0.01920508302282542, 0.01812266604974866]",,,"{""setup_seconds"": 0.030158124980516732, ""eval_seconds_sampled"": 1.2886367910541594, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.2541964426636696e-05, ""estimated_total_seconds"": 82.50293529441115, ""defect_pairs"": 650, ""defect_nodes"": 335}"
TT_CORR_W23_S0_T1200,two_target,TT_CORR_W23_S0,corridor,1200,650,326,"[301,700]",0.011493625002913177,170.54372008156497,0.023183833924122155,estimate,6.73940089814869e-05,sparse,"[0.016286500031128526, 0.011252249940298498, 0.011493625002913177]","[170.54372008156497, 173.9054814055562, 155.28773499373347]","[1.3642687080428004, 1.3917987500317395, 1.2455301249865443]","[0.03348175005521625, 0.023183833924122155, 0.01927183393854648]",,,"{""setup_seconds"": 0.02823679195716977, ""eval_seconds_sampled"": 1.2129644999513403, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 4.2208004742860794e-05, ""estimated_total_seconds"": 155.28773499373347, ""defect_pairs"": 650, ""defect_nodes"": 335}"
TT_CORR_W23_S1_T300,two_target,TT_CORR_W23_S1,corridor,300,640,321,"[301,700]",0.0029322089394554496,39.272274156915955,0.01786550006363541,estimate,7.466358906895845e-05,sparse,"[0.002894833916798234, 0.0029322089394554496, 0.003742625005543232]","[39.272274156915955, 39.15283836249728, 40.47729903005529]","[1.2554861248936504, 1.254378458019346, 1.2966733750654384]","[0.017879540915600955, 0.01786550006363541, 0.01695416704751551]",,,"{""setup_seconds"": 0.029170625028200448, ""eval_seconds_sampled"": 1.264003457967192, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.7750076949596405e-05, ""estimated_total_seconds"": 40.47729903005529, ""defect_pairs"": 640, ""defect_nodes"": 330}"
TT_CORR_W23_S1_T600,two_target,TT_CORR_W23_S1,corridor,600,640,321,"[301,700]",0.007765249931253493,74.35270020738244,0.01705429097637534,estimate,0.00010443803533153306,sparse,"[0.006122165941633284, 0.008378042024560273, 0.007765249931253493]","[71.83603021129966, 74.35270020738244, 81.8159890032839]","[1.1512914160266519, 1.192216041032225, 1.308878374984488]","[0.016545832972042263, 0.01705429097637534, 0.017284000059589744]",,,"{""setup_seconds"": 0.027693415991961956, ""eval_seconds_sampled"": 1.2779417090350762, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.6209047064185143e-05, ""estimated_total_seconds"": 81.8159890032839, ""defect_pairs"": 640, ""defect_nodes"": 330}"
TT_CORR_W23_S1_T1200,two_target,TT_CORR_W23_S1,corridor,1200,640,321,"[301,700]",0.012102707987651229,162.1604942001868,0.017938749981112778,estimate,7.463413359304677e-05,sparse,"[0.011731792008504272, 0.012102707987651229, 0.0180019160034135]","[162.1604942001868, 161.08971058763564, 162.6568582468899]","[1.29813029197976, 1.2880570000270382, 1.3030531249241903]","[0.01989270804915577, 0.017938749981112778, 0.017896707984618843]",,,"{""setup_seconds"": 0.02891629096120596, ""eval_seconds_sampled"": 1.270530499983579, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.7958030588924885e-05, ""estimated_total_seconds"": 162.6568582468899, ""defect_pairs"": 640, ""defect_nodes"": 330}"
TT_CORR_W23_S2_T300,two_target,TT_CORR_W23_S2,corridor,300,632,317,"[301,700]",0.003098290995694697,40.26192749768961,0.01870725001208484,estimate,7.695336980258804e-05,sparse,"[0.003941208007745445, 0.002922666957601905, 0.003098290995694697]","[40.26192749768961, 39.24161775165703, 44.89971839485224]","[1.2883529999526218, 1.259537082980387, 1.4340506670996547]","[0.018514832947403193, 0.020144916023127735, 0.01870725001208484]",,,"{""setup_seconds"": 0.02836474997457117, ""eval_seconds_sampled"": 1.4022292089648545, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.895800232887268e-05, ""estimated_total_seconds"": 44.89971839485224, ""defect_pairs"": 632, ""defect_nodes"": 326}"
