t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
754,64,0.32377740303541314,0.0,0.6762225969645869,0.32377740303541314,0.0,0.0
755,44,nan,nan,nan,nan,nan,nan
756,61,0.3126079447322971,0.0,0.687392055267703,0.3126079447322971,0.0,0.0
757,56,0.3142123287671233,0.0,0.6857876712328768,0.3142123287671233,0.0,0.0
758,61,0.3203463203463203,0.0,0.6796536796536796,0.3203463203463203,0.0,0.0
759,64,0.32068965517241377,0.0,0.6793103448275862,0.32068965517241377,0.0,0.0
760,52,0.32536293766011953,0.0,0.6746370623398804,0.32536293766011953,0.0,0.0
761,55,0.31725888324873097,0.0,0.682741116751269,0.31725888324873097,0.0,0.0
762,44,nan,nan,nan,nan,nan,nan
763,60,0.32157850545759864,0.0,0.6784214945424013,0.32157850545759864,0.0,0.0
764,51,0.3189509306260575,0.0,0.6810490693739425,0.3189509306260575,0.0,0.0
765,51,0.32164242942686055,0.0,0.6783575705731394,0.32164242942686055,0.0,0.0
766,51,0.32370433305012747,0.0,0.6762956669498725,0.32370433305012747,0.0,0.0
767,61,0.32793867120954,0.0,0.67206132879046,0.32793867120954,0.0,0.0
768,48,nan,nan,nan,nan,nan,nan
769,54,0.324114088159032,0.0,0.675885911840968,0.324114088159032,0.0,0.0
770,65,0.32588134135855545,0.0,0.6741186586414445,0.32588134135855545,0.0,0.0
771,68,0.32558139534883723,0.0,0.6744186046511628,0.32558139534883723,0.0,0.0
772,66,0.3310580204778157,0.0,0.6689419795221843,0.3310580204778157,0.0,0.0
773,60,0.32597623089983024,0.0,0.6740237691001698,0.32597623089983024,0.0,0.0
774,46,nan,nan,nan,nan,nan,nan
775,51,0.3298880275624462,0.0,0.6701119724375538,0.3298880275624462,0.0,0.0
776,52,0.33276010318142735,0.0,0.6672398968185727,0.33276010318142735,0.0,0.0
777,58,0.33391003460207613,0.0,0.6660899653979239,0.33391003460207613,0.0,0.0
778,49,nan,nan,nan,nan,nan,nan
779,51,0.32727272727272727,0.0,0.6727272727272727,0.32727272727272727,0.0,0.0
780,70,0.32536293766011953,0.0,0.6746370623398804,0.32536293766011953,0.0,0.0
781,50,0.3184549356223176,0.0,0.6815450643776824,0.3184549356223176,0.0,0.0
782,66,0.3257243195785777,0.0,0.6742756804214223,0.3257243195785777,0.0,0.0
783,50,0.3227792436235708,0.0,0.6772207563764292,0.3227792436235708,0.0,0.0
784,43,nan,nan,nan,nan,nan,nan
785,51,0.3298245614035088,0.0,0.6701754385964912,0.3298245614035088,0.0,0.0
786,53,0.3304195804195804,0.0,0.6695804195804196,0.3304195804195804,0.0,0.0
787,44,nan,nan,nan,nan,nan,nan
788,51,0.3316017316017316,0.0,0.6683982683982684,0.3316017316017316,0.0,0.0
789,57,0.3275862068965517,0.0,0.6724137931034483,0.3275862068965517,0.0,0.0
790,70,0.3241852487135506,0.0,0.6758147512864494,0.3241852487135506,0.0,0.0
791,59,0.3169681309216193,0.0,0.6830318690783808,0.3169681309216193,0.0,0.0
792,42,nan,nan,nan,nan,nan,nan
793,64,0.3125533731853117,0.0,0.6874466268146883,0.3125533731853117,0.0,0.0
794,51,0.3086734693877551,0.0,0.6913265306122449,0.3086734693877551,0.0,0.0
795,58,0.30434782608695654,0.0,0.6956521739130435,0.30434782608695654,0.0,0.0
796,55,0.30305532617671344,0.0,0.6969446738232865,0.30305532617671344,0.0,0.0
797,55,0.30303030303030304,0.0,0.696969696969697,0.30303030303030304,0.0,0.0
798,66,0.3008130081300813,0.0,0.6991869918699187,0.3008130081300813,0.0,0.0
799,54,0.3016260162601626,0.0,0.6983739837398374,0.3016260162601626,0.0,0.0
800,57,0.3012345679012346,0.0,0.6987654320987654,0.3012345679012346,0.0,0.0
801,65,0.30308076602830974,0.0,0.6969192339716903,0.30308076602830974,0.0,0.0
802,62,0.3074380165289256,0.0,0.6925619834710743,0.3074380165289256,0.0,0.0
803,64,0.3073170731707317,0.0,0.6926829268292682,0.3073170731707317,0.0,0.0
804,55,0.30300568643379366,0.0,0.6969943135662063,0.30300568643379366,0.0,0.0
805,63,0.2969894222945484,0.0,0.7030105777054516,0.2969894222945484,0.0,0.0
806,66,0.29623567921440264,0.0,0.7037643207855974,0.29623567921440264,0.0,0.0
807,63,0.2979423868312757,0.0,0.7020576131687243,0.2979423868312757,0.0,0.0
808,53,0.29194078947368424,0.0,0.7080592105263158,0.29194078947368424,0.0,0.0
809,51,0.28795379537953797,0.0,0.7120462046204621,0.28795379537953797,0.0,0.0
810,42,nan,nan,nan,nan,nan,nan
811,56,0.2835093419983753,0.0,0.7164906580016247,0.2835093419983753,0.0,0.0
812,68,0.281505728314239,0.0,0.7184942716857611,0.281505728314239,0.0,0.0
813,62,0.2799671592775041,0.0,0.7200328407224958,0.2799671592775041,0.0,0.0
814,65,0.2858312858312858,0.0,0.7141687141687142,0.2858312858312858,0.0,0.0
815,49,nan,nan,nan,nan,nan,nan
816,51,0.28052805280528054,0.0,0.7194719471947195,0.28052805280528054,0.0,0.0
817,48,nan,nan,nan,nan,nan,nan
818,56,0.2837951301427372,0.0,0.7162048698572628,0.2837951301427372,0.0,0.0
819,62,0.29347826086956524,0.0,0.7065217391304348,0.29347826086956524,0.0,0.0
820,67,0.29083333333333333,0.0,0.7091666666666666,0.29083333333333333,0.0,0.0
821,63,0.29218106995884774,0.0,0.7078189300411523,0.29218106995884774,0.0,0.0
822,56,0.2939719240297275,0.0,0.7060280759702725,0.2939719240297275,0.0,0.0
823,58,0.2960199004975124,0.0,0.7039800995024875,0.2960199004975124,0.0,0.0
824,67,0.3010752688172043,0.0,0.6989247311827957,0.3010752688172043,0.0,0.0
825,55,0.30402010050251255,0.0,0.6959798994974874,0.30402010050251255,0.0,0.0
826,54,0.3076278290025147,0.0,0.6923721709974854,0.3076278290025147,0.0,0.0
827,48,nan,nan,nan,nan,nan,nan
828,60,0.30449251247920134,0.0,0.6955074875207987,0.30449251247920134,0.0,0.0
829,58,0.30477759472817134,0.0,0.6952224052718287,0.30477759472817134,0.0,0.0
830,55,0.3062240663900415,0.0,0.6937759336099585,0.3062240663900415,0.0,0.0
831,57,0.312026913372582,0.0,0.687973086627418,0.312026913372582,0.0,0.0
832,52,0.3158783783783784,0.0,0.6841216216216216,0.3158783783783784,0.0,0.0
833,63,0.31574468085106383,0.0,0.6842553191489362,0.31574468085106383,0.0,0.0
834,65,0.31672297297297297,0.0,0.683277027027027,0.31672297297297297,0.0,0.0
835,50,0.3100511073253833,0.0,0.6899488926746167,0.3100511073253833,0.0,0.0
836,48,nan,nan,nan,nan,nan,nan
837,53,0.32121724429416737,0.0,0.6787827557058326,0.32121724429416737,0.0,0.0
838,55,0.31993299832495814,0.0,0.6800670016750419,0.31993299832495814,0.0,0.0
839,68,0.3196308724832215,0.0,0.6803691275167785,0.3196308724832215,0.0,0.0
840,53,0.3109807208717519,0.0,0.6890192791282481,0.3109807208717519,0.0,0.0
841,51,0.3060884070058382,0.0,0.6939115929941618,0.3060884070058382,0.0,0.0
842,58,0.30259849119865884,0.0,0.6974015088013411,0.30259849119865884,0.0,0.0
