Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_valley,t_peak2,t_mode_near,t_mode_far,peak1_height,peak2_height,peak1_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,survival_tail,t_max_used,horizon_flag
16,0.12,7,7,12,8,58,7,5,1,2,clear,19,211,471,18,471,0.00669592951679299,0.001640930399439706,0.2024337244483225,0.08649354293589748,0.3236735653566667,0.6763264346423227,2.287878787878788,9.95738222920859e-13,12000,ok
16,0.12,7,7,13,8,58,7,6,1,2,clear,25,215,471,25,471,0.00518333071957942,0.001690351156905493,0.17801853151009606,0.08909860853006223,0.3035127678098708,0.6964872321891143,2.207920792079208,9.989020575479612e-13,12000,ok
16,0.12,7,7,14,8,58,7,7,1,2,clear,32,219,471,32,471,0.004202456533737715,0.001729316565251023,0.16140779014811021,0.09115284420515073,0.2877001405660233,0.7122998594329658,2.1207729468599035,9.948996087486857e-13,12000,ok
16,0.12,7,7,15,8,58,7,8,1,2,clear,39,223,471,39,471,0.003524955205175292,0.0017604573098619404,0.14749247878019991,0.0927948817559463,0.275138640266054,0.7248613597329309,2.0377358490566038,9.96118033124141e-13,12000,ok
16,0.12,7,7,16,8,58,7,9,1,2,clear,47,227,471,46,471,0.0030340565345572832,0.0017856257798971617,0.1358445326420008,0.09412235438870695,0.2650583744516524,0.7349416255473324,1.9675925925925926,9.9876873594292e-13,12000,ok
16,0.12,7,7,17,8,58,7,10,1,2,clear,55,230,470,54,471,0.0026680077575969557,0.0018061729372061928,0.12451668957179746,0.09520211078969572,0.2569080368512955,0.7430919631476883,1.8911564625850341,9.986202177060467e-13,12000,ok
16,0.12,7,7,18,8,58,7,11,1,2,clear,63,234,470,63,470,0.0023892173957477504,0.0018230760425771513,0.11448428300851098,0.09609439109987969,0.2502822556266069,0.7497177443723783,1.808888888888889,9.963311314677883e-13,12000,ok
16,0.12,7,7,19,8,58,7,12,1,2,clear,72,237,470,72,470,0.0021733002097038194,0.0018370914486116874,0.10636851191203625,0.09683476452804689,0.24487529194056085,0.7551247080584227,1.737991266375546,9.975408876636993e-13,12000,ok
16,0.12,7,7,9,9,58,7,2,2,2,clear,7,196,469,6,469,0.014383879221842503,0.001642098894982925,0.24368989890722098,0.08655506244829268,0.323991467238383,0.6760085327606032,2.489247311827957,9.976683189684257e-13,12000,ok
16,0.12,7,7,10,9,58,7,3,2,2,clear,10,201,469,9,469,0.010022668330871135,0.0016620259858431997,0.21820617069220455,0.08760291325254396,0.3154261089974648,0.684573891001521,2.4146981627296586,9.987615704974124e-13,12000,ok
16,0.12,7,7,11,9,58,7,4,2,2,clear,15,205,470,14,470,0.0073490878810850676,0.001693208357915119,0.1957964661921552,0.08924890998355511,0.3024817207356336,0.6975182792633506,2.3444730077120823,9.99220714038005e-13,12000,ok
16,0.12,7,7,12,9,58,7,5,2,2,clear,20,210,470,20,470,0.005663434796348866,0.0017251988449209308,0.17441120647649386,0.09093411384221323,0.2893563594785282,0.7106436405204551,2.2613065326633164,9.984029878539485e-13,12000,ok
16,0.12,7,7,13,9,58,7,6,2,2,clear,27,214,470,26,470,0.004558503367679665,0.0017543207983572477,0.1610239706811477,0.09246863845630351,0.2775080243999428,0.7224919755990394,2.1818181818181817,9.998713435363144e-13,12000,ok
16,0.12,7,7,14,9,58,7,7,2,2,clear,33,218,470,33,470,0.003792306160667929,0.001779609625846623,0.14676118981902475,0.09380153009440616,0.26729954574364795,0.7327004542553365,2.1009615384615383,9.983458068202058e-13,12000,ok
16,0.12,7,7,15,9,58,7,8,2,2,clear,40,222,470,40,470,0.0032386460920575755,0.0018011190166780742,0.13635032855301932,0.09493555158551222,0.258688560385255,0.7413114396137277,2.0187793427230045,9.993376365235722e-13,12000,ok
16,0.12,7,7,16,9,58,7,9,2,2,clear,48,226,470,48,470,0.002827213853295983,0.0018192445352738105,0.12713116454774723,0.09589151809817903,0.2515014083424261,0.7484985916565581,1.944700460829493,9.981085130995783e-13,12000,ok
16,0.12,7,7,17,9,58,7,10,2,2,clear,56,230,470,56,470,0.0025138608743815903,0.0018344634947335078,0.1176768514634618,0.09669457692259874,0.24553758417511048,0.7544624158238765,1.8690744920993227,9.950649861901232e-13,12000,ok
16,0.12,7,7,18,9,58,7,11,2,2,clear,64,233,470,64,470,0.002271724170498552,0.0018472402351827981,0.1090791090946329,0.09736920915102375,0.24060722275658122,0.7593927772424041,1.8004434589800444,9.956995490660117e-13,12000,ok
16,0.12,7,7,19,9,58,7,12,2,2,clear,73,237,470,73,470,0.0020826355153935787,0.001857995945752867,0.10205368111283974,0.09793763584102017,0.23654262677211607,0.7634573732268706,1.7336244541484715,9.951383006346826e-13,12000,ok
16,0.12,7,7,9,10,58,7,2,3,2,clear,10,195,468,9,468,0.007559551495308029,0.0018597212102245502,0.16308850346834702,0.0980218515616277,0.2348568860706699,0.7651431139283169,2.4157894736842107,9.95811039380956e-13,12000,ok
16,0.12,7,7,10,10,58,7,3,3,2,clear,14,199,469,13,469,0.006379342621683175,0.0018350428934245913,0.16166009028710615,0.09672432941061002,0.2447287153922472,0.7552712846067391,2.356589147286822,9.951288806176626e-13,12000,ok
16,0.12,7,7,11,10,58,7,4,3,2,clear,18,204,469,18,469,0.0052904130425099425,0.0018287579719734213,0.15297820626551875,0.09639178207645009,0.2471747801074629,0.7528252198915214,2.2893401015228427,9.987395585418133e-13,12000,ok
16,0.12,7,7,12,10,58,7,5,3,2,clear,23,208,469,23,469,0.004412376565147808,0.0018320081034880144,0.14366286544226742,0.09656211997412485,0.24582363713345393,0.7541763628655311,2.218905472636816,9.965222011406246e-13,12000,ok
16,0.12,7,7,13,10,58,7,6,3,2,clear,29,213,470,29,470,0.003741958879723632,0.0018396089542694783,0.1357452169302422,0.09696663528952329,0.2427813417752594,0.757218658223726,2.145985401459854,9.960143557626151e-13,12000,ok
16,0.12,7,7,14,10,58,7,7,3,2,clear,36,217,470,36,470,0.0032308282606956645,0.0018487322273281117,0.12995113512104037,0.09744727561800454,0.23918051278779276,0.7608194872111922,2.071599045346062,9.958067693696763e-13,12000,ok
16,0.12,7,7,15,10,58,7,8,3,2,clear,43,221,470,43,470,0.002837719333428455,0.001857933134915124,0.12307408473556235,0.09793234042738821,0.2355948373296568,0.7644051626693317,1.9953271028037383,9.952512852638244e-13,12000,ok
16,0.12,7,7,16,10,58,7,9,3,2,clear,51,225,470,51,470,0.002533270960066414,0.0018665331042007729,0.11621184869637861,0.09838604128650262,0.2322928332447544,0.7677071667542269,1.9176201372997712,9.99248399842804e-13,12000,ok
16,0.12,7,7,17,10,58,7,10,3,2,clear,59,229,469,59,470,0.002295633052380223,0.0018742664436236906,0.10889300369617942,0.09878981930922513,0.2293812211604433,0.7706187788385389,1.847191011235955,9.97413918022338e-13,12000,ok
16,0.12,7,7,18,10,58,7,11,3,2,clear,67,232,469,67,470,0.0021081794189619597,0.0018810844135393673,0.10212126187341365,0.09915020102822521,0.2268832624662735,0.7731167375327117,1.7792494481236203,9.949397157419103e-13,12000,ok
