Wy,kappa_c2o,kappa_o2c,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks
16,0.005,0.00025,2,391,1683,1066,0.09399193457896403,0.19793686055769247,1.1655390166892197
16,0.0,0.0005,2,395,1711,1084,0.05974303545274604,0.18824768519677262,1.8496134926212229
16,0.00025,0.0005,2,395,1709,1083,0.06161355725845629,0.18866055450970914,1.825
16,0.0005,0.0005,2,395,1708,1082,0.06347187257568022,0.18908131915585116,1.8010973936899863
16,0.00075,0.0005,2,395,1706,1081,0.06531808107111153,0.18951007001866965,1.7728194726166329
16,0.001,0.0005,2,394,1705,1081,0.06715167019206272,0.1899450457216402,1.7468354430379747
16,0.00125,0.0005,2,394,1703,1080,0.06897262027679901,0.19038609623770203,1.7178477690288714
16,0.0015,0.0005,2,394,1702,1079,0.07078171617107142,0.19083470951930892,1.687741935483871
16,0.00175,0.0005,2,394,1701,1078,0.07257905458473106,0.19129031163134544,1.652338811630847
16,0.002,0.0005,2,393,1699,1077,0.07436446273010415,0.19175237347197296,1.6143386897404202
16,0.0025,0.0005,2,393,1696,1076,0.07789876594739623,0.19269231014660612,1.5177635410599883
16,0.003,0.0005,2,393,1694,1074,0.08138698285061036,0.1936583075374739,1.3767195767195768
16,0.0035,0.0005,2,392,1691,1072,0.08482783508999288,0.19464356563966737,1.2899702085402185
16,0.004,0.0005,2,392,1688,1070,0.08822418728345066,0.1956520410657331,1.2360515021459229
16,0.0045,0.0005,2,391,1685,1069,0.09157442190529061,0.19667819563800693,1.1964863615349053
16,0.005,0.0005,2,391,1682,1067,0.09488087736015774,0.19772417127669673,1.159928122192273
16,0.0,0.00075,2,395,1710,1084,0.060641986548149944,0.18791532856956947,1.8404478656403078
16,0.00025,0.00075,2,395,1709,1083,0.06251141128629917,0.1883343889233267,1.8149171270718232
16,0.0005,0.00075,2,395,1707,1083,0.06436854069192145,0.1887616465546897,1.7899045020463846
16,0.00075,0.00075,2,395,1706,1082,0.06621343839374709,0.18919669515188037,1.7632817753866845
16,0.001,0.00075,2,394,1704,1081,0.06804602455965308,0.18963832899389876,1.7362491716368456
16,0.00125,0.00075,2,394,1703,1080,0.0698660908134395,0.19008579738722317,1.7066492829204694
16,0.0015,0.00075,2,394,1702,1079,0.07167435841123986,0.19054038216440095,1.6758488148622677
16,0.00175,0.00075,2,394,1700,1079,0.07347084645920487,0.19100231949356705,1.6396735718769617
16,0.002,0.00075,2,393,1699,1078,0.07525544015961584,0.19147089588747956,1.601471489883507
16,0.0025,0.00075,2,393,1696,1076,0.07878801697720635,0.19242303509558353,1.5011520737327189
16,0.003,0.00075,2,393,1693,1074,0.08227512189097855,0.19340098464258573,1.3648293963254594
16,0.0035,0.00075,2,392,1690,1073,0.08571493138778707,0.1943984726616277,1.2838773491592483
16,0.004,0.00075,2,392,1687,1071,0.0891101108420119,0.19541848931095138,1.2315739419876368
16,0.0045,0.00075,2,391,1685,1069,0.09245995097623465,0.19645681295700687,1.192626728110599
16,0.005,0.00075,2,391,1682,1068,0.09576588408971785,0.19751426418273194,1.1552572706935123
16,0.0,0.001,2,395,1710,1085,0.06153688529863153,0.18758617372707226,1.8302018093249826
16,0.00025,0.001,2,395,1708,1084,0.06340486470461049,0.18801180792744385,1.804810996563574
16,0.0005,0.001,2,395,1707,1083,0.06526076893540413,0.18844529002791865,1.7789830508474576
16,0.00075,0.001,2,395,1705,1082,0.06710469533569727,0.18888661053570263,1.7525083612040133
16,0.001,0.001,2,394,1704,1081,0.06893653055079879,0.18933503804943788,1.7248189598420014
16,0.00125,0.001,2,394,1702,1081,0.07075552699733663,0.1897884994373102,1.694300518134715
16,0.0015,0.001,2,394,1701,1080,0.07256266429198004,0.19024947664746045,1.6607369758576873
16,0.00175,0.001,2,394,1700,1079,0.07435816501148883,0.19071735444875662,1.6274143302180686
16,0.002,0.001,2,394,1698,1078,0.07614212288330748,0.1911922479862836,1.586374695863747
16,0.0025,0.001,2,393,1695,1077,0.07967339948050646,0.19215661200537615,1.4837606837606838
16,0.003,0.001,2,393,1693,1075,0.08315888500083778,0.19314643954686203,1.3555787278415015
16,0.0035,0.001,2,392,1690,1073,0.08659788517802355,0.19415628080822536,1.2788177339901479
16,0.004,0.001,2,392,1687,1072,0.08999216558534678,0.19518796474296585,1.2274881516587677
16,0.0045,0.001,2,391,1684,1070,0.09334128861789075,0.1962382175862946,1.1878732200275608
16,0.005,0.001,2,391,1681,1068,0.09664657337518026,0.19730686827687952,1.1487088156723064
16,0.0,0.00125,2,395,1709,1085,0.06242731559237777,0.18726069518254332,1.8212058212058213
16,0.00025,0.00125,2,395,1708,1084,0.06429422704933943,0.18769247483641843,1.7949419002050582
16,0.0005,0.00125,2,395,1706,1083,0.06614912234827838,0.18813231399998634,1.766846361185984
16,0.00075,0.00125,2,395,1705,1083,0.06799185809211171,0.18857988616072427,1.7408637873754154
16,0.001,0.00125,2,394,1703,1082,0.06982260793549631,0.18903483749419708,1.713350785340314
16,0.00125,0.00125,2,394,1702,1081,0.07164062104594196,0.18949466948597235,1.6833976833976834
16,0.0015,0.00125,2,394,1701,1080,0.07344695832352692,0.18996152914715408,1.6492113564668769
16,0.00175,0.00125,2,394,1699,1080,0.07524170555389235,0.19043561461585498,1.6131025957972807
16,0.002,0.00125,2,394,1698,1079,0.07702464665890307,0.19091648146198448,1.572031344183243
16,0.0025,0.00125,2,393,1695,1077,0.08055441655676834,0.19189337739309353,1.4670422535211267
16,0.003,0.00125,2,393,1692,1075,0.08403884486096,0.1928949571391795,1.3461139896373058
16,0.0035,0.00125,2,392,1689,1074,0.08747666705677463,0.1939168732858763,1.2734413352970053
16,0.004,0.00125,2,392,1687,1072,0.09086994171549147,0.1949599536449387,1.224007561436673
16,0.0045,0.00125,2,391,1684,1071,0.09421873199807891,0.19602224435037768,1.1829826166514181
16,0.005,0.00125,2,391,1681,1069,0.09752321827228755,0.19710222740157882,1.1420982735723773
16,0.0,0.0015,2,395,1709,1085,0.06331384852658443,0.18693839060375173,1.8111647139903515
16,0.00025,0.0015,2,395,1707,1085,0.06517953851086603,0.18737661830306895,1.7838205302515295
16,0.0005,0.0015,2,395,1706,1084,0.06703304871268487,0.18782262488171753,1.7585513078470825
16,0.00075,0.0015,2,395,1704,1083,0.06887471001229031,0.18827634937500615,1.7291941875825627
16,0.001,0.0015,2,395,1703,1082,0.07070461666048508,0.1887376885858041,1.7009102730819246
16,0.00125,0.0015,2,394,1702,1082,0.07252185540227661,0.1892037454295856,1.6704980842911878
16,0.0015,0.0015,2,394,1700,1081,0.07432705220331426,0.18967690191926515,1.636591478696742
16,0.00175,0.0015,2,394,1699,1080,0.0761207332745985,0.19015687498287662,1.6002452483139178
16,0.002,0.0015,2,394,1697,1079,0.07790299018934158,0.19064375501791306,1.555820895522388
16,0.0025,0.0015,2,393,1694,1078,0.08143153727700328,0.19163290640604616,1.4511991076408255
16,0.003,0.0015,2,393,1692,1076,0.08491432946971253,0.1926462244199257,1.3384853168469861
16,0.0035,0.0015,2,392,1689,1074,0.08835153390007774,0.19368033450615288,1.2684596577017115
16,0.004,0.0015,2,392,1686,1073,0.09174367910455218,0.1947349314487877,1.2190296749882241
16,0.0045,0.0015,2,391,1683,1071,0.09509183067980452,0.19580898590650103,1.1772209567198177
16,0.005,0.0015,2,391,1680,1070,0.09839594104377539,0.19690003340243972,1.1267482517482517
16,0.0,0.00175,2,395,1708,1086,0.06419606054954315,0.18661966451330134,1.7998629198080878
16,0.00025,0.00175,2,395,1707,1085,0.0660604755695828,0.18706396985722165,1.7753721244925575
16,0.0005,0.00175,2,395,1705,1084,0.06791300538208234,0.1875162237694614,1.7466666666666666
16,0.00075,0.00175,2,395,1704,1084,0.06975371343388036,0.1879761311994521,1.7189757058437294
16,0.001,0.00175,2,395,1702,1083,0.07158235666749108,0.18844343009599665,1.6886304909560723
16,0.00125,0.00175,2,394,1701,1082,0.07339863821390186,0.18891624181138927,1.6586294416243654
16,0.0015,0.00175,2,394,1700,1081,0.07520306296766281,0.18939519533231808,1.625388923459863
16,0.00175,0.00175,2,394,1698,1080,0.07699602598936504,0.18988127545546593,1.586374695863747
16,0.002,0.00175,2,394,1697,1080,0.07877729066358773,0.19037406305095314,1.5429248075784487
16,0.0025,0.00175,2,393,1694,1078,0.08230438404612767,0.1913755798590301,1.43677526228603
16,0.003,0.00175,2,393,1691,1077,0.08578602666549222,0.19240047934250099,1.329237071172555
16,0.0035,0.00175,2,392,1688,1075,0.0892220414324642,0.19344651258686107,1.263157894736842
16,0.004,0.00175,2,392,1685,1073,0.09261345057854188,0.1945123630020718,1.2129455909943714
16,0.0045,0.00175,2,391,1683,1072,0.0959609655089505,0.1955983019039878,1.171350861287398
16,0.005,0.00175,1,391,1680,1070,0.0992643103260796,0.19670054121151812,0.8155646947168618
16,0.0,0.002,2,396,1708,1086,0.06507405504632352,0.18630371405899482,1.7899045020463846
16,0.00025,0.002,2,395,1706,1085,0.06693757281065811,0.1867547154278684,1.7620967741935485
16,0.0005,0.002,2,395,1705,1085,0.06878881259893245,0.18721305757056259,1.7374005305039788
16,0.00075,0.002,2,395,1703,1084,0.07062822603829201,0.18767902373077797,1.7075718015665797
16,0.001,0.002,2,395,1702,1083,0.07245601139550498,0.18815251444042308,1.6767158434894163
16,0.00125,0.002,2,394,1701,1082,0.07427166459195565,0.18863157448325807,1.6471329552614997
16,0.0015,0.002,2,394,1699,1082,0.07607498157754297,0.1891167337335041,1.612106238418777
16,0.00175,0.002,2,394,1698,1081,0.07786686119955549,0.18960862539571935,1.5739287869643934
16,0.002,0.002,2,394,1696,1080,0.07964743528266384,0.19010734253565123,1.528169014084507
16,0.0025,0.002,2,393,1693,1079,0.08317328156765844,0.1911209553233185,1.4215418261344996
16,0.003,0.002,2,393,1691,1077,0.0866534186113303,0.1921574311535297,1.3224656138563424
16,0.0035,0.002,2,392,1688,1076,0.09008873352897448,0.19321550208128213,1.258863525983487
16,0.004,0.002,2,392,1685,1074,0.09347891145569212,0.19429272242116416,1.208411214953271
16,0.0045,0.002,2,391,1682,1072,0.0968261499858439,0.19539028776477596,1.1625393966681674
16,0.005,0.002,1,391,1679,1071,0.10012872648983727,0.19650345929936186,0.8151898734177215
16,0.0,0.0025,2,396,1707,1087,0.06681765996751413,0.1856817356986148,1.7692307692307692
16,0.00025,0.0025,2,395,1705,1086,0.06867903140632839,0.18614583475037833,1.7420212765957446
16,0.0005,0.0025,2,395,1704,1086,0.07052816092159953,0.18661632749770107,1.7144728225278323
16,0.00075,0.0025,2,395,1702,1085,0.07236534397447561,0.18709437625839115,1.684278350515464
16,0.001,0.0025,2,395,1701,1084,0.07419102541743045,0.18757983855640023,1.6552598225602029
16,0.00125,0.0025,2,394,1699,1083,0.07600505874254823,0.18807173836613253,1.622125543816035
16,0.0015,0.0025,2,394,1698,1083,0.07780655367514784,0.18856872565271723,1.586374695863747
16,0.00175,0.0025,2,394,1697,1082,0.0795966501891169,0.18907236291329071,1.545670225385528
16,0.002,0.0025,2,394,1695,1081,0.08137555969154557,0.18958277070510612,1.5005767012687428
16,0.0025,0.0025,2,393,1692,1080,0.08489873413130819,0.1906205255341703,1.3960236432025792
16,0.003,0.0025,2,393,1690,1078,0.08837625431011989,0.19167983336010616,1.308119011598588
16,0.0035,0.0025,2,392,1687,1077,0.09180962536899163,0.1927615633271136,1.246390760346487
16,0.004,0.0025,2,392,1684,1075,0.09519796451806259,0.19386112318619708,1.1951896392229417
16,0.0045,0.0025,1,392,1681,1074,0.09854396314004261,0.19498180918373317,0.8254883125200128
16,0.005,0.0025,1,391,1678,1072,0.1018454134181092,0.19611694259560403,0.8148148148148148
16,0.0,0.003,2,396,1706,1088,0.0685449309141715,0.18507269012958788,1.7478318879252834
16,0.00025,0.003,2,395,1704,1087,0.07040418762568759,0.18554971725690214,1.7212360289283366
16,0.0005,0.003,2,395,1703,1086,0.07225113310372547,0.1860321795000192,1.6921086675291073
16,0.00075,0.003,2,395,1701,1086,0.07408616400426493,0.18652215496079166,1.6626352641629536
16,0.001,0.003,2,395,1700,1085,0.07590975911209061,0.187019412667727,1.63125
16,0.00125,0.003,2,395,1698,1084,0.07772206574240463,0.18752365626051737,1.5968137254901962
16,0.0015,0.003,2,394,1697,1084,0.07952186934456995,0.18803263629847378,1.5604790419161676
16,0.00175,0.003,2,394,1696,1083,0.08131020122346731,0.18854784972383581,1.520140105078809
16,0.002,0.003,2,394,1694,1082,0.08308746451154107,0.18906980457600617,1.4722536806342015
16,0.0025,0.003,2,393,1691,1081,0.08660799629560936,0.1901313885239744,1.3735449735449736
16,0.003,0.003,2,393,1689,1079,0.09008293798198262,0.19121320917934487,1.2934131736526946
16,0.0035,0.003,2,392,1686,1078,0.09351439943448411,0.19231830239959835,1.234144015259895
16,0.004,0.003,1,392,1683,1077,0.09690091419521327,0.19343992347964864,0.8377676833225178
16,0.0045,0.003,1,392,1680,1075,0.10024512842062402,0.19458240627882126,0.8251121076233184
16,0.005,0.003,1,391,1677,1074,0.10354603396563562,0.19574028383181896,0.8144395186827106
16,0.0,0.0035,2,396,1704,1089,0.0702559667965493,0.1844763689488755,1.7267326732673267
16,0.00025,0.0035,2,396,1703,1088,0.07211307329730768,0.18496593739020936,1.6985055230669266
16,0.0005,0.0035,2,395,1702,1087,0.07395779957119145,0.1854603637341833,1.6713554987212276
16,0.00075,0.0035,2,395,1700,1087,0.075790785933039,0.18596211307723085,1.640477686989315
16,0.001,0.0035,2,395,1699,1086,0.07761231247551773,0.18647099364665118,1.6069008009858288
16,0.00125,0.0035,2,395,1697,1085,0.07942267454029123,0.1869868504600456,1.5724637681159421
16,0.0015,0.0035,2,394,1696,1085,0.08122102902217618,0.1875082292487099,1.5353773584905661
16,0.00175,0.0035,2,394,1695,1084,0.08300761486039503,0.18803485287804125,1.4936854190585533
16,0.002,0.0035,2,394,1693,1083,0.08478325040587609,0.1885682139847832,1.4473537604456825
16,0.0025,0.0035,2,393,1690,1082,0.08830116893780372,0.1896533203943381,1.3531559728742828
16,0.003,0.0035,2,393,1687,1081,0.09177343868976308,0.1907574008038033,1.2773938795656465
16,0.0035,0.0035,2,393,1685,1079,0.09520266278415412,0.1918845122696342,1.2142857142857142
16,0.004,0.0035,1,392,1682,1078,0.09858753543388535,0.19302891716970677,0.8371187540558079
16,0.0045,0.0035,1,392,1679,1076,0.10193033807455583,0.1941929320511723,0.8244714926329276
16,0.005,0.0035,1,391,1676,1075,0.10523031808432812,0.19537328739304727,0.8140639847956921
16,0.0,0.004,2,396,1703,1090,0.07195086618456019,0.18389250950591782,1.706266318537859
16,0.00025,0.004,2,396,1702,1089,0.07380558343117288,0.18439375180202697,1.6775850995504176
16,0.0005,0.004,2,395,1701,1088,0.07564837852782301,0.18490063556515862,1.648989898989899
16,0.00075,0.004,2,395,1699,1088,0.07747930918746732,0.18541400897430108,1.6168629882207068
16,0.001,0.004,2,395,1698,1087,0.07929878511351005,0.18593434339761306,1.583232077764277
16,0.00125,0.004,2,395,1696,1086,0.08110722041710151,0.1864616685181891,1.5478881618084475
16,0.0015,0.004,2,394,1695,1086,0.08290413273224773,0.18699527293709886,1.511033681765389
16,0.00175,0.004,2,394,1693,1085,0.08468899123549367,0.18753321114895016,1.4669678147939018
16,0.002,0.004,2,394,1692,1084,0.08646301760584958,0.18807777345901508,1.4216867469879517
16,0.0025,0.004,2,394,1689,1083,0.08997801392240365,0.18918538991886327,1.3329902213072569
16,0.003,0.004,2,393,1686,1082,0.09344786073733516,0.19031218301279207,1.2596200681928884
16,0.0035,0.004,1,393,1683,1080,0.0968749561907562,0.19146092358536454,0.8500823723228995
16,0.004,0.004,1,392,1681,1079,0.10025826110007091,0.1926279021809884,0.836469824789098
16,0.0045,0.004,1,392,1678,1078,0.10359940917221558,0.19381318952145138,0.8240948413969882
16,0.005,0.004,1,391,1675,1076,0.10689878885688849,0.19501576144137336,0.8136882129277566
16,0.0,0.0045,2,396,1702,1090,0.07362964113369146,0.18332084840635346,1.6851612903225806
16,0.00025,0.0045,2,396,1701,1090,0.07548207271371035,0.18383359245633765,1.6560913705583757
16,0.0005,0.0045,2,395,1699,1089,0.07732296835975568,0.18435282761598001,1.625935162094763
16,0.00075,0.0045,2,395,1698,1089,0.07915183281487477,0.18487760603923017,1.5938837920489297
16,0.001,0.0045,2,395,1697,1088,0.08096927624122272,0.18540922875335197,1.5611510791366907
16,0.00125,0.0045,2,395,1695,1087,0.08277580273910533,0.18594788007271265,1.5231400117164617
16,0.0015,0.0045,2,395,1694,1087,0.0845710968771311,0.18649313654663122,1.4845714285714287
16,0.00175,0.0045,2,394,1692,1086,0.08635443006237697,0.1870426866150768,1.4422222222222223
16,0.002,0.0045,2,394,1691,1086,0.08812684967256092,0.1875982621237195,1.3991370010787487
16,0.0025,0.0045,2,394,1688,1084,0.09163882210026722,0.1887278190333793,1.313039066463724
16,0.003,0.0045,1,393,1685,1083,0.09510641089963867,0.18987732175872432,0.8665325285043595
16,0.0035,0.0045,1,393,1682,1082,0.0985311583011285,0.1910475258234924,0.8488640105367139
16,0.004,0.0045,1,392,1679,1080,0.10191319142830715,0.1922366805877287,0.8351719662556781
16,0.0045,0.0045,1,392,1677,1079,0.1052525237753568,0.1934429855573679,0.8234540211470682
16,0.005,0.0045,1,391,1674,1078,0.10855122261697546,0.19466751784953376,0.813570069752695
16,0.0,0.005,2,396,1701,1091,0.07529241238968803,0.18276114393099324,1.6645408163265305
16,0.00025,0.005,2,396,1700,1091,0.07714263925687358,0.1832852211444794,1.6351097178683385
16,0.0005,0.005,2,396,1698,1090,0.07898163625523881,0.1838166215292492,1.6024615384615384
16,0.00075,0.005,2,395,1697,1090,0.08080845548263033,0.18435267257536764,1.5705669481302775
16,0.001,0.005,2,395,1695,1089,0.08262388468278252,0.18489547015029945,1.5357353809805079
16,0.00125,0.005,2,395,1694,1088,0.08442852047087708,0.1854452595147076,1.499134448932487
16,0.0015,0.005,2,395,1693,1088,0.08622195975439859,0.18600149288720932,1.459246767847105
16,0.00175,0.005,2,394,1691,1087,0.08800403063291369,0.186563028773658,1.4174863387978143
16,0.002,0.005,2,394,1690,1087,0.08977471391264126,0.18712946360942825,1.375796178343949
16,0.0025,0.005,2,394,1687,1085,0.09328382536394614,0.18828068050231914,1.2897755610972568
16,0.003,0.005,1,393,1684,1084,0.09674918909929402,0.18945261183747303,0.8647019423978567
16,0.0035,0.005,1,393,1681,1083,0.10017151127899564,0.19064401475416226,0.847926267281106
16,0.004,0.005,1,392,1678,1082,0.10355213752857859,0.19185522350503845,0.8347938980850373
16,0.0045,0.005,1,392,1675,1080,0.10688996602936894,0.1930821614442764,0.8226995831997435
16,0.005,0.005,1,392,1673,1079,0.11018760846732671,0.19432804110491933,0.8125594671741199
