Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
16,0.04,7,7,16,10,58,7,9,3,2,clear,90,1035,570,24000,ok,0.3274510628498254,0.43923063113027594,0.11177956828045055,0.00113478907696135,0.0004984341224734771,0.0003715878893613664,0.05932179158049232,0.01972628640873283,0.026405366852247404,0.43014046698915337,0.5698595330098088,1.4211632796075684,90,1104,150.5,563.0,0.9999999999989622,9.986306111251973e-13,0.697869611456905,0.8411615076117597,0.4211632796075684,0.2801404669891534,0.022548937150174586,0.33923063113027596,0.10177956828045055,0.022548937150174586
16,0.04,7,7,17,10,58,7,10,3,1,far_broadening,116,1024,580,24000,ok,0.38578390582044747,0.4928349143427842,0.10705100852233673,0.001027586836961058,0.0005064306707734756,0.0003964264635325163,0.054014880862789785,0.021040680807493717,0.02682937845513424,0.4291338472428123,0.5708661527561487,1.3478854024556617,116,1104,170.0,563.0,0.9999999999989609,9.997068927684272e-13,-1.0,-1.0,0.3478854024556617,0.2791338472428123,-0.03578390582044749,0.39283491434278417,0.09705100852233674,-0.03578390582044749
16,0.05,7,7,9,10,58,7,2,3,2,clear,12,944,403,12000,ok,0.028116771314173873,0.10079429939846912,0.07267752808429526,0.006111245523892391,0.0006159787110327639,0.00017182849284005106,0.15464754327803323,0.009180402392737323,0.032620709200265885,0.3928685018168399,0.6071314981821311,2.015005359056806,11,951,14.0,452.5,0.999999999998971,9.990330604538324e-13,1.3568789710705977,1.6629457371445315,1.015005359056806,0.24286850181683992,0.3218832286858261,0.0007942993984691171,0.06267752808429526,0.0007942993984691171
16,0.05,7,7,10,10,58,7,3,3,2,clear,15,943,415,12000,ok,0.042336752078153,0.13301986184553094,0.09068310976737794,0.004624611077200316,0.0006151651265784981,0.00019579101263330988,0.1334004070987525,0.010451760012338818,0.032577747568700674,0.39552083307524816,0.6044791669237193,1.983068783068783,15,952,20.0,452.5,0.9999999999989673,9.997913685359251e-13,1.3208720240849554,1.620216809593422,0.983068783068783,0.24552083307524816,0.30766324792184696,0.033019861845530935,0.08068310976737794,0.033019861845530935
16,0.05,7,7,11,10,58,7,4,3,2,clear,21,942,426,12000,ok,0.06388086296875367,0.17825457733090594,0.11437371436215227,0.0034731487436901356,0.0006191046613138521,0.00022186773896576854,0.11730488464839928,0.011834860415482335,0.03278659153688087,0.39378695320557816,0.6062130467933918,1.9355509355509355,21,952,29.0,452.0,0.99999999999897,9.980774313323861e-13,1.2570769315758372,1.5451318473007563,0.9355509355509355,0.24378695320557817,0.2861191370312463,0.07825457733090593,0.10437371436215227,0.07825457733090593
16,0.05,7,7,12,10,58,7,5,3,2,clear,29,939,436,12000,ok,0.09344941003250443,0.23428215659872326,0.14083274656621883,0.002667210296993636,0.0006248797804819902,0.0002492492286866762,0.10546449038184624,0.013286630812633655,0.03309259324425379,0.39060153855091034,0.6093984614480598,1.8724696356275303,28,953,42.0,452.0,0.9999999999989702,9.978901357969797e-13,1.172288137227437,1.4445406913718597,0.8724696356275303,0.24060153855091035,0.2565505899674956,0.13428215659872325,0.13083274656621882,0.13083274656621882
16,0.05,7,7,13,10,58,7,6,3,2,clear,38,937,445,12000,ok,0.13126198843049824,0.29862649807235475,0.1673645096418565,0.0021135923824569863,0.0006311746915255349,0.00027743433885285817,0.09540162663587513,0.014780511436489632,0.03342628217061447,0.3873033657006703,0.6126966342982985,1.7888563049853372,38,953,60.0,451.5,0.9999999999989688,9.971626315130225e-13,1.068102056161097,1.3189511487169676,0.7888563049853372,0.23730336570067032,0.21873801156950173,0.19862649807235475,0.1573645096418565,0.1573645096418565
16,0.05,7,7,14,10,58,7,7,3,2,clear,49,933,454,12000,ok,0.17674785362202733,0.36808824243626,0.19134038881423265,0.001731917667978896,0.0006374985304506579,0.00030611273046533686,0.08459684948880326,0.016299763681229106,0.03376145095645734,0.3844166886783899,0.6155833113205774,1.6976525821596244,49,953,81.0,451.5,0.9999999999989676,9.980960821008555e-13,0.9565381168190344,1.1828947286689602,0.6976525821596244,0.2344166886783899,0.17325214637797265,0.26808824243625995,0.18134038881423264,0.17325214637797265
16,0.05,7,7,15,10,58,7,8,3,2,clear,64,929,462,12000,ok,0.22799552360130404,0.4380216478990697,0.21002612429776568,0.001469669347201084,0.0006437469893277688,0.00033507803233589784,0.0749369140444468,0.017833864521512616,0.034092711229327055,0.38208728894055116,0.6179127110584178,1.607239819004525,64,952,101.0,451.5,0.999999999998969,9.974994500334041e-13,0.8463314082114018,1.0468767564243369,0.607239819004525,0.23208728894055117,0.12200447639869594,0.33802164789906974,0.20002612429776567,0.12200447639869594
16,0.05,7,7,16,10,58,7,9,3,2,clear,82,924,470,12000,ok,0.2820967302265407,0.5034759133493619,0.22137918312282123,0.00129099044776393,0.0006499825948132463,0.00036418418406790234,0.06702397610896006,0.01937476850404266,0.03442331074238931,0.38029991078833464,0.6197000892106318,1.527655838454785,82,952,118.5,451.0,0.9999999999989663,9.982818034536296e-13,0.7460911175275472,0.9218307778161425,0.5276558384547849,0.23029991078833464,0.06790326977345928,0.40347591334936195,0.21137918312282122,0.06790326977345928
16,0.05,7,7,17,10,58,7,10,3,2,clear,103,919,478,12000,ok,0.3366415850125522,0.5617624101651422,0.22512082515258997,0.0011683428605780625,0.0006563311012575691,0.00039331279242309827,0.06112821655540007,0.020916244665894233,0.03475997162414484,0.37898031357373346,0.6210196864252352,1.4512820512820512,103,952,134.0,451.0,0.9999999999989685,9.974461693425646e-13,0.6536680369612639,0.8044778946024711,0.45128205128205123,0.22898031357373347,0.013358414987447775,0.4617624101651422,0.21512082515258996,0.013358414987447775
16,0.06,7,7,9,10,58,7,2,3,2,clear,11,830,348,12000,ok,0.023262789962537705,0.12441205918162218,0.10114926921908447,0.0063310035009427005,0.0007876531822383404,0.00014727680469452093,0.15563782504887264,0.007918362737405682,0.04169607755436169,0.35541405486354194,0.6445859451354308,2.121290322580645,11,833,13.5,374.0,0.9999999999989725,9.985219032049177e-13,1.3579806884941252,1.6830326265170727,1.121290322580645,0.20541405486354194,0.32673721003746226,0.024412059181622175,0.09114926921908448,0.024412059181622175
16,0.06,7,7,10,10,58,7,3,3,2,clear,15,831,358,12000,ok,0.03493949459511289,0.16053100311955884,0.12559150852444595,0.004886737610734212,0.0007844728906332393,0.00017074014233798288,0.13948245389556424,0.009167056873945832,0.041528033731949576,0.35893268166939846,0.6410673183295745,2.0918367346938775,14,834,18.5,373.5,0.9999999999989729,9.983116033271776e-13,1.330219702999304,1.6502863208305074,1.0918367346938775,0.20893268166939846,0.31506050540488706,0.060531003119558835,0.11559150852444595,0.060531003119558835
16,0.06,7,7,11,10,58,7,4,3,2,clear,21,830,367,12000,ok,0.052691497278217876,0.21110255254112842,0.15841105526291055,0.003731046104986748,0.0007876333564113375,0.00019659440568581464,0.12491783992029101,0.010542064154878756,0.04169542493872595,0.35748446513775695,0.6425155348612142,2.0324189526184537,20,835,27.0,374.0,0.9999999999989709,9.980387719521898e-13,1.2658730891508014,1.573911030112745,1.0324189526184537,0.20748446513775695,0.2973085027217821,0.11110255254112841,0.14841105526291054,0.11110255254112841
