Wy,kappa_top,kappa_bottom,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks
16,0.002,0.0005,2,394,1702,1081,0.07130000631939204,0.18965672669647557,1.6888315041962556
16,0.0025,0.0005,2,394,1700,1081,0.07386536612277123,0.18988236156152924,1.6448362720403022
16,0.003,0.0005,2,394,1698,1080,0.07640920011842026,0.1901248043948032,1.5970606246172687
16,0.0035,0.0005,2,394,1697,1080,0.07893230376634991,0.1903836470754267,1.5447540011855365
16,0.004,0.0005,2,394,1695,1080,0.08143499960469722,0.19065857511902146,1.484312606959498
16,0.0045,0.0005,2,393,1693,1080,0.08391662913682164,0.1909468246085102,1.4192139737991267
16,0.005,0.0005,2,393,1691,1080,0.08637837337620798,0.19125012076709727,1.3584510727367871
16,0.0,0.00075,2,395,1709,1083,0.06224962235987313,0.18893563547805442,1.8161713890808568
16,0.00025,0.00075,2,395,1708,1082,0.06357656125689565,0.1890179781503795,1.7986301369863014
16,0.0005,0.00075,2,395,1707,1082,0.06489777823163174,0.18910501982149888,1.7813985064494229
16,0.00075,0.00075,2,395,1706,1082,0.06621343839374709,0.18919669515188037,1.7632817753866845
16,0.001,0.00075,2,395,1705,1082,0.06752357904602972,0.18929293978214787,1.744340878828229
16,0.00125,0.00075,2,394,1704,1081,0.06882772130534362,0.18939307550967976,1.7270929466051417
16,0.0015,0.00075,2,394,1703,1081,0.07012614215212445,0.18949708074591937,1.7066492829204694
16,0.00175,0.00075,2,394,1702,1081,0.07141916686321328,0.18960547527354604,1.6855670103092784
16,0.002,0.00075,2,394,1701,1081,0.0727068326051866,0.18971819843805307,1.6649681528662421
16,0.0025,0.00075,2,394,1699,1080,0.07526602817022664,0.18995639267403064,1.6201117318435754
16,0.003,0.00075,2,394,1697,1080,0.0778039773985748,0.19021119651256674,1.5689343768813968
16,0.0035,0.00075,2,394,1696,1080,0.08032131944102312,0.19048218157135252,1.5121951219512195
16,0.004,0.00075,2,393,1694,1080,0.08281785501043239,0.1907679410583169,1.4487750556792873
16,0.0045,0.00075,2,393,1692,1079,0.08529380866668324,0.19106792585855759,1.3833865814696487
16,0.005,0.00075,2,393,1690,1079,0.0877498776198651,0.19138282960158834,1.3302564102564103
16,0.0,0.001,2,395,1708,1082,0.06367549409820751,0.18895192612564976,1.7973990417522245
16,0.00025,0.001,2,395,1707,1082,0.06499915263657803,0.18904094953709272,1.7801899592944368
16,0.0005,0.001,2,395,1706,1082,0.06631724319311492,0.18913461482164595,1.7620967741935485
16,0.00075,0.001,2,395,1705,1082,0.06762980279019892,0.18923285761294925,1.7431803060545576
16,0.001,0.001,2,394,1704,1081,0.06893653055079879,0.18933503804943788,1.7248189598420014
16,0.00125,0.001,2,394,1703,1081,0.07023732077191053,0.1894410497833171,1.7044270833333333
16,0.0015,0.001,2,394,1702,1081,0.07153270289483249,0.1895514589496771,1.6844816484224083
16,0.00175,0.001,2,394,1701,1081,0.07282271385488766,0.18966620485605407,1.6628498727735368
16,0.002,0.001,2,394,1700,1081,0.07410739059206248,0.18978522772859938,1.6407035175879396
16,0.0025,0.001,2,394,1698,1080,0.07666047339048582,0.19003586980243672,1.592185592185592
16,0.003,0.001,2,394,1696,1080,0.07919261790222702,0.19030292492539927,1.5380980507974011
16,0.0035,0.001,2,393,1695,1080,0.0817042237481197,0.1905858911031505,1.4787052810902896
16,0.004,0.001,2,393,1693,1079,0.0841946193685949,0.19088239776152133,1.4122759369907658
16,0.0045,0.001,2,393,1691,1079,0.08666483138791495,0.19119405948148374,1.3527879103699845
16,0.005,0.001,2,393,1689,1079,0.08911543447169115,0.1915204677637209,1.305793450881612
16,0.0,0.00125,2,395,1707,1082,0.06509479325848205,0.18897414214637598,1.7789830508474576
16,0.00025,0.00125,2,395,1706,1082,0.06641532566189506,0.18906978753058068,1.760913364674278
16,0.0005,0.00125,2,395,1705,1082,0.06773031609167886,0.18917001817599985,1.7420212765957446
16,0.00075,0.00125,2,394,1704,1082,0.06903961147154548,0.18927425016398736,1.7225509533201842
16,0.001,0.00125,2,394,1703,1081,0.07034286866157759,0.18938225723610835,1.7033181522446323
16,0.00125,0.00125,2,394,1702,1081,0.07164062104594196,0.18949466948597235,1.6833976833976834
16,0.0015,0.00125,2,394,1701,1081,0.07293299045274068,0.1896114262006942,1.6607369758576873
16,0.00175,0.00125,2,394,1700,1081,0.0742200135889828,0.18973246757880782,1.6386449184441656
16,0.002,0.00125,2,394,1699,1080,0.07550167695565714,0.18985773471944353,1.6160990712074303
16,0.0025,0.00125,2,394,1697,1080,0.07804877624533396,0.1901207151224714,1.5632873425314937
16,0.003,0.00125,2,394,1695,1080,0.08057516695920212,0.19039991380116295,1.505787037037037
16,0.0035,0.00125,2,393,1693,1080,0.08308060732031496,0.19069367151285116,1.440443213296399
16,0.004,0.00125,2,393,1692,1079,0.08556522132796719,0.19100191913083278,1.3782493368700266
16,0.0045,0.00125,2,393,1690,1079,0.08802992820818728,0.19132515502786382,1.3261758691206544
16,0.005,0.00125,2,393,1688,1079,0.0904751151414453,0.19166296667988317,1.2840852751611305
16,0.0,0.0015,2,395,1706,1082,0.06650769679819374,0.1890021968641948,1.7597315436241612
16,0.00025,0.0015,2,395,1705,1082,0.06782512919593027,0.18910440651426288,1.7397078353253652
16,0.0005,0.0015,2,394,1704,1082,0.06913688220789828,0.1892106982963138,1.721419185282523
16,0.00075,0.0015,2,394,1703,1081,0.07044279456326635,0.1893206909444633,1.7022106631989598
16,0.001,0.0015,2,394,1702,1081,0.0717429293538189,0.18943509609039216,1.6801541425818882
16,0.00125,0.0015,2,394,1701,1081,0.07303766974730815,0.18955385301911928,1.6596825396825396
16,0.0015,0.0015,2,394,1700,1081,0.07432705220331426,0.18967690191926515,1.636591478696742
