Wy,kappa,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks,absorbed_mass,survival_tail
10,0.00325,2,406,1599,1081,0.10302159765682903,0.19303359972932752,1.01618398637138,0.9587455771189779,0.04125442288097092
10,0.0035,2,405,1596,1082,0.10666291588591895,0.1931764049307842,1.009322033898305,0.9586137758536547,0.04138622414629374
10,0.00375,2,405,1593,1083,0.11027294985808629,0.1933591223752537,1.0012642225031605,0.9584824734845869,0.041517526515365215
10,0.004,1,405,1590,1085,0.11385238824075485,0.19358191565874225,0.9932942162615256,0.9583516618928187,0.04164833810713435
10,0.0045,1,405,1585,1087,0.12091972396307049,0.19414493881504627,0.9776304888152444,0.9580914828898325,0.04190851711011104
10,0.005,1,405,1578,1091,0.12786611969510225,0.19485977503578542,0.9595092024539877,0.9578331897112011,0.04216681028874979
10,0.006,1,404,1566,1098,0.14140031760868338,0.1967250396923061,0.9273743016759777,0.95732210972214,0.04267789027780362
10,0.0075,1,404,1544,1113,0.1608052276538105,0.20054872420908276,0.8803088803088803,0.9565688467504394,0.043431153249509635
10,0.01,1,403,1499,1147,0.19071775319701753,0.20950989785886412,0.8176053711301753,0.9553478201704219,0.0446521798295247
10,0.015,0,,,,,,0.0,0.9530295731701237,0.046970426829820666
10,0.02,0,,,,,,0.0,0.9508686174449842,0.04913138255495759
10,0.03,0,,,,,,0.0,0.9469819208478065,0.05301807915213326
10,0.05,0,,,,,,0.0,0.9406894310672601,0.05931056893267341
10,0.1,0,,,,,,0.0,0.9307557927061538,0.06924420729377027
10,0.2,0,,,,,,0.0,0.9221179426715858,0.07788205732834542
12,0.0,2,402,1662,1077,0.05686870402611245,0.20125854033164206,2.048780487804878,0.9350578143976734,0.06494218560226243
12,0.00025,2,402,1660,1077,0.060411079812067274,0.2010297375577111,2.017642341619888,0.9346423135076003,0.06535768649234083
12,0.0005,2,401,1658,1077,0.06392739469300826,0.20084135984867496,1.9889240506329113,0.9342273633396692,0.06577263666027232
12,0.00075,2,401,1656,1077,0.06741743280015233,0.20069064821595112,1.9548286604361371,0.9338129163724468,0.06618708362748686
12,0.001,2,401,1654,1077,0.07088220611298808,0.20057872790853176,1.923254029163469,0.9333989303251432,0.06660106967479204
12,0.00125,2,401,1652,1077,0.07432212534527342,0.2005047647510663,1.8911564625850341,0.9329853676523214,0.06701463234761842
12,0.0015,2,401,1650,1077,0.07773759649091083,0.20046794953664845,1.8572490706319702,0.9325721950868103,0.06742780491312632
12,0.00175,2,401,1648,1078,0.08112872644507281,0.2004674971959672,1.8230994152046784,0.9321593832262086,0.06784061677372717
12,0.002,2,400,1646,1078,0.0844958856791263,0.20050262773199024,1.7889447236180904,0.9317469061587846,0.06825309384115295
12,0.00225,2,400,1643,1078,0.08783889860019532,0.20057081435724497,1.7482419127988749,0.9313347411250863,0.0686652588748484
12,0.0025,2,400,1641,1079,0.09115853217620862,0.20067332086605968,1.7070151306740027,0.9309228682118558,0.06907713178807863
12,0.00275,2,400,1639,1079,0.09445513232716075,0.20080931632218768,1.6653225806451613,0.9305112700751106,0.06948872992482633
12,0.003,2,400,1637,1080,0.09772920539526263,0.2009781240411264,1.6159372958850424,0.9300999316896741,0.06990006831026788
12,0.00325,1,400,1635,1080,0.10098066220833644,0.201179087076514,0.9975767366720517,0.9296888401225727,0.07031115987736103
12,0.0035,1,400,1632,1081,0.10421009306022816,0.20141168359632186,0.986784140969163,0.9292779843281125,0.07072201567182702
12,0.00375,1,399,1630,1081,0.10741720047608451,0.2016745205603299,0.977760127084988,0.9288673549623694,0.07113264503756829
12,0.004,1,399,1628,1082,0.1106019516692572,0.2019668011764585,0.9669551534225019,0.9284569442155063,0.07154305578443579
12,0.0045,1,399,1623,1084,0.11690768216395059,0.20264045200487496,0.9426261070465922,0.9276367541130786,0.07236324588685175
12,0.005,1,399,1618,1085,0.12312900328068584,0.20342926701237504,0.9186134137151469,0.9268173768062029,0.07318262319373159
12,0.006,1,398,1608,1089,0.13532300618968648,0.20533315504198696,0.8761766835626358,0.9251809896948625,0.07481901030507147
12,0.0075,1,397,1592,1097,0.1530130020262698,0.2089580738471687,0.8327526132404182,0.9227323554227648,0.07726764457716938
12,0.01,1,396,1561,1115,0.18094569316775388,0.21686428330777477,0.7842477280376977,0.9186685186270536,0.08133148137288122
12,0.015,1,395,1474,1182,0.23102059410979436,0.23902152300361296,0.7008769080870413,0.910620703984678,0.08937929601524773
12,0.02,0,,,,,,0.0,0.902709407478145,0.0972905925217814
12,0.03,0,,,,,,0.0,0.8874103717159103,0.11258962828401725
12,0.05,0,,,,,,0.0,0.8593135254385021,0.14068647456140962
12,0.1,0,,,,,,0.0,0.8036595804060568,0.19634041959384427
12,0.2,0,,,,,,0.0,0.7351359394352718,0.2648640605646257
14,0.0,2,398,1688,1081,0.05827236007413964,0.19709751442680504,1.970970206264324,0.9137119768693904,0.08628802313054201
14,0.00025,2,398,1686,1080,0.06139410635382482,0.19704061874452578,1.9382994732881866,0.913050865414356,0.08694913458557893
14,0.0005,2,397,1684,1080,0.06449414074554101,0.19701464960580597,1.9066666666666667,0.912389433941003,0.08761056605893054
14,0.00075,2,397,1683,1080,0.06757232537071216,0.19701730249294808,1.8760029175784099,0.9117276615478466,0.08827233845208249
14,0.001,2,397,1681,1080,0.07062958805621078,0.19704999618098232,1.842180774748924,0.9110655305716381,0.08893446942829186
14,0.00125,2,397,1679,1080,0.07366623248072729,0.19711202901952338,1.8081805359661496,0.9104030263131484,0.0895969736867813
