spec,round,Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
baseline,1,16,0.06,7,7,14,9,58,7,7,2,2,clear,42,827,393,12000,ok,0.12993364933900964,0.3600862322392621,0.23015258290025248,0.0021734520069544897,0.0007826301441371047,0.0002824045509267914,0.10072122145152872,0.015096622989838564,0.04143144699513336,0.3670072335141931,0.6329927664847781,1.8314087759815243,42,835,60.5,372.5,0.999999999998971,9.994882629869315e-13,1.0628407754638438,1.325470889431423,0.8314087759815243,0.21700723351419313,0.22006635066099034,0.2600862322392621,0.22015258290025247,0.21700723351419313
baseline,1,16,0.06,7,7,15,9,58,7,8,2,2,clear,54,824,400,12000,ok,0.17473695124076916,0.44066966576442307,0.2659327145236539,0.0017994793853832029,0.0007929759793067854,0.000314435541622474,0.08883610487277892,0.01679564700670163,0.041979401168816634,0.3608589294946227,0.6391410705043497,1.7317073170731707,54,835,78.0,373.0,0.9999999999989725,9.974831740732452e-13,0.9444427878480262,1.1816623002108269,0.7317073170731707,0.21085892949462273,0.17526304875923082,0.34066966576442304,0.2559327145236539,0.17526304875923082
baseline,1,16,0.06,7,7,16,9,58,7,9,2,2,clear,69,822,407,12000,ok,0.22480785013432233,0.5194974414739063,0.29468959133958395,0.0015437061107499352,0.0008019513749222259,0.00034703725199690904,0.07884011047405315,0.018523557547617493,0.04245506976047868,0.3561667230657555,0.6438332769332177,1.6416309012875536,69,834,93.5,372.5,0.9999999999989733,9.968163720934213e-13,0.835024246638626,1.0473406486964378,0.6416309012875536,0.20616672306575548,0.12519214986567764,0.41949744147390633,0.28468959133958394,0.12519214986567764
baseline,1,16,0.06,7,7,17,9,58,7,10,2,2,clear,87,819,413,12000,ok,0.2776420972706878,0.5916495333510489,0.3140074360803611,0.0013690468259108305,0.0008099959156858775,0.00038010503200766116,0.0710546991051234,0.020275481129209336,0.04288142647453664,0.3526087533452857,0.6473912466536843,1.5583333333333333,86,834,107.5,372.5,0.9999999999989699,9.979806174065344e-13,0.7346249658254794,0.9221341991267041,0.5583333333333333,0.2026087533452857,0.0723579027293122,0.4916495333510489,0.30400743608036107,0.0723579027293122
baseline,1,16,0.08,7,7,9,9,58,7,2,2,1,far_broadening,7,665,277,12000,ok,0.0075333432355118,0.08127474574121678,0.07374140250570498,0.012541595240890368,0.001019314964392619,9.448014167048843e-05,0.22965502255245693,0.005191771962550759,0.05390368207724308,0.3804551890906622,0.6195448109083163,2.3410301953818826,6,665,6.5,275.0,0.9999999999989784,9.991728813937914e-13,-1.0,-1.0,1.3410301953818826,0.23045518909066223,0.3424666567644882,-0.018725254258783228,0.06374140250570498,-0.018725254258783228
baseline,1,16,0.08,7,7,10,9,58,7,3,2,2,clear,11,666,285,12000,ok,0.014221964896588741,0.127127746700183,0.11290578180359427,0.008188791992536805,0.001041022674207706,0.00011646071226332542,0.1962450778923871,0.006379143614270582,0.055051873873742024,0.36732309547519737,0.6326769045237848,2.285217391304348,9,666,12.5,275.0,0.999999999998982,9.968653512498922e-13,1.5032901549310946,1.8658359529669692,1.2852173913043479,0.21732309547519738,0.33577803510341125,0.027127746700183003,0.10290578180359428,0.027127746700183003
baseline,1,16,0.08,7,7,11,9,58,7,4,2,2,clear,16,666,291,12000,ok,0.024626686531567583,0.18622063291963029,0.1615939463880627,0.005725165875674748,0.0010661440129380209,0.00014099186536146964,0.16674358405193127,0.007700514097712898,0.05638031038127462,0.3523901355618281,0.6476098644371503,2.2180579216354346,16,667,18.5,275.0,0.9999999999989784,9.98914035348805e-13,1.4114033296636663,1.76112392674377,1.2180579216354346,0.20239013556182808,0.3253733134684324,0.08622063291963028,0.1515939463880627,0.08622063291963028
baseline,1,16,0.08,7,7,12,9,58,7,5,2,2,clear,23,666,298,12000,ok,0.03956245838940872,0.25697108170970423,0.2174086233202955,0.004238854877769351,0.0010892631231508463,0.00016769951972049217,0.14654358836619386,0.009136286806727397,0.05760311863663151,0.3388595868551963,0.6611404131437836,2.142857142857143,22,667,26.0,275.0,0.9999999999989797,9.96830080729887e-13,1.3148244236433486,1.6502330059335446,1.1428571428571428,0.1888595868551963,0.31043754161059123,0.15697108170970422,0.2074086233202955,0.15697108170970422
baseline,1,16,0.08,7,7,13,9,58,7,6,2,2,clear,30,665,303,12000,ok,0.059480049310727555,0.3358439231179347,0.27636387380720717,0.003302120863736004,0.0011089972254866827,0.0001964103118049998,0.12931275414901408,0.010676098951984195,0.05864652096879288,0.3275250268364256,0.6724749731625519,2.0581583198707594,30,667,34.5,275.0,0.9999999999989775,9.992172750576545e-13,1.214724643773368,1.5336902905461378,1.0581583198707594,0.1775250268364256,0.29051995068927244,0.2358439231179347,0.26636387380720716,0.1775250268364256
baseline,1,16,0.08,7,7,14,9,58,7,7,2,2,clear,39,665,309,12000,ok,0.08474836556310858,0.4201111260642875,0.33536276050117897,0.002678807162406734,0.0011253966935077717,0.00022702452867271947,0.11845646513243656,0.01231462668376183,0.05951437149685491,0.3183411277832331,0.6816588722157462,1.9717425431711146,39,667,44.0,274.5,0.9999999999989793,9.978025174875169e-13,1.1158834947739442,1.4174481541022428,0.9717425431711146,0.1683411277832331,0.26525163443689137,0.3201111260642875,0.32536276050117896,0.1683411277832331
baseline,1,16,0.08,7,7,15,9,58,7,8,2,2,clear,49,664,315,12000,ok,0.11552032043492289,0.507042154623015,0.39152183418809217,0.0022462209666410616,0.0011389287186850754,0.00025948416583401767,0.10686876243754317,0.014048321779174665,0.060230144674689824,0.31101751479743966,0.6889824852015389,1.8753799392097263,49,666,54.5,274.5,0.9999999999989785,9.978501025454778e-13,1.013516410957013,1.2947137269070716,0.8753799392097263,0.16101751479743967,0.2344796795650771,0.4070421546230151,0.38152183418809216,0.16101751479743967
