Wy,bx,kappa_c2o,kappa_o2c,start_x,start_y,start_dx,start_dy,target_x,target_y,start_in_corridor,phase,t_peak1,t_valley,t_peak2,valley_over_max,peak_balance,sep_peaks,absorbed_mass,survival_tail
16,-0.08,0.002,0.002,17,5,10,-2,58,7,1,2,320,943,1619,0.029456056699030383,0.15967928309930446,1.9741641337386018,0.8965074975555003,0.10349250244442727
16,-0.08,0.002,0.002,18,5,11,-2,58,7,1,2,312,933,1611,0.028141491029740333,0.15775734591030138,1.989280245022971,0.8969493780240938,0.1030506219758344
16,-0.08,0.002,0.002,19,5,12,-2,58,7,1,2,304,923,1603,0.02692207403252162,0.15580842943270562,2.003084040092521,0.8973775434520853,0.1026224565478425
16,-0.08,0.002,0.002,20,5,13,-2,58,7,1,2,295,913,1594,0.02576650999839537,0.15382959557454118,2.017080745341615,0.8977965537411347,0.10220344625879119
16,-0.08,0.002,0.002,21,5,14,-2,58,7,1,2,287,904,1586,0.024654125035139397,0.1518163094366832,2.0296875,0.8982094524687176,0.1017905475312085
16,-0.08,0.002,0.002,22,5,15,-2,58,7,1,1,279,894,1577,0.023573491000577446,0.14977133331633588,2.042486231313926,0.8986182717067162,0.10138172829320968
16,-0.08,0.002,0.002,23,5,16,-2,58,7,1,1,270,884,1569,0.022517524429643564,0.14769276230905523,2.058637083993661,0.8990243687858679,0.10097563121405907
16,-0.08,0.002,0.002,24,5,17,-2,58,7,1,1,262,875,1560,0.021481736813238936,0.14557587178483905,2.0701754385964914,0.8994286509586709,0.10057134904125678
16,-0.08,0.002,0.002,25,5,18,-2,58,7,1,1,254,865,1552,0.020466013887459382,0.14342295919331755,2.085140562248996,0.8998317252779192,0.10016827472201038
16,-0.08,0.002,0.002,26,5,19,-2,58,7,1,1,245,856,1543,0.0194703329706878,0.14123135876141102,2.100323624595469,0.9002339985848113,0.09976600141511635
16,-0.08,0.002,0.002,27,5,20,-2,58,7,1,1,237,847,1535,0.018495945448778136,0.1389954074940305,2.1140065146579805,0.9006357442152397,0.09936425578469052
16,-0.08,0.002,0.002,28,5,21,-2,58,7,1,1,229,837,1527,0.01754509449440375,0.13671669494299327,2.1313628899835795,0.9010371465057524,0.09896285349417906
16,-0.08,0.002,0.002,29,5,22,-2,58,7,1,1,220,828,1518,0.01662032493319365,0.13439229912801712,2.143682906688687,0.9014383304937633,0.09856166950616621
16,-0.08,0.002,0.002,30,5,23,-2,58,7,1,1,212,819,1510,0.01572353985321153,0.13201526106764477,2.1597337770382694,0.9018393817469583,0.09816061825297015
16,-0.08,0.002,0.002,31,5,24,-2,58,7,1,1,204,810,1501,0.014857593403490485,0.12958714366965354,2.1743503772003354,0.902240359616495,0.09775964038343567
16,-0.08,0.002,0.002,32,5,25,-2,58,7,1,1,195,801,1493,0.014024458218434628,0.1271042376966677,2.1944209636517327,0.9026413061147704,0.09735869388516476
