t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1958,13,nan,nan,nan,nan,nan,nan
1959,9,nan,nan,nan,nan,nan,nan
1960,13,nan,nan,nan,nan,nan,nan
1961,14,nan,nan,nan,nan,nan,nan
1962,9,nan,nan,nan,nan,nan,nan
1963,11,nan,nan,nan,nan,nan,nan
1964,12,nan,nan,nan,nan,nan,nan
1965,8,nan,nan,nan,nan,nan,nan
1966,8,nan,nan,nan,nan,nan,nan
1967,18,nan,nan,nan,nan,nan,nan
1968,12,nan,nan,nan,nan,nan,nan
1969,14,nan,nan,nan,nan,nan,nan
1970,9,nan,nan,nan,nan,nan,nan
1971,9,nan,nan,nan,nan,nan,nan
1972,15,nan,nan,nan,nan,nan,nan
1973,12,nan,nan,nan,nan,nan,nan
1974,17,nan,nan,nan,nan,nan,nan
1975,11,nan,nan,nan,nan,nan,nan
1976,13,nan,nan,nan,nan,nan,nan
1977,20,nan,nan,nan,nan,nan,nan
1978,10,nan,nan,nan,nan,nan,nan
1979,11,nan,nan,nan,nan,nan,nan
1980,19,nan,nan,nan,nan,nan,nan
1981,10,nan,nan,nan,nan,nan,nan
1982,17,nan,nan,nan,nan,nan,nan
1983,13,nan,nan,nan,nan,nan,nan
1984,12,nan,nan,nan,nan,nan,nan
1985,17,nan,nan,nan,nan,nan,nan
1986,9,nan,nan,nan,nan,nan,nan
1987,19,nan,nan,nan,nan,nan,nan
1988,13,nan,nan,nan,nan,nan,nan
1989,10,nan,nan,nan,nan,nan,nan
1990,12,nan,nan,nan,nan,nan,nan
1991,8,nan,nan,nan,nan,nan,nan
1992,10,nan,nan,nan,nan,nan,nan
1993,8,nan,nan,nan,nan,nan,nan
1994,15,nan,nan,nan,nan,nan,nan
1995,12,nan,nan,nan,nan,nan,nan
1996,12,nan,nan,nan,nan,nan,nan
1997,13,nan,nan,nan,nan,nan,nan
1998,13,nan,nan,nan,nan,nan,nan
1999,8,nan,nan,nan,nan,nan,nan
2000,8,nan,nan,nan,nan,nan,nan
2001,13,nan,nan,nan,nan,nan,nan
2002,14,nan,nan,nan,nan,nan,nan
2003,13,nan,nan,nan,nan,nan,nan
2004,9,nan,nan,nan,nan,nan,nan
2005,7,nan,nan,nan,nan,nan,nan
2006,7,nan,nan,nan,nan,nan,nan
2007,9,nan,nan,nan,nan,nan,nan
2008,15,nan,nan,nan,nan,nan,nan
2009,12,nan,nan,nan,nan,nan,nan
2010,12,nan,nan,nan,nan,nan,nan
2011,10,nan,nan,nan,nan,nan,nan
2012,15,nan,nan,nan,nan,nan,nan
2013,14,nan,nan,nan,nan,nan,nan
2014,14,nan,nan,nan,nan,nan,nan
2015,18,nan,nan,nan,nan,nan,nan
2016,12,nan,nan,nan,nan,nan,nan
2017,20,nan,nan,nan,nan,nan,nan
2018,12,nan,nan,nan,nan,nan,nan
2019,18,nan,nan,nan,nan,nan,nan
2020,14,nan,nan,nan,nan,nan,nan
2021,12,nan,nan,nan,nan,nan,nan
2022,10,nan,nan,nan,nan,nan,nan
2023,13,nan,nan,nan,nan,nan,nan
2024,16,nan,nan,nan,nan,nan,nan
2025,17,nan,nan,nan,nan,nan,nan
2026,10,nan,nan,nan,nan,nan,nan
2027,14,nan,nan,nan,nan,nan,nan
2028,12,nan,nan,nan,nan,nan,nan
2029,9,nan,nan,nan,nan,nan,nan
2030,10,nan,nan,nan,nan,nan,nan
2031,7,nan,nan,nan,nan,nan,nan
2032,16,nan,nan,nan,nan,nan,nan
2033,12,nan,nan,nan,nan,nan,nan
2034,10,nan,nan,nan,nan,nan,nan
2035,14,nan,nan,nan,nan,nan,nan
2036,9,nan,nan,nan,nan,nan,nan
2037,10,nan,nan,nan,nan,nan,nan
2038,9,nan,nan,nan,nan,nan,nan
2039,12,nan,nan,nan,nan,nan,nan
2040,13,nan,nan,nan,nan,nan,nan
2041,15,nan,nan,nan,nan,nan,nan
2042,14,nan,nan,nan,nan,nan,nan
2043,12,nan,nan,nan,nan,nan,nan
2044,12,nan,nan,nan,nan,nan,nan
2045,10,nan,nan,nan,nan,nan,nan
2046,12,nan,nan,nan,nan,nan,nan
2047,15,nan,nan,nan,nan,nan,nan
2048,13,nan,nan,nan,nan,nan,nan
2049,11,nan,nan,nan,nan,nan,nan
2050,10,nan,nan,nan,nan,nan,nan
2051,15,nan,nan,nan,nan,nan,nan
2052,8,nan,nan,nan,nan,nan,nan
2053,8,nan,nan,nan,nan,nan,nan
2054,14,nan,nan,nan,nan,nan,nan
2055,17,nan,nan,nan,nan,nan,nan
2056,9,nan,nan,nan,nan,nan,nan
2057,15,nan,nan,nan,nan,nan,nan
2058,9,nan,nan,nan,nan,nan,nan
2059,14,nan,nan,nan,nan,nan,nan
2060,8,nan,nan,nan,nan,nan,nan
2061,11,nan,nan,nan,nan,nan,nan
2062,16,nan,nan,nan,nan,nan,nan
2063,13,nan,nan,nan,nan,nan,nan
2064,11,nan,nan,nan,nan,nan,nan
2065,17,nan,nan,nan,nan,nan,nan
2066,11,nan,nan,nan,nan,nan,nan
2067,13,nan,nan,nan,nan,nan,nan
2068,17,nan,nan,nan,nan,nan,nan
2069,11,nan,nan,nan,nan,nan,nan
2070,11,nan,nan,nan,nan,nan,nan
2071,13,nan,nan,nan,nan,nan,nan
2072,18,nan,nan,nan,nan,nan,nan
2073,6,nan,nan,nan,nan,nan,nan
2074,17,nan,nan,nan,nan,nan,nan
2075,14,nan,nan,nan,nan,nan,nan
2076,18,nan,nan,nan,nan,nan,nan
2077,5,nan,nan,nan,nan,nan,nan
2078,13,nan,nan,nan,nan,nan,nan
2079,10,nan,nan,nan,nan,nan,nan
2080,13,nan,nan,nan,nan,nan,nan
2081,11,nan,nan,nan,nan,nan,nan
2082,16,nan,nan,nan,nan,nan,nan
2083,10,nan,nan,nan,nan,nan,nan
2084,6,nan,nan,nan,nan,nan,nan
2085,12,nan,nan,nan,nan,nan,nan
2086,14,nan,nan,nan,nan,nan,nan
2087,20,nan,nan,nan,nan,nan,nan
2088,14,nan,nan,nan,nan,nan,nan
2089,15,nan,nan,nan,nan,nan,nan
2090,18,nan,nan,nan,nan,nan,nan
2091,11,nan,nan,nan,nan,nan,nan
2092,19,nan,nan,nan,nan,nan,nan
2093,19,nan,nan,nan,nan,nan,nan
2094,11,nan,nan,nan,nan,nan,nan
2095,16,nan,nan,nan,nan,nan,nan
2096,18,nan,nan,nan,nan,nan,nan
2097,13,nan,nan,nan,nan,nan,nan
2098,14,nan,nan,nan,nan,nan,nan
2099,16,nan,nan,nan,nan,nan,nan
2100,15,nan,nan,nan,nan,nan,nan
2101,12,nan,nan,nan,nan,nan,nan
2102,16,nan,nan,nan,nan,nan,nan
2103,3,nan,nan,nan,nan,nan,nan
2104,10,nan,nan,nan,nan,nan,nan
2105,17,nan,nan,nan,nan,nan,nan
2106,16,nan,nan,nan,nan,nan,nan
2107,11,nan,nan,nan,nan,nan,nan
2108,11,nan,nan,nan,nan,nan,nan
2109,12,nan,nan,nan,nan,nan,nan
2110,11,nan,nan,nan,nan,nan,nan
2111,8,nan,nan,nan,nan,nan,nan
2112,12,nan,nan,nan,nan,nan,nan
2113,10,nan,nan,nan,nan,nan,nan
2114,8,nan,nan,nan,nan,nan,nan
2115,13,nan,nan,nan,nan,nan,nan
2116,8,nan,nan,nan,nan,nan,nan
2117,10,nan,nan,nan,nan,nan,nan
2118,10,nan,nan,nan,nan,nan,nan
2119,20,nan,nan,nan,nan,nan,nan
2120,14,nan,nan,nan,nan,nan,nan
2121,12,nan,nan,nan,nan,nan,nan
2122,14,nan,nan,nan,nan,nan,nan
2123,14,nan,nan,nan,nan,nan,nan
2124,9,nan,nan,nan,nan,nan,nan
2125,11,nan,nan,nan,nan,nan,nan
2126,12,nan,nan,nan,nan,nan,nan
2127,14,nan,nan,nan,nan,nan,nan
2128,15,nan,nan,nan,nan,nan,nan
2129,13,nan,nan,nan,nan,nan,nan
2130,13,nan,nan,nan,nan,nan,nan
2131,6,nan,nan,nan,nan,nan,nan
2132,9,nan,nan,nan,nan,nan,nan
2133,14,nan,nan,nan,nan,nan,nan
2134,12,nan,nan,nan,nan,nan,nan
2135,9,nan,nan,nan,nan,nan,nan
2136,13,nan,nan,nan,nan,nan,nan
2137,12,nan,nan,nan,nan,nan,nan
2138,12,nan,nan,nan,nan,nan,nan
2139,20,nan,nan,nan,nan,nan,nan
2140,12,nan,nan,nan,nan,nan,nan
2141,13,nan,nan,nan,nan,nan,nan
2142,15,nan,nan,nan,nan,nan,nan
2143,18,nan,nan,nan,nan,nan,nan
2144,9,nan,nan,nan,nan,nan,nan
2145,10,nan,nan,nan,nan,nan,nan
2146,18,nan,nan,nan,nan,nan,nan
2147,13,nan,nan,nan,nan,nan,nan
2148,12,nan,nan,nan,nan,nan,nan
2149,15,nan,nan,nan,nan,nan,nan
2150,13,nan,nan,nan,nan,nan,nan
2151,7,nan,nan,nan,nan,nan,nan
2152,12,nan,nan,nan,nan,nan,nan
2153,9,nan,nan,nan,nan,nan,nan
2154,11,nan,nan,nan,nan,nan,nan
2155,15,nan,nan,nan,nan,nan,nan
2156,12,nan,nan,nan,nan,nan,nan
2157,10,nan,nan,nan,nan,nan,nan
2158,19,nan,nan,nan,nan,nan,nan
2159,13,nan,nan,nan,nan,nan,nan
2160,9,nan,nan,nan,nan,nan,nan
2161,16,nan,nan,nan,nan,nan,nan
2162,8,nan,nan,nan,nan,nan,nan
2163,15,nan,nan,nan,nan,nan,nan
2164,12,nan,nan,nan,nan,nan,nan
2165,11,nan,nan,nan,nan,nan,nan
2166,15,nan,nan,nan,nan,nan,nan
2167,11,nan,nan,nan,nan,nan,nan
2168,8,nan,nan,nan,nan,nan,nan
2169,15,nan,nan,nan,nan,nan,nan
2170,9,nan,nan,nan,nan,nan,nan
2171,11,nan,nan,nan,nan,nan,nan
2172,6,nan,nan,nan,nan,nan,nan
2173,11,nan,nan,nan,nan,nan,nan
2174,14,nan,nan,nan,nan,nan,nan
2175,15,nan,nan,nan,nan,nan,nan
