t,f_total,f_target1,f_target2,survival
41,1.0711202947758655e-05,1.071120292347624e-05,2.4282414627148076e-14,5.5973101054060696e-05
42,8.958472856592132e-06,8.958472831839801e-06,2.4752329888305896e-14,4.7014628197468566e-05
43,7.498735154027766e-06,7.498735129052245e-06,2.497552132405981e-14,3.95158930434408e-05
44,6.281800046262347e-06,6.281800021295749e-06,2.4966598761112767e-14,3.3234092997178454e-05
45,5.2663182811281955e-06,5.266318256383541e-06,2.474465478894894e-14,2.7967774716050258e-05
46,4.4181741081485255e-06,4.418174083816629e-06,2.433189615746751e-14,2.3549600607901735e-05
47,3.7091808362128873e-06,3.7091808124604804e-06,2.3752407058486784e-14,1.9840419771688844e-05
48,3.1160197595522237e-06,3.116019736521147e-06,2.303107635209915e-14,1.6724400012136622e-05
49,2.6193753121861313e-06,2.619375289993428e-06,2.2192703067724574e-14,1.4105024699950494e-05
50,2.203228820821839e-06,2.2032287995605583e-06,2.1261280972943458e-14,1.1901795879128653e-05
51,1.8542807327232143e-06,1.854280712463761e-06,2.025945330248675e-14,1.004751514640544e-05
52,1.5614771397853202e-06,1.561477120577198e-06,1.9208122338211143e-14,8.486038006620122e-06
53,1.3156211425344257e-06,1.3156211244082308e-06,1.8126194824582472e-14,7.1704168640856945e-06
54,1.1090533603660018e-06,1.1090533433355592e-06,1.7030442596317616e-14,6.061363503719694e-06
55,9.353889005155599e-07,9.353888845801021e-07,1.593545774043855e-14,5.125974603204134e-06
56,7.893005064608995e-07,7.893004916072168e-07,1.4853682644137825e-14,4.336674096743235e-06
57,6.663395404844851e-07,6.663395266889881e-07,1.3795497005808574e-14,3.67033455625875e-06
58,5.627880120626733e-07,5.627879992933273e-07,1.2769346004278736e-14,3.107546544196077e-06
59,4.755361199716455e-07,4.755361081897494e-07,1.1781896100015944e-14,2.6320104242244316e-06
60,4.019807917856138e-07,4.019807809474066e-07,1.0838207215366272e-14,2.230029632438818e-06
61,3.399415275049877e-07,3.399415175630755e-07,9.941912195400757e-15,1.8900881049338303e-06
62,2.87590522267436e-07,2.875905131720396e-07,9.095396415601778e-15,1.6024975826663943e-06
63,2.4339458661279284e-07,2.433945783128207e-07,8.299972138815565e-15,1.3591029960536014e-06
64,2.0606682565491072e-07,2.06066818098867e-07,7.55604371697954e-15,1.1530361703986907e-06
65,1.7452640001009878e-07,1.745263931468378e-07,6.8632609853708885e-15,9.785097703885921e-07
66,1.478649868803423e-07,1.4786498065968306e-07,6.220659222047851e-15,8.306447835082499e-07
67,1.2531880169836716e-07,1.253187960715823e-07,5.626784863182524e-15,7.053259818098828e-07
68,1.0624523920576232e-07,1.0624523412595552e-07,5.079806800119385e-15,5.990807426041204e-07
69,9.010335582260329e-08,9.010335124498972e-08,4.5776135614556125e-15,5.089773867815172e-07
70,7.643754920245411e-08,7.643754508455709e-08,4.117897028009671e-15,4.32539837579063e-07
71,6.486390123775719e-08,6.486389753953362e-08,3.6982235634957895e-15,3.6767593634130583e-07
72,5.5058741779865316e-08,5.505873846377173e-08,3.3160935901776952e-15,3.1261719456144053e-07
73,4.67490654560313e-08,4.674906248704058e-08,2.968990715393015e-15,2.6586812910540925e-07
74,3.970449604603369e-08,3.970449339161215e-08,2.654421537722234e-15,2.2616363305937559e-07
75,3.373054424378258e-08,3.3730541873835335e-08,2.369947244335296e-15,1.9243308881559303e-07
76,2.8662947170029347e-08,2.8662945056821282e-08,2.113208064971299e-15,1.637701416455637e-07
77,2.4362913272673286e-08,2.4362911390731705e-08,1.8819415822750868e-15,1.3940722837289043e-07
78,2.071312552261199e-08,2.0713123848616172e-08,1.6739958201558126e-15,1.1869410285027842e-07
79,1.7614380129082054e-08,1.7614378641744106e-08,1.4873379471722025e-15,1.0107972272119638e-07
80,1.498275821643842e-08,1.4982756896379076e-08,1.3200593450560777e-15,8.609696450475797e-08
81,1.27472447298202e-08,1.2747243559442494e-08,1.170377706600029e-15,7.334971977493776e-08
82,1.084772285132469e-08,1.0847721814687946e-08,1.0366367445738359e-15,6.250199692361308e-08
83,9.233283890483612e-09,9.233282973179597e-09,9.173040156716458e-16,5.326871303312946e-08
84,7.860802358774948e-09,7.860801547807656e-09,8.109672917158801e-16,4.540791067435452e-08
85,6.6937340747444734e-09,6.693733358414628e-09,7.163298449876967e-16,3.871417659961004e-08
86,5.701101944738962e-09,5.7011013125340065e-09,6.322049558069958e-16,3.3013074654871085e-08
87,4.85663974847249e-09,4.856639190962591e-09,5.575098982832218e-16,2.8156434906398595e-08
88,4.138069014544473e-09,4.138068523284859e-09,4.912596142572525e-16,2.401836589185412e-08
89,3.5264880528640964e-09,3.5264876203038508e-09,4.3256024548820114e-16,2.0491877838990025e-08
90,3.005855546844396e-09,3.0058551662417363e-09,3.80602659664561e-16,1.7486022292145633e-08
91,2.5625539047344807e-09,2.5625535700784043e-09,3.3465607635328493e-16,1.492346838741115e-08
92,2.1850199151948772e-09,2.1850196211330033e-09,2.940618740449054e-16,1.2738448472216274e-08
93,1.863432220998112e-09,1.8634319627704736e-09,2.582276385141444e-16,1.0875016251218162e-08
94,1.5894467780673372e-09,1.5894465514458419e-09,2.266214953183842e-16,9.285569473150827e-09
95,1.3559728562540464e-09,1.3559726574872913e-09,1.9876675495311735e-16,7.929596616896778e-09
96,1.1569833061229291e-09,1.1569831318860416e-09,1.7423688755949125e-16,6.77261331077385e-09
97,9.873537983242833e-10,9.873536456734486e-10,1.5265083475594625e-16,5.785259512449566e-09
98,8.427265687870245e-10,8.427264351183657e-10,1.336686588026462e-16,4.9425329436625425e-09
99,7.193948989622688e-10,7.193947819747452e-10,1.1698752359974532e-16,4.223138044700274e-09
100,6.142051466154432e-10,6.142050442774455e-10,1.023379976998623e-16,3.6089328980848308e-09
101,5.244736367295462e-10,5.244735472488798e-10,8.948066634622188e-17,3.084459261355285e-09
102,4.4791613862955183e-10,4.479160604265145e-10,7.820303732651807e-17,2.636543122725733e-09
103,3.8258800678197826e-10,3.8258793846525426e-10,6.831672398264655e-17,2.253955115943755e-09
104,3.2683335919521e-10,3.268332995403221e-10,5.96548878875297e-17,1.927121756748545e-09
105,2.792419176173085e-10,2.7924186554738516e-10,5.206992336454331e-17,1.6478798391312366e-09
106,2.3861234508225036e-10,2.386122996508843e-10,4.543136607488625e-17,1.4092674940489863e-09
107,2.0392109491329836e-10,2.039210552892901e-10,3.9624008243586597e-17,1.205346399135688e-09
108,1.742959361993467e-10,1.7429590165314304e-10,3.4546203661027437e-17,1.031050462936341e-09
109,1.4899344834511146e-10,1.4899341823676514e-10,3.0108346322468485e-17,8.820570145912298e-10
110,1.2737988520172594e-10,1.2737985897021853e-10,2.6231507402974358e-17,7.546771293895038e-10
111,1.0891490057775925e-10,1.0891487773154308e-10,2.2846216169052614e-17,6.457622288117447e-10
112,9.313770419549053e-11,9.313768430411916e-11,1.989137136896866e-17,5.52624524616254e-10
113,7.965528257070182e-11,7.965526525743122e-11,1.7313270595838032e-17,4.729692420455523e-10
114,6.813237469193024e-11,6.813235962718417e-11,1.5064746061645482e-17,4.0483686735362204e-10
115,5.828293930528959e-11,5.828292620089345e-11,1.310439614151326e-17,3.465539280483324e-10
116,4.986289038003122e-11,4.986287898412828e-11,1.1395902934960153e-17,2.966910376683013e-10
117,4.266391104072205e-11,4.2663901133295116e-11,9.907426936872256e-18,2.540271266275792e-10
118,3.6508184835499804e-11,3.650817622442909e-11,8.611070710337538e-18,2.1751894179207938e-10
119,3.124390745299125e-11,3.124389997058705e-11,7.482404203328489e-18,1.8627503433908816e-10
120,2.6741462567950972e-11,2.6741456067905922e-11,6.500045050025037e-18,1.5953357177113718e-10
121,2.2890162949500344e-11,2.28901573042125e-11,5.645287845190622e-18,1.366434088216368e-10
122,1.9595472781302632e-11,1.9595467879525654e-11,4.901776977247591e-18,1.170479360403342e-10
123,1.677663972216411e-11,1.6776635466945955e-11,4.255218154061655e-18,1.0027129631817009e-10
124,1.4364675918655676e-11,1.436467222553142e-11,3.693124256972833e-18,8.590662039951442e-11
