t,f_total,f_target1,f_target2,survival
77,0.017932513612888803,6.090729616317177e-09,0.017932507522159188,0.2614239415442021
78,0.01724344266535356,5.1782829136057555e-09,0.017243437487070648,0.24418049887884857
79,0.01652610133746121,4.403596796972682e-09,0.016526096933864413,0.2276543975413874
80,0.015788573604177646,3.745691546067925e-09,0.0157885698584861,0.21186582393720974
81,0.015038352804584529,3.186813395677129e-09,0.015038349617771132,0.19682747113262522
82,0.014282296396607035,2.7119331398064167e-09,0.014282293684673895,0.1825451747360182
83,0.013526599503887269,2.3083236043411883e-09,0.013526597195563664,0.16901857523213096
84,0.012776784846709844,1.9652034157110744e-09,0.012776782881506429,0.1562417903854211
85,0.012037706641348378,1.6734365272036324e-09,0.012037704967911851,0.14420408374407273
86,0.011313566119312383,1.4252786641765547e-09,0.01131356469403372,0.13289051762476034
87,0.01060793644155756,1.214163270473274e-09,0.01060793522739429,0.12228258118320279
88,0.009923794946668745,1.0345207273213419e-09,0.009923793912148017,0.11235878623653406
89,0.009263560862437457,8.816256114521779e-10,0.009263559980811846,0.1030952253740966
90,0.008629136815466567,7.514675931581096e-10,0.008629136063998974,0.09446608855863003
91,0.008021952683914889,6.406422741290722e-10,0.008021952043272615,0.08644413587471514
92,0.007443010546702183,5.46258851345587e-10,0.007443010000443332,0.07900112532801297
93,0.006892929682674916,4.658619854990071e-10,0.00689292921681293,0.07210819564533805
94,0.006371990761198589,3.97365665742756e-10,0.006371990363832923,0.06573620488413948
95,0.005880178538548165,3.3899720987538395e-10,0.005880178199550955,0.059856026345591305
96,0.005417222530589332,2.8924983102302847e-10,0.0054172222413395015,0.054438803815001977
97,0.004982635270767994,2.4684244746695464e-10,0.0049826350239255465,0.049456168544233986
98,0.004575747883263085,2.106856189249863e-10,0.004575747672577466,0.04488042066097089
99,0.0041957428047725625,1.7985266659483163e-10,0.004195742624919896,0.04068467785619834
100,0.003841683575664396,1.5355518083426184e-10,0.0038416834221092155,0.03684299428053395
101,0.0035125416932866296,1.3112224386921379e-10,0.003512541562164386,0.03333045258724731
102,0.003207220578425198,1.1198279905767278e-10,0.0032072204664423992,0.030123232008822116
103,0.0029245767516522738,9.5650686073143e-11,0.0029245766560015876,0.027198655257169843
104,0.0026634383510778284,8.171193548934455e-11,0.002663438269365893,0.024535216906092016
105,0.002422621148237068,6.9813978815508e-11,0.002422621078423089,0.02211259575785495
106,0.0022009422358909713,5.965648287013577e-11,0.0022009421762344884,0.01991165352196398
107,0.001997231571675076,5.0983562020492446e-11,0.001997231520691514,0.017914421950288903
108,0.0018103415659879208,4.357715954182722e-11,0.0018103415224107614,0.016104080384300983
109,0.0016391549023373549,3.725142124655115e-11,0.0016391548650859335,0.014464925481963629
110,0.0014825907745151428,3.1847911509981697e-11,0.0014825907426672313,0.012982334707448487
111,0.0013396097182863428,2.7231544642604916e-11,0.001339609691054798,0.011642724989162145
