N,K,beta,window,class,prob,summary_file
100,4,0.001,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,peak1,class_C1pJ0,0.625,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.001,peak1,class_C1pJ1p,0.375,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.001/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C1pJ0,0.6530172413793104,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.005,peak1,class_C1pJ1p,0.3469827586206896,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.005/N100_K4_beta0.summary.csv
100,4,0.01,peak1,class_C0J0,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,peak1,class_C0J1p,0.0,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
100,4,0.01,peak1,class_C1pJ0,0.696969696969697,/Users/zhouyixiaoxiao/Library/CloudStorage/OneDrive-UniversityofBristol/Desktop/valley-k-small/reports/lazy_jump_ext/outputs/mc_beta_sweep_N100/cases/N100_K4_beta0.01/N100_K4_beta0.summary.csv
