t,f_total,f_near,f_far,N_direct,N_detour,F_clean,F_linger,F_rollback,F_no_return
1131,0.00011720447939022954,7.904524015871128e-14,0.0001172044793111843,6.786269636570641e-17,7.897737746234935e-14,8.05698732398476e-05,1.5596934245794005e-05,2.103767182554836e-05,9.61668074856416e-05
1132,0.00011659420794596228,7.747791875371847e-14,0.00011659420786848436,6.601718076327112e-17,7.741190157295893e-14,8.015033210119547e-05,1.551582989728231e-05,2.0928045870012223e-05,9.566616199847779e-05
1133,0.00011598712502078012,7.594178561800029e-14,0.00011598712494483833,6.422185367213085e-17,7.587756376433179e-14,7.973298422122256e-05,1.5435148495466483e-05,2.0818992228154887e-05,9.516813271668905e-05
1134,0.0001153832139206727,7.44362180535963e-14,0.00011538321384623648,6.247535022355659e-17,7.437374270337631e-14,7.931781808868784e-05,1.535488783171437e-05,2.071050792583987e-05,9.467270592040222e-05
1135,0.00011478245803841667,7.29606058380357e-14,0.00011478245796545607,6.077634266620889e-17,7.2899829495373e-14,7.890482225271403e-05,1.5275045708836193e-05,2.0602590003911433e-05,9.417986796155022e-05
1136,0.00011418484085314452,7.151435097348831e-14,0.00011418484078163017,5.912353935673623e-17,7.145522743413503e-14,7.849398532247873e-05,1.5195619941028017e-05,2.0495235518128955e-05,9.368960526350674e-05
1137,0.0001135903459299152,7.009686744097903e-14,0.00011359034585981833,5.751568377782416e-17,7.003935175720459e-14,7.808529596690708e-05,1.5116608353815425e-05,2.0388441539101365e-05,9.32019043207225e-05
1138,0.00011299895691928682,6.870758095956296e-14,0.00011299895685057923,5.595155358294837e-17,6.865162940598333e-14,7.767874291436563e-05,1.5038008783997429e-05,2.0282205152221667e-05,9.271675169836306e-05
1139,0.00011241065755689049,6.734592875036067e-14,0.00011241065748954457,5.442995966710546e-17,6.72914987906968e-14,7.727431495235778e-05,1.495981907959058e-05,2.017652345760169e-05,9.223413403194837e-05
1140,0.00011182543166300648,6.601135930535518e-14,0.00011182543159699512,5.294974526281518e-17,6.595840956009555e-14,7.687200092722044e-05,1.4882037099773341e-05,2.00713935700068e-05,9.175403802699377e-05
