case,window,t_lo,t_hi,region,x,y,occupancy,rank_in_region
sym_shared,peak1,369,421,top_full,50,14,1.2276598372596115e-05,32
sym_shared,peak1,369,421,top_full,7,10,1.1870118458957172e-05,33
sym_shared,peak1,369,421,top_full,5,14,1.1026645155554838e-05,34
sym_shared,peak1,369,421,top_full,49,10,1.059897011416322e-05,35
sym_shared,peak1,369,421,top_full,7,11,9.337533604917013e-06,36
sym_shared,peak1,369,421,top_full,49,11,9.321739099962072e-06,37
sym_shared,peak1,369,421,top_full,6,13,8.770958964700423e-06,38
sym_shared,peak1,369,421,top_full,49,12,8.072421898087995e-06,39
sym_shared,peak1,369,421,top_full,49,13,7.099434520294016e-06,40
sym_shared,peak1,369,421,top_full,6,14,7.0915176752239145e-06,41
sym_shared,peak1,369,421,top_full,7,12,6.861992831158716e-06,42
sym_shared,peak1,369,421,top_full,49,14,6.5748541554742175e-06,43
sym_shared,peak1,369,421,top_full,8,10,6.29438211214711e-06,44
sym_shared,peak1,369,421,top_full,48,10,5.607368839295139e-06,45
sym_shared,peak1,369,421,top_full,7,13,5.1480276872046565e-06,46
sym_shared,peak1,369,421,top_full,8,11,4.98256690816e-06,47
sym_shared,peak1,369,421,top_full,48,11,4.8323732515307425e-06,48
sym_shared,peak1,369,421,top_full,7,14,4.31555453443946e-06,49
sym_shared,peak1,369,421,top_full,48,12,4.1754041033104435e-06,50
sym_shared,peak1,369,421,top_full,8,12,3.7980290537297394e-06,51
sym_shared,peak1,369,421,top_full,48,13,3.6969214740660418e-06,52
sym_shared,peak1,369,421,top_full,9,10,3.658949203220918e-06,53
sym_shared,peak1,369,421,top_full,48,14,3.4458073726031084e-06,54
sym_shared,peak1,369,421,top_full,47,10,3.098402460124661e-06,55
sym_shared,peak1,369,421,top_full,8,13,2.9646818535803733e-06,56
sym_shared,peak1,369,421,top_full,9,11,2.83001683421795e-06,57
sym_shared,peak1,369,421,top_full,47,11,2.5779429481952803e-06,58
sym_shared,peak1,369,421,top_full,8,14,2.5491315767634707e-06,59
sym_shared,peak1,369,421,top_full,10,10,2.300376767670724e-06,60
sym_shared,peak1,369,421,top_full,47,12,2.1872555825186944e-06,61
sym_shared,peak1,369,421,top_full,9,12,2.1676747876453334e-06,62
sym_shared,peak1,369,421,top_full,47,13,1.9239579691629594e-06,63
sym_shared,peak1,369,421,top_full,46,10,1.8066696744974933e-06,64
sym_shared,peak1,369,421,top_full,47,14,1.7912341721793433e-06,65
sym_shared,peak1,369,421,top_full,9,13,1.7192245210076446e-06,66
sym_shared,peak1,369,421,top_full,10,11,1.7161825927195642e-06,67
sym_shared,peak1,369,421,top_full,11,10,1.5379029689699562e-06,68
sym_shared,peak1,369,421,top_full,9,14,1.4971109058415654e-06,69
sym_shared,peak1,369,421,top_full,46,11,1.4340207890480654e-06,70
sym_shared,peak1,369,421,top_full,10,12,1.293766403652998e-06,71
sym_shared,peak1,369,421,top_full,46,12,1.1774880778146183e-06,72
sym_shared,peak1,369,421,top_full,45,10,1.1201013137257932e-06,73
sym_shared,peak1,369,421,top_full,11,11,1.1042617995437278e-06,74
sym_shared,peak1,369,421,top_full,12,10,1.0763069684156692e-06,75
sym_shared,peak1,369,421,top_full,10,13,1.0228454469453426e-06,76
sym_shared,peak1,369,421,top_full,46,13,1.015861291001383e-06,77
sym_shared,peak1,369,421,top_full,46,14,9.376461621863811e-07,78
sym_shared,peak1,369,421,top_full,10,14,8.918217502257458e-07,79
sym_shared,peak1,369,421,top_full,45,11,8.422675500627197e-07,80
sym_shared,peak1,369,421,top_full,11,12,8.108144185075479e-07,81
sym_shared,peak1,369,421,top_full,13,10,7.801377129382222e-07,82
sym_shared,peak1,369,421,top_full,12,11,7.460436152752942e-07,83
sym_shared,peak1,369,421,top_full,44,10,7.408146101427286e-07,84
sym_shared,peak1,369,421,top_full,45,12,6.617323142840195e-07,85
sym_shared,peak1,369,421,top_full,11,13,6.310720077805776e-07,86
