t,f_any,f_m1_first,f_m2_first,survival
756,0.00017121321390929455,0.00010897128958061251,6.224192432868202e-05,0.8485942245443616
757,0.00017109425680273253,0.00010884580534498159,6.224845145775095e-05,0.8484231302875589
758,0.00017097549426045707,0.00010872064200942378,6.225485225103329e-05,0.8482521547932985
759,0.0001708569260286356,0.00010859579862928338,6.226112739935224e-05,0.8480812978672699
760,0.00017073855185283145,0.00010847127426272382,6.226727759010763e-05,0.8479105593154173
761,0.00017062037147801173,0.00010834706797072114,6.22733035072906e-05,0.8477399389439392
762,0.00017050238464855587,0.0001082231788170578,6.227920583149808e-05,0.8475694365592906
763,0.00017038459110826367,0.00010809960586831613,6.228498523994754e-05,0.8473990519681824
764,0.0001702669906003634,0.00010797634819387191,6.229064240649149e-05,0.8472287849775821
765,0.00017014958286752006,0.00010785340486588806,6.229617800163199e-05,0.8470586353947146
766,0.0001700323676518432,0.000107730774959308,6.23015926925352e-05,0.8468886030270627
767,0.00016991534469489513,0.0001076084575518493,6.230688714304583e-05,0.846718687682368
768,0.0001697985137376988,0.00010748645172399716,6.231206201370162e-05,0.8465488891686302
769,0.00016968187452074556,0.00010736475655899785,6.23171179617477e-05,0.8463792072941095
770,0.00016956542678400323,0.00010724337114285219,6.232205564115105e-05,0.8462096418673256
771,0.00016944917026692383,0.00010712229456430903,6.23268757026148e-05,0.8460401926970588
772,0.00016933310470845125,0.00010700152591485869,6.233157879359257e-05,0.8458708595923504
773,0.00016921722984702918,0.00010688106428872641,6.233616555830277e-05,0.8457016423625033
774,0.00016910154542060845,0.00010676090878286565,6.23406366377428e-05,0.8455325408170827
775,0.00016898605116665504,0.00010664105849695165,6.234499266970339e-05,0.8453635547659162
776,0.0001688707468221574,0.00010652151253337467,6.23492342887827e-05,0.845194684019094
777,0.000168755632123634,0.00010640226999723346,6.235336212640053e-05,0.8450259283869703
778,0.00016864070680714088,0.00010628332999632853,6.235737681081236e-05,0.8448572876801632
779,0.0001685259706082792,0.00010616469164115568,6.236127896712353e-05,0.8446887617095551
780,0.00016841142326220234,0.0001060463540448991,6.236506921730325e-05,0.8445203502862929
781,0.0001682970645036235,0.00010592831632342486,6.236874818019866e-05,0.8443520532217893
782,0.00016818289406682292,0.0001058105775952742,6.237231647154872e-05,0.8441838703277225
783,0.00016806891168565514,0.00010569313698165686,6.237577470399828e-05,0.8440158014160368
784,0.00016795511709355617,0.00010557599360644428,6.237912348711189e-05,0.8438478462989434
