t,f_any,f_m1_first,f_m2_first,survival
1168,0.0002552517674579482,5.048079925430585e-05,0.00020477096820364237,0.41541022491177004
1169,0.00025500318151296363,5.046978575445228e-05,0.00020453339575851135,0.41515522173025715
1170,0.00025475496201683115,5.0458753641661105e-05,0.00020429620837517003,0.41490046676824033
1171,0.0002545071082004844,5.044770302954108e-05,0.00020405940517094332,0.4146459596600398
1172,0.00025425961929793564,5.043663403102334e-05,0.0002038229852669123,0.414391700040742
1173,0.0002540124945462497,5.0425546758365314e-05,0.00020358694778788435,0.41413768754619573
1174,0.0002537657331855188,5.041444132315457e-05,0.00020335129186236424,0.41388392181301026
1175,0.0002535193344588376,5.040331783631273e-05,0.00020311601662252487,0.41363040247855143
1176,0.0002532732976122778,5.0392176408099264e-05,0.00020288112120417853,0.41337712918093916
1177,0.0002530276218948637,5.038101714811544e-05,0.00020264660474674824,0.41312410155904433
1178,0.00025278230655854776,5.0369840165308044e-05,0.00020241246639323974,0.41287131925248577
1179,0.0002525373508581865,5.035864556797326e-05,0.0002021787052902133,0.4126187819016276
1180,0.0002522927540515165,5.034743346376047e-05,0.00020194532058775603,0.4123664891475761
1181,0.0002520485153991304,5.033620395967598e-05,0.0002017123114394544,0.41211444063217706
1182,0.0002518046341644539,5.032495716208686e-05,0.00020147967700236708,0.41186263599801265
1183,0.0002515611096137225,5.031369317672466e-05,0.00020124741643699783,0.4116110748883989
1184,0.00025131794101595806,5.030241210868914e-05,0.00020101552890726892,0.41135975694738297
1185,0.00025107512764294647,5.029111406245199e-05,0.0002007840135804945,0.41110868181974003
1186,0.000250832668769215,5.027979914186061e-05,0.0002005528696273544,0.41085784915097084
1187,0.0002505905636720099,5.026846745014165e-05,0.00020032209622186827,0.4106072585872989
1188,0.0002503488116312746,5.025711908990487e-05,0.00020009169254136974,0.41035690977566763
1189,0.0002501074119296274,5.024575416314665e-05,0.00019986165776648078,0.410106802363738
1190,0.0002498663638523404,5.023437277125374e-05,0.0001996319910810867,0.4098569359998857
1191,0.00024962566668731756,5.0222975015006776e-05,0.0001994026916723108,0.4096073103331984
1192,0.00024938531972507386,5.021156099458404e-05,0.0001991737587304898,0.4093579250134734
1193,0.00024914532225871417,5.0200130809564915e-05,0.00019894519144914927,0.40910877969121473
1194,0.0002489056735839126,5.018868455893357e-05,0.00019871698902497903,0.40885987401763074
1195,0.0002486663729988918,5.0177222341082466e-05,0.00019848915065780935,0.4086112076446319
1196,0.0002484274198044028,5.016574425381595e-05,0.00019826167555058683,0.4083627802248275
1197,0.0002481888133037046,5.0154250394353724e-05,0.00019803456290935087,0.40811459141152384
1198,0.00024795055280254455,5.014274085933445e-05,0.00019780781194321008,0.40786664085872126
1199,0.0002477126376091384,5.013121574481921e-05,0.00019758142186431923,0.40761892822111223
1200,0.0002474750670341511,5.0119675146294976e-05,0.00019735539188785612,0.4073714531540781
1201,0.00024723784039067695,5.010811915867811e-05,0.00019712972123199886,0.4071242153136875
1202,0.00024700095699422094,5.009654787631782e-05,0.0001969044091179031,0.4068772143566932
1203,0.0002467644161626795,5.008496139299958e-05,0.00019667945476967993,0.40663044994053055
1204,0.00024652821721632217,5.007335980194859e-05,0.0001964548574143736,0.4063839217233143
1205,0.0002462923594777727,5.006174319583312e-05,0.00019623061628193958,0.40613762936383646
