t,f_K2,f_K4
3285,0.0001353747402042838,6.559634017724767e-05
3286,0.00013532230140584058,6.554047903201e-05
3287,0.0001352698825112719,6.54846654568983e-05
3288,0.0001352174835131149,6.542889941310272e-05
3289,0.000135165104406242,6.537318085773119e-05
3290,0.0001351127451837837,6.531750975262759e-05
3291,0.00013506040583969732,6.526188605640628e-05
3292,0.00013500808636657762,6.520630972867589e-05
3293,0.00013495578675962953,6.515078072863048e-05
3294,0.00013490350701247225,6.5095299016638e-05
3295,0.0001348512471172752,6.503986455300254e-05
3296,0.00013479900706904618,6.498447729615738e-05
3297,0.00013474678686074585,6.492913720670248e-05
3298,0.00013469458648664542,6.487384424446916e-05
3299,0.00013464240593925796,6.481859836915697e-05
3300,0.00013459024521422804,6.47633995401088e-05
3301,0.00013453810430347752,6.470824771833129e-05
3302,0.00013448598320172977,6.465314286311677e-05
3303,0.00013443388190213313,6.459808493422994e-05
3304,0.00013438180039843805,6.454307389233051e-05
3305,0.00013432973868373268,6.448810969773168e-05
3306,0.00013427769675248844,6.443319230968318e-05
3307,0.00013422567459841765,6.437832168837479e-05
3308,0.0001341736722150608,6.43234977946735e-05
3309,0.00013412168959548042,6.426872058831061e-05
3310,0.00013406972673390456,6.421399002943665e-05
3311,0.00013401778362403133,6.415930607881117e-05
3312,0.00013396586025917428,6.410466869646357e-05
3313,0.00013391395663247418,6.405007784302535e-05
3314,0.00013386207273925795,6.39955334779202e-05
3315,0.00013381020857182563,6.394103556266944e-05
3316,0.00013375836412356774,6.388658405761287e-05
3317,0.00013370653938954435,6.38321789219497e-05
3318,0.00013365473436181927,6.377782011791382e-05
3319,0.0001336029490356717,6.372350760488702e-05
3320,0.0001335511834030057,6.366924134413027e-05
3321,0.00013349943745804535,6.36150212956408e-05
3322,0.00013344771119475394,6.356084742034616e-05
3323,0.0001333960046071126,6.350671967913033e-05
3324,0.00013334431768815552,6.345263803268723e-05
3325,0.00013329265043170743,6.33986024408135e-05
3326,0.0001332410028313426,6.334461286607696e-05
3327,0.00013318937488043084,6.329066926773335e-05
3328,0.00013313776657318055,6.323677160795878e-05
3329,0.00013308617790253806,6.318291984555857e-05
3330,0.00013303460886244107,6.312911394369863e-05
3331,0.00013298305944701202,6.307535386246288e-05
3332,0.00013293152964934706,6.30216395621261e-05
3333,0.00013288001946323564,6.296797100425635e-05
3334,0.0001328285288821118,6.291434815051889e-05
3335,0.0001327770578992297,6.286077096156376e-05
3336,0.00013272560650907467,6.280723939771523e-05
3337,0.00013267417470518112,6.27537534212672e-05
3338,0.0001326227624799438,6.270031299280418e-05
3339,0.0001325713698287366,6.264691807342613e-05
3340,0.0001325199967442248,6.259356862496485e-05
3341,0.0001324686432195718,6.254026460861606e-05
3342,0.00013241730924955976,6.248700598452828e-05
3343,0.00013236599482611196,6.243379271582037e-05
3344,0.0001323146999445139,6.238062476266224e-05
3345,0.00013226342459823662,6.232750208619172e-05
3346,0.00013221216877998713,6.227442464912808e-05
3347,0.00013216093248334473,6.222139241182981e-05
3348,0.00013210971570237087,6.216840533644813e-05
3349,0.00013205851843116654,6.211546338477551e-05
3350,0.00013200734066198333,6.206256651727549e-05
3351,0.00013195618239012898,6.200971469617707e-05
3352,0.0001319050436078443,6.195690788355192e-05
3353,0.00013185392430955928,6.190414603979406e-05
3354,0.00013180282448760843,6.18514291283479e-05
3355,0.00013175174413712266,6.1798757110232e-05
3356,0.00013170068325074947,6.174612994617821e-05
3357,0.0001316496418228326,6.169354759947914e-05
3358,0.00013159861984613617,6.164101003140827e-05
3359,0.00013154761731487444,6.158851720314367e-05
3360,0.0001314966342221667,6.153606907785497e-05
3361,0.00013144567056209196,6.148366561621274e-05
3362,0.0001313947263274726,6.143130678142553e-05
3363,0.0001313438015129598,6.137899253423279e-05
3364,0.0001312928961112957,6.132672283787643e-05
3365,0.00013124201011602724,6.127449765365511e-05
3366,0.00013119114352144469,6.122231694372392e-05
3367,0.00013114029632060151,6.117018067057415e-05
3368,0.0001310894685070992,6.111808879637687e-05
3369,0.0001310386600742682,6.106604128201042e-05
3370,0.00013098787101667483,6.101403809176854e-05
3371,0.00013093710132714518,6.096207918648797e-05
3372,0.00013088635099915916,6.0910164528835297e-05
3373,0.00013083562002681214,6.0858294081636836e-05
3374,0.00013078490840348096,6.0806467806542256e-05
3375,0.00013073421612213654,6.0754685665673424e-05
3376,0.00013068354317710256,6.07029476222523e-05
3377,0.00013063288956152366,6.065125363875488e-05
3378,0.00013058225526885875,6.059960367678772e-05
3379,0.0001305316402937179,6.054799769998064e-05
3380,0.00013048104462864225,6.049643566927496e-05
3381,0.00013043046826719445,6.044491754869684e-05
3382,0.00013037991120418916,6.039344330047994e-05
3383,0.00013032937343161996,6.034201288741344e-05
3384,0.00013027885494391113,6.0290626271378846e-05
3385,0.000130228355734921,6.023928341631537e-05
3386,0.00013017787579681288,6.018798428346189e-05
3387,0.0001301274151245902,6.01367288374479e-05
3388,0.00013007697371145683,6.0085517039589194e-05
3389,0.0001300265515504782,6.003434885314587e-05
3390,0.00012997614863618245,5.998322424118461e-05
3391,0.00012992576496086524,5.993214316618036e-05
3392,0.00012987540051842441,5.988110559189044e-05
3393,0.00012982505530323546,5.983011147996871e-05
3394,0.00012977472930799153,5.977916079427432e-05
3395,0.00012972442252714205,5.9728253497868436e-05
3396,0.0001296741349531224,5.96773895533554e-05
3397,0.00012962386658053128,5.962656892393742e-05
3398,0.0001295736174025863,5.9575791572657625e-05
3399,0.00012952338741224767,5.952505746353163e-05
3400,0.00012947317660361824,5.947436655860572e-05
3401,0.0001294229849707096,5.9423718821425624e-05
3402,0.00012937281250549826,5.937311421551619e-05
3403,0.00012932265920349585,5.9322552703944284e-05
3404,0.00012927252505720075,5.927203424977454e-05
3405,0.00012922241006084288,5.922155881722281e-05
3406,0.00012917231420709872,5.917112636757793e-05
3407,0.00012912223749021834,5.9120736866973644e-05
3408,0.0001290721799028917,5.907039027754812e-05
3409,0.00012902214144038668,5.9020086562346715e-05
3410,0.00012897212209373528,5.89698256853093e-05
3411,0.00012892212185861663,5.891960761055049e-05
3412,0.00012887214072769418,5.8869432300869115e-05
3413,0.0001288221786944455,5.881929971902201e-05
3414,0.00012877223575299298,5.87692098304451e-05
3415,0.00012872231189622278,5.871916259760107e-05
3416,0.00012867240711786994,5.866915798401912e-05
3417,0.00012862252141202174,5.86191959544796e-05
3418,0.00012857265477152167,5.856927647164274e-05
3419,0.0001285228071906126,5.851939949980285e-05
3420,0.00012847297866224288,5.84695650024308e-05
3421,0.0001284231691805844,5.841977294440679e-05
3422,0.00012837337873794315,5.837002328737288e-05
3423,0.0001283236073297018,5.832031599865521e-05
3424,0.00012827385494782682,5.827065103757465e-05
3425,0.00012822412158668495,5.822102837273846e-05
3426,0.00012817440723940634,5.817144796452853e-05
3427,0.00012812471189978817,5.8121909779281324e-05
3428,0.0001280750355618946,5.8072413780290985e-05
3429,0.00012802537821734585,5.802295993161974e-05
3430,0.00012797573986228679,5.797354819748239e-05
3431,0.0001279261204882927,5.792417854118411e-05
3432,0.00012787652008934355,5.787485092788861e-05
3433,0.00012782693865971443,5.782556532185203e-05
3434,0.00012777737619257162,5.77763216865721e-05
3435,0.00012772783268140902,5.772711998701023e-05
3436,0.0001276783081195509,5.767796018630489e-05
3437,0.00012762880250033088,5.7628842250469765e-05
3438,0.00012757931581861397,5.757976614199204e-05
3439,0.0001275298480662225,5.7530731826611125e-05
3440,0.00012748039923776114,5.748173926903704e-05
3441,0.00012743096932589667,5.7432788432496294e-05
3442,0.0001273815583261822,5.738387928178382e-05
3443,0.00012733216622919476,5.7335011781561816e-05
3444,0.00012728279303088013,5.728618589635575e-05
3445,0.00012723343872370123,5.723740159103756e-05
3446,0.00012718410330150756,5.718865882958835e-05
3447,0.00012713478675876224,5.713995757737798e-05
3448,0.00012708548908678258,5.7091297798713856e-05
3449,0.00012703621028038644,5.704267945709224e-05
3450,0.0001269869503331973,5.6994102519512136e-05
3451,0.00012693770923958794,5.694556694979049e-05
3452,0.0001268884869912843,5.6897072711691175e-05
3453,0.0001268392835828885,5.6848619771040955e-05
3454,0.00012679009900768242,5.680020809234295e-05
3455,0.0001267409332595121,5.6751837640399215e-05
3456,0.00012669178633096997,5.670350838047274e-05
3457,0.0001266426582169938,5.6655220276899117e-05
3458,0.00012659354890993846,5.660697329547535e-05
3459,0.0001265444584041604,5.655876739941518e-05
3460,0.00012649538669293,5.651060255614351e-05
3461,0.0001264463337690363,5.64624787299306e-05
3462,0.00012639729962766287,5.641439588452025e-05
3463,0.0001263482842610655,5.636635398605973e-05
3464,0.00012629928766362972,5.6318353000193406e-05
3465,0.0001262503098282935,5.627039289152263e-05
3466,0.00012620135074767124,5.622247362411752e-05
3467,0.0001261524104173015,5.6174595164642004e-05
3468,0.0001261034888292418,5.612675747826551e-05
3469,0.00012605458597787553,5.6078960530011744e-05
3470,0.00012600570185663268,5.6031204285020635e-05
3471,0.00012595683645874289,5.598348870940533e-05
3472,0.00012590798977798066,5.5935813766400374e-05
3473,0.00012585916180731473,5.5888179423881254e-05
3474,0.00012581035254004486,5.5840585647142754e-05
3475,0.00012576156197206183,5.57930323990474e-05
3476,0.00012571279009405216,5.5745519647092814e-05
3477,0.0001256640369017682,5.569804735717309e-05
3478,0.00012561530238658497,5.5650615493883715e-05
3479,0.00012556658654363397,5.5603224022884434e-05
3480,0.0001255178893660573,5.55558729103566e-05
3481,0.00012546921084775087,5.550856212106454e-05
3482,0.00012542055098150145,5.546129162150294e-05
3483,0.0001253719097611914,5.541406137692194e-05
3484,0.000125323287180168,5.5366871352964823e-05
3485,0.00012527468323236365,5.531972151564538e-05
3486,0.00012522609791068838,5.5272611830135446e-05
3487,0.00012517753120942527,5.5225542263498414e-05
3488,0.00012512898312227376,5.517851277994275e-05
3489,0.000125080453641593,5.5131523347037044e-05
3490,0.00012503194276149875,5.508457393010723e-05
3491,0.00012498345047698466,5.503766449339608e-05
