t,f_any,f_m1_first,f_m2_first,survival
4614,6.404679290297161e-05,4.663081052542205e-05,1.741598237754957e-05,0.41477253405496983
4615,6.403625002806093e-05,4.662246699640369e-05,1.7413783031657243e-05,0.4147084978049418
4616,6.402570938317582e-05,4.6614125139320684e-05,1.741158424385513e-05,0.41464447209555866
4617,6.401517096742128e-05,4.660578495371255e-05,1.7409386013708735e-05,0.4145804569245912
4618,6.400463477990305e-05,4.6597446439119086e-05,1.7407188340783956e-05,0.4145164522898114
4619,6.399410081972752e-05,4.658910959508044e-05,1.7404991224647082e-05,0.4144524581889917
4620,6.398356908600186e-05,4.658077442113706e-05,1.740279466486481e-05,0.4143884746199057
4621,6.397303957783392e-05,4.657244091682971e-05,1.7400598661004216e-05,0.41432450158032785
4622,6.396251229433225e-05,4.656410908169947e-05,1.739840321263278e-05,0.4142605390680336
4623,6.39519872346061e-05,4.655577891528773e-05,1.7396208319318373e-05,0.414196587080799
4624,6.394146439776544e-05,4.654745041713618e-05,1.739401398062927e-05,0.41413264561640123
4625,6.393094378292095e-05,4.653912358678683e-05,1.7391820196134124e-05,0.4140687146726183
4626,6.392042538918401e-05,4.6530798423782015e-05,1.7389626965401998e-05,0.4140047942472292
4627,6.390990921566668e-05,4.652247492766435e-05,1.7387434288002334e-05,0.4139408843380135
4628,6.389939526148174e-05,4.651415309797677e-05,1.7385242163504975e-05,0.4138769849427521
4629,6.38888835257427e-05,4.650583293426254e-05,1.7383050591480156e-05,0.41381309605922634
4630,6.387837400756372e-05,4.649751443606521e-05,1.7380859571498506e-05,0.4137492176852188
4631,6.386786670605968e-05,4.6489197602928644e-05,1.7378669103131034e-05,0.4136853498185128
4632,6.385736162034617e-05,4.648088243439701e-05,1.7376479185949158e-05,0.41362149245689245
4633,6.384685874953948e-05,4.6472568930014805e-05,1.7374289819524675e-05,0.4135576455981429
4634,6.383635809275658e-05,4.646425708932679e-05,1.737210100342979e-05,0.4134938092400502
4635,6.382585964911514e-05,4.6455946911878065e-05,1.736991273723707e-05,0.4134299833804011
4636,6.381536341773355e-05,4.644763839721405e-05,1.73677250205195e-05,0.4133661680169834
4637,6.380486939773085e-05,4.643933154488041e-05,1.736553785285044e-05,0.4133023631475857
4638,6.379437758822682e-05,4.643102635442317e-05,1.7363351233803648e-05,0.4132385687699975
4639,6.37838879883419e-05,4.642272282538863e-05,1.7361165162953262e-05,0.4131747848820092
4640,6.377340059719725e-05,4.641442095732343e-05,1.735897963987382e-05,0.413111011481412
4641,6.37629154139147e-05,4.640612074977446e-05,1.7356794664140245e-05,0.4130472485659981
4642,6.375243243761678e-05,4.639782220228894e-05,1.7354610235327846e-05,0.4129834961335605
4643,6.374195166742672e-05,4.63895253144144e-05,1.735242635301232e-05,0.4129197541818931
4644,6.373147310246842e-05,4.638123008569866e-05,1.735024301676976e-05,0.4128560227087906
4645,6.372099674186649e-05,4.637293651568984e-05,1.7348060226176643e-05,0.41279230171204884
4646,6.37105225847462e-05,4.636464460393637e-05,1.7345877980809824e-05,0.4127285911894641
4647,6.370005063023352e-05,4.635635434998696e-05,1.734369628024656e-05,0.41266489113883387
4648,6.368958087745514e-05,4.634806575339065e-05,1.7341515124064483e-05,0.41260120155795643
4649,6.367911332553838e-05,4.633977881369675e-05,1.733933451184162e-05,0.41253752244463093
4650,6.366864797361126e-05,4.633149353045489e-05,1.733715444315638e-05,0.4124738537966574
4651,6.365818482080254e-05,4.632320990321498e-05,1.733497491758756e-05,0.41241019561183656
