case_id,classification,L,K,q,drift,beta,start,target1,target2,shortcut_src,shortcut_dst,steps,survival_final,row_stochasticity_error,mass_balance_error,decomposition_error,shape_t1,shape_t2,shape_tv,R_peak,R_valley,peak_separation,shape_score,total_mass,total_peak_t,total_peak_height,total_mean_t,target1_mass,target1_peak_t,target1_peak_height,target1_mean_t,target2_mass,target2_peak_t,target2_peak_height,target2_mean_t,split_t,early_target1_mass,early_target2_mass,late_target1_mass,late_target2_mass,early_dominant_target,late_dominant_target
011_unimodal_L31_x0_a29_15_gm0p6_b0p00,unimodal,31,2,0.6666666666666666,-0.6,0.0,0,29,15,,,132,9.530902487404468e-11,0.0,6.938893903907228e-17,0.0,2,,,0.0,1.0,0,0.0,0.999999999904691,2,0.28444444444444444,4.999999950123793,0.9999999990315767,2,0.28444444444444444,4.999999922329725,8.731142501297566e-10,32,3.7312143945372335e-11,36.83325562796696,2,0.28444444444444444,0.0,0.7155555545871323,8.731142501297565e-10,target1,target1
012_unimodal_L31_x0_a29_15_gm0p6_b0p03,unimodal,31,2,0.6666666666666666,-0.6,0.03,0,29,15,5,15,131,9.430915173326254e-11,0.0,6.938893903907228e-17,0.0,2,,,0.0,1.0,0,0.0,0.999999999905691,2,0.28444444444444444,4.99960917717827,0.9999776691063244,2,0.28444444444444444,4.999365775620772,2.2330799366419226e-05,11,1.592608109465287e-06,15.899179682064908,2,0.28444444444444444,0.0,0.71553322466188,2.2330799366419226e-05,target1,target1
013_unimodal_L31_x0_a29_15_gm0p3_b0p00,unimodal,31,2,0.6666666666666666,-0.3,0.0,0,29,15,,,492,9.617387214757289e-11,0.0,1.3877787807814457e-16,0.0,2,,,0.0,1.0,0,0.0,0.9999999999038266,2,0.1877777777777778,9.994401789325815,0.9999341391748828,2,0.1877777777777778,9.990657788397646,6.586072894368055e-05,50,1.1533015404624483e-06,66.83790178128514,2,0.1877777777777778,0.0,0.812156361397105,6.586072894368055e-05,target1,target1
014_unimodal_L31_x0_a29_15_gm0p3_b0p03,unimodal,31,2,0.6666666666666666,-0.3,0.03,0,29,15,5,15,479,9.726340246320621e-11,0.0,1.3877787807814457e-16,0.0,2,,,0.0,1.0,0,0.0,0.9999999999027367,2,0.1877777777777778,9.941164941329768,0.9984086705957975,2,0.1877777777777778,9.902988816192293,0.0015913293069392998,16,4.520096443478555e-05,33.893073688812265,2,0.1877777777777778,0.0,0.8106308928180199,0.0015913293069392998,target1,target1
015_unimodal_L31_x0_a29_15_gp0p0_b0p00,unimodal,31,2,0.6666666666666666,0.0,0.0,0,29,15,,,1949,9.962197901116645e-11,0.0,1.682681771697503e-16,0.0,2,,,0.0,1.0,0,0.0,0.9999999999003784,2,0.1111111111111111,44.9999998015435,0.8823529411266599,2,0.1111111111111111,31.999999886807437,0.11764705877371857,77,0.0008113956551814274,142.49999919784062,2,0.1111111111111111,0.0,0.7712418300155487,0.11764705877371859,target1,target1
016_unimodal_L31_x0_a29_15_gp0p0_b0p03,unimodal,31,2,0.6666666666666666,0.0,0.03,0,29,15,5,15,1782,9.987400367271138e-11,0.0,1.4224732503009818e-16,0.0,2,,,0.0,1.0,0,0.0,0.9999999999001264,2,0.1111111111111111,41.70157049876733,0.8638743455042631,2,0.1111111111111111,28.839600093854276,0.13612565439586313,70,0.0009451289661235523,123.32561348134519,2,0.1111111111111111,0.0,0.7527632343931521,0.13612565439586313,target1,target1
017_double_peak_L31_x0_a29_15_gp0p3_b0p00,double_peak,31,2,0.6666666666666666,0.3,0.0,0,29,15,,,586,9.96996377181133e-11,0.0,1.717376241217039e-16,0.0,2,50,21,0.2338213232528539,0.05668447784193004,48,197.99818122051954,0.9999999999003018,2,0.054444444444444434,50.35665266572356,0.28992173268739957,2,0.054444444444444434,9.990657835757274,0.7100782672129022,50,0.012434334792600896,66.83790508975464,21,0.2581625568053417,0.0014422022474712302,0.031759175882057775,0.708636064965431,target1,target2
018_double_peak_L31_x0_a29_15_gp0p3_b0p03,double_peak,31,2,0.6666666666666666,0.3,0.03,0,29,15,5,15,572,9.817851131514329e-11,0.0,1.682681771697503e-16,0.0,2,49,21,0.23130076676490482,0.07367960060400651,47,147.54607718868908,0.9999999999018229,2,0.054444444444444434,48.705833791568196,0.2894794370637176,2,0.054444444444444434,9.90298886209352,0.7105205628381055,50,0.012288301949623494,64.51484241728258,21,0.25815927087566737,0.014094463544135282,0.03132016618805015,0.6964260992939701,target1,target2
019_double_peak_L31_x0_a29_15_gp0p6_b0p00,double_peak,31,2,0.6666666666666666,0.6,0.0,0,29,15,,,191,8.579225512004831e-11,0.0,1.8041124150158794e-16,0.0,2,32,15,0.443595064858929,0.012259014609077532,30,1085.5564146170198,0.9999999999142087,32,0.040076590535179694,34.84374998831913,0.06249999994542966,2,0.017777777777777778,4.999999935096409,0.9374999999687791,32,0.04006360949725465,36.83333332352976,15,0.06076636440565046,8.034908196191158e-05,0.0017336355397791893,0.9374196508868172,target1,target2
020_double_peak_L31_x0_a29_15_gp0p6_b0p03,double_peak,31,2,0.6666666666666666,0.6,0.03,0,29,15,5,15,189,9.602779917335907e-11,0.0,2.393918396847994e-16,0.0,2,32,15,0.45125013393975233,0.04630355978767283,30,292.3642173575733,0.9999999999039736,32,0.03939672576396695,34.27216264004157,0.062498604325030474,2,0.017777777777777778,4.99936578813596,0.9375013955789429,32,0.03938380102542321,36.22363594617405,15,0.060766359109385375,0.01318261510755447,0.0017322452156451017,0.9243187804713884,target1,target2
021_unimodal_L31_x0_a10_20_gm0p6_b0p00,unimodal,31,2,0.6666666666666666,-0.6,0.0,0,10,20,,,181,8.926452337123248e-11,0.0,2.220446049250313e-16,0.0,23,,,0.0,1.0,0,0.0,0.999999999910736,23,0.05028967402197106,27.499949917766912,9.536740889897093e-07,20,5.12349447957709e-08,24.999986879627386,0.999999046236647,23,0.05028962641007407,27.49995230191916,23,4.851230491948826e-07,0.3878382262211337,4.685510397948267e-07,0.6121608200155134,target2,target2
022_unimodal_L31_x0_a10_20_gm0p6_b0p03,unimodal,31,2,0.6666666666666666,-0.6,0.03,0,10,20,5,20,180,9.969534483187453e-11,0.0,3.7470027081099033e-16,0.0,23,,,0.0,1.0,0,0.0,0.9999999999003053,23,0.050290236688326585,27.498999300264,9.304359070387288e-07,20,5.028898497154121e-08,24.899053168744338,0.9999990694643983,23,0.05029019014628657,27.499001719349486,23,4.77419440717473e-07,0.38785816964110675,4.5301646632125594e-07,0.6121408998232915,target2,target2
023_unimodal_L31_x0_a10_20_gm0p3_b0p00,unimodal,31,2,0.6666666666666666,-0.3,0.0,0,10,20,,,631,9.828492073796037e-11,0.0,3.608224830031759e-16,0.0,36,,,0.0,1.0,0,0.0,0.9999999999017165,36,0.019058173592179355,54.78508939474963,0.002046767104783244,31,4.2241380701744405e-05,49.87897543700398,0.9979532327969334,36,0.01901741700354571,54.795151662530344,36,0.0007714586134484995,0.29325297045333887,0.0012753084913347441,0.7047002623435945,target2,target2
024_unimodal_L31_x0_a10_20_gm0p3_b0p03,unimodal,31,2,0.6666666666666666,-0.3,0.03,0,10,20,5,20,625,9.794088783605563e-11,0.0,2.3343550399970714e-16,0.0,36,,,0.0,1.0,0,0.0,0.9999999999020607,36,0.019089088891131718,54.63006968238842,0.0019535171048437193,31,4.100852240598441e-05,49.22799475312775,0.9980464827972171,36,0.019049734709125105,54.64064338407251,36,0.0007527393762514124,0.2944574861759811,0.001200777728592307,0.7035889966212359,target2,target2
