direction_index,predicted_gradient_dot_direction,frechet_directional_derivative,five_point_directional_derivative,relative_linearity_error,relative_finite_difference_error,budget_residual,metric_norm_residual
102.0,0.007905626759986017,0.007905626759986009,0.007905626759618922,1.097144811311504e-15,4.643467927809904e-11,-1.6653345369377348e-16,0.0
103.0,0.009030980909153045,0.00903098090915304,0.00903098090943947,5.762574940769563e-16,3.171586787317616e-11,5.551115123125783e-17,-2.220446049250313e-16
104.0,-0.0077740222438762285,-0.00777402224387623,-0.007774022244046625,2.2314362134804343e-16,2.1918728494154263e-11,-2.220446049250313e-16,0.0
105.0,0.025326821462739527,0.025326821462739534,0.025326821462834378,2.739741311040411e-16,3.74508938512669e-12,5.551115123125783e-16,0.0
106.0,-0.011101300057635592,-0.011101300057635589,-0.01110130005775589,3.1252618467237046e-16,1.0836376664237438e-11,1.6653345369377348e-16,0.0
107.0,-0.006783810792837115,-0.006783810792837126,-0.006783810792693189,1.6621487447372512e-15,2.121605015061352e-11,-8.326672684688674e-17,-1.1102230246251565e-16
108.0,0.02059255397257076,0.02059255397257074,0.02059255397241407,1.0108839214139958e-15,7.609091757136715e-12,2.220446049250313e-16,0.0
109.0,-0.005845419708663346,-0.005845419708663348,-0.005845419708781311,2.96766282388724e-16,2.0180700734998008e-11,-1.1102230246251565e-16,-1.1102230246251565e-16
110.0,0.004749581837135776,0.004749581837135794,0.0047495818367622915,3.834989504832003e-15,7.863518146674528e-11,-2.7755575615628914e-17,4.440892098500626e-16
111.0,-0.0040048485605367464,-0.004004848560536772,-0.004004848560348884,6.280759439825702e-15,4.690882647694099e-11,-1.1102230246251565e-16,0.0
112.0,0.007151426379730623,0.007151426379730607,0.007151426379842692,2.183132490575214e-15,1.5670888872763985e-11,3.3306690738754696e-16,-2.220446049250313e-16
113.0,0.0100839578125648,0.010083957812564805,0.010083957812714409,5.160841134587768e-16,1.4836386093712915e-11,1.1102230246251565e-16,-2.220446049250313e-16
114.0,-0.003974860726927929,-0.0039748607269279295,-0.003974860726870902,2.182118563582392e-16,1.4346774919985152e-11,5.551115123125783e-17,0.0
115.0,0.017990777188025966,0.017990777188025973,0.017990777188246765,3.856917258938849e-16,1.2272903563806364e-11,5.551115123125783e-17,0.0
116.0,-0.0075777522218633655,-0.007577752221863389,-0.0075777522216361835,3.0904635358911433e-15,2.998012891523022e-11,1.6653345369377348e-16,2.220446049250313e-16
117.0,0.005246107369874424,0.005246107369874443,0.005246107369720013,3.6373556411220714e-15,2.94334818479598e-11,-1.5265566588595902e-16,-3.3306690738754696e-16
118.0,0.022322014372471742,0.02232201437247173,0.022322014372512983,4.662814333045824e-16,1.8475624658971904e-12,-5.551115123125783e-17,0.0
119.0,0.005206333698153966,0.0052063336981539535,0.005206333697817718,2.3323638160464575e-15,6.458432024823443e-11,0.0,-1.1102230246251565e-16
120.0,0.005278758485249465,0.005278758485249462,0.005278758485512587,6.572467676775551e-16,4.984543054897386e-11,-3.3306690738754696e-16,0.0
121.0,-0.02120057475020273,-0.021200574750202716,-0.02120057475012149,6.545948858146759e-16,3.831998461559113e-12,0.0,-2.220446049250313e-16
122.0,0.011455137198113273,0.01145513719811328,0.011455137198153793,6.057451590388249e-16,3.537248856207218e-12,-1.1102230246251565e-16,0.0
123.0,-0.003566550371485314,-0.0035665503714853233,-0.003566550371541151,2.675128099690812e-15,1.5655822413245064e-11,-3.3306690738754696e-16,0.0
124.0,0.016932242062746905,0.01693224206274691,0.01693224206266349,2.0490180444483722e-16,4.926454084267221e-12,1.1102230246251565e-16,0.0
125.0,-0.00042320389787041824,-0.00042320389787042084,-0.00042320389809456327,6.1485379167839915e-15,5.296383866098113e-10,-1.1102230246251565e-16,2.220446049250313e-16
126.0,-0.010380563532732708,-0.010380563532732721,-0.01038056353265306,1.336901196553929e-15,7.672810192322138e-12,4.440892098500626e-16,0.0
127.0,0.0038515276889300697,0.003851527688930056,0.0038515276888871166,3.603190455491602e-15,1.1152212258851712e-11,1.1102230246251565e-16,0.0
128.0,-0.0058345064782534505,-0.005834506478253449,-0.005834506478299971,2.9732137284082027e-16,7.973415916158697e-12,-5.551115123125783e-17,0.0
129.0,0.0007635583987281973,0.0007635583987282077,0.0007635583989043514,1.3631361885084395e-14,2.3070157033711038e-10,8.326672684688674e-17,2.220446049250313e-16
130.0,-0.004706580502079134,-0.004706580502079137,-0.0047065805021973914,7.371481164156889e-16,2.5126062122086963e-11,1.1102230246251565e-16,-3.3306690738754696e-16
131.0,-0.01862167111107779,-0.018621671111077785,-0.01862167111113764,1.8631233100656227e-16,3.2140740221942055e-12,-2.220446049250313e-16,-1.1102230246251565e-16
132.0,-0.0004254146054746286,-0.0004254146054746416,-0.00042541460552186766,3.0582932275834325e-14,1.110424219403665e-10,-1.1102230246251565e-16,-1.1102230246251565e-16
133.0,0.011064123899410395,0.011064123899410427,0.01106412389942357,2.822186632346852e-15,1.1908059707041301e-12,2.220446049250313e-16,2.220446049250313e-16
134.0,-0.005385718761977271,-0.0053857187619772776,-0.005385718761773591,1.2883877176980047e-15,3.7818527822983674e-11,2.220446049250313e-16,-2.220446049250313e-16
