budget_measure,classification,dt,endpoint,f_t_residual,f_tt_residual,f_ttheta,f_ttt,kappa_bar,matched_budget,maximum_f_t_residual,maximum_time,minimum_f_t_residual,minimum_time,mu,normal_form_half_separation,normal_form_prominence,normal_form_separation,nx,ny,peak_height_ratio,prominence,prominence_ratio_to_normal_form,quadrature_closure_error,record_type,separation,separation_ratio_to_normal_form,strict_classification,tail_at_480,theta,time,valley_ratio
,resolved_bimodal,,,,,,,,,,,,,,,,,10,6,0.11303154840180338,,,,endpoint_robustness,,,strict_bimodal,1.8011996935317055e-06,1.0,,0.8391983460061917
,resolved_unimodal,,,,,,,,,,,,,,,,,11,7,0.0,,,,endpoint_robustness,,,strict_unimodal,1.0309736689961996e-16,0.0,,
,resolved_bimodal,,,,,,,,,,,,,,,,,11,7,0.05281705129429235,,,,endpoint_robustness,,,strict_bimodal,9.574425602148806e-10,1.0,,0.7491198030420129
,resolved_unimodal,,,,,,,,,,,,,,,,,12,8,0.007989196321366195,,,,endpoint_robustness,,,strict_bimodal,3.989977236534188e-17,0.0,,0.96246348519377
,resolved_bimodal,,,,,,,,,,,,,,,,,12,8,0.05747806756518279,,,,endpoint_robustness,,,strict_bimodal,8.179243539372444e-10,1.0,,0.6958904815722872
,resolved_unimodal,,,,,,,,,,,,,,,,,13,9,0.0,,,,endpoint_robustness,,,strict_unimodal,1.239987758189887e-18,0.0,,
,resolved_bimodal,,,,,,,,,,,,,,,,,13,9,0.035507724953398816,,,,endpoint_robustness,,,strict_bimodal,7.014653731138796e-18,1.0,,0.7924775104002044
product_trapezoidal,,,,-4.336808689942018e-18,-2.7755575615628914e-17,0.00027969448727666046,-1.3287802294925655e-05,1.840531561461794,0.13525390625,,,,,,,,,9,5,,,,,budget_measure_sensitivity,,,,,0.6244414050271251,16.745110005801138,
product_trapezoidal,,,,-8.673617379884035e-19,5.204170427930421e-18,0.00010782020353113445,-6.573251830899185e-06,2.5055837563451777,0.17138888888888887,,,,,,,,,11,7,,,,,budget_measure_sensitivity,,,,,0.2407691277252457,18.188613161123282,
product_trapezoidal,,,,-3.469446951953614e-18,-2.0816681711721685e-17,9.784246372953817e-05,-6.1804202532433905e-06,2.4062051134731397,0.22721354166666663,,,,,,,,,13,9,,,,,budget_measure_sensitivity,,,,,0.45934534447740355,16.431636774608744,
