case,mode_index,decay_rate,coefficient,coefficient_sign
finite_encounter_supercritical,231,0.4180129588460801,-18.06597582981435,-1
finite_encounter_supercritical,232,0.418870017933831,60.58196385921615,1
finite_encounter_supercritical,233,0.4194288445561143,-15.885500753057727,-1
finite_encounter_supercritical,234,0.4212080759790395,-28.887075309477993,-1
finite_encounter_supercritical,235,0.42170867078228097,-228.56387608445192,-1
finite_encounter_supercritical,236,0.42255025786305445,-0.4896043599782485,-1
finite_encounter_supercritical,237,0.4233621782397237,-474.5057498003003,-1
finite_encounter_supercritical,238,0.42457250105533145,-228.32571023119726,-1
finite_encounter_supercritical,239,0.4254776529019938,-3.6866055830655537,-1
finite_encounter_supercritical,240,0.4279111607757657,-265.4987379067693,-1
finite_encounter_supercritical,241,0.428330129651894,-15.839508990812025,-1
finite_encounter_supercritical,242,0.42969426843370956,39.4123486151214,1
finite_encounter_supercritical,243,0.4301479946567873,17.6105315342238,1
finite_encounter_supercritical,244,0.4304744844380895,-54.24181738818465,-1
finite_encounter_supercritical,245,0.43108748713504297,-40.09630845686264,-1
finite_encounter_supercritical,246,0.432762803394494,-2.6239871348097736,-1
finite_encounter_supercritical,247,0.4328084610682979,-10.083284792023782,-1
finite_encounter_supercritical,248,0.4354915334129462,359.4563385554505,1
finite_encounter_supercritical,249,0.43572216287887616,-32.23349459987175,-1
finite_encounter_supercritical,250,0.43777116039871494,567.3489844692707,1
finite_encounter_supercritical,251,0.43827025219720483,90.26302517713506,1
finite_encounter_supercritical,252,0.44051637643199554,217.36102475390197,1
finite_encounter_supercritical,253,0.44229633833872306,-65.28338218693514,-1
finite_encounter_supercritical,254,0.4430196864386498,2.299652704680616,1
finite_encounter_supercritical,255,0.4447542176686713,75.28947100711156,1
finite_encounter_supercritical,256,0.4449870326937183,-436.9615303120628,-1
finite_encounter_supercritical,257,0.4472329729672676,411.14021951913827,1
finite_encounter_supercritical,258,0.4481206187410054,581.7514695936932,1
finite_encounter_supercritical,259,0.4494954086074251,15.208414271776256,1
finite_encounter_supercritical,260,0.44974753184105914,-1.0839818499394802,-1
finite_encounter_supercritical,261,0.45224829355751167,-159.9243567517542,-1
finite_encounter_supercritical,262,0.4526771150493385,25.029473496854628,1
finite_encounter_supercritical,263,0.4531250421610128,92.01790450788413,1
finite_encounter_supercritical,264,0.45490507010891185,-460.03979168140785,-1
finite_encounter_supercritical,265,0.45980559421146067,20.334384506640276,1
finite_encounter_supercritical,266,0.4609363816701127,-19.63155689947506,-1
finite_encounter_supercritical,267,0.4615216399676994,121.48853250643847,1
finite_encounter_supercritical,268,0.4617224684145554,40.48441811693324,1
finite_encounter_supercritical,269,0.4625348190195034,-72.16998764127115,-1
finite_encounter_supercritical,270,0.4636014008599087,-318.989226531591,-1
finite_encounter_supercritical,271,0.4683965382687031,-2.6574522973329398,-1
finite_encounter_supercritical,272,0.46869487629638823,-3.109095899762626,-1
finite_encounter_supercritical,273,0.4687992508456248,-2.511776573519757,-1
finite_encounter_supercritical,274,0.47269528632782065,-9.446857264796423,-1
finite_encounter_supercritical,275,0.47323617027144527,-0.9968917469555634,-1
finite_encounter_supercritical,276,0.47407540325890446,-270.45660323017864,-1
finite_encounter_supercritical,277,0.47616639840009717,18.491984518745976,1
finite_encounter_supercritical,278,0.4770994586258379,-128.44470167289063,-1
finite_encounter_supercritical,279,0.47819772214452244,-75.33703353300746,-1
finite_encounter_supercritical,280,0.4796722483360615,533.3319919564906,1
finite_encounter_supercritical,281,0.4809984852361864,-166.0977327256177,-1
finite_encounter_supercritical,282,0.4814104164197452,-15.120122191754172,-1
finite_encounter_supercritical,283,0.48290860379180306,-48.2678484165804,-1
finite_encounter_supercritical,284,0.48326479840232067,16.593794881587666,1
finite_encounter_supercritical,285,0.4854684747812422,173.31310058008967,1
finite_encounter_supercritical,286,0.4872643507035805,-351.4066083625657,-1
finite_encounter_supercritical,287,0.48857843854787536,226.52495158332545,1
finite_encounter_supercritical,288,0.49139603483189565,24.953361017344054,1
finite_encounter_supercritical,289,0.4920534576070529,226.7698828372451,1
finite_encounter_supercritical,290,0.4939901753250571,-54.695041876651615,-1
finite_encounter_supercritical,291,0.4963508799750567,-87.46979744984075,-1
finite_encounter_supercritical,292,0.4975781333087433,-328.7693561260834,-1
finite_encounter_supercritical,293,0.4982265965589616,-83.13192872701286,-1
finite_encounter_supercritical,294,0.49997563410097917,-324.6861585310552,-1
finite_encounter_supercritical,295,0.5010884005252745,55.400410423351346,1
finite_encounter_supercritical,296,0.5030145350936657,14.353525014185363,1
finite_encounter_supercritical,297,0.5039122949375033,734.2768257568094,1
finite_encounter_supercritical,298,0.5058902297990064,-104.96036326327591,-1
finite_encounter_supercritical,299,0.5059642814170097,23.52057031036572,1
finite_encounter_supercritical,300,0.5082726019393968,-68.74928269693379,-1
finite_encounter_supercritical,301,0.5093676977070625,-24.60038134209317,-1
finite_encounter_supercritical,302,0.5106085777098515,-423.5804308591902,-1
finite_encounter_supercritical,303,0.5146608546754128,-234.09249834783424,-1
finite_encounter_supercritical,304,0.5185033809078381,307.4082954744914,1
finite_encounter_supercritical,305,0.5189531473844772,291.2249275240252,1
finite_encounter_supercritical,306,0.5206528557841256,65.10667599320286,1
finite_encounter_supercritical,307,0.5224668993335325,213.27302567148942,1
finite_encounter_supercritical,308,0.5237508671926351,121.77791385152261,1
finite_encounter_supercritical,309,0.5245576909484017,-110.24867831238753,-1
finite_encounter_supercritical,310,0.5256713572962827,-144.58602700837156,-1
finite_encounter_supercritical,311,0.5273049954253355,-1.4623544295592548,-1
finite_encounter_supercritical,312,0.533963388293518,1.9708335884499464,1
finite_encounter_supercritical,313,0.5362310979010211,162.15156961070198,1
finite_encounter_supercritical,314,0.5369766137232508,-16.579500469388805,-1
finite_encounter_supercritical,315,0.5380320423107834,-67.50296072990457,-1
finite_encounter_supercritical,316,0.5387778739156213,55.96947013113674,1
finite_encounter_supercritical,317,0.5388549800926257,86.41538215267047,1
finite_encounter_supercritical,318,0.539445837942158,-210.61841342411236,-1
finite_encounter_supercritical,319,0.540747856255064,-3.1999857424061813,-1
finite_encounter_supercritical,320,0.541736674577638,-1.9545858357125587,-1
finite_encounter_supercritical,321,0.5427590915956065,40.39253803865761,1
finite_encounter_supercritical,322,0.5454670913927383,46.269951942621354,1
finite_encounter_supercritical,323,0.5491681442801536,-193.5097182662292,-1
finite_encounter_supercritical,324,0.5500584926036525,-43.233485558234115,-1
finite_encounter_supercritical,325,0.5509300463168948,-1.9165062241070832,-1
finite_encounter_supercritical,326,0.5546995921297415,294.1226056920612,1
finite_encounter_supercritical,327,0.556611278946813,-153.3704993057726,-1
