sample,q1,q2,bias1,bias2,rho1,rho2,classification,R_peak,R_valley,separation_widths,tail_mass
28,0.7449964009503866,0.16519070001357095,0.2651972133384359,0.3443761039873817,0.5385517631047712,0.6352266022143743,bimodal,0.24039927924362156,0.10706523945468388,1.738255033557047,9.95615224035667e-12
29,0.708687199212084,0.1761452349427778,0.3076602761593069,0.33216639595682873,0.5259222160827007,0.5849113494799514,bimodal,0.2643327905741443,0.09159160293216911,1.678082191780822,9.897346142066728e-12
30,0.7095173714769062,0.17073325785472915,0.2821377229354011,0.339612069788874,0.5523615092986668,0.5884128572100517,bimodal,0.24600317434924612,0.10499443731596522,1.7191780821917808,9.999862377380778e-12
31,0.643679194294333,0.2008079889573471,0.2801832850915474,0.3470066732963646,0.502841003375229,0.6882088195849174,bimodal,0.15004304075093958,0.16845232672028307,1.8067226890756303,9.954212459766347e-12
32,0.6603217460097275,0.1778696026185068,0.29793554024178515,0.2753177867100103,0.5075205059550408,0.6505426644044411,bimodal,0.3878823026914925,0.09841083991252639,1.5611111111111111,9.984350046392192e-12
33,0.711597709047018,0.17653711825050614,0.2862726580746639,0.2555492762757474,0.5877914367415117,0.6082925996980313,shoulder,,,,9.978310710707215e-12
34,0.6842153248646392,0.20097250723452323,0.31358044740881613,0.3143222435997512,0.5519261823441383,0.5601003653431412,bimodal,0.25897030355571377,0.11355457593600861,1.6457564575645756,9.911065322878606e-12
35,0.7121579877358428,0.2224824567760254,0.2703240721168087,0.2659666750574326,0.5407248182587652,0.6717268876075637,shoulder,,,,9.960880205158652e-12
36,0.7036099529942534,0.19360439945374722,0.33707106513074997,0.32134863652645174,0.555051990930379,0.5144602141183299,bimodal,0.2852488781984335,0.08543044367775199,1.6666666666666667,9.934253657098192e-12
37,0.6585629603442846,0.19019917197269537,0.28331962759457513,0.3038505558735264,0.5090702983917931,0.5931545102559554,bimodal,0.2557428470162844,0.1340014800184066,1.6565656565656566,9.915492971400754e-12
38,0.6550874599875006,0.19565602066727197,0.27054556305219585,0.3279751806587025,0.5351570236119689,0.6662697961277239,bimodal,0.19123178900480767,0.1595907250749339,1.7557251908396947,9.896002482011192e-12
39,0.6443721470834994,0.16085273039933073,0.32058150048332007,0.31796640388136277,0.5585351464847037,0.6945388058132845,bimodal,0.33723720896847675,0.07594771761343021,1.6597014925373135,9.948462012309945e-12
