case_id,near,basin_radius,global_bias,local_bias,hold_strength,classification,score,t1,tv,t2,R_peak,R_valley,p_near,p_far,survival_tail,early_near_fraction,late_far_fraction,binned_roughness,row_stochasticity_error,mass_balance_error,decomposition_error
near5_9_R2p5_g0p20_l0p04_h0p25,"(5, 9)",2.5,0.2,0.04,0.25,double_peak,71.2716,9,35,62,0.428655,0.318763,0.156151,0.465592,0.378258,1,0.905165,0.0675631,1.11022e-16,1.25455e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p04_h0p45,"(5, 9)",2.5,0.2,0.04,0.45,double_peak,72.1933,9,35,62,0.454992,0.334028,0.151264,0.468258,0.380478,1,0.907616,0.0629043,2.22045e-16,1.29896e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p08_h0p00,"(5, 9)",2.5,0.2,0.08,0,double_peak,64.9118,9,36,61,0.353883,0.283491,0.177839,0.453612,0.368549,1,0.887109,0.0788681,0,1.22125e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p08_h0p25,"(5, 9)",2.5,0.2,0.08,0.25,double_peak,65.5035,9,36,61,0.379135,0.300977,0.172937,0.456283,0.37078,1,0.889248,0.0731938,0,1.22125e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p08_h0p45,"(5, 9)",2.5,0.2,0.08,0.45,double_peak,66.1831,9,36,61,0.401746,0.315651,0.168012,0.458958,0.37303,1,0.89144,0.0682612,1.11022e-16,1.19904e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p12_h0p00,"(5, 9)",2.5,0.2,0.12,0,double_peak,60.4205,9,37,60,0.316712,0.267332,0.193885,0.444733,0.361382,1,0.870357,0.0845659,0,1.12133e-14,4.33681e-19
near5_9_R2p5_g0p20_l0p12_h0p25,"(5, 9)",2.5,0.2,0.12,0.25,double_peak,60.8211,9,37,60,0.340087,0.285172,0.189078,0.447341,0.363581,1,0.872034,0.0785894,1.11022e-16,1.19904e-14,3.68115e-19
near5_9_R2p5_g0p20_l0p12_h0p45,"(5, 9)",2.5,0.2,0.12,0.45,double_peak,61.3114,9,37,60,0.360163,0.299591,0.184162,0.45,0.365838,1,0.873829,0.0734031,2.22045e-16,1.13243e-14,4.33681e-19
near5_9_R3p5_g0p08_l0p00_h0p00,"(5, 9)",3.5,0.08,0,0,unimodal,0,12,,,0,1,0.284484,0.408046,0.30747,0,0,0.0461,0,8.99281e-15,4.14869e-19
near5_9_R3p5_g0p08_l0p00_h0p25,"(5, 9)",3.5,0.08,0,0.25,unimodal,0,13,,,0,1,0.277024,0.411881,0.311095,0,0,0.0495234,2.22045e-16,7.99361e-15,4.30187e-19
near5_9_R3p5_g0p08_l0p00_h0p45,"(5, 9)",3.5,0.08,0,0.45,double_peak,124.366,14,110,138,0.329562,0.328593,0.26933,0.415821,0.314849,1,0.76321,0.0504876,1.11022e-16,8.99281e-15,3.47305e-19
near5_9_R3p5_g0p08_l0p04_h0p00,"(5, 9)",3.5,0.08,0.04,0,unimodal,0,12,,,0,1,0.333726,0.381835,0.284439,0,0,0.0482626,0,8.21565e-15,4.28387e-19
near5_9_R3p5_g0p08_l0p04_h0p25,"(5, 9)",3.5,0.08,0.04,0.25,unimodal,0,13,,,0,1,0.327958,0.384737,0.287305,0,0,0.0525964,2.22045e-16,8.77076e-15,4.14993e-19
near5_9_R3p5_g0p08_l0p04_h0p45,"(5, 9)",3.5,0.08,0.04,0.45,unimodal,0,14,,,0,1,0.321582,0.387934,0.290485,0,0,0.0543642,1.11022e-16,7.77156e-15,4.28175e-19
