t,f_total,f_shortcut_no,f_shortcut_yes,survival,shortcut_share_inst,shortcut_share_cum
916,7.718151550124575e-07,2.8618428430723273e-07,4.856308707052247e-07,7.553867824484589e-05,0.6292061869365423,0.1207825387717569
917,7.616519901853344e-07,2.8158811837730704e-07,4.800638718080274e-07,7.477702625466055e-05,0.6302929395500069,0.12078292687038855
918,7.517245161776294e-07,2.7729937653409254e-07,4.7442513964353687e-07,7.402530173848292e-05,0.6311156938926177,0.12078331052844134
919,7.420321239239143e-07,2.7331116857126137e-07,4.687209553526529e-07,7.3283269614559e-05,0.631672053325705,0.12078368965208365
920,7.325738423738174e-07,2.6961618374359453e-07,4.629576586302229e-07,7.255069577218519e-05,0.6319604002376938,0.12078406415394102
921,7.233483468464197e-07,2.6620671683175025e-07,4.571416300146694e-07,7.182734742533877e-05,0.6319799195058216,0.1207844339531796
922,7.143539680187851e-07,2.630746943486214e-07,4.5127927367016364e-07,7.111299345731998e-05,0.6317306179760683,0.12078479897557144
923,7.055887015283756e-07,2.602117008364491e-07,4.4537700069192656e-07,7.04074047557916e-05,0.6312133396229213,0.12078515915354185
924,6.970502181674829e-07,2.5760900520562294e-07,4.394412129618599e-07,6.971035453762412e-05,0.6304297760886343,0.12078551442619945
925,6.887358746461372e-07,2.552575870677448e-07,4.334782875783924e-07,6.902161866297799e-05,0.629382472346322,0.1207858647393493
926,6.806427248982749e-07,2.5314816301709357e-07,4.274945618811813e-07,6.834097593807971e-05,0.6280748272819228,0.12078621004548963
927,6.727675319042394e-07,2.5127121281608284e-07,4.2149631908815665e-07,6.766820840617549e-05,0.6265110890460625,0.12078655030379296
928,6.651067800010186e-07,2.496170054416672e-07,4.1548977455935144e-07,6.700310162617446e-05,0.6246963450871981,0.12078688548007183
929,6.576566876499544e-07,2.4817562495092445e-07,4.094810626990299e-07,6.634544493852449e-05,0.6226365068410603,0.12078721554672993
930,6.504132206300614e-07,2.469369961252335e-07,4.0347622450482785e-07,6.569503171789444e-05,0.6203382891171503,0.12078754048269923
931,6.43372105623533e-07,2.4589090985357924e-07,3.9748119576995377e-07,6.50516596122709e-05,0.6178091842895945,0.12078786027336368
932,6.365288441585563e-07,2.450270482165672e-07,3.91501795941989e-07,6.441513076811235e-05,0.6150574314656946,0.12078817491046992
933,6.298787268731756e-07,2.443350092337177e-07,3.855437176394579e-07,6.378525204123917e-05,0.6120919808696542,0.1207884843920261
934,6.234168480626891e-07,2.438043312375544e-07,3.796125168251346e-07,6.316183519317649e-05,0.6089224537399122,0.12078878872218875
935,6.171381204719106e-07,2.43424516838904e-07,3.7371360363300664e-07,6.254469707270457e-05,0.6055590980949886,0.12078908791113901
936,6.110372902926429e-07,2.4318505644870756e-07,3.6785223384393535e-07,6.193365978241194e-05,0.6020127407735796,0.12078938197494832
937,6.051089523258295e-07,2.4307545132250133e-07,3.620335010033282e-07,6.13285508300861e-05,0.5982947361988228,0.12078967093543447
938,5.993475652671726e-07,2.4308523609458903e-07,3.562623291725835e-07,6.072920326481893e-05,0.5944169123533047,0.12078995482000855
939,5.937474670744557e-07,2.4320400076978895e-07,3.5054346630466683e-07,6.013545579774447e-05,0.5903915144798568,0.1207902336615134
940,5.883028903744617e-07,2.4342141214152383e-07,3.448814782329378e-07,5.954715290737001e-05,0.5862311470430083,0.12079050749805423
941,5.830079778671822e-07,2.4372723460592655e-07,3.392807432612556e-07,5.8964144929502833e-05,0.5819487144969203,0.12079077637282194
942,5.778567976850288e-07,2.441113503425836e-07,3.337454473424452e-07,5.8386288131817796e-05,0.5775573614076599,0.12079104033390978
943,5.728433586649351e-07,2.445637788335266e-07,3.2827957983140856e-07,5.781344477315286e-05,0.573070412471037,0.12079129943412384
944,5.67961625491617e-07,2.450746956931248e-07,3.228869297984922e-07,5.724548314766125e-05,0.5685013129522744,0.1207915537307882
945,5.632055336708188e-07,2.456344507826396e-07,3.175710828881791e-07,5.668227761399043e-05,0.5638635700511289,0.12079180328554495
946,5.585690042921186e-07,2.462335855843688e-07,3.1233541870774977e-07,5.612370860969831e-05,0.559170695666467,0.12079204816414986
947,5.540459585417953e-07,2.4686284981155676e-07,3.071831087302385e-07,5.556966265115652e-05,0.5544361509985921,0.12079228843626433
948,5.496303319273595e-07,2.475132172315634e-07,3.0211711469579614e-07,5.502003231922915e-05,0.5496732933868079,0.1207925241752438
949,5.453160881766307e-07,2.481759006811885e-07,2.971401874954422e-07,5.447471623105252e-05,0.5448953257348185,0.12079275545792359
950,5.410972327756767e-07,2.4884236625452673e-07,2.922548665211499e-07,5.3933618998276844e-05,0.5401152488286894,0.12079298236440228
951,5.369678261115275e-07,2.495043466452975e-07,2.8746347946623004e-07,5.339665117216533e-05,0.535345816802298,0.1207932049778234
952,5.329219961873135e-07,2.501538536272397e-07,2.8276814256007377e-07,5.2863729175978006e-05,0.5305994959545361,0.12079342338415582
953,5.289539508793472e-07,2.5078318965789054e-07,2.781707612214567e-07,5.233477522509865e-05,0.525888427071994,0.1207936376719732
954,5.250579897076717e-07,2.51384958592877e-07,2.7367303111479475e-07,5.1809717235390984e-05,0.5212243913613492,0.12079384793223326
955,5.212285150936996e-07,2.5195207549973275e-07,2.6927643959396686e-07,5.1288488720297285e-05,0.5166187800480561,0.12079405425805699
956,5.174600430807751e-07,2.5247777556220687e-07,2.649822675185682e-07,5.077102867721651e-05,0.5120825676528703,0.12079425674450844
957,5.137472134957861e-07,2.529556220680534e-07,2.6079159142773263e-07,5.025728146372073e-05,0.5076262889158653,0.12079445548837539
958,5.100847995323043e-07,2.533795134753675e-07,2.567052860569369e-07,4.974719666418842e-05,0.5032600192993585,0.1207946505879515
959,5.064677167381665e-07,2.537436895546704e-07,2.5272402718349603e-07,4.924072894745025e-05,0.49899335896694325,0.12079484214282009
960,5.028910313928537e-07,2.54042736606117e-07,2.4884829478673676e-07,4.87378379160574e-05,0.4948354201058297,0.12079503025364025
961,4.993499682625307e-07,2.5427159175341316e-07,2.450783765091175e-07,4.8238487947794875e-05,0.4907948174340703,0.12079521502193517
