t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
257,2.9154458148452504e-05,1.0724455927851990e-07,3.1015771529406733e-07,1.2036634108868249e-06,3.3673403863873110e-06,6.5237361548675451e-06,9.1421833426109295e-06,8.5001325791273081e-06
258,2.8329696648990756e-05,1.0472092204550836e-07,3.0192162453272402e-07,1.1699399834800935e-06,3.2720868339059652e-06,6.3388635426533094e-06,8.8830144557354939e-06,8.2591492866376613e-06
259,2.7528266376476146e-05,1.0225419333987291e-07,2.9390320638986750e-07,1.1371610912541460e-06,3.1795274241897406e-06,6.1592296469882583e-06,8.6311926477478155e-06,8.0249981665664454e-06
260,2.6749507378100493e-05,9.9843173903912886e-08,2.8609674058478258e-07,1.1053002950178226e-06,3.0895859792714127e-06,5.9846860392996781e-06,8.3865096417257300e-06,7.7974855082971534e-06
261,2.5992778365166172e-05,9.7486686793000269e-08,2.7849665607860794e-07,1.0743318947502822e-06,3.0021884735991837e-06,5.8150884950341684e-06,8.1487630648232818e-06,7.5764230940876511e-06
262,2.5257456185481502e-05,9.5183577070922771e-08,2.7109752721989967e-07,1.0442309089927796e-06,2.9172629733244545e-06,5.6502968746811104e-06,7.9177562809219196e-06,7.3616280432704137e-06
263,2.4542935310654742e-05,9.2932711504776897e-08,2.6389406998811773e-07,1.0149730548112855e-06,2.8347395772950119e-06,5.4901750081567167e-06,7.6932982280240486e-06,7.1529226608747836e-06
264,2.3848627337867258e-05,9.0732978259668772e-08,2.5688113833262407e-07,9.8653472831438325e-07,2.7545503597062293e-06,5.3345905824541914e-06,7.4752032602546287e-06,6.9501342905455344e-06
265,2.3173960505717764e-05,8.8583286593466618e-08,2.5005372060484064e-07,9.5889298571128883e-07,2.6766293143641011e-06,5.1834150324681311e-06,7.2632909943402977e-06,6.7530951716356348e-06
266,2.2518379223741256e-05,8.6482566551835700e-08,2.4340693608126544e-07,9.3202552489522868e-07,2.6009123005152629e-06,5.0365234349039011e-06,7.0573861604392020e-06,6.5616423003545635e-06
267,2.1881343615217344e-05,8.4429768663775120e-08,2.3693603157509999e-07,9.0591066753780973e-07,2.5273369902003001e-06,4.8937944051851423e-06,6.8573184571982929e-06,6.3756172948569244e-06
268,2.1262329072893203e-05,8.2423863637862214e-08,2.3063637813429283e-07,8.8052734168039176e-07,2.4558428170878916e-06,4.7551099972750165e-06,6.6629224109183361e-06,6.1948662641594127e-06
269,2.0660825827257356e-05,8.0463842059400297e-08,2.2450346782385469e-07,8.5585506480883714e-07,2.3863709267484581e-06,4.6203556063291900e-06,6.4740372387102828e-06,6.0192396807773321e-06
270,2.0076338527010195e-05,7.8548714088653835e-08,2.1853291059035063e-07,8.3187392739838490e-07,2.3188641283271329e-06,4.4894198741007406e-06,6.2905067155299191e-06,5.8485922569750121e-06
271,1.9508385831387486e-05,7.6677509160344064e-08,2.1272043120652415e-07,8.0856457691573919e-07,2.2532668475769817e-06,4.3621945970195251e-06,6.1121790449809322e-06,5.6827828245274402e-06
272,1.8956500014002499e-05,7.4849275684568933e-08,2.0706186629405511e-07,7.8590820226581246e-07,2.1895250812144385e-06,4.2385746368705994e-06,5.9389067337796360e-06,5.5216742178933902e-06
