t,f_total,survival_before,survival_after
766,1.3208939945930565e-11,4.6691121752707123e-10,4.5370227758114074e-10
767,1.2835258423736078e-11,4.5370227758114074e-10,4.4086701915740468e-10
768,1.2472148369093199e-11,4.4086701915740468e-10,4.2839487078831149e-10
769,1.2119310714695801e-11,4.2839487078831149e-10,4.1627556007361572e-10
770,1.1776454853865669e-11,4.1627556007361572e-10,4.0449910521975004e-10
771,1.1443298401200973e-11,4.0449910521975004e-10,3.9305580681854909e-10
772,1.1119566959995962e-11,3.9305580681854909e-10,3.8193623985855307e-10
773,1.0804993896240380e-11,3.8193623985855307e-10,3.7113124596231277e-10
774,1.0499320119012465e-11,3.7113124596231277e-10,3.6063192584330031e-10
775,1.0202293867084615e-11,3.6063192584330031e-10,3.5042963197621571e-10
776,9.9136705015660035e-12,3.5042963197621571e-10,3.4051596147464970e-10
777,9.6332123044113474e-12,3.4051596147464970e-10,3.3088274917023832e-10
778,9.3606882826298619e-12,3.3088274917023832e-10,3.2152206088760850e-10
779,9.0958739780331533e-12,3.2152206088760850e-10,3.1242618690957538e-10
780,8.8385512823653730e-12,3.1242618690957538e-10,3.0358763562721000e-10
781,8.5885082576633109e-12,3.0358763562721000e-10,2.9499912736954675e-10
782,8.3455389616985478e-12,2.9499912736954675e-10,2.8665358840784814e-10
783,8.1094432783578324e-12,2.8665358840784814e-10,2.7854414512949038e-10
784,7.8800267528220160e-12,2.7854414512949038e-10,2.7066411837666831e-10
785,7.6571004314077788e-12,2.7066411837666831e-10,2.6300701794526058e-10
786,7.4404807059402492e-12,2.6300701794526058e-10,2.5556653723932035e-10
787,7.2299891625283135e-12,2.5556653723932035e-10,2.4833654807679203e-10
788,7.0254524346180909e-12,2.4833654807679203e-10,2.4131109564217395e-10
789,6.8267020602035337e-12,2.4131109564217395e-10,2.3448439358197041e-10
790,6.6335743430765395e-12,2.3448439358197041e-10,2.2785081923889388e-10
791,6.4459102180023029e-12,2.2785081923889388e-10,2.2140490902089163e-10
792,6.2635551197088762e-12,2.2140490902089163e-10,2.1514135390118272e-10
793,6.0863588555830023e-12,2.1514135390118272e-10,2.0905499504559974e-10
794,5.9141754819674016e-12,2.0905499504559974e-10,2.0314081956363234e-10
795,5.7468631839576138e-12,2.0314081956363234e-10,1.9739395637967472e-10
796,5.5842841585993855e-12,1.9739395637967472e-10,1.9180967222107537e-10
797,5.4263045013904124e-12,1.9180967222107537e-10,1.8638336771968494e-10
798,5.2727940959929591e-12,1.8638336771968494e-10,1.8111057362369201e-10
799,5.1236265070665051e-12,1.8111057362369201e-10,1.7598694711662549e-10
800,4.9786788761321616e-12,1.7598694711662549e-10,1.7100826824049332e-10
801,4.8378318203830874e-12,1.7100826824049332e-10,1.6617043642011027e-10
802,4.7009693343575788e-12,1.6617043642011027e-10,1.6146946708575267e-10
803,4.5679786943938041e-12,1.6146946708575267e-10,1.5690148839135887e-10
804,4.4387503657875413e-12,1.5690148839135887e-10,1.5246273802557131e-10
805,4.3131779125764217e-12,1.5246273802557131e-10,1.4814956011299489e-10
806,4.1911579098763726e-12,1.4814956011299489e-10,1.4395840220311855e-10
807,4.0725898586980788e-12,1.4395840220311855e-10,1.3988581234442046e-10
808,3.9573761031732830e-12,1.3988581234442046e-10,1.3592843624124719e-10
809,3.8454217501227573e-12,1.3592843624124719e-10,1.3208301449112445e-10
810,3.7366345908997045e-12,1.3208301449112445e-10,1.2834637990022473e-10
811,3.6309250254442131e-12,1.2834637990022473e-10,1.2471545487478055e-10
812,3.5282059884862098e-12,1.2471545487478055e-10,1.2118724888629431e-10
813,3.4283928778361436e-12,1.2118724888629431e-10,1.1775885600845821e-10
814,3.3314034847043146e-12,1.1775885600845821e-10,1.1442745252375387e-10
815,3.2371579259914918e-12,1.1442745252375387e-10,1.1119029459776240e-10
816,3.1455785784950146e-12,1.1119029459776240e-10,1.0804471601926739e-10
817,3.0565900149762173e-12,1.0804471601926739e-10,1.0498812600429118e-10
818,2.9701189420365082e-12,1.0498812600429118e-10,1.0201800706225467e-10
819,2.8860941397509283e-12,1.0201800706225467e-10,9.9131912922503733e-11
