g1,g2,phase,t1,t2,tv,sep_peaks,peak_ratio,valley_ratio,mass_tmax,survival_tmax
0.6,-0.3,1,56,406,96,0.8433734939759037,0.1874837006355992,0.09323646479355735,0.5656185566603955,0.43438144333957046
0.75,-0.3,2,48,550,76,1.1923990498812351,0.13679123137021051,0.06730058327029473,0.5877217541145077,0.41227824588545925
0.9,-0.3,2,42,790,64,1.8653366583541147,0.10881160433491495,0.03472630456562083,0.6046351511282095,0.3953648488717503
-0.9,-0.15,2,56,804,80,1.7894736842105263,0.17921298446226097,0.08045213928501714,0.5850439853985951,0.41495601460138
-0.75,-0.15,2,66,566,94,1.1415525114155252,0.22871768336046658,0.16808918870660375,0.5661608854408768,0.4338391145591061
-0.6,-0.15,1,82,426,118,0.7818181818181819,0.29219846703733204,0.27344008731157404,0.5434596228433525,0.45654037715662993
-0.45,-0.15,1,104,374,250,0.6067415730337079,0.3919890012879855,0.38171712676249836,0.5168234659215647,0.4831765340784352
-0.3,-0.15,1,42,296,86,0.5474137931034483,0.5939756581073073,0.45669028007065426,0.4902385070847395,0.5097614929152422
-0.15,-0.15,1,58,290,196,0.48132780082987553,0.34835764978168166,0.32696710286586494,0.48021850347151146,0.5197814965284885
0.0,-0.15,0,,,,0.0,0.0,1.0,0.4522549011677453,0.5477450988322548
0.15,-0.15,0,,,,0.0,0.0,1.0,0.4393148049223929,0.5606851950776073
0.3,-0.15,1,104,250,190,0.3146551724137931,0.46470768546336944,0.41541560544497436,0.48719769322073164,0.5128023067792497
0.45,-0.15,1,76,350,220,0.6075388026607539,0.32684635475204743,0.30398253579271134,0.5248036247960872,0.475196375203912
0.6,-0.15,1,60,406,94,0.7740492170022372,0.2934650871740902,0.2221549817077541,0.5500024521244321,0.4499975478755502
0.75,-0.15,2,50,550,76,1.1848341232227488,0.2747942683306524,0.13310044335655266,0.5695688372678962,0.43043116273208665
0.9,-0.15,2,42,792,62,1.7647058823529411,0.2609353379423116,0.060600745178174126,0.5862227665336021,0.4137772334663731
-0.9,0.0,2,58,808,78,1.8987341772151898,0.6726610533075759,0.10239274808897009,0.5131290937838094,0.4868709062161631
-0.75,0.0,2,68,568,94,1.2135922330097086,0.7336607578913237,0.22632179437399455,0.49780954321335086,0.5021904567866305
-0.6,0.0,1,84,428,116,0.7889908256880734,0.7694009916219213,0.3954374871422518,0.4798493640407819,0.5201506359591994
-0.45,0.0,1,110,378,154,0.32802937576499386,0.7780875398892924,0.6003971777603655,0.45823893513711217,0.5417610648628879
-0.3,0.0,1,48,292,80,0.2929171668667467,0.41764282170480155,0.29870637560826996,0.43193629026932384,0.5680637097306569
-0.15,0.0,1,78,280,140,0.23433874709976799,0.8869308725773051,0.7663859205587572,0.4035926183802492,0.5964073816197508
0.0,0.0,0,,,,0.0,0.0,1.0,0.37680995828078234,0.6231900417192178
0.15,0.0,0,,,,0.0,0.0,1.0,0.3931486098100077,0.6068513901899928
0.3,0.0,1,118,250,178,0.1607795371498173,0.9073696404814827,0.7291060431005837,0.433323941411583,0.5666760585883974
0.45,0.0,1,82,352,122,0.3210463733650416,0.8956684098206994,0.511010728289089,0.46036894166982645,0.5396310583301729
0.6,0.0,1,62,408,92,0.8357487922705314,0.9981315862837665,0.3198085414785094,0.4810763941164129,0.5189236058835678
0.75,0.0,2,50,552,74,1.200956937799043,0.9174876412411147,0.16248396855662056,0.49832436587720774,0.5016756341227735
0.9,0.0,2,42,792,62,1.875,0.8610370312054729,0.06421949576196903,0.5132745783114083,0.4867254216885645
-0.9,0.15,2,58,804,78,1.788968824940048,0.6912928034140272,0.14272330258936902,0.5634594335524598,0.4365405664475146
-0.75,0.15,2,70,566,94,1.1980676328502415,0.6124309113298961,0.28330113919499034,0.5463700824024458,0.4536299175975371
-0.6,0.15,1,86,428,116,0.782608695652174,0.5469060678028141,0.42722474711595965,0.5265360297430376,0.4734639702569449
-0.45,0.15,1,110,378,350,0.46689895470383275,0.5143360931589557,0.5104205708800549,0.5018724219987722,0.4981275780012283
-0.3,0.15,1,70,288,72,0.2617046818727491,0.41873772980714125,0.41866669840469306,0.46941182440450463,0.5305881755954771
-0.15,0.15,0,,,,0.0,0.0,1.0,0.44453747000993515,0.5554625299900653
0.0,0.15,0,,,,0.0,0.0,1.0,0.4265422663764211,0.5734577336235794
0.15,0.15,0,,,,0.0,0.0,1.0,0.43170772324758455,0.5682922767524162
0.3,0.15,1,116,358,338,0.4013266998341625,0.5365422118857296,0.5360004122400784,0.47595327690532396,0.5240467230946575
0.45,0.15,1,84,352,122,0.37799717912552894,0.6394016074226693,0.552596338129335,0.5043949416796071,0.4956050583203925
0.6,0.15,1,66,406,92,0.8133971291866029,0.9206428281294383,0.4319566833572448,0.5263319112975396,0.47366808870244237
0.75,0.15,2,52,550,74,1.1857142857142857,0.719372494119704,0.20876559809940243,0.5457497464560694,0.45425025354391313
0.9,0.15,2,44,792,62,1.7683215130023642,0.46738632067549213,0.0667024622121517,0.5631268915354537,0.43687310846452065
-0.9,0.3,2,58,762,80,1.6842105263157894,0.19515238868351562,0.09320287739342492,0.5892297308601779,0.41077026913977965
-0.75,0.3,2,68,566,152,1.1369863013698631,0.20834705450052424,0.14447874438063177,0.5721702362360634,0.42782976376390225
-0.6,0.3,1,80,426,120,0.7881548974943052,0.26363187616584266,0.1929822563393891,0.5501767207478458,0.4498232792521189
-0.45,0.3,1,46,368,56,0.3783783783783784,0.37670723015768015,0.34414030383240324,0.517988959997928,0.4820110400020535
-0.3,0.3,1,56,186,92,0.16839378238341968,0.795666105601997,0.5890853399935473,0.49184311227032335,0.5081568877296396
-0.15,0.3,1,66,226,152,0.34557235421166305,0.35080652243668287,0.2378766250630842,0.5024275969543308,0.49757240304565103
0.0,0.3,1,72,328,152,0.5470085470085471,0.3651414265177794,0.35829873370271126,0.4785666196231314,0.5214333803768503
0.15,0.3,1,96,214,136,0.13931523022432113,0.7037848526930383,0.6179320531659446,0.46489699886050345,0.5351030011394776
0.3,0.3,1,94,342,166,0.5462555066079295,0.4460069701697211,0.3999650218032121,0.4956095328933327,0.5043904671066297
0.45,0.3,1,76,352,128,0.6174496644295302,0.28880839768318184,0.2039349517586396,0.5333267170598543,0.4666732829401269
0.6,0.3,1,62,404,162,0.7685393258426966,0.2823481363247618,0.20711825774432926,0.5543875201865143,0.44561247981345053
0.75,0.3,2,52,550,76,1.1241534988713318,0.3397880858892109,0.1839599978798215,0.5700851266627033,0.429914873337262
0.9,0.3,2,44,790,62,1.755294117647059,0.46767937387436753,0.10919015309347596,0.5863099075457627,0.41369009245419447
-0.9,0.45,2,56,762,80,1.6971153846153846,0.1104030551028094,0.03326176373088902,0.5974477378910086,0.40255226210896566
-0.75,0.45,2,64,516,96,1.1051344743276283,0.19053400015905034,0.052348856964474104,0.5779496961924121,0.42205030380757
-0.6,0.45,1,36,428,44,0.47342995169082125,0.22586071725639442,0.1918012467011027,0.5455879288562405,0.45441207114374094
-0.45,0.45,1,40,298,62,0.6,0.9118234692078857,0.4454451242520914,0.5171727824437565,0.4828272175562426
-0.3,0.45,1,46,408,96,0.8807785888077859,0.28185636058776825,0.10202228652132316,0.5336265516688803,0.4663734483311013
-0.15,0.45,1,50,328,104,0.610989010989011,0.19827945209379175,0.1329418104173987,0.5446602155943955,0.45533978440560363
