N,beta,peak_id,t_left,t_peak,t_right,mass_total,fraction_total,mass_yes,mass_no,shortcut_share,dominant_site,dominant_site_fraction,site_entropy
81,0.2,peak1,64,153,221,0.35275865444302634,0.3527588212809153,0.10560322860360877,0.24715542583941763,0.29936396250957076,80,0.02974605363537202,4.075846907328432
81,0.2,peak2,222,256,321,0.046170602713714155,0.04617062455019015,0.009741388518762497,0.03642921419495167,0.21098681728642435,51,0.03846257449170337,3.882342440548209
81,0.2,other,,,,0.6010702698915464,0.601070554168895,0.005695512887146559,0.5953747570043996,0.009475619028993439,29,0.10374513903173546,2.8573727735028283
81,0.22,peak1,64,153,222,0.3589453182216786,0.35894549143951276,0.11498488544439957,0.24396043277727897,0.32034095336322743,80,0.0292660343526217,4.082289916948845
81,0.22,peak2,223,256,321,0.045900682923508705,0.04590070507400484,0.010396288942483971,0.03550439398102472,0.22649529985880362,51,0.0381339584342496,3.8903682689768218
81,0.22,other,,,,0.5951535162806104,0.5951538034864824,0.006180514346838024,0.5889730019337728,0.010384739697856306,29,0.10371936912363247,2.8595920865765803
81,0.24,peak1,64,153,223,0.36503049810383104,0.3650306778231473,0.12417280520003768,0.24085769290379344,0.34017104281713295,80,0.028825612345622878,4.0878058224902265
81,0.24,peak2,224,256,321,0.045606903509643686,0.04560692596377165,0.01101023779471236,0.03459666571493132,0.24141603457871721,51,0.03782406546312916,3.897551757044732
81,0.24,other,,,,0.5893621060462176,0.5893623962130812,0.006652899216309094,0.5827092068299086,0.01128830501326357,29,0.10369229200363665,2.8618134422747334
81,0.26,peak1,64,153,224,0.37101705768204474,0.37101724402542974,0.13317244853888305,0.23784460914316166,0.35893888375614674,80,0.028421396122534446,4.092570502107635
81,0.26,peak2,225,256,321,0.04529032628019258,0.04529034902726723,0.011585814185234952,0.03370451209495764,0.25581211567252343,51,0.03752975468629745,3.904036636854336
81,0.26,other,,,,0.5836921137878327,0.5836924069473035,0.00711321464776489,0.5765788991400669,0.012186586866154724,29,0.10366394286022262,2.864037895958987
81,0.28,peak1,64,152,224,0.3764334759795815,0.3764336688274781,0.14169978053673118,0.23473369544285025,0.3764271500242908,80,0.02805785266812176,4.095117960002767
81,0.28,peak2,225,256,321,0.045426237877502024,0.0454262611494876,0.0124147349148665,0.03301150296263553,0.27329436675659796,51,0.03707715871164003,3.9159224692969468
81,0.28,other,,,,0.5781397738404515,0.5781400700230347,0.007561973555279308,0.5705778002851718,0.013079836222038198,29,0.10363435644538183,2.866266344112018
81,0.3,peak1,64,152,225,0.3822142704656468,0.38221447017151494,0.1503335327267565,0.23188073773889034,0.3933226578474086,80,0.02771830202650732,4.098692375314228
81,0.3,peak2,226,255,321,0.045083734677728235,0.045083758233851245,0.012925611893628937,0.032158122784099304,0.28670233258236044,51,0.03681363309224735,3.9211113413233343
81,0.3,other,,,,0.572701472359745,0.5727017715946338,0.007999657250591125,0.564701815109154,0.013968284763839586,29,0.10360356703565839,2.8684995415703365
101,0.0,peak1,80,192,264,0.2659817115643184,0.2659818140811982,0.0,0.2659817115643184,0.0,100,0.03616298082180449,3.9503150291939573
101,0.0,peak2,265,322,400,0.04688352458838263,0.046883542658619964,0.0,0.04688352458838263,0.0,64,0.039523558077508666,3.767965834226162
101,0.0,other,,,,0.687134378419144,0.6871346432601816,0.0,0.687134378419144,0.0,36,0.09184675386722521,2.9596914442659115
101,0.02,peak1,80,192,266,0.2737673022253408,0.2737674101375742,0.011743297109460545,0.26202400511588025,0.04289517781708829,100,0.03489194991154417,4.025502979697955
101,0.02,peak2,267,322,400,0.04688443617830907,0.04688445465898291,0.0011900222893445112,0.04569441388896455,0.025382032639118545,63,0.038826073689157185,3.8103102545193113
101,0.02,other,,,,0.679347867421479,0.6793481352034422,0.0006136669120040723,0.6787342005094759,0.0009033176395081593,36,0.091824700163537,2.9619187990933518
101,0.04,peak1,80,192,268,0.28146241046970505,0.2814625238618056,0.02327758563317873,0.2581848248365263,0.08270228907061887,100,0.03373411837986681,4.077847798393086
101,0.04,peak2,269,322,400,0.04678827875108607,0.04678829760057009,0.0022477606407601465,0.04454051811032591,0.048041105609339614,63,0.03824617319491562,3.8415474173897066
101,0.04,other,,,,0.6717489079117187,0.6717491785376243,0.0012084008712123487,0.6705405070405072,0.0017988877346580767,36,0.09180155139162616,2.964118512330779
101,0.06,peak1,80,192,270,0.28905868553876085,0.28905880450080296,0.03459448574994056,0.2544641997888203,0.11967980026430194,100,0.032677909973869865,4.117408486720442
101,0.06,peak2,271,322,400,0.04661005776720709,0.0466100769495667,0.0031947383667532206,0.04341531940045386,0.06854182379925962,63,0.037748707319929034,3.865600364320258
101,0.06,other,,,,0.6643308451444091,0.6643311185496307,0.0017852004694132733,0.6625456446749951,0.0026872159895348752,36,0.09177732673043722,2.9662960667393024
101,0.08,peak1,80,192,271,0.29639726778797054,0.29639739235075496,0.04559245918223295,0.2508048086057377,0.1538221304214173,100,0.03171749653903019,4.147713869378802
101,0.08,peak2,272,322,400,0.04651498134035269,0.0465150008885612,0.004144981200951172,0.042370000139401516,0.08911067104643375,63,0.037231463474027365,3.8893504287715692
101,0.08,other,,,,0.6570873306156702,0.6570876067606836,0.0023449906100383618,0.6547423400056324,0.0035687655213823394,36,0.09175204620947473,2.968456105323313
101,0.1,peak1,80,192,273,0.3037600927340334,0.3037602230514775,0.05644893294558024,0.24731115978845317,0.1858339337386424,100,0.030834233570080208,4.172482316101611
101,0.1,peak2,274,322,400,0.04622717338938812,0.04622719322150968,0.004932933538279224,0.04129423985110888,0.10671068933259988,63,0.03684370736549262,3.904688988913932
101,0.1,other,,,,0.650012304862395,0.6500125837270129,0.0028886289582659755,0.6471236759041288,0.004443960424529943,36,0.09172573057764233,2.970602599914816
101,0.12,peak1,80,192,274,0.310821691804614,0.3108218278966691,0.06696044063501502,0.24386125116959897,0.21543039755766824,100,0.030029182462224076,4.191840779715194
101,0.12,peak2,275,322,400,0.04607788894045568,0.0460779091154781,0.005773354258300905,0.04030453468215478,0.12529554610805937,63,0.03640079212230488,3.922323847933019
101,0.12,other,,,,0.6430999814090558,0.6431002629878529,0.0034169117694550803,0.6396830696396005,0.005313189034725985,36,0.09169840118200838,2.972738970275976
101,0.14,peak1,80,192,275,0.31773968186548773,0.3177398238215007,0.07723063118554362,0.24050905067994405,0.2430625936682297,100,0.029290410341160287,4.207583037962919
101,0.14,peak2,276,322,400,0.04591503959458319,0.04591506010796671,0.0065733424350134856,0.03934169715956972,0.14316316599210716,63,0.03598370888199787,3.937884635284159
101,0.14,other,,,,0.6363448317718425,0.636345116070532,0.003930579159947037,0.6324142526118965,0.006176806919296741,36,0.09167007985618861,2.974868172363648
101,0.16,peak1,80,107,147,0.13099846710395815,0.13099852681230162,0.06091812792427427,0.07008033917968393,0.46502931882348425,40,0.04274999136999114,3.691817796934482
101,0.16,peak2,148,192,276,0.19352004677674808,0.19352013498206586,0.026349045844521732,0.16717100093222637,0.13615667360249747,100,0.047730312930555414,3.650562134982359
101,0.16,peak3,277,322,400,0.04573945888705514,0.04573947973483589,0.007335464488172782,0.03840399439888237,0.16037497309022195,63,0.03558949097103073,3.951715654084876
101,0.16,other,,,,0.6297415714382314,0.6297418584707966,0.004430319877325031,0.6253112515609066,0.00703513961640943,36,0.09164078881796635,2.9769927662787175
