N,beta,site,p_full,p_peak1,p_peak2,p_peak3,p_other,p_yes,p_no
61,0.0,32,0.004748211554223971,0.002112744109810273,0.0017105734372728314,0.0,0.0009248940071408663,0.0,0.004748211554223971
61,0.0,33,0.00368350851110714,0.0013366309042235549,0.0018880967971460375,0.0,0.00045878080973754725,0.0,0.00368350851110714
61,0.0,34,0.003110506146472747,0.0008161617439009234,0.0020459607132866974,0.0,0.000248383689285126,0.0,0.003110506146472747
61,0.0,35,0.0028223115302202615,0.0004865015549064771,0.0021769652652360518,0.0,0.0001588447100777327,0.0,0.0028223115302202615
61,0.0,36,0.002684666386474823,0.00028747749327783005,0.002275033475743214,0.0,0.00012215541745377902,0.0,0.002684666386474823
61,0.0,37,0.0026148728359662444,0.00017188390421200275,0.002335687563833394,0.0,0.00010730136792084759,0.0,0.0026148728359662444
61,0.0,38,0.0025648165706153828,0.00010700433563743495,0.002356388321630843,0.0,0.0001014239133471052,0.0,0.0025648165706153828
61,0.0,39,0.0025088679582957363,7.255729990932326e-05,0.0023367013362924995,0.0,9.96093220939137e-05,0.0,0.0025088679582957363
61,0.0,40,0.002435964058803175,5.7640362394445714e-05,0.0022782762216138315,0.0,0.00010004747479489809,0.0,0.002435964058803175
61,0.0,41,0.002344792603917463,5.813510371055588e-05,0.002184648599393739,0.0,0.000102008900813168,0.0,0.002344792603917463
61,0.0,42,0.0022411004626435925,7.510573023421844e-05,0.002060895443907894,0.0,0.00010509928850147991,0.0,0.0022411004626435925
61,0.0,43,0.0021363770037883248,0.00011416811934948716,0.001913189496182835,0.0,0.00010901938825600271,0.0,0.0021363770037883248
61,0.0,44,0.0020473479084728457,0.00018554164561990596,0.0017483059769563968,0.0,0.00011350028589654305,0.0,0.0020473479084728457
61,0.0,45,0.0019958041349539797,0.0003043774046399063,0.0015731344742783624,0.0,0.00011829225603571123,0.0,0.0019958041349539797
61,0.0,46,0.002008298547512759,0.0004908886651098967,0.0013942417036456854,0.0,0.00012316817875717692,0.0,0.002008298547512759
61,0.0,47,0.0021152244454826765,0.0007697750170885326,0.0012175188497951961,0.0,0.0001279305785989479,0.0,0.0021152244454826765
61,0.0,48,0.0023488218944280126,0.0011684695707349063,0.0010479328604554804,0.0,0.00013241946323762588,0.0,0.0023488218944280126
61,0.0,49,0.0027398121426202393,0.0017139052747860743,0.000889386769116693,0.0,0.00013652009871747178,0.0,0.0027398121426202393
61,0.0,50,0.0033126757306281424,0.002427823707712196,0.0007446818095476533,0.0,0.00014017021336829293,0.0,0.0033126757306281424
61,0.0,51,0.004080039489992325,0.0033211083600831366,0.0006155649949861035,0.0,0.0001433661349230846,0.0,0.004080039489992325
61,0.0,52,0.005037116854808162,0.004388109047820626,0.0005028404795272872,0.0,0.00014616732746024864,0.0,0.005037116854808162
61,0.0,53,0.006157491833283457,0.005602271802282012,0.00040652126677053483,0.0,0.00014869876423090998,0.0,0.006157491833283457
61,0.0,54,0.007391583139685826,0.006914433488549112,0.00032599908875437906,0.0,0.00015115056238233424,0.0,0.007391583139685826
61,0.0,55,0.008668774199766398,0.008254786173022458,0.00026021370065789696,0.0,0.0001537743260860426,0.0,0.008668774199766398
61,0.0,56,0.009903477553154422,0.009538794331550828,0.0002078075124132515,0.0,0.0001568757091903419,0.0,0.009903477553154422
61,0.0,57,0.011004488788511449,0.010676429383501895,0.0001672565716925369,0.0,0.0001608028333170169,0.0,0.011004488788511449
61,0.0,58,0.011886137812686515,0.01158323366650658,0.00013697374884641948,0.0,0.00016593039733351692,0.0,0.011886137812686515
61,0.0,59,0.012479226737644402,0.012191203065219184,0.0001153840739523449,0.0,0.00017263959847287365,0.0,0.012479226737644402
61,0.0,60,0.012739720204694863,0.012457450598671654,0.00010097525374592327,0.0,0.00018129435227728566,0.0,0.012739720204694863
61,0.02,0,0.012627112486803272,0.012306526303275405,0.00012186751409166651,0.0,0.00019871866943620137,0.00012749830161725334,0.012499614185185966
61,0.02,1,0.01220871464105192,0.011881988954019042,0.00011414952149576985,0.0,0.0002125761655371071,0.00011937154596743755,0.012089343095084495
61,0.02,2,0.011508380788392385,0.011170237016973837,0.00010914472061959397,0.0,0.0002289990507989533,0.00011760430749393562,0.01139077648089846
61,0.02,3,0.0105240634828895,0.010172410198778797,0.00010535142038950337,0.0,0.00024630186372119817,0.00012490865233036672,0.010399154830559134
