K,window,class,mode,delta,prop,baseline_prop,delta_prop,n
K=4,peak1,C0J1p,width,-1,0.0,0.0,0.0,901
K=4,peak1,C1pJ1p,width,-1,0.30303030303030304,0.30303030303030304,0.0,901
K=4,peak1,C0J0,shift,0,0.0,0.0,0.0,924
K=4,peak1,C1pJ0,shift,0,0.696969696969697,0.696969696969697,0.0,924
K=4,peak1,C0J1p,shift,0,0.0,0.0,0.0,924
K=4,peak1,C1pJ1p,shift,0,0.30303030303030304,0.30303030303030304,0.0,924
K=4,peak1,C0J0,width,0,0.0,0.0,0.0,924
K=4,peak1,C1pJ0,width,0,0.696969696969697,0.696969696969697,0.0,924
K=4,peak1,C0J1p,width,0,0.0,0.0,0.0,924
K=4,peak1,C1pJ1p,width,0,0.30303030303030304,0.30303030303030304,0.0,924
K=4,peak1,C0J0,shift,1,0.0,0.0,0.0,935
K=4,peak1,C1pJ0,shift,1,0.696969696969697,0.696969696969697,0.0,935
K=4,peak1,C0J1p,shift,1,0.0,0.0,0.0,935
K=4,peak1,C1pJ1p,shift,1,0.3030303030303031,0.30303030303030304,5.551115123125783e-17,935
K=4,peak1,C0J0,width,1,0.0,0.0,0.0,950
K=4,peak1,C1pJ0,width,1,0.696969696969697,0.696969696969697,0.0,950
K=4,peak1,C0J1p,width,1,0.0,0.0,0.0,950
K=4,peak1,C1pJ1p,width,1,0.30303030303030304,0.30303030303030304,0.0,950
K=4,peak1,C0J0,shift,2,0.0,0.0,0.0,933
K=4,peak1,C1pJ0,shift,2,0.696969696969697,0.696969696969697,0.0,933
K=4,peak1,C0J1p,shift,2,0.0,0.0,0.0,933
K=4,peak1,C1pJ1p,shift,2,0.30303030303030304,0.30303030303030304,0.0,933
K=4,peak1,C0J0,width,2,0.0,0.0,0.0,970
K=4,peak1,C1pJ0,width,2,0.696969696969697,0.696969696969697,0.0,970
K=4,peak1,C0J1p,width,2,0.0,0.0,0.0,970
K=4,peak1,C1pJ1p,width,2,0.3030303030303031,0.30303030303030304,5.551115123125783e-17,970
K=4,peak1,C0J0,shift,5,0.0032128333595452603,0.0,0.0032128333595452603,947
K=4,peak1,C1pJ0,shift,5,0.6912945764458942,0.696969696969697,-0.005675120523802812,947
K=4,peak1,C0J1p,shift,5,0.00017524545597519603,0.0,0.00017524545597519603,947
K=4,peak1,C1pJ1p,shift,5,0.3053173447385854,0.30303030303030304,0.002287041708282367,947
K=4,peak1,C0J0,width,5,0.0029059724847080816,0.0,0.0029059724847080816,1047
K=4,peak1,C1pJ0,width,5,0.6918366127900969,0.696969696969697,-0.0051330841796001225,1047
K=4,peak1,C0J1p,width,5,0.00015850759007498627,0.0,0.00015850759007498627,1047
K=4,peak1,C1pJ1p,width,5,0.30509890713512006,0.30303030303030304,0.002068604104817018,1047
K=4,valley,C0J0,shift,-5,0.05523601968141274,0.05851063829787234,-0.0032746186164595986,947
K=4,valley,C1pJ0,shift,-5,0.5994012787335485,0.5936170212765958,0.005784257456952768,947
K=4,valley,C0J1p,shift,-5,0.0030128738008043322,0.0031914893617021275,-0.00017861556089779525,947
K=4,valley,C1pJ1p,shift,-5,0.34234982778423434,0.3446808510638298,-0.0023310232795954455,947
K=4,valley,C0J0,width,-5,0.058510638297872335,0.05851063829787234,-6.938893903907228e-18,712
K=4,valley,C1pJ0,width,-5,0.5936170212765958,0.5936170212765958,0.0,712
K=4,valley,C0J1p,width,-5,0.0031914893617021275,0.0031914893617021275,0.0,712
K=4,valley,C1pJ1p,width,-5,0.3446808510638298,0.3446808510638298,0.0,712
K=4,valley,C0J0,shift,-2,0.05851063829787234,0.05851063829787234,0.0,948
K=4,valley,C1pJ0,shift,-2,0.5936170212765958,0.5936170212765958,0.0,948
K=4,valley,C0J1p,shift,-2,0.003191489361702128,0.0031914893617021275,4.336808689942018e-19,948
K=4,valley,C1pJ1p,shift,-2,0.34468085106382984,0.3446808510638298,5.551115123125783e-17,948
K=4,valley,C0J0,width,-2,0.05851063829787234,0.05851063829787234,0.0,849
K=4,valley,C1pJ0,width,-2,0.5936170212765958,0.5936170212765958,0.0,849
K=4,valley,C0J1p,width,-2,0.003191489361702128,0.0031914893617021275,4.336808689942018e-19,849
K=4,valley,C1pJ1p,width,-2,0.3446808510638298,0.3446808510638298,0.0,849
K=4,valley,C0J0,shift,-1,0.05851063829787234,0.05851063829787234,0.0,940
K=4,valley,C1pJ0,shift,-1,0.5936170212765957,0.5936170212765958,-1.1102230246251565e-16,940
K=4,valley,C0J1p,shift,-1,0.0031914893617021275,0.0031914893617021275,0.0,940
K=4,valley,C1pJ1p,shift,-1,0.3446808510638298,0.3446808510638298,0.0,940
K=4,valley,C0J0,width,-1,0.058510638297872335,0.05851063829787234,-6.938893903907228e-18,886
K=4,valley,C1pJ0,width,-1,0.5936170212765958,0.5936170212765958,0.0,886
K=4,valley,C0J1p,width,-1,0.0031914893617021284,0.0031914893617021275,8.673617379884035e-19,886
K=4,valley,C1pJ1p,width,-1,0.34468085106382973,0.3446808510638298,-5.551115123125783e-17,886
K=4,valley,C0J0,shift,0,0.05851063829787234,0.05851063829787234,0.0,940
K=4,valley,C1pJ0,shift,0,0.5936170212765958,0.5936170212765958,0.0,940
K=4,valley,C0J1p,shift,0,0.0031914893617021275,0.0031914893617021275,0.0,940
K=4,valley,C1pJ1p,shift,0,0.3446808510638298,0.3446808510638298,0.0,940
K=4,valley,C0J0,width,0,0.05851063829787234,0.05851063829787234,0.0,940
K=4,valley,C1pJ0,width,0,0.5936170212765958,0.5936170212765958,0.0,940
K=4,valley,C0J1p,width,0,0.0031914893617021275,0.0031914893617021275,0.0,940
K=4,valley,C1pJ1p,width,0,0.3446808510638298,0.3446808510638298,0.0,940
K=4,valley,C0J0,shift,1,0.058510638297872335,0.05851063829787234,-6.938893903907228e-18,930
K=4,valley,C1pJ0,shift,1,0.5936170212765957,0.5936170212765958,-1.1102230246251565e-16,930
K=4,valley,C0J1p,shift,1,0.0031914893617021284,0.0031914893617021275,8.673617379884035e-19,930
K=4,valley,C1pJ1p,shift,1,0.34468085106382973,0.3446808510638298,-5.551115123125783e-17,930
K=4,valley,C0J0,width,1,0.05851063829787235,0.05851063829787234,6.938893903907228e-18,984
K=4,valley,C1pJ0,width,1,0.5936170212765957,0.5936170212765958,-1.1102230246251565e-16,984
K=4,valley,C0J1p,width,1,0.003191489361702127,0.0031914893617021275,-4.336808689942018e-19,984
K=4,valley,C1pJ1p,width,1,0.3446808510638298,0.3446808510638298,0.0,984
K=4,valley,C0J0,shift,2,0.05851063829787235,0.05851063829787234,6.938893903907228e-18,926
K=4,valley,C1pJ0,shift,2,0.5936170212765957,0.5936170212765958,-1.1102230246251565e-16,926
K=4,valley,C0J1p,shift,2,0.003191489361702128,0.0031914893617021275,4.336808689942018e-19,926
K=4,valley,C1pJ1p,shift,2,0.34468085106382973,0.3446808510638298,-5.551115123125783e-17,926
K=4,valley,C0J0,width,2,0.05851063829787234,0.05851063829787234,0.0,1025
K=4,valley,C1pJ0,width,2,0.5936170212765957,0.5936170212765958,-1.1102230246251565e-16,1025
K=4,valley,C0J1p,width,2,0.0031914893617021275,0.0031914893617021275,0.0,1025
K=4,valley,C1pJ1p,width,2,0.3446808510638298,0.3446808510638298,0.0,1025
K=4,valley,C0J0,shift,5,0.05851063829787235,0.05851063829787234,6.938893903907228e-18,917
K=4,valley,C1pJ0,shift,5,0.5936170212765958,0.5936170212765958,0.0,917
K=4,valley,C0J1p,shift,5,0.0031914893617021275,0.0031914893617021275,0.0,917
K=4,valley,C1pJ1p,shift,5,0.3446808510638298,0.3446808510638298,0.0,917
K=4,valley,C0J0,width,5,0.05581874261229315,0.05851063829787234,-0.0026918956855791903,1152
K=4,valley,C1pJ0,width,5,0.598371962085393,0.5936170212765958,0.004754940808797237,1152
K=4,valley,C0J1p,width,5,0.003044658687943262,0.0031914893617021275,-0.00014683067375886568,1152
K=4,valley,C1pJ1p,width,5,0.3427646366143707,0.3446808510638298,-0.0019162144494591082,1152
K=4,peak2,C0J0,shift,-5,0.6819869690174797,0.6815331010452962,0.00045386797218349706,5775
K=4,peak2,C1pJ0,shift,-5,0.04239131879952845,0.041463414634146344,0.0009279041653821041,5775
K=4,peak2,C0J1p,shift,-5,0.24722905612269316,0.24895470383275262,-0.0017256477100594525,5775
K=4,peak2,C1pJ1p,shift,-5,0.02839265606029855,0.02804878048780488,0.00034387557249367096,5775
K=4,peak2,C0J0,width,-5,0.6827321761496293,0.6815331010452962,0.0011990751043331471,4532
K=4,peak2,C1pJ0,width,-5,0.041223259751843426,0.041463414634146344,-0.0002401548823029176,4532
K=4,peak2,C0J1p,width,-5,0.2473140662901676,0.24895470383275262,-0.001640637542585005,4532
K=4,peak2,C1pJ1p,width,-5,0.028730497808359703,0.02804878048780488,0.0006817173205548241,4532
K=4,peak2,C0J0,shift,-2,0.6815927439936466,0.6815331010452962,5.9642948350369096e-05,5768
K=4,peak2,C1pJ0,shift,-2,0.04175167747652434,0.041463414634146344,0.00028826284237799815,5768
K=4,peak2,C0J1p,shift,-2,0.24834639693050137,0.24895470383275262,-0.0006083069022512488,5768
K=4,peak2,C1pJ1p,shift,-2,0.028309181599327694,0.02804878048780488,0.00026040111152281567,5768
K=4,peak2,C0J0,width,-2,0.6819421136623954,0.6815331010452962,0.00040901261709924697,5277
K=4,peak2,C1pJ0,width,-2,0.041355528212106696,0.041463414634146344,-0.00010788642203964777,5277
K=4,peak2,C0J1p,width,-2,0.24838078367305427,0.24895470383275262,-0.0005739201596983434,5277
K=4,peak2,C1pJ1p,width,-2,0.028321574452443602,0.02804878048780488,0.0002727939646387234,5277
K=4,peak2,C0J0,shift,-1,0.6815025152039474,0.6815331010452962,-3.058584134874032e-05,5765
K=4,peak2,C1pJ0,shift,-1,0.04161895660534097,0.041463414634146344,0.00015554197119462682,5765
K=4,peak2,C0J1p,shift,-1,0.24865302769560144,0.24895470383275262,-0.00030167613715118,5765
K=4,peak2,C1pJ1p,shift,-1,0.028225500495110207,0.02804878048780488,0.00017672000730532822,5765
K=4,peak2,C0J0,width,-1,0.6816383333035736,0.6815331010452962,0.00010523225827741012,5506
K=4,peak2,C1pJ0,width,-1,0.04143028632585356,0.041463414634146344,-3.312830829278052e-05,5506
K=4,peak2,C0J1p,width,-1,0.24872049922521158,0.24895470383275262,-0.00023420460754103312,5506
K=4,peak2,C1pJ1p,width,-1,0.02821088114536128,0.02804878048780488,0.00016210065755640005,5506
K=4,peak2,C0J0,shift,0,0.6814179042530197,0.6815331010452962,-0.00011519679227645074,5741
K=4,peak2,C1pJ0,shift,0,0.041496086666569544,0.041463414634146344,3.267203242320049e-05,5741
K=4,peak2,C0J1p,shift,0,0.24897420807063128,0.24895470383275262,1.9504237878664732e-05,5741
K=4,peak2,C1pJ1p,shift,0,0.028111801009779457,0.02804878048780488,6.302052197457858e-05,5741
K=4,peak2,C0J0,width,0,0.6814179042530197,0.6815331010452962,-0.00011519679227645074,5741
K=4,peak2,C1pJ0,width,0,0.041496086666569544,0.041463414634146344,3.267203242320049e-05,5741
K=4,peak2,C0J1p,width,0,0.24897420807063128,0.24895470383275262,1.9504237878664732e-05,5741
K=4,peak2,C1pJ1p,width,0,0.028111801009779457,0.02804878048780488,6.302052197457858e-05,5741
K=4,peak2,C0J0,shift,1,0.6812942378776057,0.6815331010452962,-0.0002388631676905062,5750
K=4,peak2,C1pJ0,shift,1,0.0414005429468247,0.041463414634146344,-6.287168732164311e-05,5750
K=4,peak2,C0J1p,shift,1,0.24932928681836636,0.24895470383275262,0.0003745829856137417,5750
K=4,peak2,C1pJ1p,shift,1,0.027975932357203276,0.02804878048780488,-7.28481306016028e-05,5750
K=4,peak2,C0J0,width,1,0.6811787659806147,0.6815331010452962,-0.0003543350646815213,6009
K=4,peak2,C1pJ0,width,1,0.04158283412612464,0.041463414634146344,0.00011941949197829399,6009
K=4,peak2,C0J1p,width,1,0.24923831505021363,0.24895470383275262,0.0002836112174610106,6009
K=4,peak2,C1pJ1p,width,1,0.028000084843047092,0.02804878048780488,-4.869564475778673e-05,6009
K=4,peak2,C0J0,shift,2,0.6811847969601451,0.6815331010452962,-0.00034830408515107436,5749
K=4,peak2,C1pJ0,shift,2,0.04127527844002205,0.041463414634146344,-0.0001881361941242915,5749
K=4,peak2,C0J1p,shift,2,0.24964949574057102,0.24895470383275262,0.0006947919078184039,5749
K=4,peak2,C1pJ1p,shift,2,0.02789042885926178,0.02804878048780488,-0.00015835162854309706,5749
K=4,peak2,C0J0,width,2,0.680921444115828,0.6815331010452962,-0.0006116569294681851,6240
K=4,peak2,C1pJ0,width,2,0.04164777709310772,0.041463414634146344,0.00018436245896137626,6240
K=4,peak2,C0J1p,width,2,0.249517880298873,0.24895470383275262,0.0005631764661203909,6240
K=4,peak2,C1pJ1p,width,2,0.027912898492191224,0.02804878048780488,-0.0001358819956136549,6240
