N,K,beta,window,metric,value
50,4,0.01,valley,P(C>=1|window),
50,4,0.01,valley,P(J>=1|window),
60,4,0.01,valley,P(C>=1|window),
60,4,0.01,valley,P(J>=1|window),
70,4,0.01,valley,P(C>=1|window),
70,4,0.01,valley,P(J>=1|window),
80,4,0.01,valley,P(C>=1|window),0.947939262472885
80,4,0.01,valley,P(J>=1|window),0.318872017353579
90,4,0.01,valley,P(C>=1|window),0.9498567335243553
90,4,0.01,valley,P(J>=1|window),0.3567335243553008
100,4,0.01,valley,P(C>=1|window),0.9217081850533808
100,4,0.01,valley,P(J>=1|window),0.3819691577698695
110,4,0.01,valley,P(C>=1|window),0.9363992172211351
110,4,0.01,valley,P(J>=1|window),0.3669275929549901
120,4,0.01,valley,P(C>=1|window),0.9245960502692997
120,4,0.01,valley,P(J>=1|window),0.35996409335727103
130,4,0.01,valley,P(C>=1|window),0.9351639969488938
130,4,0.01,valley,P(J>=1|window),0.3668954996186117
140,4,0.01,valley,P(C>=1|window),0.9141566265060241
140,4,0.01,valley,P(J>=1|window),0.3659638554216867
150,4,0.01,valley,P(C>=1|window),0.9067035245335175
150,4,0.01,valley,P(J>=1|window),0.3510711817553558
160,4,0.01,valley,P(C>=1|window),0.9346701164294955
160,4,0.01,valley,P(J>=1|window),0.3751617076326002
170,4,0.01,valley,P(C>=1|window),0.9234537660747091
170,4,0.01,valley,P(J>=1|window),0.38824249846907527
180,4,0.01,valley,P(C>=1|window),0.9168577981651376
180,4,0.01,valley,P(J>=1|window),0.3807339449541284
190,4,0.01,valley,P(C>=1|window),0.9127210496292071
190,4,0.01,valley,P(J>=1|window),0.3679406731317741
200,4,0.01,valley,P(C>=1|window),0.9122438255386232
200,4,0.01,valley,P(J>=1|window),0.3699421965317918
210,4,0.01,valley,P(C>=1|window),0.904690618762475
210,4,0.01,valley,P(J>=1|window),0.3483033932135728
220,4,0.01,valley,P(C>=1|window),0.9073514602215509
220,4,0.01,valley,P(J>=1|window),0.37411883182275923
230,4,0.01,valley,P(C>=1|window),0.904616945712836
230,4,0.01,valley,P(J>=1|window),0.36935565702688977
240,4,0.01,valley,P(C>=1|window),0.9170013386880858
240,4,0.01,valley,P(J>=1|window),0.3699241410084783
250,4,0.01,valley,P(C>=1|window),0.9047829937998229
250,4,0.01,valley,P(J>=1|window),0.37245349867139055
260,4,0.01,valley,P(C>=1|window),0.897404703974047
260,4,0.01,valley,P(J>=1|window),0.3527980535279805
270,4,0.01,valley,P(C>=1|window),0.9090909090909091
270,4,0.01,valley,P(J>=1|window),0.3432026688907422
280,4,0.01,valley,P(C>=1|window),0.9058402860548271
280,4,0.01,valley,P(J>=1|window),0.3671036948748509
290,4,0.01,valley,P(C>=1|window),0.8990862137465236
290,4,0.01,valley,P(J>=1|window),0.3639253079062375
300,4,0.01,valley,P(C>=1|window),0.8996153846153845
300,4,0.01,valley,P(J>=1|window),0.3538461538461537
