t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
212,3,nan,nan,nan,nan,nan,nan
213,2,nan,nan,nan,nan,nan,nan
214,5,nan,nan,nan,nan,nan,nan
215,3,nan,nan,nan,nan,nan,nan
216,1,nan,nan,nan,nan,nan,nan
217,2,nan,nan,nan,nan,nan,nan
218,1,nan,nan,nan,nan,nan,nan
219,4,nan,nan,nan,nan,nan,nan
220,4,nan,nan,nan,nan,nan,nan
221,3,nan,nan,nan,nan,nan,nan
222,4,nan,nan,nan,nan,nan,nan
223,3,nan,nan,nan,nan,nan,nan
224,2,nan,nan,nan,nan,nan,nan
225,4,nan,nan,nan,nan,nan,nan
226,1,nan,nan,nan,nan,nan,nan
227,3,nan,nan,nan,nan,nan,nan
228,4,nan,nan,nan,nan,nan,nan
229,2,nan,nan,nan,nan,nan,nan
230,4,nan,nan,nan,nan,nan,nan
231,5,nan,nan,nan,nan,nan,nan
232,3,nan,nan,nan,nan,nan,nan
233,2,nan,nan,nan,nan,nan,nan
234,6,nan,nan,nan,nan,nan,nan
235,5,nan,nan,nan,nan,nan,nan
236,4,nan,nan,nan,nan,nan,nan
237,0,nan,nan,nan,nan,nan,nan
238,4,nan,nan,nan,nan,nan,nan
239,1,nan,nan,nan,nan,nan,nan
240,5,nan,nan,nan,nan,nan,nan
241,4,nan,nan,nan,nan,nan,nan
242,4,nan,nan,nan,nan,nan,nan
243,4,nan,nan,nan,nan,nan,nan
244,7,nan,nan,nan,nan,nan,nan
245,5,nan,nan,nan,nan,nan,nan
246,5,nan,nan,nan,nan,nan,nan
247,2,nan,nan,nan,nan,nan,nan
248,1,nan,nan,nan,nan,nan,nan
249,3,nan,nan,nan,nan,nan,nan
250,4,nan,nan,nan,nan,nan,nan
251,0,nan,nan,nan,nan,nan,nan
252,2,nan,nan,nan,nan,nan,nan
253,4,nan,nan,nan,nan,nan,nan
254,2,nan,nan,nan,nan,nan,nan
255,3,nan,nan,nan,nan,nan,nan
256,5,nan,nan,nan,nan,nan,nan
257,5,nan,nan,nan,nan,nan,nan
258,4,nan,nan,nan,nan,nan,nan
259,3,nan,nan,nan,nan,nan,nan
260,0,nan,nan,nan,nan,nan,nan
261,3,nan,nan,nan,nan,nan,nan
262,6,nan,nan,nan,nan,nan,nan
263,2,nan,nan,nan,nan,nan,nan
264,1,nan,nan,nan,nan,nan,nan
265,2,nan,nan,nan,nan,nan,nan
266,3,nan,nan,nan,nan,nan,nan
267,4,nan,nan,nan,nan,nan,nan
268,6,nan,nan,nan,nan,nan,nan
269,2,nan,nan,nan,nan,nan,nan
270,2,nan,nan,nan,nan,nan,nan
271,3,nan,nan,nan,nan,nan,nan
272,3,nan,nan,nan,nan,nan,nan
273,4,nan,nan,nan,nan,nan,nan
274,1,nan,nan,nan,nan,nan,nan
275,1,nan,nan,nan,nan,nan,nan
276,3,nan,nan,nan,nan,nan,nan
277,3,nan,nan,nan,nan,nan,nan
278,5,nan,nan,nan,nan,nan,nan
279,4,nan,nan,nan,nan,nan,nan
280,3,nan,nan,nan,nan,nan,nan
281,6,nan,nan,nan,nan,nan,nan
282,4,nan,nan,nan,nan,nan,nan
283,2,nan,nan,nan,nan,nan,nan
284,3,nan,nan,nan,nan,nan,nan
285,1,nan,nan,nan,nan,nan,nan
286,3,nan,nan,nan,nan,nan,nan
287,2,nan,nan,nan,nan,nan,nan
288,1,nan,nan,nan,nan,nan,nan
289,3,nan,nan,nan,nan,nan,nan
290,3,nan,nan,nan,nan,nan,nan
291,6,nan,nan,nan,nan,nan,nan
292,4,nan,nan,nan,nan,nan,nan
293,1,nan,nan,nan,nan,nan,nan
294,0,nan,nan,nan,nan,nan,nan
295,3,nan,nan,nan,nan,nan,nan
296,4,nan,nan,nan,nan,nan,nan
297,3,nan,nan,nan,nan,nan,nan
298,6,nan,nan,nan,nan,nan,nan
299,2,nan,nan,nan,nan,nan,nan
300,2,nan,nan,nan,nan,nan,nan
301,6,nan,nan,nan,nan,nan,nan
302,5,nan,nan,nan,nan,nan,nan
303,7,nan,nan,nan,nan,nan,nan
304,0,nan,nan,nan,nan,nan,nan
305,1,nan,nan,nan,nan,nan,nan
306,3,nan,nan,nan,nan,nan,nan
307,2,nan,nan,nan,nan,nan,nan
308,2,nan,nan,nan,nan,nan,nan
309,3,nan,nan,nan,nan,nan,nan
310,7,nan,nan,nan,nan,nan,nan
311,3,nan,nan,nan,nan,nan,nan
312,5,nan,nan,nan,nan,nan,nan
313,0,nan,nan,nan,nan,nan,nan
314,2,nan,nan,nan,nan,nan,nan
315,2,nan,nan,nan,nan,nan,nan
316,6,nan,nan,nan,nan,nan,nan
317,2,nan,nan,nan,nan,nan,nan
318,1,nan,nan,nan,nan,nan,nan
319,3,nan,nan,nan,nan,nan,nan
320,3,nan,nan,nan,nan,nan,nan
321,4,nan,nan,nan,nan,nan,nan
322,3,nan,nan,nan,nan,nan,nan
323,3,nan,nan,nan,nan,nan,nan
324,6,nan,nan,nan,nan,nan,nan
325,4,nan,nan,nan,nan,nan,nan
326,5,nan,nan,nan,nan,nan,nan
327,2,nan,nan,nan,nan,nan,nan
328,4,nan,nan,nan,nan,nan,nan
329,1,nan,nan,nan,nan,nan,nan
330,1,nan,nan,nan,nan,nan,nan
331,2,nan,nan,nan,nan,nan,nan
332,2,nan,nan,nan,nan,nan,nan
333,7,nan,nan,nan,nan,nan,nan
334,4,nan,nan,nan,nan,nan,nan
335,2,nan,nan,nan,nan,nan,nan
336,6,nan,nan,nan,nan,nan,nan
337,1,nan,nan,nan,nan,nan,nan
338,2,nan,nan,nan,nan,nan,nan
339,4,nan,nan,nan,nan,nan,nan
340,3,nan,nan,nan,nan,nan,nan
341,2,nan,nan,nan,nan,nan,nan
