t,f_total,f_near,f_far,survival
55,0.0068324112768758244,0.0015910449270574551,0.0052413663498183695,0.40417681911623338
56,0.0067324786923115242,0.001545552669087232,0.005186926023224292,0.39744434042392179
57,0.0066335486543195564,0.0015018671568344951,0.0051316814974850617,0.39081079176960221
58,0.0065356150918448085,0.0014598923012233897,0.0050757227906214186,0.38427517667775751
59,0.0064386740096494558,0.0014195382194895471,0.0050191357901599089,0.37783650266810809
60,0.0063427230892872709,0.0013807207892982262,0.004962002299989045,0.37149377957882068
61,0.0062477613436202617,0.0013433612357920603,0.0049044001078282018,0.36524601823520048
62,0.0061537888186099093,0.0013073857493079459,0.0048464030693019635,0.35909222941659047
63,0.006060806336772858,0.0012727251316153351,0.0047880812051575225,0.35303142307981772
64,0.0059688152772939453,0.0012393144686431801,0.0047295008086507655,0.34706260780252374
65,0.0058778173883386395,0.001207092827778217,0.0046707245605604221,0.34118479041418509
66,0.0057878146276044819,0.001176002977931808,0.0046118116496726737,0.33539697578658068
67,0.0056988090275995329,0.0011459911306849375,0.0045528178969145953,0.32969816675898106
68,0.0056108025825385953,0.0011170067009302937,0.0044937958816083021,0.32408736417644252
69,0.0055237971541084582,0.0010890020855359346,0.0044347950685725236,0.31856356702233413
70,0.0054377943936752358,0.001061932458656325,0.0043758619350189112,0.31312577262865887
71,0.0053527956787933796,0.0010357555824131333,0.0043170400963802461,0.3077729769498655
72,0.0052688020621307055,0.0010104316317599232,0.0042583704303707825,0.30250417488773473
73,0.0051858142311497334,0.00098592303243158095,0.004199891198718152,0.29731836065658501
74,0.0051038324770858404,0.00096219431096099847,0.0041416381661248418,0.29221452817949911
75,0.0050228566719399481,0.00093921195582219593,0.0040836447161177519,0.28719167150755925
76,0.0049428862523600448,0.00091694428883083495,0.0040259419635292103,0.2822487852551992
77,0.0048639202094241801,0.00089536134600006108,0.0039685588634241192,0.27738486504577503
78,0.0047859570834596354,0.00087443476711202516,0.0039115223163476102,0.2725989079623154
79,0.0047089949631406221,0.00085413769332342855,0.0038548572698171935,0.26788991299917475
80,0.0046330314882017491,0.00083444467217726529,0.0037985868160244842,0.26325688151097304
81,0.0045580638551880777,0.0008153315694427837,0.0037427322857452937,0.25869881765578495
82,0.0044840888257361988,0.0007967754872518065,0.0036873133384843922,0.2542147288300487
83,0.0044111027369455602,0.0007787546880421572,0.0036323480489034027,0.24980362609310319
84,0.0043391015134562616,0.00076124852385824472,0.0035778529895980167,0.24546452457964693
85,0.0042680806808996965,0.00074423737059510378,0.0035238433103045924,0.24119644389874723
86,0.0041980353804325033,0.0007277025668055645,0.0034703328136269388,0.23699840851831472
87,0.0041289603841030351,0.00071162635672093744,0.0034173340273820976,0.23286944813421162
88,0.0040608501108336127,0.00069599183716384993,0.0033648582736697623,0.22880859802337808
89,0.00399369864283175,0.00068078290805783574,0.0033129157347739141,0.2248148993805463
90,0.0039274997422697596,0.00066598422626211776,0.003261515516007642,0.22088739963827653
91,0.0038622468680952222,0.00065158116248193701,0.0032106657056132854,0.21702515277018131
92,0.0037979331928549892,0.00063755976102486823,0.0031603734318301209,0.21322721957732638
93,0.0037345516194331029,0.00062390670219201268,0.0031106449172410905,0.2094926679578932
94,0.0036720947976185371,0.00061060926710987591,0.0030614855305086614,0.20582057316027469
95,0.0036105551404322076,0.00059765530482425297,0.0030128998356079547,0.20221001801984242
96,0.0035499248401546181,0.00058503320149168152,0.0029648916386629367,0.19866009317968783
97,0.0034901958840058128,0.00057273185151706274,0.0029174640324887498,0.19516989729568207
98,0.0034313600694383913,0.00056074063049802456,0.0028706194389403667,0.19173853722624365
99,0.0033734090190121963,0.00054904936984756546,0.0028243596491646307,0.18836512820723145
100,0.0033163341948261272,0.00053764833297658375,0.0027786858618495435,0.18504879401240532
101,0.0032601269124884875,0.00052652819292711847,0.0027335987195613691,0.18178866709991681
102,0.0032047783546123986,0.00051568001135559574,0.0026890983432568028,0.1785838887453044
103,0.0031502795838272831,0.00050509521877313047,0.0026451843650541528,0.17543360916147718
104,0.003096621555301222,0.00049476559595706124,0.0026018559593441607,0.17233698760617597
105,0.0030437951287722821,0.00048468325645442927,0.0025591118723178527,0.16929319247740368
106,0.0029917910800897271,0.00047484063010411209,0.0025169504499856152,0.16630140139731395
107,0.002940600112268404,0.00046523044750983276,0.0024753696647585714,0.16336080128504554
108,0.0028902128660616014,0.00045584572540132535,0.0024343671406602762,0.16047058841898396
109,0.0028406199300594057,0.00044667975282558541,0.0023939401772338203,0.15762996848892452
110,0.0027918118503209616,0.00043772607811440811,0.0023540857722065536,0.15483815663860354
111,0.0027437791395502238,0.00042897849657834778,0.0023148006429718759,0.15209437749905338
112,0.0026965122858257284,0.00042043103888084378,0.0022760812469448848,0.14939786521322762
113,0.0026500017608956815,0.00041207796004958714,0.0022379238008460945,0.14674786345233187
114,0.0026042380280502284,0.00040391372908526329,0.0022003242989649652,0.14414362542428172
115,0.0025592115495832496,0.00039593301913062862,0.0021632785304526209,0.14158441387469844
116,0.002514912793856326,0.00038813069816547735,0.0021267820956908487,0.1390695010808421
117,0.0024713322419777474,0.00038050182019545381,0.0020908304217822937,0.13659816883886439
118,0.0024284603941095544,0.00037304161690487734,0.0020554187772046772,0.13416970844475481
119,0.0023862877754156409,0.00036574548974578608,0.0020205422856698547,0.13178342066933918
120,0.0023448049416639276,0.00035860900243729588,0.0019861959392266319,0.12943861572767526
