scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,observable,exit_prob,mean_event_time,mean_hit_time,event_time_ratio,early_mass,late_mass,no_exit_mass
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak1,521,573,tau_mem,0.004208125653706993,201.06880711668998,547.0039511376547,0.36758200137038977,0.0027003434929583118,0.0015077821607486813,0.995791874346293
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,valley,1423,1475,tau_out,0.9851972682712488,225.9360718645553,1448.9996647696453,0.1559255515083045,0.9354505915169699,0.04974667675427891,0.01480273172875124
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,valley,1423,1475,tau_mem,0.16767772150800572,318.2966523793061,1448.9996647696453,0.21966647758328317,0.16028625879985456,0.007391462708151164,0.8323222784919942
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak2,2096,2148,tau_out,0.9998888678376099,385.22922168839017,2122.0001827661436,0.18154061663944945,0.9946630902049256,0.005225777632684281,0.00011113216239011514
delta,delta_core_p0p80_open_p0p40,2,-0.08,0.8,0.4,0.002,0.002,peak2,2096,2148,tau_mem,0.1303668272206353,589.1166295934934,2122.0001827661436,0.2776232699591701,0.11106533699197191,0.019301490228663398,0.8696331727793647
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,peak1,519,571,tau_out,0.5886145601360105,388.90123023734026,544.9998158736673,0.7135804800482516,0.13292284399124804,0.4556917161447625,0.41138543986398945
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,peak1,519,571,tau_mem,0.004568395759393357,182.65797556783605,544.9998158736673,0.33515236197836945,0.0031365017310441405,0.0014318940283492162,0.9954316042406066
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,valley,1406,1458,tau_out,0.9819999147124256,239.59228899603082,1431.9996236188388,0.16731309495078756,0.9299100897288692,0.05208982498355641,0.018000085287574352
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,valley,1406,1458,tau_mem,0.19377769226139996,319.4940423088934,1431.9996236188388,0.22311042338230005,0.18593068027084486,0.007847011990555097,0.8062223077386
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,peak2,2050,2102,tau_out,0.9998416007283588,396.89669088665136,2076.00022152541,0.19118335671227354,0.9938379819358907,0.006003618792468135,0.00015839927164118528
delta,delta_core_p0p80_open_p0p55,2,-0.08,0.8,0.55,0.002,0.002,peak2,2050,2102,tau_mem,0.13594861355680907,586.3660476158988,2076.00022152541,0.28244989645764434,0.11587282290337764,0.02007579065343143,0.8640513864431909
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,peak1,514,566,tau_out,0.5705516249062297,377.28638411425413,540.0002784194087,0.6986781288679679,0.1424142229432818,0.4281374019629479,0.4294483750937703
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,peak1,514,566,tau_mem,0.005070819350329371,161.20782107502328,540.0002784194087,0.29853284806978564,0.003741294397395717,0.0013295249529336542,0.9949291806496706
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,valley,1378,1430,tau_out,0.9747210610785448,263.17939847667645,1403.9994004394969,0.18744979406279863,0.9151723097381487,0.05954875134039617,0.025278938921455163
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,valley,1378,1430,tau_mem,0.23317973749956927,318.712126778048,1403.9994004394969,0.22700303623938933,0.2249388118277258,0.00824092567184348,0.7668202625004308
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,peak2,1991,2043,tau_out,0.9997403032399864,411.4041178056362,2017.0000399942946,0.2039683240694432,0.992465316175613,0.0072749870643734615,0.00025969676001358355
delta,delta_core_p0p80_open_p0p80,2,-0.08,0.8,0.8,0.002,0.002,peak2,1991,2043,tau_mem,0.14209417446066094,579.6470604401835,2017.0000399942946,0.2873807877771897,0.12134814208744354,0.0207460323732174,0.857905825539339
delta,delta_core_p0p95_open_p0p00,2,-0.08,0.95,0.0,0.002,0.002,peak1,411,463,tau_out,0.6088468774117091,355.7801767549629,437.0023021447216,0.8141379919713547,0.04515476903832152,0.5636921083733876,0.39115312258829094
delta,delta_core_p0p95_open_p0p00,2,-0.08,0.95,0.0,0.002,0.002,peak1,411,463,tau_mem,0.002322178569914263,235.80603418426549,437.0023021447216,0.5395990662451335,0.000920679874535363,0.0014014986953789002,0.9976778214300858
delta,delta_core_p0p95_open_p0p00,2,-0.08,0.95,0.0,0.002,0.002,valley,1163,1215,tau_out,0.9958269109316082,163.92405949674546,1188.999315220005,0.13786724466398367,0.9425699080365417,0.05325700289506652,0.004173089068391755
