scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,region,occupancy_share
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,late,corridor,0.9326475003664245
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,late,outer_reservoir,0.0014381334141764957
delta,delta_core_p0p60_open_p0p20,2,-0.08,0.6,0.2,0.002,0.002,late,target_funnel,0.06304390563016948
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,early,left_core,5.350608026631339e-10
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,early,left_shoulders,0.0
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,early,corridor,0.9389917169947315
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,early,outer_reservoir,2.448199881357954e-08
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,early,target_funnel,0.06100825798820898
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,middle,left_core,0.0004861925661688036
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,middle,left_shoulders,0.00017351981380484693
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,middle,left_outer,3.066125229457496e-05
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,middle,corridor,0.9359834023693673
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,middle,outer_reservoir,0.00026912671940717734
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,middle,target_funnel,0.06305709727895736
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,late,left_core,0.0021725066520641907
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,late,left_shoulders,0.0009267224422567653
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,late,left_outer,0.0005155228566282849
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,late,corridor,0.9348680608754023
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,late,outer_reservoir,0.0013133235049498212
delta,delta_core_p0p60_open_p0p40,2,-0.08,0.6,0.4,0.002,0.002,late,target_funnel,0.060203863668698426
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,early,left_core,6.029364193710325e-10
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,early,left_shoulders,0.0
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,early,left_outer,0.0
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,early,corridor,0.9394900103452712
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,early,outer_reservoir,2.3837978419713174e-08
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,early,target_funnel,0.06050996521381401
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,middle,left_core,0.0005392538646599495
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,middle,left_shoulders,0.00019376247535636792
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,middle,left_outer,3.49576339494148e-05
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,middle,corridor,0.9377013140420567
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,middle,outer_reservoir,0.00025129421239198616
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,middle,target_funnel,0.06127941777158597
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,late,left_core,0.0024342653719947307
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,late,left_shoulders,0.0010481036588744067
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,late,left_outer,0.0005963220950668487
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,late,corridor,0.9365051277041812
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,late,outer_reservoir,0.0012424793847327924
delta,delta_core_p0p60_open_p0p55,2,-0.08,0.6,0.55,0.002,0.002,late,target_funnel,0.05817370178515006
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,early,left_core,7.15433441306902e-10
delta,delta_core_p0p60_open_p0p80,2,-0.08,0.6,0.8,0.002,0.002,early,left_shoulders,0.0
