scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,region,occupancy_share
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,left_core,0.0004658390940467613
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,left_shoulders,0.0
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,left_outer,0.00017108313383615447
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,corridor,0.9163224544781436
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,outer_reservoir,0.005589687985700082
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,middle,target_funnel,0.07758026052758465
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,left_core,0.002169176892734444
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,left_shoulders,0.0
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,left_outer,0.0023354550815907695
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,corridor,0.7252999901797355
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,outer_reservoir,0.06592094873361706
width_bx,width_h0_bx_p0p04,0,0.04,1.0,0.55,0.002,0.002,late,target_funnel,0.2053124211504642
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,left_core,1.560175972175407e-09
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,left_shoulders,0.0
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,left_outer,1.3056556796263128e-12
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,corridor,0.9454256093607172
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,outer_reservoir,3.9711304443300945e-06
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,early,target_funnel,0.05457041794866267
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,left_core,0.0004148233680098789
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,left_shoulders,0.0
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,left_outer,0.00015906725163537905
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,corridor,0.9018562159002546
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,outer_reservoir,0.007223710080078881
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,middle,target_funnel,0.0904647657724579
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,left_core,0.00123713399548276
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,left_shoulders,0.0
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,left_outer,0.0013058473699196441
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,corridor,0.5974590204702379
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,outer_reservoir,0.09456478952905781
width_bx,width_h0_bx_p0p08,0,0.08,1.0,0.55,0.002,0.002,late,target_funnel,0.3060157656357522
width_bx,width_h1_bx_m0p16,1,-0.16,1.0,0.55,0.002,0.002,early,left_core,2.276111440991546e-09
