scan_name,case_id,corridor_halfwidth,bx,delta_core,delta_open,kappa_c2o,kappa_o2c,window,lo,hi,none,left_only,mem_only,both
width_bx,width_h4_bx_p0p00,4,0.0,1.0,0.55,0.002,0.002,late,260,360,0.9820567146155247,0.01606222695152221,0.0017898658931972693,9.119253975598302e-05
width_bx,width_h4_bx_p0p04,4,0.04,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
width_bx,width_h4_bx_p0p04,4,0.04,1.0,0.55,0.002,0.002,middle,120,200,0.9988552987918533,0.0008608980809588988,0.00028305421649853414,7.489106892363331e-07
width_bx,width_h4_bx_p0p04,4,0.04,1.0,0.55,0.002,0.002,late,260,360,0.9843163809364098,0.011550690345181937,0.004051754159772187,8.117455863599501e-05
width_bx,width_h4_bx_p0p08,4,0.08,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
width_bx,width_h4_bx_p0p08,4,0.08,1.0,0.55,0.002,0.002,middle,120,200,0.9988363698844196,0.0007179540315768102,0.00044497865861898374,6.974253846702614e-07
width_bx,width_h4_bx_p0p08,4,0.08,1.0,0.55,0.002,0.002,late,260,360,0.9855254360393455,0.005747328958931485,0.008677784336917143,4.945066480592723e-05
width_bx,width_h5_bx_m0p16,5,-0.16,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
width_bx,width_h5_bx_m0p16,5,-0.16,1.0,0.55,0.002,0.002,middle,120,200,0.9995173702992797,0.0004428798869410781,3.95084813108985e-05,2.4133246830975403e-07
width_bx,width_h5_bx_m0p16,5,-0.16,1.0,0.55,0.002,0.002,late,260,360,0.990075007388483,0.009708398043683118,0.00019529257442834228,2.1301993405592987e-05
width_bx,width_h5_bx_m0p12,5,-0.12,1.0,0.55,0.002,0.002,peak1,581,633,0.8728208777511369,0.12368653496393286,0.0018587508112894717,0.0016338364736406736
width_bx,width_h5_bx_m0p12,5,-0.12,1.0,0.55,0.002,0.002,valley,1382,1434,0.33158134575545867,0.5756558016769783,0.015822984030802942,0.07693986853676024
width_bx,width_h5_bx_m0p12,5,-0.12,1.0,0.55,0.002,0.002,peak2,1850,1902,0.1686435963885486,0.7588716640108831,0.0071865866115025665,0.06529815298906574
width_bx,width_h5_bx_m0p08,5,-0.08,1.0,0.55,0.002,0.002,peak1,414,466,0.9500727632934328,0.048205721111479104,0.0012978106845853996,0.0004237049105028213
width_bx,width_h5_bx_m0p08,5,-0.08,1.0,0.55,0.002,0.002,valley,1107,1159,0.500247009293102,0.3510843481968532,0.04195525993178728,0.10671338257825748
width_bx,width_h5_bx_m0p08,5,-0.08,1.0,0.55,0.002,0.002,peak2,1635,1687,0.267815301277256,0.6839570125326555,0.008924459300237431,0.039303226889851016
width_bx,width_h5_bx_m0p04,5,-0.04,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
width_bx,width_h5_bx_m0p04,5,-0.04,1.0,0.55,0.002,0.002,middle,120,200,0.9993832214711638,0.0005188674023314249,9.754831173472015e-05,3.6281477010404275e-07
width_bx,width_h5_bx_m0p04,5,-0.04,1.0,0.55,0.002,0.002,late,260,360,0.9864694126012501,0.012694559486334292,0.0007784164701262356,5.761144228937427e-05
width_bx,width_h5_bx_p0p00,5,0.0,1.0,0.55,0.002,0.002,early,10,60,1.0,0.0,0.0,0.0
