Wy,bx,corridor_halfwidth,corridor_band_width,start_x,target_x,wall_margin,delta_core,delta_open,phase,sep_peaks,valley_over_max,t_peak1,t_peak2,absorbed_mass,survival_tail
16,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9682902422036096,0.03170975779635509
16,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999003214,9.966041825201667e-11
18,-0.12,2,5,7,58,5,0.95,0.6,1,0.5991136180499597,0.26215548779288284,584,2071,0.7251910142377224,0.2748089857621585
18,-0.08,2,5,7,58,5,0.95,0.6,2,1.719626168224299,0.06623820295935015,421,1801,0.8843459340445377,0.11565406595538842
18,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9292659777312965,0.0707340222686487
18,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9583964099540656,0.04160359004589679
18,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.999999997247631,2.7523513414298496e-09
20,-0.12,2,5,7,58,5,0.95,0.6,1,0.586527293844367,0.2498525809195702,581,2096,0.7068956395827842,0.29310436041709104
20,-0.08,2,5,7,58,5,0.95,0.6,2,1.5336617405582922,0.06405723010757847,420,1821,0.8708601475110543,0.12913985248886728
20,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.91694690200352,0.08305309799642008
20,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9478496924351951,0.05215030756475879
20,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999999469030413,5.3096939840139455e-08
22,-0.12,2,5,7,58,5,0.95,0.6,1,0.5791055993987223,0.23753246469629163,579,2120,0.6898691396679438,0.3101308603319302
22,-0.08,2,5,7,58,5,0.95,0.6,2,1.315423807318203,0.061361947135876914,420,1840,0.8581325729000119,0.14186742709990785
22,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9054393011380573,0.09456069886188131
22,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9369554116468205,0.06304458835313487
22,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999994719092847,5.28090694420781e-07
24,-0.12,2,5,7,58,5,0.95,0.6,1,0.5890539778070341,0.2255929776214854,578,2144,0.673777140278413,0.32622285972145654
24,-0.08,2,5,7,58,5,0.95,0.6,2,1.225916453537937,0.05840594435750518,419,1857,0.8458169419033423,0.15418305809656932
24,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.894578586460217,0.105421413539718
24,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9259803896641768,0.0740196103357734
24,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999967594344046,3.240565574554859e-06
26,-0.12,2,5,7,58,5,0.95,0.6,1,0.598531902879729,0.21428170179561848,578,2168,0.6584793344869526,0.3415206655129204
26,-0.08,2,5,7,58,5,0.95,0.6,2,1.1659983961507618,0.055378416227414635,419,1873,0.8337333186677166,0.16626668133220004
26,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.8842218235411041,0.11577817645883068
26,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9151406180172956,0.08485938198265326
26,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999861013579685,1.3898642009676986e-05
28,-0.12,2,5,7,58,5,0.95,0.6,1,0.607909604519774,0.20374899066002136,577,2191,0.6439252686883559,0.3560747313115136
28,-0.08,2,5,7,58,5,0.95,0.6,1,1.1153262518968134,0.0524178225988731,419,1889,0.8218056884897857,0.17819431151012471
28,-0.04,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.8742595423933148,0.12574045760661653
28,0.0,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9045997539218955,0.095400246078053
28,0.08,2,5,7,58,5,0.95,0.6,0,0.0,,,,0.9999545279093858,4.547209059117443e-05
8,-0.12,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9938168470141588,0.006183152985790366
8,-0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9996401080981748,0.00035989190180101796
8,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9997748978261416,0.0002251021738401471
8,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9989515537436521,0.0010484462563299438
8,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999000825,9.990490792087689e-11
10,-0.12,3,7,7,58,5,0.95,0.6,1,0.7744451109778044,0.2548183724035514,646,1937,0.9344763005899694,0.06552369940995809
10,-0.08,3,7,7,58,5,0.95,0.6,2,2.1031814273430784,0.04765915462514432,455,1678,0.9894700098883262,0.010529990111634642
10,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9960505754848086,0.003949424515167919
10,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9958890134176062,0.004110986582372795
10,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.999999999900816,9.917028710319827e-11
12,-0.12,3,7,7,58,5,0.95,0.6,1,0.7147784558238259,0.2690588637769452,631,1978,0.880865825334212,0.11913417466569667
12,-0.08,3,7,7,58,5,0.95,0.6,2,2.103247293921732,0.0533273397836543,447,1710,0.9697919684981946,0.030208031501758745
12,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9866918403224536,0.013308159677510756
12,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9910586748595104,0.008941325140464359
12,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999004331,9.955195793003224e-11
14,-0.12,3,7,7,58,5,0.95,0.6,1,0.6903755284755037,0.2701792121668199,621,2009,0.846603937962386,0.15339606203751477
14,-0.08,3,7,7,58,5,0.95,0.6,2,2.086886564762671,0.05586273762772766,441,1738,0.9509751142318332,0.04902488576811175
14,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9743360943093533,0.025663905690601962
14,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9845056531533118,0.015494346846658884
14,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999004545,9.952867926574639e-11
16,-0.12,3,7,7,58,5,0.95,0.6,1,0.6782650142993327,0.26610589233992016,613,2036,0.823232859137889,0.17676714086200396
16,-0.08,3,7,7,58,5,0.95,0.6,2,2.0541795665634677,0.05696038799417294,437,1764,0.9354937156221086,0.06450628437783096
16,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9615382802981943,0.03846171970175628
16,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9764160467485002,0.02358395325146425
16,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999999999001034,9.987839924939949e-11
18,-0.12,3,7,7,58,5,0.95,0.6,1,0.6695832373935068,0.25914060226685726,608,2062,0.8050914427223104,0.19490855727758388
18,-0.08,3,7,7,58,5,0.95,0.6,2,2.004441154700222,0.05701976879552945,434,1788,0.9226511445677728,0.07734885543216191
18,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9494163536414,0.0505836463585504
18,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9670731981121015,0.032926801887860256
18,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999999976468538,2.353128171842177e-09
20,-0.12,3,7,7,58,5,0.95,0.6,1,0.66057091882248,0.25042151444640315,605,2086,0.7893980994564831,0.21060190054340883
20,-0.08,3,7,7,58,5,0.95,0.6,2,1.9422535211267606,0.056229097992583056,432,1811,0.9114342890053062,0.08856571099462614
20,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9382187171901923,0.061781282809753604
20,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9568170237911581,0.04318297620879788
20,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999999495130807,5.0486901064636825e-08
22,-0.12,3,7,7,58,5,0.95,0.6,1,0.6525405405405406,0.24070435010418792,602,2111,0.7748717850422238,0.22512821495766344
22,-0.08,3,7,7,58,5,0.95,0.6,2,1.8641810918774966,0.05476968750378153,431,1831,0.901094167523806,0.09890583247612322
22,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9278503921493534,0.07214960785058913
22,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9459957072719578,0.05400429272799734
22,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9999994671159679,5.328840131819581e-07
24,-0.12,3,7,7,58,5,0.95,0.6,1,0.6430517711171662,0.23054379594402602,601,2135,0.7609472715743897,0.23905272842549935
24,-0.08,3,7,7,58,5,0.95,0.6,2,1.7683686176836861,0.05283205948177202,431,1851,0.8911539561149456,0.10884604388498256
24,-0.04,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9181302245525198,0.08186977544742083
24,0.0,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.9349271136963424,0.06507288630361195
24,0.08,3,7,7,58,5,0.95,0.6,0,0.0,,,,0.999996614990209,3.3850097684226657e-06
