case,display_name,style,X_g,N,P,Q,dominant_family,dominant_family_frac,dominant_lr,no_leak_total,pre_gate_leak_total,post_gate_leak_total,rollback_total,leak_total
tb_asym_balanced,top/bottom balanced asymmetry,tb,37,0.9273885835370324,0.023349310091861367,0.04926210637110631,N,0.9273885835370324,L0R1,0.939234632491154,0.02140145998707692,0.039363907521769124,0.3806918072760446,0.06076536750884604
tb_asym_balanced,top/bottom balanced asymmetry,tb,38,0.9273885835370324,0.024432320970412317,0.048179095492555314,N,0.9273885835370324,L0R1,0.939234632491154,0.02207035259257905,0.03869501491626695,0.38019650169586067,0.060765367508846
tb_asym_balanced,top/bottom balanced asymmetry,tb,39,0.9273885835370324,0.02554647841012936,0.047064938052838325,N,0.9273885835370324,L0R1,0.939234632491154,0.022735290026871267,0.03803007748197475,0.3797021632361593,0.060765367508846015
tb_asym_balanced,top/bottom balanced asymmetry,tb,40,0.9273885835370325,0.026691790119985362,0.045919626342982287,N,0.9273885835370325,L0R1,0.9392346324911539,0.023396245642190054,0.03736912186665597,0.37920865888170835,0.06076536750884602
tb_asym_balanced,top/bottom balanced asymmetry,tb,41,0.9273885835370324,0.027868005420994324,0.044743411041973304,N,0.9273885835370324,L0R1,0.939234632491154,0.024053196115871523,0.0367121713929745,0.37871591342181066,0.06076536750884602
tb_asym_balanced,top/bottom balanced asymmetry,tb,42,0.9273885835370324,0.02907459562261703,0.04353682084035059,N,0.9273885835370324,L0R1,0.9392346324911539,0.024706123480250794,0.03605924402859528,0.37822389081301355,0.06076536750884608
tb_asym_balanced,top/bottom balanced asymmetry,tb,43,0.9273885835370322,0.030310733586027348,0.042300682876940304,N,0.9273885835370322,L0R1,0.9392346324911539,0.02535501808269739,0.035410349426148645,0.3777325817712686,0.060765367508846035
tb_asym_balanced,top/bottom balanced asymmetry,tb,44,0.9273885835370322,0.03157527161465336,0.041036144848314325,N,0.9273885835370322,L0R1,0.9392346324911538,0.025999882966388117,0.03476548454245803,0.3772419955111873,0.06076536750884615
tb_asym_balanced,top/bottom balanced asymmetry,tb,45,0.9273885835370322,0.032866716081685496,0.03974470038128214,N,0.9273885835370322,L0R1,0.939234632491154,0.026640740426714427,0.03412462708213153,0.376752154244834,0.060765367508845945
tb_asym_balanced,top/bottom balanced asymmetry,tb,46,0.9273885835370322,0.034183195997392495,0.038428220465575195,N,0.9273885835370322,L0R1,0.939234632491154,0.027277641923053753,0.033487725585792175,0.37626308951553533,0.060765367508845924
tb_asym_balanced,top/bottom balanced asymmetry,tb,47,0.9273885835370324,0.03552242069693812,0.0370889957660295,N,0.9273885835370324,L0R1,0.9392346324911541,0.027910683224402946,0.03285468428444304,0.3757748397505259,0.06076536750884599
tb_asym_balanced,top/bottom balanced asymmetry,tb,48,0.9273885835370324,0.03688161835230407,0.03572979811066361,N,0.9273885835370324,L0R1,0.939234632491154,0.02854002785292067,0.032225339655925306,0.3752874486217402,0.06076536750884599
tb_asym_balanced,top/bottom balanced asymmetry,tb,49,0.9273885835370322,0.038257440809019605,0.03435397565394804,N,0.9273885835370322,L0R1,0.9392346324911539,0.029165943981959187,0.03159942352688689,0.37480096394097184,0.06076536750884608
tb_asym_balanced,top/bottom balanced asymmetry,tb,50,0.9273885835370322,0.03964580864297209,0.03296560781999558,N,0.9273885835370322,L0R1,0.939234632491154,0.0297888638244823,0.030976503684363672,0.374315436906786,0.060765367508845966
tb_asym_balanced,top/bottom balanced asymmetry,tb,51,0.9273885835370324,0.04104164728806614,0.031569769174901556,N,0.9273885835370324,L0R1,0.9392346324911538,0.03040948218763337,0.030355885321212864,0.37383092158146636,0.06076536750884623
tb_asym_balanced,top/bottom balanced asymmetry,tb,52,0.9273885835370324,0.04243841580853999,0.030173000654427663,N,0.9273885835370324,L0R1,0.9392346324911541,0.03102892708583195,0.02973644042301404,0.37334747451680406,0.06076536750884599
tb_asym_balanced,top/bottom balanced asymmetry,tb,53,0.9273885835370322,0.04382721425585323,0.028784202207114435,N,0.9273885835370322,L0R1,0.939234632491154,0.03164907311562442,0.029116294393221588,0.3728651544747154,0.06076536750884601
tb_asym_balanced,top/bottom balanced asymmetry,tb,54,0.9273885835370324,0.04519495101707298,0.0274164654458947,N,0.9273885835370324,L0R1,0.9392346324911539,0.03227316734987907,0.028492200158967047,0.37238402220684386,0.06076536750884611
tb_asym_balanced,top/bottom balanced asymmetry,tb,55,0.9273885835370324,0.046520132928611964,0.026091283534355674,N,0.9273885835370324,L0R1,0.9392346324911541,0.032907235149759226,0.027858132359086765,0.3719041402695859,0.06076536750884599
tb_asym_balanced,top/bottom balanced asymmetry,tb,56,0.9273885835370324,0.049564897079811224,0.02304651938315646,N,0.9273885835370324,L0R1,0.939234632491154,0.03565249308047528,0.0251128744283707,0.3411884165504498,0.06076536750884599
tb_asym_balanced,top/bottom balanced asymmetry,tb,57,0.9273885835370324,0.0542334946674279,0.018377921795539834,N,0.9273885835370324,L0R1,0.939234632491154,0.04038857862683684,0.02037678888200908,0.28044119567610976,0.06076536750884592
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,9,0.9070342719096949,0.0014829161406444144,0.09148281194966071,N,0.9070342719096949,L0R1,0.9245987679959465,0.0016451595243919793,0.07375607247966143,0.7720900250194823,0.07540123200405341
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,10,0.9070342719096949,0.002477169013033752,0.0904885590772714,N,0.9070342719096949,L0R1,0.9245987679959466,0.002731299762667432,0.0726699322413858,0.6508617031086629,0.07540123200405324
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,11,0.9070342719096949,0.003543905117923184,0.08942182297238188,N,0.9070342719096949,L0R1,0.9245987679959463,0.003886631872695031,0.07151460013135853,0.5698973990269285,0.07540123200405356
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,12,0.9070342719096949,0.004645323241941498,0.08832040484836358,N,0.9070342719096949,L0R1,0.9245987679959471,0.0050738511698479125,0.07032738083420498,0.5149644201592375,0.07540123200405288
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,13,0.9070342719096949,0.005760701323813941,0.08720502676649121,N,0.9070342719096949,L0R1,0.924598767995947,0.006273735775235967,0.06912749622881721,0.4776273142065015,0.07540123200405319
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,14,0.9070342719096949,0.006879465605691788,0.08608626248461329,N,0.9070342719096949,L0R1,0.9245987679959468,0.007476382153914131,0.06792484985013914,0.4522411380110623,0.07540123200405326
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,15,0.9070342719096949,0.00799701857796574,0.0849687095123394,N,0.9070342719096949,L0R1,0.9245987679959468,0.008676739841637585,0.06672449216241581,0.4349456062551867,0.0754012320040534
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,16,0.9070342719096949,0.009112220685422213,0.08385350740488295,N,0.9070342719096949,L0R1,0.9245987679959468,0.009872301525956874,0.06552893047809645,0.42310452144362165,0.07540123200405333
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,17,0.9070342719096949,0.010225889773939024,0.08273983831636612,N,0.9070342719096949,L0R1,0.924598767995947,0.011061883548759609,0.06433934845529347,0.4149276436182556,0.07540123200405308
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,18,0.9070342719096949,0.01133992525614581,0.08162580283415936,N,0.9070342719096949,L0R1,0.9245987679959468,0.012244977070677296,0.06315625493337594,0.40920572221671864,0.07540123200405323
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,19,0.9070342719096948,0.012456807801273855,0.0805089202890313,N,0.9070342719096948,L0R1,0.9245987679959469,0.01342140445089366,0.06197982755315958,0.40512538793494707,0.07540123200405324
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,20,0.9070342719096949,0.013579319224344267,0.0793864088659609,N,0.9070342719096949,L0R1,0.9245987679959466,0.014591139936774477,0.060810092067278866,0.4021412371786775,0.07540123200405334
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,21,0.9070342719096949,0.01471038837600926,0.07825533971429591,N,0.9070342719096949,L0R1,0.9245987679959469,0.015754218454588617,0.05964701354946458,0.39988834703892057,0.0754012320040532
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,22,0.9070342719096949,0.015853007282282082,0.07711272080802306,N,0.9070342719096949,L0R1,0.9245987679959466,0.01691069111087145,0.058490540893181786,0.3981229212487893,0.07540123200405323
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,23,0.907034271909695,0.01701018517535642,0.07595554291494866,N,0.907034271909695,L0R1,0.9245987679959465,0.018060605011546754,0.05734062699250655,0.3966822554491275,0.0754012320040533
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,24,0.9070342719096949,0.01818492194639818,0.0747808061439069,N,0.9070342719096949,L0R1,0.9245987679959468,0.01920399538894082,0.05619723661511252,0.39545784330116734,0.07540123200405334
dir_asym_easy_out_balanced,directional easy-out / hard-return,dir,25,0.9070342719096949,0.019380190663590507,0.0735855374267146,N,0.9070342719096949,L0R1,0.9245987679959465,0.020340883679965716,0.05506034832408774,0.3943773606457087,0.07540123200405346
