N,K,beta,flag,n_peaks,t1,h1,t2,h2,h2_over_h1,paper,macro
55,2,0.08,1,2,32,0.0011533964340010889,254,0.0011551929504235664,1.0015575879806091,True,False
60,2,0.0,0,1,434,0.0007092706759635223,,,,False,False
60,2,0.01,2,2,37,0.00015933037577132506,409,0.0007582766678713372,4.759146924749834,True,True
60,2,0.02,2,2,36,0.0003138112134726442,387,0.0008015697236136559,2.554305548050567,True,True
60,2,0.03,2,2,35,0.000463727576229688,368,0.000840174611365619,1.8117848806763086,True,True
60,2,0.04,2,2,35,0.0006093394952637809,350,0.000874905542755367,1.4358260863701662,True,True
60,2,0.05,1,2,34,0.0007509437734730456,334,0.0009064229264436576,1.2070449991901995,True,False
60,2,0.06,1,2,33,0.000888656300028429,318,0.0009352778682351319,1.0524629918284623,True,False
60,2,0.07,1,2,33,0.0010227671023442552,304,0.0009619391338941201,0.9405260803650087,True,False
60,2,0.08,1,2,32,0.0011533961111892047,290,0.0009868178795799682,0.8555758685214513,True,False
65,2,0.0,0,1,512,0.0006026983254798144,,,,False,False
65,2,0.01,2,2,37,0.0001593300656112309,479,0.0006469489167793652,4.060432124329477,True,True
65,2,0.02,2,2,36,0.0003138110622003653,451,0.0006855470132173327,2.184585235493125,True,True
65,2,0.03,2,2,35,0.0004637275079912485,426,0.0007195893869736469,1.5517504883217474,True,True
65,2,0.04,2,2,35,0.0006093394270380931,404,0.0007499368692661248,1.2307374773227042,True,True
65,2,0.05,2,2,34,0.0007509437454896336,383,0.0007772798682155115,1.0350706998813954,True,True
65,2,0.06,2,2,33,0.0008886562898410072,364,0.0008021930756531907,0.9027034240614152,True,True
65,2,0.07,2,2,33,0.0010227670921577738,345,0.0008251683405548669,0.8067998539276184,True,True
65,2,0.08,2,2,32,0.0011533961080135641,327,0.0008466547753827587,0.7340537821311964,True,True
70,2,0.0,0,1,594,0.000518462097022154,,,,False,False
70,2,0.01,2,2,37,0.0001593300628542444,553,0.000559516102001978,3.5116794155402102,True,True
70,2,0.02,2,2,36,0.00031381106124695634,518,0.0005949408063459045,1.895856710664863,True,True
70,2,0.03,2,2,35,0.00046372750770960265,487,0.0006259088773932506,1.349734201632071,True,True
70,2,0.04,2,2,35,0.0006093394267565656,459,0.0006533242899502929,1.0721845022040555,True,True
70,2,0.05,2,2,34,0.0007509437454226347,434,0.0006779066049271297,0.9027395315019245,True,True
70,2,0.06,2,2,33,0.0008886562898295053,409,0.00070025099762719,0.7879885684053819,True,True
70,2,0.07,2,2,33,0.0010227670921462736,386,0.0007208763004103464,0.7048293848578856,True,True
70,2,0.08,2,2,32,0.0011533961080124847,363,0.0007402721282492141,0.6418195129207088,True,True
75,2,0.0,0,1,684,0.00045072963207250173,,,,False,False
75,2,0.01,2,2,37,0.00015933006283419784,633,0.00048826188032202657,3.064468008338903,True,True
75,2,0.02,2,2,36,0.0003138110612425326,590,0.0005202310649091847,1.657784345935206,True,True
75,2,0.03,2,2,35,0.00046372750770890306,552,0.0005478758004084321,1.1814606451001213,True,True
75,2,0.04,2,2,35,0.0006093394267558661,518,0.0005721387918068937,0.9389492402501687,True,True
75,2,0.05,2,2,34,0.0007509437454225747,487,0.0005937661124930965,0.7906931992075779,True,True
75,2,0.06,2,2,33,0.0008886562898295053,457,0.0006133784782008503,0.6902314035480817,True,True
75,2,0.07,2,2,33,0.0010227670921462736,428,0.0006315342512106619,0.6174761155889257,True,True
75,2,0.08,2,2,32,0.0011533961080124847,396,0.0006488133527511044,0.5625243125443956,True,True
80,2,0.0,0,1,779,0.00039545400568602435,,,,False,False
80,2,0.01,2,2,37,0.0001593300628341934,717,0.0004305089774987675,2.701994650857422,True,True
80,2,0.02,2,2,36,0.0003138110612425326,665,0.0004600441181525993,1.4659907663262666,True,True
80,2,0.03,2,2,35,0.00046372750770890306,619,0.00048536545277079826,1.0466609047386468,True,True
80,2,0.04,2,2,35,0.0006093394267558661,578,0.0005074510991294966,0.8327888806263125,True,True
80,2,0.05,2,2,34,0.0007509437454225747,540,0.0005270705386422835,0.7018775265858134,True,True
80,2,0.06,2,2,33,0.0008886562898295053,504,0.000544869718466844,0.6131388757416897,True,True
80,2,0.07,2,2,33,0.0010227670921462736,467,0.0005614557070293261,0.5489575401288216,True,True
80,2,0.08,2,2,32,0.0011533961080124847,425,0.0005775519256170115,0.5007403108132907,True,True
